GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0042552	myelination	3.6941908454012926e-10	3.6941908454012926e-10	+1	KLK6,NKX6-2,SOX10,MYRF,PLP1,MAL,MOBP,TMEM98,TPPP,ABCA2,GAL3ST1,PLLP,BCAS1,MBP,NFASC
GO:0008366	axon ensheathment	3.6941908454012926e-10	3.6941908454012926e-10	+1	KLK6,NKX6-2,SOX10,MYRF,PLP1,MAL,MOBP,TMEM98,TPPP,ABCA2,GAL3ST1,PLLP,BCAS1,MBP,NFASC
GO:0007272	ensheathment of neurons	3.6941908454012926e-10	3.6941908454012926e-10	+1	KLK6,NKX6-2,SOX10,MYRF,PLP1,MAL,MOBP,TMEM98,TPPP,ABCA2,GAL3ST1,PLLP,BCAS1,MBP,NFASC
GO:0048709	oligodendrocyte differentiation	2.1213838134311452e-8	2.1213838134311452e-8	+1	OPALIN,SOX10,MYRF,PLP1,ZNF488,MOBP,TMEM98,TPPP,ABCA2,SLC45A3,ZNF365
GO:0014003	oligodendrocyte development	0.000008950464715574296	0.000008950464715574296	+1	SOX10,MYRF,PLP1,ZNF488,MOBP,TPPP,ABCA2
GO:0010001	glial cell differentiation	0.000025061895977372552	0.000025061895977372552	+1	OPALIN,SOX10,MYRF,PLP1,ZNF488,MOBP,TMEM98,TPPP,ABCA2,SLC45A3,ERBB3,ZNF365
GO:0042063	gliogenesis	0.00006704574888285432	0.00006704574888285432	+1	OPALIN,SOX10,MYRF,PLP1,ZNF488,MOBP,TMEM98,TPPP,ABCA2,SLC45A3,ERBB3,LRP2,ZNF365
GO:0022010	central nervous system myelination	0.00015344264300413843	0.00015344264300413843	+1	SOX10,MYRF,PLP1,MOBP,ABCA2
GO:0032291	axon ensheathment in central nervous system	0.00015344264300413843	0.00015344264300413843	+1	SOX10,MYRF,PLP1,MOBP,ABCA2
GO:0098742	cell-cell adhesion via plasma-membrane adhesion molecules	0.004573041993402221	0.004573041993402221	+1	MAG,CLDN11,CDH19,CNTN2,MYOT,KIRREL3,DSCAML1,IL1RAPL1,MBP,NECTIN1,PTPRD
GO:0010977	negative regulation of neuron projection development	0.0059033108786800716	0.0059033108786800716	+1	MAG,SPOCK1,SEMA3C,NGFR,ZNF365,SEMA3B,OMG,LPAR1
GO:0021782	glial cell development	0.005986616340240056	0.005986616340240056	+1	SOX10,MYRF,PLP1,ZNF488,MOBP,TPPP,ABCA2
