NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KERATINIZATION%REACTOME%R-HSA-6805567.5	KERATINIZATION%REACTOME%R-HSA-6805567.5	Details ...	80	-0.60956705	-2.7880206	0.0	0.0	0.0	1764	tags=54%, list=13%, signal=62%	
FORMATION OF THE CORNIFIED ENVELOPE%REACTOME DATABASE ID RELEASE 81%6809371	FORMATION OF THE CORNIFIED ENVELOPE%REACTOME DATABASE ID RELEASE 81%6809371	Details ...	39	-0.6607428	-2.6165187	0.0	0.0	0.0	1764	tags=67%, list=13%, signal=77%	
KERATINOCYTE DIFFERENTIATION%GOBP%GO:0030216	KERATINOCYTE DIFFERENTIATION%GOBP%GO:0030216	Details ...	53	-0.59801686	-2.5262012	0.0	0.0	0.0	1479	tags=51%, list=11%, signal=57%	
INTERMEDIATE FILAMENT ORGANIZATION%GOBP%GO:0045109	INTERMEDIATE FILAMENT ORGANIZATION%GOBP%GO:0045109	Details ...	52	-0.5477287	-2.2971203	0.0	0.003829799	0.014	2291	tags=54%, list=17%, signal=65%	
REGULATION OF MITOTIC SISTER CHROMATID SEPARATION%GOBP%GO:0010965	REGULATION OF MITOTIC SISTER CHROMATID SEPARATION%GOBP%GO:0010965	Details ...	45	-0.5325468	-2.183833	0.0	0.017982306	0.078	3689	tags=60%, list=28%, signal=83%	
PID_FOXO_PATHWAY%MSIGDB_C2%PID_FOXO_PATHWAY	PID_FOXO_PATHWAY%MSIGDB_C2%PID_FOXO_PATHWAY	Details ...	34	-0.569546	-2.1700556	0.0	0.017548313	0.092	2712	tags=56%, list=20%, signal=70%	
INTERMEDIATE FILAMENT CYTOSKELETON ORGANIZATION%GOBP%GO:0045104	INTERMEDIATE FILAMENT CYTOSKELETON ORGANIZATION%GOBP%GO:0045104	Details ...	62	-0.50359625	-2.168018	0.0	0.015353979	0.093	2291	tags=52%, list=17%, signal=62%	
VESICLE-MEDIATED TRANSPORT BETWEEN ENDOSOMAL COMPARTMENTS%GOBP%GO:0098927	VESICLE-MEDIATED TRANSPORT BETWEEN ENDOSOMAL COMPARTMENTS%GOBP%GO:0098927	Details ...	22	-0.6301005	-2.155339	0.0	0.016196862	0.112	2510	tags=59%, list=19%, signal=73%	
RAS PROCESSING%REACTOME DATABASE ID RELEASE 81%9648002	RAS PROCESSING%REACTOME DATABASE ID RELEASE 81%9648002	Details ...	15	-0.71066725	-2.1466641	0.0	0.015623958	0.12	3619	tags=80%, list=27%, signal=110%	
INTERMEDIATE FILAMENT-BASED PROCESS%GOBP%GO:0045103	INTERMEDIATE FILAMENT-BASED PROCESS%GOBP%GO:0045103	Details ...	63	-0.50168765	-2.1417236	0.0	0.015272386	0.131	2291	tags=51%, list=17%, signal=61%	
EARLY ENDOSOME TO LATE ENDOSOME TRANSPORT%GOBP%GO:0045022	EARLY ENDOSOME TO LATE ENDOSOME TRANSPORT%GOBP%GO:0045022	Details ...	18	-0.67538244	-2.1155434	0.0	0.02087273	0.189	2510	tags=67%, list=19%, signal=82%	
KERATINIZATION%GOBP%GO:0031424	KERATINIZATION%GOBP%GO:0031424	Details ...	17	-0.66573495	-2.07027	0.0	0.036253158	0.329	3531	tags=76%, list=26%, signal=104%	
PROTEIN SYNTHESIS: PHENYLALANINE%PATHWHIZ%PW112934	PROTEIN SYNTHESIS: PHENYLALANINE%PATHWHIZ%PW112934	Details ...	37	-0.5274781	-2.0549169	0.0	0.042166222	0.391	4664	tags=59%, list=35%, signal=91%	
REGULATION OF CHROMOSOME SEPARATION%GOBP%GO:1905818	REGULATION OF CHROMOSOME SEPARATION%GOBP%GO:1905818	Details ...	59	-0.48308635	-2.0449662	0.0	0.043391023	0.426	3689	tags=56%, list=28%, signal=77%	
PROTEIN SYNTHESIS: HISTIDINE%PATHWHIZ%PW112929	PROTEIN SYNTHESIS: HISTIDINE%PATHWHIZ%PW112929	Details ...	36	-0.530672	-2.040247	0.0	0.04247474	0.44	4664	tags=61%, list=35%, signal=94%	
PROTEIN SYNTHESIS: GLUTAMINE%SMPDB%SMP0111862	PROTEIN SYNTHESIS: GLUTAMINE%SMPDB%SMP0111862	Details ...	36	-0.530672	-2.0386858	0.0	0.04050974	0.444	4664	tags=61%, list=35%, signal=94%	
PROTEIN SYNTHESIS: ISOLEUCINE%SMPDB%SMP0111872	PROTEIN SYNTHESIS: ISOLEUCINE%SMPDB%SMP0111872	Details ...	36	-0.530672	-2.0366125	0.0	0.039094806	0.453	4664	tags=61%, list=35%, signal=94%	
PROTEIN SYNTHESIS: ASPARAGINE%SMPDB%SMP0111854	PROTEIN SYNTHESIS: ASPARAGINE%SMPDB%SMP0111854	Details ...	36	-0.530672	-2.03247	0.0	0.038254943	0.468	4664	tags=61%, list=35%, signal=94%	
PROTEIN SYNTHESIS: THREONINE%PATHWHIZ%PW120525	PROTEIN SYNTHESIS: THREONINE%PATHWHIZ%PW120525	Details ...	36	-0.530672	-2.0324032	0.0024390244	0.036357682	0.469	4664	tags=61%, list=35%, signal=94%	
PROTEIN SYNTHESIS: GLUTAMIC ACID%PATHWHIZ%PW112922	PROTEIN SYNTHESIS: GLUTAMIC ACID%PATHWHIZ%PW112922	Details ...	36	-0.530672	-2.0321865	0.0	0.034760177	0.472	4664	tags=61%, list=35%, signal=94%	
PROTEIN SYNTHESIS: PROLINE%PATHWHIZ%PW113695	PROTEIN SYNTHESIS: PROLINE%PATHWHIZ%PW113695		36	-0.530672	-2.0304217	0.0	0.03399359	0.482	4664	tags=61%, list=35%, signal=94%	
UBIQUITIN PROTEASOME PATHWAY%PANTHER PATHWAY%P00060	UBIQUITIN PROTEASOME PATHWAY%PANTHER PATHWAY%P00060		20	-0.63123673	-2.0281384	0.0	0.033297453	0.492	1632	tags=60%, list=12%, signal=68%	
PROTEIN SYNTHESIS: CYSTEINE%PATHWHIZ%PW112918	PROTEIN SYNTHESIS: CYSTEINE%PATHWHIZ%PW112918		36	-0.530672	-2.0279784	0.0	0.031944778	0.493	4664	tags=61%, list=35%, signal=94%	
PROTEIN SYNTHESIS: TYROSINE%PATHWHIZ%PW120527	PROTEIN SYNTHESIS: TYROSINE%PATHWHIZ%PW120527		36	-0.530672	-2.0278096	0.0	0.030706659	0.495	4664	tags=61%, list=35%, signal=94%	
EPIDERMAL CELL DIFFERENTIATION%GOBP%GO:0009913	EPIDERMAL CELL DIFFERENTIATION%GOBP%GO:0009913		74	-0.44863752	-2.0255036	0.0	0.030228088	0.504	1527	tags=42%, list=11%, signal=47%	
PROTEIN SYNTHESIS: SERINE%PATHWHIZ%PW120517	PROTEIN SYNTHESIS: SERINE%PATHWHIZ%PW120517		36	-0.530672	-2.025242	0.0	0.029193025	0.506	4664	tags=61%, list=35%, signal=94%	
PROTEIN SYNTHESIS: METHIONINE%PATHWHIZ%PW112933	PROTEIN SYNTHESIS: METHIONINE%PATHWHIZ%PW112933		36	-0.530672	-2.0252054	0.0	0.0281118	0.506	4664	tags=61%, list=35%, signal=94%	
PROTEIN SYNTHESIS: LEUCINE%SMPDB%SMP0111873	PROTEIN SYNTHESIS: LEUCINE%SMPDB%SMP0111873		36	-0.530672	-2.0235293	0.0	0.027698537	0.513	4664	tags=61%, list=35%, signal=94%	
EPIDERMIS DEVELOPMENT%GOBP%GO:0008544	EPIDERMIS DEVELOPMENT%GOBP%GO:0008544		135	-0.4100347	-2.0233226	0.0	0.026781755	0.513	1687	tags=40%, list=13%, signal=45%	
PROTEIN SYNTHESIS: VALINE%PATHWHIZ%PW120528	PROTEIN SYNTHESIS: VALINE%PATHWHIZ%PW120528		36	-0.530672	-2.0191963	0.0	0.026772449	0.524	4664	tags=61%, list=35%, signal=94%	
PROTEIN SYNTHESIS: ALANINE%PATHWHIZ%PW101384	PROTEIN SYNTHESIS: ALANINE%PATHWHIZ%PW101384		36	-0.530672	-2.018532	0.0	0.02608738	0.527	4664	tags=61%, list=35%, signal=94%	
PROTEIN SYNTHESIS: ARGININE%SMPDB%SMP0111853	PROTEIN SYNTHESIS: ARGININE%SMPDB%SMP0111853		36	-0.530672	-2.0182152	0.0	0.025443157	0.529	4664	tags=61%, list=35%, signal=94%	
PROTEIN SYNTHESIS: GLYCINE%PATHWHIZ%PW112928	PROTEIN SYNTHESIS: GLYCINE%PATHWHIZ%PW112928		36	-0.530672	-2.0134053	0.0	0.025706606	0.545	4664	tags=61%, list=35%, signal=94%	
PROTEIN SYNTHESIS: ASPARTIC ACID%SMPDB%SMP0111858	PROTEIN SYNTHESIS: ASPARTIC ACID%SMPDB%SMP0111858		36	-0.530672	-2.0122633	0.0	0.025208846	0.549	4664	tags=61%, list=35%, signal=94%	
PROTEIN SYNTHESIS: TRYPTOPHAN%PATHWHIZ%PW120526	PROTEIN SYNTHESIS: TRYPTOPHAN%PATHWHIZ%PW120526		36	-0.530672	-2.0017939	0.0	0.026901731	0.588	4664	tags=61%, list=35%, signal=94%	
PROTEIN SYNTHESIS: LYSINE%SMPDB%SMP0111874	PROTEIN SYNTHESIS: LYSINE%SMPDB%SMP0111874		36	-0.530672	-1.995141	0.0	0.028350074	0.614	4664	tags=61%, list=35%, signal=94%	
CYTOPLASMIC TRANSLATION%GOBP%GO:0002181	CYTOPLASMIC TRANSLATION%GOBP%GO:0002181		71	-0.44867164	-1.9738022	0.0	0.035018466	0.703	4733	tags=62%, list=36%, signal=96%	
RRNA PROCESSING IN THE NUCLEUS AND CYTOSOL%REACTOME DATABASE ID RELEASE 81%8868773	RRNA PROCESSING IN THE NUCLEUS AND CYTOSOL%REACTOME DATABASE ID RELEASE 81%8868773		121	-0.39865986	-1.9638491	0.0	0.037881892	0.735	4753	tags=50%, list=36%, signal=76%	
RRNA PROCESSING%REACTOME DATABASE ID RELEASE 81%72312	RRNA PROCESSING%REACTOME DATABASE ID RELEASE 81%72312		125	-0.4020764	-1.9579902	0.0	0.039441835	0.764	4415	tags=46%, list=33%, signal=68%	
RIBOSOME BIOGENESIS%GOBP%GO:0042254	RIBOSOME BIOGENESIS%GOBP%GO:0042254		164	-0.37750232	-1.9383607	0.0	0.048035596	0.836	4866	tags=48%, list=37%, signal=75%	
MAJOR PATHWAY OF RRNA PROCESSING IN THE NUCLEOLUS AND CYTOSOL%REACTOME%R-HSA-6791226.5	MAJOR PATHWAY OF RRNA PROCESSING IN THE NUCLEOLUS AND CYTOSOL%REACTOME%R-HSA-6791226.5		112	-0.39473128	-1.9336586	0.0	0.04935201	0.849	4753	tags=50%, list=36%, signal=77%	
MEMBRANE FISSION%GOBP%GO:0090148	MEMBRANE FISSION%GOBP%GO:0090148		31	-0.5230054	-1.9218426	0.0	0.054478962	0.882	2136	tags=42%, list=16%, signal=50%	
RRNA PROCESSING%GOBP%GO:0006364	RRNA PROCESSING%GOBP%GO:0006364		112	-0.39992574	-1.9215757	0.0	0.053415816	0.884	4745	tags=46%, list=36%, signal=71%	
REGULATION OF MITOTIC SISTER CHROMATID SEGREGATION%GOBP%GO:0033047	REGULATION OF MITOTIC SISTER CHROMATID SEGREGATION%GOBP%GO:0033047		43	-0.4756539	-1.9182355	0.0025062656	0.053971123	0.892	3689	tags=53%, list=28%, signal=74%	
ENDOGENOUS STEROLS%REACTOME%R-HSA-211976.6	ENDOGENOUS STEROLS%REACTOME%R-HSA-211976.6		21	-0.5598644	-1.9079794	0.0023094688	0.058779243	0.914	1409	tags=43%, list=11%, signal=48%	
SEROTONIN HTR1 GROUP AND FOS PATHWAY%WIKIPATHWAYS_20240510%WP722%HOMO SAPIENS	SEROTONIN HTR1 GROUP AND FOS PATHWAY%WIKIPATHWAYS_20240510%WP722%HOMO SAPIENS		26	-0.53644186	-1.8944874	0.0	0.06567686	0.946	2089	tags=42%, list=16%, signal=50%	
PRADER WILLI AND ANGELMAN SYNDROME%WIKIPATHWAYS_20240510%WP3998%HOMO SAPIENS	PRADER WILLI AND ANGELMAN SYNDROME%WIKIPATHWAYS_20240510%WP3998%HOMO SAPIENS		79	-0.41297954	-1.8913983	0.0	0.06633857	0.951	4394	tags=54%, list=33%, signal=81%	
PROTEIN UBIQUITINATION%REACTOME DATABASE ID RELEASE 81%8852135	PROTEIN UBIQUITINATION%REACTOME DATABASE ID RELEASE 81%8852135		45	-0.47335842	-1.8796344	0.0027247956	0.07317377	0.964	3530	tags=58%, list=26%, signal=78%	
PEPTIDE CROSS-LINKING%GOBP%GO:0018149	PEPTIDE CROSS-LINKING%GOBP%GO:0018149		20	-0.57034945	-1.8763276	0.0	0.07396769	0.964	1412	tags=65%, list=11%, signal=73%	
BIOCARTA_HER2_PATHWAY%MSIGDB_C2%BIOCARTA_HER2_PATHWAY	BIOCARTA_HER2_PATHWAY%MSIGDB_C2%BIOCARTA_HER2_PATHWAY		20	-0.5750967	-1.8625289	0.002375297	0.08360587	0.978	3184	tags=65%, list=24%, signal=85%	
ACETAMINOPHEN ACTION PATHWAY%SMPDB%SMP0000710	ACETAMINOPHEN ACTION PATHWAY%SMPDB%SMP0000710		22	-0.5391122	-1.8520519	0.0072815535	0.09027759	0.988	1207	tags=32%, list=9%, signal=35%	
PHENYLBUTAZONE ACTION PATHWAY%PATHWHIZ%PW000678	PHENYLBUTAZONE ACTION PATHWAY%PATHWHIZ%PW000678		22	-0.5391122	-1.8511589	0.0	0.089280106	0.988	1207	tags=32%, list=9%, signal=35%	
KETOPROFEN ACTION PATHWAY%SMPDB%SMP0000085	KETOPROFEN ACTION PATHWAY%SMPDB%SMP0000085		22	-0.5391122	-1.843975	0.0022779044	0.09413597	0.989	1207	tags=32%, list=9%, signal=35%	
ANTRAFENINE ACTION PATHWAY%SMPDB%SMP0000693	ANTRAFENINE ACTION PATHWAY%SMPDB%SMP0000693		22	-0.5391122	-1.8407592	0.0025062656	0.09546449	0.991	1207	tags=32%, list=9%, signal=35%	
SIGNALING BY NTRK2 (TRKB)%REACTOME%R-HSA-9006115.3	SIGNALING BY NTRK2 (TRKB)%REACTOME%R-HSA-9006115.3		20	-0.5508907	-1.8389819	0.0022779044	0.095112555	0.991	2139	tags=50%, list=16%, signal=59%	
HALLMARK_E2F_TARGETS%MSIGDBHALLMARK%HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS%MSIGDBHALLMARK%HALLMARK_E2F_TARGETS		144	-0.3665298	-1.8385577	0.0	0.09382695	0.992	4531	tags=51%, list=34%, signal=76%	
RENIN ANGIOTENSIN ALDOSTERONE SYSTEM RAAS %WIKIPATHWAYS_20240510%WP4756%HOMO SAPIENS	RENIN ANGIOTENSIN ALDOSTERONE SYSTEM RAAS %WIKIPATHWAYS_20240510%WP4756%HOMO SAPIENS		26	-0.51671827	-1.8385421	0.0	0.09220097	0.992	3334	tags=50%, list=25%, signal=67%	
FLURBIPROFEN ACTION PATHWAY%SMPDB%SMP0000697	FLURBIPROFEN ACTION PATHWAY%SMPDB%SMP0000697		22	-0.5391122	-1.8354027	0.0	0.09353347	0.993	1207	tags=32%, list=9%, signal=35%	
DICLOFENAC ACTION PATHWAY%PATHWHIZ%PW000135	DICLOFENAC ACTION PATHWAY%PATHWHIZ%PW000135		22	-0.5391122	-1.8353308	0.0	0.09205846	0.993	1207	tags=32%, list=9%, signal=35%	
ETODOLAC ACTION PATHWAY%PATHWHIZ%PW000129	ETODOLAC ACTION PATHWAY%PATHWHIZ%PW000129		22	-0.5391122	-1.8345357	0.0071090045	0.09103532	0.993	1207	tags=32%, list=9%, signal=35%	
KETOROLAC ACTION PATHWAY%SMPDB%SMP0000098	KETOROLAC ACTION PATHWAY%SMPDB%SMP0000098		22	-0.5391122	-1.8336225	0.007633588	0.09037102	0.993	1207	tags=32%, list=9%, signal=35%	
SALICYLIC ACID ACTION PATHWAY%SMPDB%SMP0000709	SALICYLIC ACID ACTION PATHWAY%SMPDB%SMP0000709		22	-0.5391122	-1.8317205	0.0024271845	0.09071923	0.995	1207	tags=32%, list=9%, signal=35%	
G1/S TRANSITION OF MITOTIC CELL CYCLE%GOBP%GO:0000082	G1/S TRANSITION OF MITOTIC CELL CYCLE%GOBP%GO:0000082		44	-0.46159077	-1.8315753	0.0	0.08940234	0.995	3503	tags=55%, list=26%, signal=74%	
ROFECOXIB ACTION PATHWAY%SMPDB%SMP0000087	ROFECOXIB ACTION PATHWAY%SMPDB%SMP0000087		22	-0.5391122	-1.8300934	0.0	0.08942283	0.995	1207	tags=32%, list=9%, signal=35%	
SALSALATE ACTION PATHWAY%SMPDB%SMP0000707	SALSALATE ACTION PATHWAY%SMPDB%SMP0000707		22	-0.5391122	-1.8270875	0.0046189376	0.090663224	0.995	1207	tags=32%, list=9%, signal=35%	
TIAPROFENIC ACID ACTION PATHWAY%PATHWHIZ%PW000682	TIAPROFENIC ACID ACTION PATHWAY%PATHWHIZ%PW000682		22	-0.5391122	-1.8261912	0.009456265	0.08997353	0.995	1207	tags=32%, list=9%, signal=35%	
MELOXICAM ACTION PATHWAY%SMPDB%SMP0000106	MELOXICAM ACTION PATHWAY%SMPDB%SMP0000106		22	-0.5391122	-1.824291	0.009779952	0.09013861	0.996	1207	tags=32%, list=9%, signal=35%	
DIFLUNISAL ACTION PATHWAY%SMPDB%SMP0000289	DIFLUNISAL ACTION PATHWAY%SMPDB%SMP0000289		22	-0.5391122	-1.8241901	0.0024509805	0.088878244	0.996	1207	tags=32%, list=9%, signal=35%	
SIGNALING BY HIPPO%REACTOME DATABASE ID RELEASE 81%2028269	SIGNALING BY HIPPO%REACTOME DATABASE ID RELEASE 81%2028269		16	-0.61008084	-1.8241553	0.0075376886	0.08763797	0.996	3970	tags=75%, list=30%, signal=107%	
NAPROXEN ACTION PATHWAY%SMPDB%SMP0000120	NAPROXEN ACTION PATHWAY%SMPDB%SMP0000120		22	-0.5391122	-1.8234655	0.0025445293	0.087091364	0.996	1207	tags=32%, list=9%, signal=35%	
TENOXICAM ACTION PATHWAY%SMPDB%SMP0000706	TENOXICAM ACTION PATHWAY%SMPDB%SMP0000706		22	-0.5391122	-1.8228357	0.0049751243	0.08635846	0.996	1207	tags=32%, list=9%, signal=35%	
SUPROFEN ACTION PATHWAY%SMPDB%SMP0000101	SUPROFEN ACTION PATHWAY%SMPDB%SMP0000101		22	-0.5391122	-1.8214219	0.0	0.08635005	0.996	1207	tags=32%, list=9%, signal=35%	
REGULATION OF MITOTIC METAPHASE/ANAPHASE TRANSITION%GOBP%GO:0030071	REGULATION OF MITOTIC METAPHASE/ANAPHASE TRANSITION%GOBP%GO:0030071		67	-0.41274318	-1.8207648	0.0028653296	0.08558936	0.996	3689	tags=48%, list=28%, signal=66%	
TRISALICYLATE-CHOLINE ACTION PATHWAY%PATHWHIZ%PW000680	TRISALICYLATE-CHOLINE ACTION PATHWAY%PATHWHIZ%PW000680		22	-0.5391122	-1.8201262	0.004938272	0.08495246	0.996	1207	tags=32%, list=9%, signal=35%	
NEGATIVE REGULATION OF MITOTIC SISTER CHROMATID SEPARATION%GOBP%GO:2000816	NEGATIVE REGULATION OF MITOTIC SISTER CHROMATID SEPARATION%GOBP%GO:2000816		24	-0.5224155	-1.8183968	0.007915568	0.08527243	0.997	3689	tags=63%, list=28%, signal=86%	
NONSENSE MEDIATED DECAY (NMD) INDEPENDENT OF THE EXON JUNCTION COMPLEX (EJC)%REACTOME DATABASE ID RELEASE 81%975956	NONSENSE MEDIATED DECAY (NMD) INDEPENDENT OF THE EXON JUNCTION COMPLEX (EJC)%REACTOME DATABASE ID RELEASE 81%975956		50	-0.43991747	-1.8175724	0.0025641026	0.08484537	0.997	4664	tags=56%, list=35%, signal=86%	
CELL CYCLE, MITOTIC%REACTOME DATABASE ID RELEASE 81%69278	CELL CYCLE, MITOTIC%REACTOME DATABASE ID RELEASE 81%69278		396	-0.3207135	-1.8158792	0.0	0.08511252	0.997	4334	tags=49%, list=33%, signal=70%	
MAGNESIUM SALICYLATE ACTION PATHWAY%PATHWHIZ%PW000675	MAGNESIUM SALICYLATE ACTION PATHWAY%PATHWHIZ%PW000675		22	-0.5391122	-1.8157345	0.004338395	0.08417668	0.997	1207	tags=32%, list=9%, signal=35%	
SALICYLATE-SODIUM ACTION PATHWAY%SMPDB%SMP0000708	SALICYLATE-SODIUM ACTION PATHWAY%SMPDB%SMP0000708		22	-0.5391122	-1.8156906	0.009153318	0.083124936	0.997	1207	tags=32%, list=9%, signal=35%	
POSITIVE REGULATION OF CHROMOSOME SEPARATION%GOBP%GO:1905820	POSITIVE REGULATION OF CHROMOSOME SEPARATION%GOBP%GO:1905820		24	-0.52832013	-1.815246	0.0	0.082360305	0.997	3613	tags=63%, list=27%, signal=86%	
BROMFENAC ACTION PATHWAY%SMPDB%SMP0000102	BROMFENAC ACTION PATHWAY%SMPDB%SMP0000102		22	-0.5391122	-1.8150985	0.00486618	0.08142551	0.997	1207	tags=32%, list=9%, signal=35%	
ETORICOXIB ACTION PATHWAY%SMPDB%SMP0000695	ETORICOXIB ACTION PATHWAY%SMPDB%SMP0000695		22	-0.5391122	-1.8138703	0.004914005	0.08139686	0.997	1207	tags=32%, list=9%, signal=35%	
VALDECOXIB ACTION PATHWAY%SMPDB%SMP0000116	VALDECOXIB ACTION PATHWAY%SMPDB%SMP0000116		22	-0.5391122	-1.8127365	0.0024509805	0.08142166	0.997	1207	tags=32%, list=9%, signal=35%	
NEGATIVE REGULATION OF SISTER CHROMATID SEGREGATION%GOBP%GO:0033046	NEGATIVE REGULATION OF SISTER CHROMATID SEGREGATION%GOBP%GO:0033046		24	-0.5224155	-1.8100519	0.007025761	0.08238455	0.997	3689	tags=63%, list=28%, signal=86%	
OXAPROZIN ACTION PATHWAY%PATHWHIZ%PW000262	OXAPROZIN ACTION PATHWAY%PATHWHIZ%PW000262		22	-0.5391122	-1.8085502	0.0	0.08248745	0.997	1207	tags=32%, list=9%, signal=35%	
FENOPROFEN ACTION PATHWAY%SMPDB%SMP0000696	FENOPROFEN ACTION PATHWAY%SMPDB%SMP0000696		22	-0.5391122	-1.8070524	0.009592326	0.08269929	0.997	1207	tags=32%, list=9%, signal=35%	
NEPAFENAC ACTION PATHWAY%PATHWHIZ%PW000679	NEPAFENAC ACTION PATHWAY%PATHWHIZ%PW000679		22	-0.5391122	-1.8050827	0.0024875621	0.08326156	0.997	1207	tags=32%, list=9%, signal=35%	
RRNA METABOLIC PROCESS%GOBP%GO:0016072	RRNA METABOLIC PROCESS%GOBP%GO:0016072		131	-0.3606788	-1.8024324	0.0	0.084005	0.998	4664	tags=46%, list=35%, signal=70%	
PIROXICAM ACTION PATHWAY%SMPDB%SMP0000077	PIROXICAM ACTION PATHWAY%SMPDB%SMP0000077		22	-0.5391122	-1.8004457	0.005037783	0.08449105	0.999	1207	tags=32%, list=9%, signal=35%	
