NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
PID_INTEGRIN1_PATHWAY%MSIGDB_C2%PID_INTEGRIN1_PATHWAY	PID_INTEGRIN1_PATHWAY%MSIGDB_C2%PID_INTEGRIN1_PATHWAY	Details ...	42	0.72057295	2.6367154	0.0	0.0	0.0	2800	tags=76%, list=21%, signal=96%	
BETA1 INTEGRIN CELL SURFACE INTERACTIONS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BETA1 INTEGRIN CELL SURFACE INTERACTIONS	BETA1 INTEGRIN CELL SURFACE INTERACTIONS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BETA1 INTEGRIN CELL SURFACE INTERACTIONS	Details ...	59	0.6652413	2.5886192	0.0	0.0	0.0	2620	tags=66%, list=20%, signal=82%	
COLLAGEN FORMATION%REACTOME%R-HSA-1474290.5	COLLAGEN FORMATION%REACTOME%R-HSA-1474290.5	Details ...	74	0.61396176	2.5468822	0.0	0.0	0.0	3101	tags=64%, list=23%, signal=82%	
EXTRACELLULAR MATRIX ORGANIZATION%REACTOME%R-HSA-1474244.4	EXTRACELLULAR MATRIX ORGANIZATION%REACTOME%R-HSA-1474244.4	Details ...	255	0.5187179	2.502852	0.0	0.0	0.0	2686	tags=46%, list=20%, signal=56%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION%MSIGDBHALLMARK%HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION%MSIGDBHALLMARK%HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	147	0.55134445	2.4617732	0.0	0.0	0.0	2880	tags=52%, list=22%, signal=66%	
XBP1(S) ACTIVATES CHAPERONE GENES%REACTOME%R-HSA-381038.5	XBP1(S) ACTIVATES CHAPERONE GENES%REACTOME%R-HSA-381038.5	Details ...	42	0.67138547	2.4519575	0.0	0.0	0.0	3169	tags=67%, list=24%, signal=87%	
POST-TRANSLATIONAL PROTEIN PHOSPHORYLATION%REACTOME%R-HSA-8957275.2	POST-TRANSLATIONAL PROTEIN PHOSPHORYLATION%REACTOME%R-HSA-8957275.2	Details ...	92	0.57476795	2.4267561	0.0	0.0	0.0	2957	tags=52%, list=22%, signal=67%	
IRE1ALPHA ACTIVATES CHAPERONES%REACTOME DATABASE ID RELEASE 81%381070	IRE1ALPHA ACTIVATES CHAPERONES%REACTOME DATABASE ID RELEASE 81%381070	Details ...	44	0.6435579	2.3885968	0.0	0.0	0.0	3169	tags=64%, list=24%, signal=83%	
REGULATION OF IGF ACTIVITY BY IGFBP%REACTOME%R-HSA-381426.4	REGULATION OF IGF ACTIVITY BY IGFBP%REACTOME%R-HSA-381426.4	Details ...	109	0.54190695	2.3746223	0.0	0.0	0.0	3456	tags=55%, list=26%, signal=74%	
LAMININ INTERACTIONS%REACTOME DATABASE ID RELEASE 81%3000157	LAMININ INTERACTIONS%REACTOME DATABASE ID RELEASE 81%3000157	Details ...	21	0.75661683	2.3615897	0.0	9.5207666E-5	0.001	1494	tags=71%, list=11%, signal=80%	
NON-INTEGRIN MEMBRANE-ECM INTERACTIONS%REACTOME DATABASE ID RELEASE 81%3000171	NON-INTEGRIN MEMBRANE-ECM INTERACTIONS%REACTOME DATABASE ID RELEASE 81%3000171	Details ...	39	0.6721933	2.3491652	0.0	1.7205767E-4	0.002	2608	tags=72%, list=20%, signal=89%	
COLLAGEN BIOSYNTHESIS AND MODIFYING ENZYMES%REACTOME DATABASE ID RELEASE 81%1650814	COLLAGEN BIOSYNTHESIS AND MODIFYING ENZYMES%REACTOME DATABASE ID RELEASE 81%1650814	Details ...	54	0.611418	2.3220916	0.0	1.5771952E-4	0.002	3101	tags=61%, list=23%, signal=79%	
ASSEMBLY OF COLLAGEN FIBRILS AND OTHER MULTIMERIC STRUCTURES%REACTOME%R-HSA-2022090.5	ASSEMBLY OF COLLAGEN FIBRILS AND OTHER MULTIMERIC STRUCTURES%REACTOME%R-HSA-2022090.5	Details ...	50	0.61246175	2.3120325	0.0	1.4558726E-4	0.002	2307	tags=58%, list=17%, signal=70%	
MET ACTIVATES PTK2 SIGNALING%REACTOME%R-HSA-8874081.3	MET ACTIVATES PTK2 SIGNALING%REACTOME%R-HSA-8874081.3	Details ...	16	0.8073975	2.3083396	0.0	1.3518817E-4	0.002	1734	tags=81%, list=13%, signal=93%	
BINDING AND UPTAKE OF LIGANDS BY SCAVENGER RECEPTORS%REACTOME DATABASE ID RELEASE 81%2173782	BINDING AND UPTAKE OF LIGANDS BY SCAVENGER RECEPTORS%REACTOME DATABASE ID RELEASE 81%2173782	Details ...	41	0.631934	2.3038142	0.0	1.2617563E-4	0.002	3469	tags=78%, list=26%, signal=105%	
REGULATION OF EXTRACELLULAR MATRIX ORGANIZATION%GOBP%GO:1903053	REGULATION OF EXTRACELLULAR MATRIX ORGANIZATION%GOBP%GO:1903053	Details ...	44	0.6265449	2.2926705	0.0	1.18289645E-4	0.002	1707	tags=52%, list=13%, signal=60%	
HALLMARK_ANGIOGENESIS%MSIGDBHALLMARK%HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS%MSIGDBHALLMARK%HALLMARK_ANGIOGENESIS	Details ...	30	0.66243327	2.2729542	0.0	3.914099E-4	0.007	944	tags=43%, list=7%, signal=47%	
PID_INTEGRIN3_PATHWAY%MSIGDB_C2%PID_INTEGRIN3_PATHWAY	PID_INTEGRIN3_PATHWAY%MSIGDB_C2%PID_INTEGRIN3_PATHWAY	Details ...	33	0.6626998	2.2539105	0.0	4.2231978E-4	0.008	2519	tags=64%, list=19%, signal=78%	
MIRNA TARGETS IN ECM AND MEMBRANE RECEPTORS%WIKIPATHWAYS_20240510%WP2911%HOMO SAPIENS	MIRNA TARGETS IN ECM AND MEMBRANE RECEPTORS%WIKIPATHWAYS_20240510%WP2911%HOMO SAPIENS	Details ...	16	0.7664419	2.2229962	0.0	5.493375E-4	0.011	1060	tags=63%, list=8%, signal=68%	
EXTRACELLULAR STRUCTURE ORGANIZATION%GOBP%GO:0043062	EXTRACELLULAR STRUCTURE ORGANIZATION%GOBP%GO:0043062	Details ...	156	0.4825264	2.1933637	0.0	0.0011825012	0.025	2994	tags=45%, list=22%, signal=57%	
EXTRACELLULAR MATRIX ORGANIZATION%GOBP%GO:0030198	EXTRACELLULAR MATRIX ORGANIZATION%GOBP%GO:0030198		155	0.48293757	2.1862564	0.0	0.0013053805	0.029	2994	tags=45%, list=22%, signal=58%	
BETA3 INTEGRIN CELL SURFACE INTERACTIONS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BETA3 INTEGRIN CELL SURFACE INTERACTIONS	BETA3 INTEGRIN CELL SURFACE INTERACTIONS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BETA3 INTEGRIN CELL SURFACE INTERACTIONS		40	0.61089075	2.1761281	0.0	0.0014175768	0.033	2519	tags=60%, list=19%, signal=74%	
COLLAGEN CHAIN TRIMERIZATION%REACTOME%R-HSA-8948216.4	COLLAGEN CHAIN TRIMERIZATION%REACTOME%R-HSA-8948216.4		33	0.6286332	2.1707191	0.0	0.0014392888	0.035	1469	tags=48%, list=11%, signal=54%	
EXTERNAL ENCAPSULATING STRUCTURE ORGANIZATION%GOBP%GO:0045229	EXTERNAL ENCAPSULATING STRUCTURE ORGANIZATION%GOBP%GO:0045229		156	0.47601855	2.156492	0.0	0.0017714123	0.045	2994	tags=45%, list=22%, signal=57%	
ECM PROTEOGLYCANS%REACTOME%R-HSA-3000178.6	ECM PROTEOGLYCANS%REACTOME%R-HSA-3000178.6		54	0.5673615	2.1530771	0.0	0.0017754522	0.047	1528	tags=37%, list=11%, signal=42%	
SYNDECAN-1-MEDIATED SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SYNDECAN-1-MEDIATED SIGNALING EVENTS	SYNDECAN-1-MEDIATED SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SYNDECAN-1-MEDIATED SIGNALING EVENTS		37	0.6107498	2.143556	0.0	0.0021057187	0.057	2135	tags=57%, list=16%, signal=67%	
COLLAGEN FIBRIL ORGANIZATION%GOBP%GO:0030199	COLLAGEN FIBRIL ORGANIZATION%GOBP%GO:0030199		36	0.61774534	2.1220322	0.0	0.0029014605	0.079	3093	tags=64%, list=23%, signal=83%	
MET PROMOTES CELL MOTILITY%REACTOME DATABASE ID RELEASE 81%8875878	MET PROMOTES CELL MOTILITY%REACTOME DATABASE ID RELEASE 81%8875878		24	0.67173254	2.1217775	0.0	0.0028311654	0.08	1734	tags=58%, list=13%, signal=67%	
UNFOLDED PROTEIN RESPONSE (UPR)%REACTOME DATABASE ID RELEASE 81%381119	UNFOLDED PROTEIN RESPONSE (UPR)%REACTOME DATABASE ID RELEASE 81%381119		79	0.51462007	2.102085	0.0	0.0037727475	0.107	3169	tags=51%, list=24%, signal=66%	
INTEGRINS IN ANGIOGENESIS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%INTEGRINS IN ANGIOGENESIS	INTEGRINS IN ANGIOGENESIS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%INTEGRINS IN ANGIOGENESIS		60	0.5375886	2.083615	0.0	0.0053723142	0.158	1999	tags=43%, list=15%, signal=51%	
VITAMIN TRANSPORT%GOBP%GO:0051180	VITAMIN TRANSPORT%GOBP%GO:0051180		39	0.5844127	2.0794299	0.0	0.005381562	0.161	3090	tags=54%, list=23%, signal=70%	
TRANSFORMING GROWTH FACTOR BETA RECEPTOR SIGNALING PATHWAY%GOBP%GO:0007179	TRANSFORMING GROWTH FACTOR BETA RECEPTOR SIGNALING PATHWAY%GOBP%GO:0007179		69	0.5184609	2.0676665	0.0	0.0064817322	0.194	2166	tags=41%, list=16%, signal=48%	
VITAMIN A DEFICIENCY%SMPDB%SMP0000336	VITAMIN A DEFICIENCY%SMPDB%SMP0000336		30	0.6062922	2.0637329	0.0	0.006741414	0.207	2073	tags=53%, list=16%, signal=63%	
TISSUE HOMEOSTASIS%GOBP%GO:0001894	TISSUE HOMEOSTASIS%GOBP%GO:0001894		85	0.4989383	2.059375	0.0	0.007208558	0.226	2269	tags=45%, list=17%, signal=54%	
ANATOMICAL STRUCTURE HOMEOSTASIS%GOBP%GO:0060249	ANATOMICAL STRUCTURE HOMEOSTASIS%GOBP%GO:0060249		85	0.4989383	2.0547347	0.0	0.007647139	0.247	2269	tags=45%, list=17%, signal=54%	
CARBOHYDRATE DERIVATIVE TRANSPORT%GOBP%GO:1901264	CARBOHYDRATE DERIVATIVE TRANSPORT%GOBP%GO:1901264		51	0.5355975	2.0458186	0.0	0.008639237	0.282	2213	tags=47%, list=17%, signal=56%	
PROTEIN N-LINKED GLYCOSYLATION%GOBP%GO:0006487	PROTEIN N-LINKED GLYCOSYLATION%GOBP%GO:0006487		50	0.5387032	2.0454876	0.0	0.008456788	0.283	3279	tags=54%, list=25%, signal=71%	
ARTERY DEVELOPMENT%GOBP%GO:0060840	ARTERY DEVELOPMENT%GOBP%GO:0060840		43	0.5541049	2.0350785	0.0	0.00987075	0.333	2190	tags=51%, list=16%, signal=61%	
CELL-SUBSTRATE JUNCTION ORGANIZATION%GOBP%GO:0150115	CELL-SUBSTRATE JUNCTION ORGANIZATION%GOBP%GO:0150115		27	0.6115184	2.0312164	0.0	0.010319251	0.352	1575	tags=52%, list=12%, signal=59%	
FOCAL ADHESION%WIKIPATHWAYS_20240510%WP306%HOMO SAPIENS	FOCAL ADHESION%WIKIPATHWAYS_20240510%WP306%HOMO SAPIENS		136	0.4539127	2.0306015	0.0	0.010203099	0.356	1603	tags=32%, list=12%, signal=36%	
RETINOL METABOLISM%SMPDB%SMP0000074	RETINOL METABOLISM%SMPDB%SMP0000074		30	0.6062922	2.0302837	0.0	0.009954243	0.356	2073	tags=53%, list=16%, signal=63%	
IRINOTECAN METABOLISM PATHWAY%SMPDB%SMP0000600	IRINOTECAN METABOLISM PATHWAY%SMPDB%SMP0000600		19	0.6720731	2.0287542	0.0	0.0099639855	0.362	3397	tags=68%, list=25%, signal=92%	
OUTFLOW TRACT SEPTUM MORPHOGENESIS%GOBP%GO:0003148	OUTFLOW TRACT SEPTUM MORPHOGENESIS%GOBP%GO:0003148		23	0.64417195	2.0246212	0.0	0.010411008	0.38	2005	tags=52%, list=15%, signal=61%	
PANCREAS DEVELOPMENT%GOBP%GO:0031016	PANCREAS DEVELOPMENT%GOBP%GO:0031016		25	0.6238869	2.0223014	0.0	0.0105593875	0.388	937	tags=32%, list=7%, signal=34%	
PID_SYNDECAN_1_PATHWAY%MSIGDB_C2%PID_SYNDECAN_1_PATHWAY	PID_SYNDECAN_1_PATHWAY%MSIGDB_C2%PID_SYNDECAN_1_PATHWAY		36	0.56985736	2.0201037	0.0	0.010848418	0.399	2135	tags=50%, list=16%, signal=59%	
SPROUTING ANGIOGENESIS%GOBP%GO:0002040	SPROUTING ANGIOGENESIS%GOBP%GO:0002040		40	0.5515232	2.0116115	0.0	0.012088918	0.445	2749	tags=55%, list=21%, signal=69%	
INFLAMMATORY RESPONSE PATHWAY%WIKIPATHWAYS_20240510%WP453%HOMO SAPIENS	INFLAMMATORY RESPONSE PATHWAY%WIKIPATHWAYS_20240510%WP453%HOMO SAPIENS		24	0.6237856	2.0096648	0.0	0.012192997	0.459	1060	tags=33%, list=8%, signal=36%	
NEGATIVE REGULATION OF ENDOTHELIAL CELL PROLIFERATION%GOBP%GO:0001937	NEGATIVE REGULATION OF ENDOTHELIAL CELL PROLIFERATION%GOBP%GO:0001937		29	0.5961541	2.006939	0.0	0.01243041	0.472	2848	tags=55%, list=21%, signal=70%	
DIGESTION%GOBP%GO:0007586	DIGESTION%GOBP%GO:0007586		53	0.5225959	2.006774	0.0	0.012215068	0.474	2228	tags=38%, list=17%, signal=45%	
CELL-SUBSTRATE JUNCTION ASSEMBLY%GOBP%GO:0007044	CELL-SUBSTRATE JUNCTION ASSEMBLY%GOBP%GO:0007044		26	0.6157497	2.0042362	0.0	0.012423066	0.486	1575	tags=54%, list=12%, signal=61%	
ALPHA6BETA4INTEGRIN%IOB%ALPHA6BETA4INTEGRIN	ALPHA6BETA4INTEGRIN%IOB%ALPHA6BETA4INTEGRIN		43	0.5496696	2.0011673	0.0	0.012770723	0.5	1086	tags=40%, list=8%, signal=43%	
MESENCHYME MORPHOGENESIS%GOBP%GO:0072132	MESENCHYME MORPHOGENESIS%GOBP%GO:0072132		34	0.57791907	1.9971135	0.0016863407	0.013303018	0.522	2005	tags=53%, list=15%, signal=62%	
N GLYCAN BIOSYNTHESIS%WIKIPATHWAYS_20240510%WP5153%HOMO SAPIENS	N GLYCAN BIOSYNTHESIS%WIKIPATHWAYS_20240510%WP5153%HOMO SAPIENS		35	0.57634974	1.9935515	0.0	0.013711355	0.541	3279	tags=63%, list=25%, signal=83%	
