GO.ID	Description	p.Val	FDR	Phenotype	Genes
HEAD AND NECK SQUAMOUS CELL CARCINOMA%WIKIPATHWAYS_20200810%WP4674%HOMO SAPIENS	Head and Neck Squamous Cell Carcinoma	1.0342701224811854e-29	1.0342701224811854e-29	+1	TP53,PIK3CA,PTEN,KRAS,EGFR,PIK3R1,CDKN2A,RB1,NOTCH1,CTNNB1,KEAP1,NFE2L2,NRAS,STK11,AKT1,AJUBA,PIK3CG,MTOR,FGFR2,CCND1,SMAD4,FGFR3,TGFBR2,CDKN1A
SIGNALING PATHWAYS IN GLIOBLASTOMA%WIKIPATHWAYS_20200810%WP2261%HOMO SAPIENS	Signaling Pathways in Glioblastoma	1.2821952997268889e-28	1.2821952997268889e-28	+1	TP53,PIK3CA,PTEN,KRAS,EGFR,NF1,PIK3R1,CDKN2A,RB1,NRAS,MAP2K4,AKT1,BRAF,PIK3CG,ATM,CDKN1B,BRCA1,PDGFRA,EP300,FGFR2,CCND1,BRCA2,CDKN1A,CDKN2C
PATHWAYS AFFECTED IN ADENOID CYSTIC CARCINOMA%WIKIPATHWAYS_20200810%WP3651%HOMO SAPIENS	Pathways Affected in Adenoid Cystic Carcinoma	3.3056405724664594e-22	3.3056405724664594e-22	+1	TP53,PIK3CA,PTEN,ARID1A,NOTCH1,FBXW7,CEBPA,KDM6A,AKT1,ATM,ARID5B,ATRX,BRCA1,CHEK2,SETD2,EP300,SMC1A,NSD1,NCOR1
INTEGRATED BREAST CANCER PATHWAY%WIKIPATHWAYS_20200810%WP1984%HOMO SAPIENS	Integrated Breast Cancer Pathway	2.0484533041887747e-20	2.0484533041887747e-20	+1	TP53,PTEN,KRAS,EGFR,NF1,RB1,CTNNB1,CDH1,STK11,AKT1,BRAF,AR,ATM,MTOR,BRCA1,CHEK2,EP300,CCND1,SMAD4,BRCA2,TGFBR2,ATR,SMAD2
ENDOMETRIAL CANCER%WIKIPATHWAYS_20200810%WP4155%HOMO SAPIENS	Endometrial cancer	2.6876464750363393e-19	2.6876464750363393e-19	+1	TP53,PIK3CA,PTEN,APC,KRAS,EGFR,PIK3R1,CTNNB1,CDH1,NRAS,AKT1,BRAF,FGFR2,CCND1,FGFR3,CDKN1A,AXIN2
BREAST CANCER PATHWAY%WIKIPATHWAYS_20200810%WP4262%HOMO SAPIENS	Breast cancer pathway	5.00633039438871e-19	5.00633039438871e-19	+1	TP53,PIK3CA,PTEN,APC,KRAS,EGFR,PIK3R1,RB1,NOTCH1,CTNNB1,NRAS,AKT1,BRAF,ATM,MTOR,BRCA1,KIT,CCND1,BRCA2,CDKN1A,ATR,AXIN2
MELANOMA%WIKIPATHWAYS_20200810%WP4685%HOMO SAPIENS	Melanoma	4.008817978766855e-17	4.008817978766855e-17	+1	TP53,PIK3CA,PTEN,KRAS,NF1,PIK3R1,CDKN2A,RB1,CDH1,NRAS,AKT1,BRAF,ERBB4,KIT,CCND1,CDKN1A
P53 PATHWAY FEEDBACK LOOPS 2%PANTHER PATHWAY%P04398	p53 pathway feedback loops 2	2.8208630584681916e-15	2.8208630584681916e-15	+1	TP53,PIK3CA,PTEN,KRAS,PIK3R1,RB1,CTNNB1,NRAS,AKT1,PIK3CG,ATM,CDKN1A,ATR
PANCREATIC ADENOCARCINOMA PATHWAY%WIKIPATHWAYS_20200810%WP4263%HOMO SAPIENS	Pancreatic adenocarcinoma pathway	2.8208630584681916e-15	2.8208630584681916e-15	+1	TP53,PIK3CA,KRAS,EGFR,PIK3R1,CDKN2A,RB1,AKT1,BRAF,MTOR,CCND1,SMAD4,BRCA2,TGFBR2,CDKN1A,SMAD2
DNA DAMAGE RESPONSE (ONLY ATM DEPENDENT)%WIKIPATHWAYS_20200810%WP710%HOMO SAPIENS	DNA Damage Response (only ATM dependent)	7.158196221581645e-15	7.158196221581645e-15	+1	TP53,PIK3CA,PTEN,APC,KRAS,PIK3R1,CDKN2A,CTNNB1,MAP3K1,NRAS,AKT1,PIK3CG,ATM,CDKN1B,CCND1,SMAD4,CDKN1A
TGF_BETA_RECEPTOR%NETPATH%TGF_BETA_RECEPTOR	TGF_beta_Receptor	9.73851514764066e-15	9.73851514764066e-15	+1	TP53,PIK3CA,PIK3R1,RB1,CTNNB1,CTCF,RUNX1,STK11,AKT1,AR,SOX9,MTOR,BRCA1,EP300,CCND1,SMAD4,TGFBR2,CDKN1A,PPP2R1A,SMAD2,AXIN2
CELL CYCLE%WIKIPATHWAYS_20200810%WP179%HOMO SAPIENS	Cell Cycle	1.9589332904015506e-14	1.9589332904015506e-14	+1	TP53,CDKN2A,RB1,STAG2,ATM,CDKN1B,CHEK2,EP300,CCND1,SMAD4,CDKN1A,ATR,SMC1A,SMC3,SMAD2,RAD21,CDKN2C
EGFR TYROSINE KINASE INHIBITOR RESISTANCE%WIKIPATHWAYS_20200810%WP4806%HOMO SAPIENS	EGFR Tyrosine Kinase Inhibitor Resistance	2.891308383559845e-14	2.891308383559845e-14	+1	PIK3CA,PTEN,KRAS,EGFR,NF1,PIK3R1,NRAS,AKT1,BRAF,HGF,MTOR,PDGFRA,FGFR2,CCND1,FGFR3
EXTRACELLULAR VESICLE-MEDIATED SIGNALING IN RECIPIENT CELLS%WIKIPATHWAYS_20200810%WP2870%HOMO SAPIENS	Extracellular vesicle-mediated signaling in recipient cells	5.5845539817568114e-14	5.5845539817568114e-14	+1	APC,KRAS,EGFR,CTNNB1,NRAS,AKT1,HGF,MTOR,SMAD4,TGFBR2,SMAD2
BLADDER CANCER%WIKIPATHWAYS_20200810%WP2828%HOMO SAPIENS	Bladder Cancer	5.5845539817568114e-14	5.5845539817568114e-14	+1	TP53,KRAS,EGFR,PIK3R1,CDKN2A,RB1,CDH1,NRAS,BRAF,CCND1,FGFR3,CDKN1A
BIOCARTA_CTCF_PATHWAY%MSIGDB_C2%BIOCARTA_CTCF_PATHWAY	BIOCARTA_CTCF_PATHWAY	1.6134035774953343e-13	1.6134035774953343e-13	+1	TP53,PIK3CA,PTEN,PIK3R1,CDKN2A,PIK3CG,CDKN1B,MTOR,SMAD4,TGFBR2
