GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0060255	regulation of macromolecule metabolic process	2.342834929020885e-30	2.342834929020885e-30	+1	TP53,PTEN,APC,VHL,KRAS,ARID1A,EGFR,NF1,PIK3R1,CDKN2A,GATA3,RB1,NOTCH1,FBXW7,CTNNB1,DNMT3A,MAP3K1,FLT3,TSHZ3,KEAP1,CDH1,CTCF,NFE2L2,BAP1,NPM1,RUNX1,TBX3,MAP2K4,RPL22,STK11,CRIPAK,CEBPA,AKT1,BRAF,AR,AJUBA,TSHZ2,PIK3CG,SOX9,ATM,CDKN1B,WT1,HGF,KDM5C,PRX,ERBB4,MTOR,TLR4,ARID5B,TET2,ATRX,ELF3,BRCA1,LRRK2,POLQ,FOXA1,CHEK2,KIT,HIST1H1C,SETD2,PDGFRA,EP300,FGFR2,CCND1,SMAD4,FOXA2,USP9X,BRCA2,NFE2L3,FGFR3,ASXL1,TGFBR2,SOX17,CDKN1A,SF3B1,TAF1,PPP2R1A,CBFB,ATR,SIN3A,VEZF1,EIF4A2,CDK12,PHF6,PTPN11,ACVR1B,MAPK8IP1,NSD1,TBL1XR1,EGR3,ACVR2A,MECOM,SMC3,NCOR1,RPL5,SMAD2,SPOP,AXIN2,MIR142,RAD21,ERCC2,CDKN2C,EZH2
GO:0051171	regulation of nitrogen compound metabolic process	6.442683279472994e-30	6.442683279472994e-30	+1	TP53,PTEN,APC,VHL,KRAS,ARID1A,EGFR,NF1,PIK3R1,CDKN2A,GATA3,RB1,NOTCH1,FBXW7,CTNNB1,DNMT3A,MAP3K1,FLT3,TSHZ3,KEAP1,CDH1,CTCF,NFE2L2,BAP1,NPM1,RUNX1,TBX3,MAP2K4,STK11,CRIPAK,CEBPA,AKT1,BRAF,AR,AJUBA,TSHZ2,PIK3CG,SOX9,ATM,CDKN1B,WT1,HGF,KDM5C,PRX,ERBB4,MTOR,TLR4,ARID5B,TET2,ATRX,ELF3,BRCA1,LRRK2,POLQ,FOXA1,CHEK2,KIT,HIST1H1C,SETD2,PDGFRA,EP300,FGFR2,CCND1,SMAD4,FOXA2,USP9X,BRCA2,NFE2L3,FGFR3,ASXL1,TGFBR2,SOX17,CDKN1A,TAF1,PPP2R1A,CBFB,ATR,SIN3A,VEZF1,EIF4A2,CDK12,PHF6,PTPN11,ACVR1B,MAPK8IP1,NSD1,TBL1XR1,EGR3,ACVR2A,MECOM,NCOR1,RPL5,SMAD2,SPOP,AXIN2,RAD21,ERCC2,CDKN2C,EZH2
GO:0031323	regulation of cellular metabolic process	2.795546905074154e-29	2.795546905074154e-29	+1	TP53,PIK3CA,PTEN,APC,VHL,KRAS,ARID1A,EGFR,NF1,PIK3R1,CDKN2A,GATA3,RB1,NOTCH1,FBXW7,CTNNB1,DNMT3A,MAP3K1,FLT3,TSHZ3,KEAP1,CDH1,CTCF,NFE2L2,BAP1,NPM1,RUNX1,TBX3,MAP2K4,STK11,CRIPAK,CEBPA,EPHA3,AKT1,BRAF,AR,AJUBA,TSHZ2,PIK3CG,SOX9,ATM,CDKN1B,WT1,HGF,KDM5C,PRX,ERBB4,MTOR,TLR4,ARID5B,TET2,ATRX,ELF3,BRCA1,LRRK2,POLQ,FOXA1,CHEK2,KIT,HIST1H1C,SETD2,PDGFRA,EP300,FGFR2,CCND1,SMAD4,FOXA2,USP9X,BRCA2,NFE2L3,FGFR3,ASXL1,TGFBR2,SOX17,CDKN1A,TAF1,PPP2R1A,CBFB,ATR,SIN3A,VEZF1,EIF4A2,CDK12,PHF6,PTPN11,ACVR1B,MAPK8IP1,NSD1,TBL1XR1,EGR3,ACVR2A,MECOM,SMC3,NCOR1,RPL5,SMAD2,AXIN2,RAD21,ERCC2,CDKN2C,EZH2
GO:0019222	regulation of metabolic process	3.504914692741367e-29	3.504914692741367e-29	+1	TP53,PIK3CA,PTEN,APC,VHL,KRAS,ARID1A,EGFR,NF1,PIK3R1,CDKN2A,GATA3,RB1,NOTCH1,FBXW7,CTNNB1,DNMT3A,MAP3K1,FLT3,TSHZ3,KEAP1,CDH1,CTCF,NFE2L2,BAP1,NPM1,RUNX1,TBX3,MAP2K4,RPL22,STK11,CRIPAK,CEBPA,EPHA3,AKT1,BRAF,AR,AJUBA,TSHZ2,PIK3CG,SOX9,ATM,CDKN1B,WT1,HGF,KDM5C,PRX,ERBB4,MTOR,TLR4,ARID5B,TET2,ATRX,ELF3,BRCA1,LRRK2,POLQ,FOXA1,CHEK2,KIT,HIST1H1C,SETD2,PDGFRA,EP300,FGFR2,CCND1,SMAD4,FOXA2,USP9X,BRCA2,NFE2L3,FGFR3,ASXL1,TGFBR2,SOX17,CDKN1A,SF3B1,TAF1,PPP2R1A,CBFB,ATR,SIN3A,VEZF1,EIF4A2,CDK12,PHF6,PTPN11,ACVR1B,MAPK8IP1,NSD1,TBL1XR1,EGR3,ACVR2A,MECOM,SMC3,NCOR1,RPL5,SMAD2,SPOP,AXIN2,MIR142,RAD21,ERCC2,CDKN2C,EZH2
GO:0080090	regulation of primary metabolic process	4.3447021769526397e-29	4.3447021769526397e-29	+1	TP53,PTEN,APC,VHL,KRAS,ARID1A,EGFR,NF1,PIK3R1,CDKN2A,GATA3,RB1,NOTCH1,FBXW7,CTNNB1,DNMT3A,MAP3K1,FLT3,TSHZ3,KEAP1,CDH1,CTCF,NFE2L2,BAP1,NPM1,RUNX1,TBX3,MAP2K4,STK11,CRIPAK,CEBPA,AKT1,BRAF,AR,AJUBA,TSHZ2,PIK3CG,SOX9,ATM,CDKN1B,WT1,HGF,KDM5C,PRX,ERBB4,MTOR,TLR4,ARID5B,TET2,ATRX,ELF3,BRCA1,LRRK2,POLQ,FOXA1,CHEK2,KIT,HIST1H1C,SETD2,PDGFRA,EP300,FGFR2,CCND1,SMAD4,FOXA2,USP9X,BRCA2,NFE2L3,FGFR3,ASXL1,TGFBR2,SOX17,CDKN1A,TAF1,PPP2R1A,CBFB,ATR,SIN3A,VEZF1,EIF4A2,CDK12,PHF6,PTPN11,ACVR1B,MAPK8IP1,NSD1,TBL1XR1,EGR3,ACVR2A,MECOM,NCOR1,RPL5,SMAD2,SPOP,AXIN2,RAD21,ERCC2,CDKN2C,EZH2
GO:0051173	positive regulation of nitrogen compound metabolic process	1.3547326398616152e-28	1.3547326398616152e-28	+1	TP53,PTEN,APC,VHL,KRAS,ARID1A,EGFR,PIK3R1,CDKN2A,GATA3,RB1,NOTCH1,FBXW7,CTNNB1,MAP3K1,FLT3,KEAP1,CDH1,CTCF,NFE2L2,NPM1,RUNX1,TBX3,MAP2K4,STK11,CEBPA,AKT1,BRAF,AR,PIK3CG,SOX9,ATM,CDKN1B,WT1,HGF,ERBB4,MTOR,TLR4,TET2,ATRX,ELF3,BRCA1,LRRK2,FOXA1,CHEK2,KIT,HIST1H1C,PDGFRA,EP300,FGFR2,CCND1,SMAD4,FOXA2,USP9X,BRCA2,NFE2L3,FGFR3,ASXL1,TGFBR2,SOX17,CDKN1A,TAF1,ATR,SIN3A,VEZF1,CDK12,PTPN11,MAPK8IP1,NSD1,TBL1XR1,EGR3,ACVR2A,MECOM,RPL5,SMAD2,AXIN2,ERCC2,EZH2
GO:0010604	positive regulation of macromolecule metabolic process	1.5086835237673093e-28	1.5086835237673093e-28	+1	TP53,PTEN,APC,VHL,KRAS,ARID1A,EGFR,PIK3R1,CDKN2A,GATA3,RB1,NOTCH1,FBXW7,CTNNB1,MAP3K1,FLT3,KEAP1,CDH1,CTCF,NFE2L2,NPM1,RUNX1,TBX3,MAP2K4,STK11,CEBPA,AKT1,BRAF,AR,PIK3CG,SOX9,ATM,CDKN1B,WT1,HGF,ERBB4,MTOR,TLR4,TET2,ATRX,ELF3,BRCA1,LRRK2,FOXA1,CHEK2,KIT,HIST1H1C,PDGFRA,EP300,FGFR2,CCND1,SMAD4,FOXA2,USP9X,BRCA2,NFE2L3,FGFR3,ASXL1,TGFBR2,SOX17,CDKN1A,SF3B1,TAF1,ATR,SIN3A,VEZF1,CDK12,PTPN11,MAPK8IP1,NSD1,TBL1XR1,EGR3,ACVR2A,MECOM,NCOR1,RPL5,SMAD2,AXIN2,ERCC2,EZH2
GO:1903506	regulation of nucleic acid-templated transcription	5.397719420760647e-27	5.397719420760647e-27	+1	TP53,PTEN,VHL,ARID1A,EGFR,PIK3R1,CDKN2A,GATA3,RB1,NOTCH1,FBXW7,CTNNB1,DNMT3A,TSHZ3,KEAP1,CDH1,CTCF,NFE2L2,BAP1,NPM1,RUNX1,TBX3,CEBPA,AKT1,AR,AJUBA,TSHZ2,SOX9,ATM,CDKN1B,WT1,HGF,KDM5C,ERBB4,MTOR,TLR4,ARID5B,TET2,ATRX,ELF3,BRCA1,FOXA1,CHEK2,KIT,HIST1H1C,EP300,FGFR2,CCND1,SMAD4,FOXA2,USP9X,BRCA2,NFE2L3,ASXL1,SOX17,CDKN1A,TAF1,PPP2R1A,CBFB,SIN3A,VEZF1,EIF4A2,CDK12,PHF6,ACVR1B,NSD1,TBL1XR1,EGR3,ACVR2A,MECOM,NCOR1,SMAD2,RAD21,ERCC2,EZH2
GO:2001141	regulation of RNA biosynthetic process	5.397719420760647e-27	5.397719420760647e-27	+1	TP53,PTEN,VHL,ARID1A,EGFR,PIK3R1,CDKN2A,GATA3,RB1,NOTCH1,FBXW7,CTNNB1,DNMT3A,TSHZ3,KEAP1,CDH1,CTCF,NFE2L2,BAP1,NPM1,RUNX1,TBX3,CEBPA,AKT1,AR,AJUBA,TSHZ2,SOX9,ATM,CDKN1B,WT1,HGF,KDM5C,ERBB4,MTOR,TLR4,ARID5B,TET2,ATRX,ELF3,BRCA1,FOXA1,CHEK2,KIT,HIST1H1C,EP300,FGFR2,CCND1,SMAD4,FOXA2,USP9X,BRCA2,NFE2L3,ASXL1,SOX17,CDKN1A,TAF1,PPP2R1A,CBFB,SIN3A,VEZF1,EIF4A2,CDK12,PHF6,ACVR1B,NSD1,TBL1XR1,EGR3,ACVR2A,MECOM,NCOR1,SMAD2,RAD21,ERCC2,EZH2
GO:0009893	positive regulation of metabolic process	6.736362109114156e-27	6.736362109114156e-27	+1	TP53,PTEN,APC,VHL,KRAS,ARID1A,EGFR,PIK3R1,CDKN2A,GATA3,RB1,NOTCH1,FBXW7,CTNNB1,MAP3K1,FLT3,KEAP1,CDH1,CTCF,NFE2L2,NPM1,RUNX1,TBX3,MAP2K4,STK11,CEBPA,EPHA3,AKT1,BRAF,AR,PIK3CG,SOX9,ATM,CDKN1B,WT1,HGF,ERBB4,MTOR,TLR4,TET2,ATRX,ELF3,BRCA1,LRRK2,FOXA1,CHEK2,KIT,HIST1H1C,PDGFRA,EP300,FGFR2,CCND1,SMAD4,FOXA2,USP9X,BRCA2,NFE2L3,FGFR3,ASXL1,TGFBR2,SOX17,CDKN1A,SF3B1,TAF1,ATR,SIN3A,VEZF1,CDK12,PTPN11,MAPK8IP1,NSD1,TBL1XR1,EGR3,ACVR2A,MECOM,NCOR1,RPL5,SMAD2,AXIN2,ERCC2,EZH2
