NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BGN	0	32.762489318847656	0.081443146	Yes	
row_1	GPC6	4	28.30610466003418	0.15159944	Yes	
row_2	VCAN	15	24.216426849365234	0.21110193	Yes	
row_3	OGN	54	19.464208602905273	0.25684148	Yes	
row_4	SDC2	72	18.519311904907227	0.30169433	Yes	
row_5	CHSY3	142	15.34761905670166	0.3350421	Yes	
row_6	ANGPT1	143	15.346112251281738	0.37319046	Yes	
row_7	DCN	151	14.871610641479492	0.4096719	Yes	
row_8	CHSY1	164	14.382537841796875	0.4445894	Yes	
row_9	GALNT5	177	14.062018394470215	0.47871017	Yes	
row_10	OMD	227	12.549365043640137	0.5064944	Yes	
row_11	XYLT1	243	12.025613784790039	0.53534406	Yes	
row_12	CHPF	288	11.015556335449219	0.5596636	Yes	
row_13	GPC1	297	10.839183807373047	0.58605134	Yes	
row_14	CSPG4	312	10.333524703979492	0.6107643	Yes	
row_15	LUM	328	9.903671264648438	0.6343391	Yes	
row_16	B3GNT9	387	8.853543281555176	0.65230936	Yes	
row_17	SDC1	409	8.50437068939209	0.6719879	Yes	
row_18	CHST15	511	7.308202743530273	0.68312263	Yes	
row_19	HAS2	532	7.088629245758057	0.6993515	Yes	
row_20	HSPG2	563	6.854047775268555	0.7143009	Yes	
row_21	HS2ST1	809	4.907593250274658	0.7094416	Yes	
row_22	EXT1	818	4.877229690551758	0.7210087	Yes	
row_23	DSEL	848	4.736709117889404	0.73076427	Yes	
row_24	DSE	852	4.728773593902588	0.7423105	Yes	
row_25	CHST3	866	4.652622699737549	0.7529711	Yes	
row_26	FMOD	904	4.5138750076293945	0.76161575	Yes	
row_27	NDST1	955	4.246964931488037	0.7686918	Yes	
row_28	CHST14	1066	3.814939260482788	0.7705161	Yes	
row_29	ST3GAL1	1097	3.6889681816101074	0.7775975	Yes	
row_30	CHST7	1102	3.677440643310547	0.78646064	Yes	
row_31	GLCE	1225	3.2689368724823	0.7860921	Yes	
row_32	HYAL1	1318	2.991666793823242	0.7871232	Yes	
row_33	CHST11	1356	2.877636194229126	0.79170036	Yes	
row_34	GPC3	1459	2.6032233238220215	0.79106957	Yes	
row_35	UGDH	1502	2.4997453689575195	0.7943592	Yes	
row_36	B3GNT7	1597	2.343621253967285	0.7936401	No	
row_37	ST3GAL3	1709	2.1575112342834473	0.79127467	No	
row_38	GPC2	1806	2.0042967796325684	0.7895728	No	
row_39	CHPF2	2080	1.6616630554199219	0.7746949	No	
row_40	PRELP	2100	1.6393378973007202	0.77744716	No	
row_41	CSGALNACT2	2165	1.5737240314483643	0.77690303	No	
row_42	HS3ST1	2208	1.5415151119232178	0.77781063	No	
row_43	ST3GAL2	2228	1.5230880975723267	0.7802739	No	
row_44	HS6ST2	2498	1.2563673257827759	0.7646671	No	
row_45	UST	2909	0.9734413027763367	0.7385394	No	
row_46	HAS3	2930	0.9605898857116699	0.73953474	No	
row_47	HS6ST1	2992	0.9275864958763123	0.73759323	No	
row_48	B4GALT5	3086	0.8743664622306824	0.7332914	No	
row_49	CHST2	3136	0.8464690446853638	0.7319838	No	
row_50	CSGALNACT1	3200	0.8168326616287231	0.7296278	No	
row_51	CHST9	3221	0.8070345520973206	0.73024136	No	
row_52	B3GNT8	3334	0.7484159469604492	0.7243035	No	
row_53	XYLT2	3386	0.7279783487319946	0.72256213	No	
row_54	B3GALT6	3701	0.6031481027603149	0.7021982	No	
row_55	B4GALT3	4048	0.48863863945007324	0.6793215	No	
row_56	ABCC5	4163	0.45592033863067627	0.6725173	No	
row_57	EXT2	4218	0.4377671778202057	0.6698456	No	
row_58	GPC4	4419	0.3896992802619934	0.6568887	No	
row_59	B4GALT6	4600	0.3442370295524597	0.64521134	No	
row_60	CHST1	4698	0.31702956557273865	0.6392455	No	
row_61	AGRN	4876	0.27863284945487976	0.62761396	No	
row_62	SLC35D2	4889	0.2763189971446991	0.6274653	No	
row_63	ST3GAL4	5054	0.23670992255210876	0.6166347	No	
row_64	B4GALT2	5159	0.21912746131420135	0.6099381	No	
row_65	B4GALT7	5170	0.21777687966823578	0.6097832	No	
row_66	NDST2	5282	0.19478414952754974	0.60253865	No	
row_67	B4GALT4	5818	0.10324637591838837	0.56554425	No	
row_68	HS3ST3A1	5975	0.07818952202796936	0.5548766	No	
row_69	B3GNT3	6542	-7.148807635530829E-4	0.51546884	No	
row_70	SLC10A7	6585	-0.0036198808811604977	0.51255345	No	
row_71	CHST12	7243	-0.09004835039377213	0.4670316	No	
row_72	CHST6	8017	-0.21471083164215088	0.41374275	No	
row_73	B3GNT2	8572	-0.31053128838539124	0.37594068	No	
row_74	B3GALNT1	9180	-0.4337007701396942	0.3347545	No	
row_75	B4GALT1	9307	-0.4676205515861511	0.3271438	No	
row_76	B3GAT3	9452	-0.5015061497688293	0.318364	No	
row_77	CHST13	9811	-0.5930456519126892	0.29491132	No	
row_78	B3GNT4	9816	-0.5941091179847717	0.2961097	No	
row_79	GCNT2	10786	-0.8861011862754822	0.23084271	No	
row_80	SDC3	10823	-0.8957290649414062	0.23056276	No	
row_81	ST3GAL6	11154	-1.0216001272201538	0.21012501	No	
row_82	CHST5	11600	-1.2201701402664185	0.18217365	No	
row_83	SDC4	11836	-1.3254238367080688	0.16910586	No	
row_84	IL1B	12100	-1.4587383270263672	0.15441987	No	
row_85	HEXA	12304	-1.5782053470611572	0.14420855	No	
row_86	CSPG5	12888	-2.013239622116089	0.108619966	No	
