NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD36	453	7.935004234313965	-0.0040924186	No	
row_1	ITGB5	1551	2.420285224914551	-0.07203252	No	
row_2	SNAP23	3852	0.5526071190834045	-0.23010096	No	
row_3	CHUK	5256	0.2010362148284912	-0.32699278	No	
row_4	PSMC4	5964	0.07910054177045822	-0.37589526	No	
row_5	PSMD1	6094	0.0602547861635685	-0.38465974	No	
row_6	PSMD8	6346	0.02583731897175312	-0.4020289	No	
row_7	PSME3	6513	0.006371885072439909	-0.4135531	No	
row_8	PSMD5	7823	-0.1835024058818817	-0.5039673	No	
row_9	CD207	8011	-0.21381571888923645	-0.5162354	No	
row_10	ITGAV	8248	-0.25625768303871155	-0.5317651	No	
row_11	VAMP3	8394	-0.2786747217178345	-0.54088783	No	
row_12	PSME4	8630	-0.3218410015106201	-0.5561214	No	
row_13	CALR	9820	-0.5963165163993835	-0.6367626	No	
row_14	PSMB7	9967	-0.6390256881713867	-0.6447098	No	
row_15	PSMA1	10047	-0.6639228463172913	-0.6479108	No	
row_16	PSMD6	10246	-0.7214846014976501	-0.65919	No	
row_17	PDIA3	10294	-0.7333133220672607	-0.6599254	No	
row_18	PSMD2	10480	-0.7915628552436829	-0.67005825	No	
row_19	PSMB5	10530	-0.8052272796630859	-0.67068434	No	
row_20	PSMA7	10569	-0.8186973333358765	-0.6704988	No	
row_21	PSMF1	10856	-0.9080609083175659	-0.6872542	No	
row_22	PSMD12	10962	-0.9431613683700562	-0.69129884	No	
row_23	PSMC5	11132	-1.0136111974716187	-0.6995516	No	
row_24	SEC22B	11170	-1.0274815559387207	-0.6985751	No	
row_25	PSMD9	11267	-1.0673831701278687	-0.7015645	No	
row_26	PSMD3	11565	-1.1999400854110718	-0.7180766	No	
row_27	PSMC1	11657	-1.247478723526001	-0.720096	No	
row_28	PSMD14	11709	-1.2717888355255127	-0.7192491	No	
row_29	PSMD13	12019	-1.4147871732711792	-0.73585355	No	
row_30	PSMC6	12058	-1.4359736442565918	-0.73353523	No	
row_31	PSMB2	12223	-1.5287299156188965	-0.73966044	No	
row_32	PSMB1	12242	-1.5452626943588257	-0.7355734	No	
row_33	PSMD7	12324	-1.5891876220703125	-0.7357166	No	
row_34	PSMB6	12334	-1.5948753356933594	-0.73083216	No	
row_35	NCF2	12386	-1.6323999166488647	-0.7287394	No	
row_36	PSMA2	12773	-1.9078078269958496	-0.74899614	Yes	
row_37	PSMD10	12782	-1.923203945159912	-0.7429077	Yes	
row_38	PSMC3	12793	-1.9322112798690796	-0.7369273	Yes	
row_39	PSMA4	12844	-1.9759408235549927	-0.73357797	Yes	
row_40	PSMD11	12886	-2.0127248764038086	-0.7294756	Yes	
row_41	HLA-G	13225	-2.3968968391418457	-0.7447038	Yes	
row_42	PSMB3	13289	-2.4874095916748047	-0.7404916	Yes	
row_43	PSMC2	13486	-2.807462453842163	-0.7444244	Yes	
row_44	PSMA3	13519	-2.8673086166381836	-0.73674333	Yes	
row_45	PSMB4	13646	-3.1124861240386963	-0.7347534	Yes	
row_46	IKBKG	13703	-3.244804859161377	-0.7274374	Yes	
row_47	IKBKB	13711	-3.260453462600708	-0.71665907	Yes	
row_48	PSMD4	13717	-3.2720346450805664	-0.70570165	Yes	
row_49	NCF4	13791	-3.46160626411438	-0.698819	Yes	
row_50	FCGR1B	13906	-3.8700389862060547	-0.69337696	Yes	
row_51	CYBB	13918	-3.9064149856567383	-0.680645	Yes	
row_52	FCGR1A	13952	-4.055443286895752	-0.6689284	Yes	
row_53	VAMP8	13993	-4.197068214416504	-0.6572093	Yes	
row_54	CYBA	14031	-4.360978126525879	-0.64471525	Yes	
row_55	PSMA6	14050	-4.444159984588623	-0.6306122	Yes	
row_56	PSMA5	14177	-5.299609184265137	-0.6210655	Yes	
row_57	NCF1	14293	-6.6493144035339355	-0.60609037	Yes	
row_58	TAPBP	14360	-8.099675178527832	-0.58269584	Yes	
row_59	HLA-C	14388	-9.090926170349121	-0.55316377	Yes	
row_60	B2M	14392	-9.231995582580566	-0.52147496	Yes	
row_61	PSME1	14399	-9.607563972473145	-0.48869717	Yes	
row_62	PSMB10	14405	-10.057558059692383	-0.45429507	Yes	
row_63	HLA-E	14416	-10.86180305480957	-0.417462	Yes	
row_64	HLA-A	14426	-11.94275951385498	-0.37682456	Yes	
row_65	PSME2	14433	-12.886308670043945	-0.33271837	Yes	
row_66	HLA-B	14436	-13.214120864868164	-0.28720137	Yes	
row_67	TAP2	14440	-13.91512680053711	-0.23933186	Yes	
row_68	PSMB8	14444	-15.189004898071289	-0.18706098	Yes	
row_69	HLA-F	14445	-15.441123962402344	-0.13371032	Yes	
row_70	TAP1	14447	-18.984647750854492	-0.06818601	Yes	
row_71	PSMB9	14448	-19.73480987548828	-2.4947622E-7	Yes	
