NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KIF26A	242	12.066479682922363	0.005030331	No	
row_1	CD36	453	7.935004234313965	0.0047777533	No	
row_2	DYNC1I1	522	7.215269088745117	0.013155771	No	
row_3	SEC23A	817	4.878405570983887	0.0014565983	No	
row_4	SEC24D	1308	3.017033338546753	-0.027353672	No	
row_5	ITGB5	1551	2.420285224914551	-0.039888505	No	
row_6	KIFAP3	1650	2.225038766860962	-0.04269766	No	
row_7	KIF3C	1900	1.8538718223571777	-0.05675396	No	
row_8	SEC31A	1902	1.853014349937439	-0.053449735	No	
row_9	AP2A1	1914	1.8431240320205688	-0.050863605	No	
row_10	SPTBN2	1970	1.7770298719406128	-0.051478196	No	
row_11	SEC24A	1976	1.7718565464019775	-0.04860179	No	
row_12	KLC1	2154	1.5823246240615845	-0.058111954	No	
row_13	DYNC1LI2	2262	1.486416220664978	-0.06289618	No	
row_14	DCTN6	2348	1.4027316570281982	-0.0662926	No	
row_15	ACTR1A	2481	1.2681130170822144	-0.073224545	No	
row_16	LNPEP	2548	1.220600962638855	-0.075622454	No	
row_17	KIF3A	2905	0.976911723613739	-0.09876654	No	
row_18	PIKFYVE	3154	0.8334845900535583	-0.1146109	No	
row_19	KLC2	3460	0.6994279026985168	-0.13468984	No	
row_20	AP2A2	3714	0.5972543358802795	-0.15131441	No	
row_21	SNAP23	3852	0.5526071190834045	-0.15989928	No	
row_22	AP1S2	4093	0.4771345555782318	-0.17583247	No	
row_23	CAPZB	4439	0.3851628303527832	-0.199284	No	
row_24	DCTN1	4578	0.34956130385398865	-0.20830864	No	
row_25	KIF3B	4624	0.3367633521556854	-0.21084578	No	
row_26	DCTN4	4950	0.26216500997543335	-0.23312113	No	
row_27	OSBPL1A	4959	0.259507954120636	-0.23320864	No	
row_28	DYNC1H1	5033	0.24146144092082977	-0.23787957	No	
row_29	AP1M1	5188	0.21436257660388947	-0.24827053	No	
row_30	CHUK	5256	0.2010362148284912	-0.252595	No	
row_31	DYNC1I2	5496	0.15660586953163147	-0.26904184	No	
row_32	CLTC	5513	0.15268883109092712	-0.26988393	No	
row_33	CANX	5516	0.15152248740196228	-0.26974803	No	
row_34	KIF2A	5550	0.1443260759115219	-0.2717955	No	
row_35	AP1S3	5567	0.14105084538459778	-0.2726588	No	
row_36	SEC24C	5710	0.12029112130403519	-0.28238094	No	
row_37	DNM2	5745	0.11408266425132751	-0.2845535	No	
row_38	AP2B1	5936	0.08339184522628784	-0.29770324	No	
row_39	PSMC4	5964	0.07910054177045822	-0.29944944	No	
row_40	PSMD1	6094	0.0602547861635685	-0.3083708	No	
row_41	PSMD8	6346	0.02583731897175312	-0.32589585	No	
row_42	SEC24B	6419	0.017691709101200104	-0.33090425	No	
row_43	AP2M1	6445	0.014443227089941502	-0.33262816	No	
row_44	PSME3	6513	0.006371885072439909	-0.33730713	No	
row_45	CTSE	6820	-0.03294616937637329	-0.3586697	No	
row_46	KIF5A	7021	-0.060469016432762146	-0.37256125	No	
row_47	CAPZA2	7075	-0.06847459077835083	-0.37614703	No	
row_48	ACTR10	7139	-0.07665172219276428	-0.38041797	No	
row_49	PSMD5	7823	-0.1835024058818817	-0.42789957	No	
row_50	DCTN2	7957	-0.20345430076122284	-0.4368402	No	
row_51	CD207	8011	-0.21381571888923645	-0.4401613	No	
row_52	CTSD	8076	-0.22450830042362213	-0.44423303	No	
row_53	ITGAV	8248	-0.25625768303871155	-0.45573783	No	
row_54	VAMP3	8394	-0.2786747217178345	-0.4653816	No	
row_55	DYNLL1	8555	-0.30809494853019714	-0.47602192	No	
row_56	AP1G1	8569	-0.31028515100479126	-0.476367	No	
row_57	PSME4	8630	-0.3218410015106201	-0.47998145	No	
row_58	LGMN	8682	-0.33239230513572693	-0.4829466	No	
row_59	DCTN5	8696	-0.33514493703842163	-0.48324645	No	
row_60	ARF1	8854	-0.3687645494937897	-0.49356627	No	
row_61	DYNLL2	9748	-0.5789347290992737	-0.5550296	No	
row_62	CALR	9820	-0.5963165163993835	-0.5589143	No	
row_63	PSMB7	9967	-0.6390256881713867	-0.5679719	No	
row_64	PSMA1	10047	-0.6639228463172913	-0.5722936	No	
row_65	PSMD6	10246	-0.7214846014976501	-0.5848415	No	
row_66	AP2S1	10265	-0.725308895111084	-0.5847809	No	
row_67	PDIA3	10294	-0.7333133220672607	-0.58540577	No	
row_68	PSMD2	10480	-0.7915628552436829	-0.59691596	No	
row_69	PSMB5	10530	-0.8052272796630859	-0.5988801	No	
row_70	PSMA7	10569	-0.8186973333358765	-0.6000496	No	
row_71	AP1M2	10684	-0.85524582862854	-0.6064732	No	
row_72	AP1S1	10746	-0.8730807900428772	-0.6091539	No	
row_73	PSMF1	10856	-0.9080609083175659	-0.6151313	No	
row_74	PSMD12	10962	-0.9431613683700562	-0.62076473	No	
row_75	KIF11	11013	-0.9639227390289307	-0.6225099	No	
row_76	PSMC5	11132	-1.0136111974716187	-0.62892514	No	
row_77	SEC22B	11170	-1.0274815559387207	-0.6296445	No	
row_78	RAB7A	11219	-1.050909161567688	-0.63109124	No	
row_79	PSMD9	11267	-1.0673831701278687	-0.632438	No	
row_80	PSMD3	11565	-1.1999400854110718	-0.6510455	No	
row_81	PSMC1	11657	-1.247478723526001	-0.65514463	No	
row_82	KIF18A	11675	-1.2545686960220337	-0.6540503	No	
row_83	PSMD14	11709	-1.2717888355255127	-0.65404475	No	
row_84	CAPZA1	11750	-1.2925609350204468	-0.65449136	No	
row_85	ACTR1B	11869	-1.3410426378250122	-0.6603104	No	
row_86	SEC13	11879	-1.3454124927520752	-0.65849054	No	
row_87	KIF23	11900	-1.3581784963607788	-0.6574176	No	
row_88	FCGR2B	11942	-1.3730506896972656	-0.6577877	No	
row_89	KIF15	11946	-1.3747029304504395	-0.65549445	No	
row_90	PSMD13	12019	-1.4147871732711792	-0.6579588	No	
row_91	PSMC6	12058	-1.4359736442565918	-0.6580043	No	
row_92	CTSF	12184	-1.508272647857666	-0.66400886	No	
row_93	PSMB2	12223	-1.5287299156188965	-0.6638855	No	
row_94	PSMB1	12242	-1.5452626943588257	-0.66233176	No	
row_95	KIF22	12264	-1.5583165884017944	-0.6609643	No	
row_96	PSMD7	12324	-1.5891876220703125	-0.662201	No	
row_97	PSMB6	12334	-1.5948753356933594	-0.6599269	No	
row_98	NCF2	12386	-1.6323999166488647	-0.66052485	No	
row_99	MFSD6	12387	-1.6324889659881592	-0.6575522	No	
row_100	SAR1B	12432	-1.6618059873580933	-0.6576065	No	
row_101	PSMA2	12773	-1.9078078269958496	-0.6779353	No	
row_102	PSMD10	12782	-1.923203945159912	-0.67499334	No	
row_103	PSMC3	12793	-1.9322112798690796	-0.672175	No	
row_104	RILP	12809	-1.9504907131195068	-0.6696734	No	
row_105	PSMA4	12844	-1.9759408235549927	-0.6684556	No	
row_106	DYNC1LI1	12846	-1.979539155960083	-0.664921	No	
row_107	PSMD11	12886	-2.0127248764038086	-0.66398627	No	
row_108	CLTA	12943	-2.0677318572998047	-0.6641415	No	
row_109	CENPE	13097	-2.2360942363739014	-0.670781	No	
row_110	HLA-G	13225	-2.3968968391418457	-0.67530745	No	
row_111	PSMB3	13289	-2.4874095916748047	-0.67518854	No	
row_112	KIF2C	13380	-2.617629289627075	-0.67672276	No	
row_113	PSMC2	13486	-2.807462453842163	-0.6789614	Yes	
row_114	AP1B1	13487	-2.8089802265167236	-0.6738464	Yes	
row_115	CLEC4A	13495	-2.82265567779541	-0.6691966	Yes	
row_116	DCTN3	13496	-2.8231360912323	-0.6640558	Yes	
row_117	PSMA3	13519	-2.8673086166381836	-0.66037476	Yes	
row_118	RACGAP1	13571	-2.9481260776519775	-0.65857685	Yes	
row_119	PSMB4	13646	-3.1124861240386963	-0.6580898	Yes	
row_120	IKBKG	13703	-3.244804859161377	-0.6561017	Yes	
row_121	IKBKB	13711	-3.260453462600708	-0.6506546	Yes	
row_122	PSMD4	13717	-3.2720346450805664	-0.6450465	Yes	
row_123	KIF4A	13733	-3.31146502494812	-0.6400666	Yes	
row_124	HLA-DQB1	13754	-3.3590784072875977	-0.6353501	Yes	
row_125	NCF4	13791	-3.46160626411438	-0.63156706	Yes	
row_126	HLA-DQA1	13817	-3.5312001705169678	-0.62688714	Yes	
row_127	FCGR1B	13906	-3.8700389862060547	-0.62600076	Yes	
row_128	CYBB	13918	-3.9064149856567383	-0.6196575	Yes	
row_129	FCGR1A	13952	-4.055443286895752	-0.614583	Yes	
row_130	VAMP8	13993	-4.197068214416504	-0.60974073	Yes	
row_131	HLA-DQB2	14016	-4.28115177154541	-0.6034852	Yes	
row_132	CYBA	14031	-4.360978126525879	-0.59652424	Yes	
row_133	PSMA6	14050	-4.444159984588623	-0.5896918	Yes	
row_134	FCER1G	14169	-5.264060020446777	-0.5883673	Yes	
row_135	PSMA5	14177	-5.299609184265137	-0.57920706	Yes	
row_136	HLA-DQA2	14182	-5.330422401428223	-0.5697807	Yes	
row_137	HLA-DRB5	14233	-5.8672990798950195	-0.5625971	Yes	
row_138	NCF1	14293	-6.6493144035339355	-0.55461955	Yes	
row_139	HLA-DOA	14352	-7.834148406982422	-0.5444145	Yes	
row_140	TAPBP	14360	-8.099675178527832	-0.53015554	Yes	
row_141	HLA-DMB	14377	-8.448480606079102	-0.5158915	Yes	
row_142	HLA-C	14388	-9.090926170349121	-0.5000375	Yes	
row_143	B2M	14392	-9.231995582580566	-0.4834366	Yes	
row_144	PSME1	14399	-9.607563972473145	-0.46636182	Yes	
row_145	CTSS	14402	-9.794575691223145	-0.44866648	Yes	
row_146	PSMB10	14405	-10.057558059692383	-0.43049228	Yes	
row_147	HLA-DRB1	14409	-10.455623626708984	-0.4116632	Yes	
row_148	HLA-DPB1	14413	-10.686492919921875	-0.39241377	Yes	
row_149	HLA-DOB	14414	-10.751447677612305	-0.372836	Yes	
row_150	HLA-E	14416	-10.86180305480957	-0.35312727	Yes	
row_151	CD74	14418	-11.080154418945312	-0.33302096	Yes	
row_152	HLA-DRA	14422	-11.386918067932129	-0.31249607	Yes	
row_153	HLA-A	14426	-11.94275951385498	-0.290959	Yes	
row_154	IFI30	14428	-12.170169830322266	-0.26886785	Yes	
row_155	LAG3	14430	-12.344913482666016	-0.24645847	Yes	
row_156	PSME2	14433	-12.886308670043945	-0.22313327	Yes	
row_157	HLA-DMA	14434	-12.909936904907227	-0.19962502	Yes	
row_158	HLA-B	14436	-13.214120864868164	-0.17563288	Yes	
row_159	HLA-DPA1	14437	-13.417485237121582	-0.1512004	Yes	
row_160	TAP2	14440	-13.91512680053711	-0.12600178	Yes	
row_161	PSMB8	14444	-15.189004898071289	-0.0985535	Yes	
row_162	HLA-F	14445	-15.441123962402344	-0.070436105	Yes	
row_163	TAP1	14447	-18.984647750854492	-0.035936162	Yes	
row_164	PSMB9	14448	-19.73480987548828	-2.0920834E-7	Yes	
