NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KIF26A	242	12.066479682922363	0.0041782707	No	
row_1	CD36	453	7.935004234313965	0.0033621269	No	
row_2	DYNC1I1	522	7.215269088745117	0.011235539	No	
row_3	SEC23A	817	4.878405570983887	-8.206287E-4	No	
row_4	CD209	1062	3.827101707458496	-0.011214659	No	
row_5	SEC24D	1308	3.017033338546753	-0.023097683	No	
row_6	ITGB5	1551	2.420285224914551	-0.03581576	No	
row_7	KIFAP3	1650	2.225038766860962	-0.03878544	No	
row_8	KIF3C	1900	1.8538718223571777	-0.052986152	No	
row_9	SEC31A	1902	1.853014349937439	-0.04981047	No	
row_10	AP2A1	1914	1.8431240320205688	-0.047352836	No	
row_11	SPTBN2	1970	1.7770298719406128	-0.048094146	No	
row_12	SEC24A	1976	1.7718565464019775	-0.04534091	No	
row_13	KLC1	2154	1.5823246240615845	-0.05497207	No	
row_14	DYNC1LI2	2262	1.486416220664978	-0.05986618	No	
row_15	DCTN6	2348	1.4027316570281982	-0.06336527	No	
row_16	ACTR1A	2481	1.2681130170822144	-0.07039357	No	
row_17	LNPEP	2548	1.220600962638855	-0.07288032	No	
row_18	KIF3A	2905	0.976911723613739	-0.096114844	No	
row_19	PIKFYVE	3154	0.8334845900535583	-0.11203281	No	
row_20	KLC2	3460	0.6994279026985168	-0.13217969	No	
row_21	AP2A2	3714	0.5972543358802795	-0.1488618	No	
row_22	SNAP23	3852	0.5526071190834045	-0.15749374	No	
row_23	AP1S2	4093	0.4771345555782318	-0.17347531	No	
row_24	CAPZB	4439	0.3851628303527832	-0.19697554	No	
row_25	DCTN1	4578	0.34956130385398865	-0.20603321	No	
row_26	KIF3B	4624	0.3367633521556854	-0.20859659	No	
row_27	DCTN4	4950	0.26216500997543335	-0.23091084	No	
row_28	OSBPL1A	4959	0.259507954120636	-0.23101686	No	
row_29	DYNC1H1	5033	0.24146144092082977	-0.23570918	No	
row_30	AP1M1	5188	0.21436257660388947	-0.2461248	No	
row_31	CHUK	5256	0.2010362148284912	-0.2504675	No	
row_32	DYNC1I2	5496	0.15660586953163147	-0.26694044	No	
row_33	CLTC	5513	0.15268883109092712	-0.26779416	No	
row_34	CANX	5516	0.15152248740196228	-0.26766887	No	
row_35	KIF2A	5550	0.1443260759115219	-0.26972845	No	
row_36	AP1S3	5567	0.14105084538459778	-0.27060255	No	
row_37	SEC24C	5710	0.12029112130403519	-0.2803421	No	
row_38	DNM2	5745	0.11408266425132751	-0.28252473	No	
row_39	AP2B1	5936	0.08339184522628784	-0.29569238	No	
row_40	PSMC4	5964	0.07910054177045822	-0.29744577	No	
row_41	ERAP2	6063	0.06312183290719986	-0.3042023	No	
row_42	PSMD1	6094	0.0602547861635685	-0.3061989	No	
row_43	IDE	6103	0.05902351811528206	-0.3066561	No	
row_44	PSMD8	6346	0.02583731897175312	-0.32356828	No	
row_45	SEC24B	6419	0.017691709101200104	-0.3285825	No	
row_46	AP2M1	6445	0.014443227089941502	-0.330309	No	
row_47	PSME3	6513	0.006371885072439909	-0.33499268	No	
row_48	CTSE	6820	-0.03294616937637329	-0.35637707	No	
row_49	KIF5A	7021	-0.060469016432762146	-0.37028557	No	
row_50	CAPZA2	7075	-0.06847459077835083	-0.37387946	No	
