NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FYN	588	6.646760940551758	-0.028424654	No	
row_1	BCAR1	625	6.321765899658203	-0.018825043	No	
row_2	CD276	688	5.784204483032227	-0.012076393	No	
row_3	THY1	702	5.6613922119140625	-0.0021325457	No	
row_4	PLCG1	823	4.848696708679199	-0.001238222	No	
row_5	PDE4D	976	4.153346061706543	-0.00391745	No	
row_6	PLEKHA1	1272	3.1079559326171875	-0.018612802	No	
row_7	BTRC	1494	2.522737741470337	-0.029249148	No	
row_8	PIK3R1	2110	1.625884771347046	-0.06919018	No	
row_9	GATA3	2125	1.6107025146484375	-0.06708233	No	
row_10	WNK1	2186	1.5555334091186523	-0.06830086	No	
row_11	SPPL3	2300	1.4487138986587524	-0.07343489	No	
row_12	FBXW11	2321	1.4229439496994019	-0.07210709	No	
row_13	MALT1	2359	1.3917737007141113	-0.07202927	No	
row_14	CD28	2415	1.3340281248092651	-0.07332241	No	
row_15	TAB2	2596	1.1797446012496948	-0.083662994	No	
row_16	PDPK1	2619	1.1685923337936401	-0.08296286	No	
row_17	MAP3K7	2887	0.9853944182395935	-0.099767216	No	
row_18	CARD11	3056	0.8869811296463013	-0.109828934	No	
row_19	PAK2	3427	0.7095584273338318	-0.13437349	No	
row_20	MEF2C	4140	0.46004146337509155	-0.18334097	No	
row_21	RC3H2	4374	0.40089431405067444	-0.19888547	No	
row_22	RFTN1	4432	0.3870040774345398	-0.20213427	No	
row_23	RC3H1	4449	0.3802337646484375	-0.2025255	No	
row_24	NFATC2	4692	0.31832003593444824	-0.21885844	No	
row_25	TNFRSF21	5010	0.24630989134311676	-0.24058042	No	
row_26	CHUK	5256	0.2010362148284912	-0.25734827	No	
row_27	ERMAP	5357	0.1810753494501114	-0.2640024	No	
row_28	PIK3R2	5438	0.16635648906230927	-0.26928455	No	
row_29	PSMC4	5964	0.07910054177045822	-0.30588987	No	
row_30	PAG1	6092	0.06044890731573105	-0.31466568	No	
row_31	PSMD1	6094	0.0602547861635685	-0.31462017	No	
row_32	SKP1	6219	0.04126337170600891	-0.32322273	No	
row_33	PSMD8	6346	0.02583731897175312	-0.33199486	No	
row_34	PSME3	6513	0.006371885072439909	-0.34360483	No	
row_35	KHDRBS1	6533	-1.0706199827836826E-4	-0.34493488	No	
row_36	PTPRJ	6616	-0.007670059334486723	-0.35066128	No	
row_37	TRAF6	6665	-0.013218794018030167	-0.35399657	No	
row_38	BTNL9	7192	-0.08406715095043182	-0.3906624	No	
row_39	TXK	7217	-0.08703672885894775	-0.39217585	No	
row_40	NFKBIZ	7264	-0.09314696490764618	-0.3952179	No	
row_41	PSMD5	7823	-0.1835024058818817	-0.4339335	No	
row_42	PRKD2	7945	-0.20159471035003662	-0.4420186	No	
row_43	PSME4	8630	-0.3218410015106201	-0.48929068	No	
row_44	EIF2B4	8777	-0.3508118987083435	-0.49884003	No	
row_45	EIF2B1	8779	-0.35128307342529297	-0.49823657	No	
row_46	PLCG2	9090	-0.4154873490333557	-0.5191441	No	
