NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PCOLCE	11	25.173608779907227	0.05890417	Yes	
row_1	LOXL2	12	24.757633209228516	0.11758621	Yes	
row_2	COL5A1	25	22.42133903503418	0.16989735	Yes	
row_3	COL6A2	30	21.51334571838379	0.22061183	Yes	
row_4	COL1A1	33	20.66266441345215	0.26944885	Yes	
row_5	COL1A2	37	20.572275161743164	0.31800216	Yes	
row_6	COL3A1	42	20.34913444519043	0.36595717	Yes	
row_7	COL6A3	43	20.324020385742188	0.4141304	Yes	
row_8	COL8A1	46	20.25307846069336	0.4619966	Yes	
row_9	COL5A2	62	18.91791534423828	0.50579536	Yes	
row_10	LOXL1	66	18.645662307739258	0.5497821	Yes	
row_11	COL6A1	91	17.453189849853516	0.58948416	Yes	
row_12	LOX	160	14.456610679626465	0.6190282	Yes	
row_13	COL10A1	179	14.053779602050781	0.65108943	Yes	
row_14	COL11A1	263	11.540878295898438	0.6726808	Yes	
row_15	COL5A3	294	10.875879287719727	0.6963763	Yes	
row_16	COL9A3	313	10.296281814575195	0.71953124	Yes	
row_17	COL4A2	330	9.8615083694458	0.7417946	Yes	
row_18	BMP1	338	9.721917152404785	0.76435196	Yes	
row_19	COL4A1	362	9.367005348205566	0.7849571	Yes	
row_20	COL8A2	473	7.728960037231445	0.7956384	Yes	
row_21	PXDN	546	6.95456075668335	0.8071228	Yes	
row_22	COL4A5	639	6.217471122741699	0.8154714	Yes	
row_23	COL15A1	663	5.973138332366943	0.8280322	Yes	
row_24	PLEC	683	5.842912197113037	0.8405621	Yes	
row_25	COL7A1	740	5.3383402824401855	0.8493267	Yes	
row_26	COL6A6	994	4.087071895599365	0.8414459	Yes	
row_27	COL27A1	1002	4.047438621520996	0.85055333	Yes	
row_28	MMP13	1100	3.6831037998199463	0.8525476	Yes	
row_29	COL18A1	1123	3.6138134002685547	0.8595856	Yes	
row_30	LOXL3	1409	2.732421398162842	0.8462719	No	
row_31	ITGB4	1664	2.2057743072509766	0.8338625	No	
row_32	LAMC2	1743	2.095118284225464	0.8334122	No	
row_33	TLL1	2301	1.4484643936157227	0.7981675	No	
row_34	MMP7	2534	1.2314244508743286	0.7849763	No	
row_35	COL9A2	3065	0.8837475776672363	0.75026804	No	
row_36	LOXL4	3647	0.6220961213111877	0.7113981	No	
row_37	COL24A1	3969	0.5178328156471252	0.69033545	No	
row_38	CD151	5505	0.15435397624969482	0.58411145	No	
row_39	LAMB3	5600	0.1360493153333664	0.5779066	No	
row_40	MMP9	8138	-0.2366834133863449	0.40229928	No	
row_41	LAMA3	8245	-0.25574278831481934	0.39554486	No	
row_42	COL4A4	9957	-0.6347981691360474	0.27823833	No	
row_43	CTSB	10892	-0.9199786186218262	0.2155623	No	
row_44	COL11A2	11095	-0.9959226846694946	0.20389609	No	
row_45	ITGA6	11191	-1.0327836275100708	0.1997473	No	
row_46	COL9A1	11748	-1.292286992073059	0.16420192	No	
row_47	CTSS	14402	-9.794575691223145	0.0031942944	No	
