NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FBN1	10	25.526628494262695	0.09202486	Yes	
row_1	LAMB1	13	24.623184204101562	0.1813233	Yes	
row_2	FN1	17	23.975631713867188	0.26820028	Yes	
row_3	PDGFRB	21	22.995521545410156	0.35151726	Yes	
row_4	COL1A1	33	20.66266441345215	0.4258057	Yes	
row_5	COL1A2	37	20.572275161743164	0.50032085	Yes	
row_6	THBS1	96	17.353012084960938	0.5593267	Yes	
row_7	CYR61	169	14.157840728759766	0.60575545	Yes	
row_8	EDIL3	252	11.802762031555176	0.64293617	Yes	
row_9	COL4A1	362	9.367005348205566	0.6693962	Yes	
row_10	COL4A6	368	9.177064895629883	0.7023825	Yes	
row_11	PLAU	374	9.032462120056152	0.7348436	Yes	
row_12	SDC1	409	8.50437068939209	0.7633744	Yes	
row_13	TGFBR2	452	7.944069862365723	0.78931487	Yes	
row_14	COL4A5	639	6.217471122741699	0.7989923	Yes	
row_15	TGFBI	647	6.1078267097473145	0.82069165	Yes	
row_16	THY1	702	5.6613922119140625	0.83750826	Yes	
row_17	KDR	805	4.917370319366455	0.8482919	Yes	
row_18	LAMA4	936	4.362369060516357	0.8551168	Yes	
row_19	SPHK1	970	4.192826271057129	0.86805636	Yes	
row_20	LAMC1	1254	3.1800551414489746	0.8599706	No	
row_21	TNC	1649	2.225175619125366	0.8407147	No	
row_22	PDGFB	1997	1.7411961555480957	0.8229619	No	
row_23	ITGB3	2527	1.234256386756897	0.79073954	No	
row_24	PVR	3079	0.8769811391830444	0.7556929	No	
row_25	PLAUR	3165	0.8284040093421936	0.752804	No	
row_26	L1CAM	3331	0.7499510049819946	0.7440792	No	
row_27	HMGB1	5229	0.20490314066410065	0.613197	No	
row_28	SPP1	6457	0.012563547119498253	0.52810526	No	
row_29	VEGFA	7056	-0.06494145840406418	0.48684797	No	
row_30	ITGAV	8248	-0.25625768303871155	0.40513927	No	
row_31	F11R	9749	-0.5792091488838196	0.30316317	No	
row_32	COL4A4	9957	-0.6347981691360474	0.29110587	No	
row_33	IBSP	10787	-0.8865201473236084	0.23680441	No	
row_34	SDC4	11836	-1.3254238367080688	0.16890147	No	
row_35	CD47	12168	-1.501860499382019	0.15138961	No	
row_36	ITGA2B	12701	-1.8562893867492676	0.12121841	No	
