NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ANGPTL2	8	25.978967666625977	0.03291803	Yes	
row_1	LOXL2	12	24.757633209228516	0.0646128	Yes	
row_2	PDGFRB	21	22.995521545410156	0.09368606	Yes	
row_3	BMP4	77	18.167383193969727	0.1132409	Yes	
row_4	THBS1	96	17.353012084960938	0.13434128	Yes	
row_5	LRP1	105	16.841394424438477	0.15548372	Yes	
row_6	JAM3	111	16.308778762817383	0.17615017	Yes	
row_7	ANGPT1	143	15.346112251281738	0.19375251	Yes	
row_8	ITGA5	155	14.718770027160645	0.21194911	Yes	
row_9	LOX	160	14.456610679626465	0.2302988	Yes	
row_10	SLIT2	165	14.370489120483398	0.24853753	Yes	
row_11	PDGFRA	180	14.019908905029297	0.2656231	Yes	
row_12	SFRP2	200	13.384391784667969	0.28153896	Yes	
row_13	ANGPTL1	206	13.086382865905762	0.29805273	Yes	
row_14	ADAMTS9	246	11.90737533569336	0.31066248	Yes	
row_15	HEY1	281	11.171606063842773	0.3226747	Yes	
row_16	SERPINE1	282	11.147075653076172	0.33703995	Yes	
row_17	RECK	290	11.003008842468262	0.35072857	Yes	
row_18	PLXDC1	309	10.431793212890625	0.3629096	Yes	
row_19	PKD2	331	9.834994316101074	0.3741111	Yes	
row_20	ROBO4	336	9.733255386352539	0.38637382	Yes	
row_21	PGF	342	9.681392669677734	0.39849955	Yes	
row_22	NOG	354	9.486289024353027	0.40995303	Yes	
row_23	COL4A1	362	9.367005348205566	0.42153335	Yes	
row_24	FOXF1	370	9.152194023132324	0.43283683	Yes	
row_25	HOXA1	386	8.854625701904297	0.44319576	Yes	
row_26	SCG2	390	8.825014114379883	0.45435816	Yes	
row_27	TEK	400	8.684913635253906	0.46491918	Yes	
row_28	EGR3	407	8.511725425720215	0.47546744	Yes	
row_29	VEGFC	410	8.488037109375	0.48626572	Yes	
row_30	TGFBR2	452	7.944069862365723	0.49362767	Yes	
row_31	TCF21	469	7.794428825378418	0.5025502	Yes	
row_32	AMOTL1	477	7.695235729217529	0.51197606	Yes	
row_33	EGFL7	500	7.428494930267334	0.5200062	Yes	
row_34	APLNR	514	7.294486045837402	0.52849483	Yes	
row_35	HAS2	532	7.088629245758057	0.53643763	Yes	
row_36	CYP1B1	553	6.923994541168213	0.5439579	Yes	
row_37	GREM1	566	6.826627731323242	0.55191374	Yes	
row_38	S1PR1	599	6.544327735900879	0.5581031	Yes	
row_39	NR4A1	603	6.522294044494629	0.56629795	Yes	
row_40	TIE1	604	6.522089958190918	0.574703	Yes	
row_41	APOD	640	6.198402404785156	0.5802361	Yes	
row_42	TGFBI	647	6.1078267097473145	0.5876864	Yes	
row_43	CAV1	649	6.100245475769043	0.5954777	Yes	
row_44	NRP2	651	6.090498447418213	0.6032564	Yes	
row_45	COL15A1	663	5.973138332366943	0.61018246	Yes	
row_46	SEMA5A	681	5.863943576812744	0.61654705	Yes	
row_47	AMOTL2	696	5.7394022941589355	0.6229615	Yes	
row_48	THY1	702	5.6613922119140625	0.62990665	Yes	
row_49	SOX4	719	5.483222484588623	0.6358507	Yes	
row_50	PTPRB	722	5.447905540466309	0.64273113	Yes	
row_51	SPRED1	746	5.298579216003418	0.6479463	Yes	
row_52	KDR	805	4.917370319366455	0.65021545	Yes	
row_53	CD34	815	4.892679691314697	0.6558894	Yes	
row_54	CALCRL	824	4.842321395874023	0.66156864	Yes	
row_55	FLT4	834	4.8167548179626465	0.6671448	Yes	
row_56	NRCAM	926	4.410073757171631	0.6664457	Yes	
row_57	HOXA3	989	4.1054463386535645	0.6673879	Yes	
row_58	CDH2	1041	3.9191412925720215	0.66886157	Yes	
row_59	RAMP2	1042	3.918057680130005	0.6739108	Yes	
row_60	LAMA1	1074	3.7882087230682373	0.6766184	Yes	
row_61	DLL1	1076	3.7791783809661865	0.68141854	Yes	
row_62	CDH13	1077	3.7728755474090576	0.6862806	Yes	
row_63	STRA6	1080	3.7623941898345947	0.69098896	Yes	
row_64	COL18A1	1123	3.6138134002685547	0.6927004	Yes	
row_65	PLXND1	1149	3.5188846588134766	0.6954817	Yes	
row_66	RASA1	1153	3.4979248046875	0.6997791	Yes	
row_67	AMOT	1164	3.475332260131836	0.7035564	Yes	
row_68	BMPR2	1168	3.463061809539795	0.70780885	Yes	
row_69	ENG	1181	3.400071620941162	0.7113489	Yes	
row_70	ANXA2	1195	3.365467071533203	0.7147742	Yes	
row_71	EPHB4	1197	3.363093137741089	0.7190381	Yes	
row_72	LEPR	1213	3.3366010189056396	0.7222859	Yes	
row_73	DLL4	1280	3.1007609367370605	0.7216529	Yes	
row_74	FLT1	1287	3.088292121887207	0.725212	Yes	
row_75	FGF2	1291	3.0695860385894775	0.72895736	Yes	
row_76	ACVRL1	1300	3.0399980545043945	0.73231393	Yes	
row_77	RBPJ	1314	3.008754253387451	0.7352795	Yes	
row_78	NRP1	1315	3.007749319076538	0.7391556	Yes	
row_79	EPHB2	1368	2.8452913761138916	0.73917526	Yes	
row_80	VASH1	1378	2.803741931915283	0.7421572	Yes	
row_81	MCAM	1390	2.7770297527313232	0.7449645	Yes	
row_82	CTNNB1	1414	2.7234020233154297	0.74686104	Yes	
row_83	SMAD7	1426	2.689767599105835	0.7495558	Yes	
row_84	LRP5	1427	2.685743808746338	0.75301695	Yes	
row_85	NOTCH4	1495	2.5225980281829834	0.7515687	Yes	
row_86	ROBO1	1518	2.4705255031585693	0.7532095	Yes	
row_87	BMPR1A	1542	2.436174154281616	0.7547358	Yes	
row_88	RORA	1575	2.381895065307617	0.75556105	Yes	
row_89	CLIC4	1685	2.1759207248687744	0.7507203	Yes	
row_90	TGFBR1	1718	2.1343696117401123	0.75122654	Yes	
row_91	ENPEP	1730	2.112375497817993	0.7531773	Yes	
row_92	TGFB2	1741	2.09977650642395	0.7551819	Yes	
row_93	APOLD1	1768	2.0492911338806152	0.75599927	Yes	
row_94	GATA2	1777	2.040034532546997	0.7580672	Yes	
row_95	EPHB3	1810	1.9989080429077148	0.75839883	Yes	
row_96	MYLK	1849	1.9361891746520996	0.75822884	Yes	
row_97	PTK2	1867	1.9029827117919922	0.7594889	Yes	
row_98	TBX2	1934	1.8154549598693848	0.75719947	Yes	
row_99	ACTG1	1941	1.8034557104110718	0.75910276	Yes	
row_100	ID1	1995	1.7446303367614746	0.75763386	Yes	
row_101	EFNB2	2006	1.7352217435836792	0.7591687	Yes	
row_102	WNT7B	2007	1.7342469692230225	0.7614036	Yes	
row_103	NOV	2050	1.6956250667572021	0.76064306	No	
row_104	GJA5	2141	1.5984792709350586	0.75639075	No	
row_105	HES1	2148	1.5887129306793213	0.7580173	No	
row_106	PDGFA	2150	1.5869345664978027	0.7599923	No	
row_107	ANGPT2	2230	1.5199048519134521	0.75641024	No	
row_108	RAMP3	2269	1.4799760580062866	0.7556523	No	
row_109	GAB1	2454	1.3022243976593018	0.7444254	No	
row_110	ITGB3	2527	1.234256386756897	0.74096626	No	
row_111	HOXA7	2549	1.2165484428405762	0.74106115	No	
row_112	ADM	2563	1.204284906387329	0.74170136	No	
row_113	NOTCH1	2610	1.1731107234954834	0.7399869	No	
row_114	SRF	2671	1.1318045854568481	0.7372373	No	
row_115	MYH9	2940	0.957253098487854	0.7196744	No	
row_116	TGFB1	2996	0.925176739692688	0.7170092	No	
row_117	NF1	3060	0.8844698071479797	0.71373045	No	
row_118	MED1	3099	0.8643944263458252	0.71217924	No	
row_119	SIRT1	3778	0.5750670433044434	0.6653681	No	
row_120	ACVR1	3878	0.5457464456558228	0.6591279	No	
row_121	JAG1	3973	0.5169901251792908	0.65320134	No	
row_122	NRARP	4188	0.4475051462650299	0.6387689	No	
row_123	ESM1	4391	0.3970465362071991	0.6251131	No	
row_124	ANG	5208	0.2083314061164856	0.5681506	No	
row_125	ADIPOR2	5287	0.1942112296819687	0.5629302	No	
row_126	NCL	5337	0.18471814692020416	0.5597316	No	
row_127	SLC12A6	5368	0.1798914223909378	0.55785936	No	
row_128	ITGB8	5421	0.17082789540290833	0.55443245	No	
row_129	SRPK2	5537	0.14691410958766937	0.5465561	No	
row_130	IL18	5561	0.1421108841896057	0.54512614	No	
row_131	AGGF1	6149	0.0511690191924572	0.5040222	No	
row_132	PKNOX1	6507	0.007196490187197924	0.4789929	No	
row_133	EIF2AK3	6529	0.0020977312233299017	0.47752276	No	
row_134	HOXB3	6614	-0.007428781595081091	0.47164088	No	
row_135	VEGFB	6809	-0.03182798624038696	0.45807552	No	
row_136	CUL7	6834	-0.034113168716430664	0.45643622	No	
row_137	MIA3	6965	-0.05148966237902641	0.44738486	No	
row_138	VEGFA	7056	-0.06494145840406418	0.44115633	No	
row_139	MEIS1	7141	-0.07683761417865753	0.43536392	No	
row_140	LRP2	7165	-0.08015483617782593	0.43385407	No	
row_141	AKT1	7248	-0.09069635719060898	0.4282198	No	
row_142	EPHB1	7393	-0.11256543546915054	0.41826528	No	
row_143	FGFR2	7410	-0.11447081714868546	0.4172906	No	
row_144	ITGB1BP1	7550	-0.13933482766151428	0.40772125	No	
row_145	C1GALT1	7611	-0.148837611079216	0.4037049	No	
row_146	SLC1A1	7769	-0.17688779532909393	0.3929215	No	
row_147	YJEFN3	8162	-0.2413242906332016	0.36573917	No	
row_148	COL22A1	8192	-0.24674451351165771	0.36402318	No	
row_149	ADM2	8196	-0.24742314219474792	0.36413163	No	
row_150	ITGAV	8248	-0.25625768303871155	0.36088493	No	
row_151	HMOX1	8400	-0.27956703305244446	0.35065466	No	
row_152	GPLD1	8495	-0.2974657118320465	0.34444523	No	
row_153	RAMP1	8551	-0.3072468340396881	0.3409837	No	
row_154	PTK2B	8575	-0.31115344166755676	0.33977154	No	
row_155	GLMN	8783	-0.3518839180469513	0.32570684	No	
row_156	TNNI3	8842	-0.364996999502182	0.32210934	No	
row_157	TGFBR3	9098	-0.41725584864616394	0.30476236	No	
row_158	SERPINF2	9198	-0.4374798834323883	0.29838267	No	
row_159	JMJD6	9485	-0.5130888819694519	0.27898496	No	
row_160	CCM2	9585	-0.5386559367179871	0.27273566	No	
row_161	PRCP	9885	-0.6118443012237549	0.25255346	No	
row_162	LRP5L	10276	-0.7274386882781982	0.22613785	No	
row_163	CCL2	10458	-0.7849248051643372	0.21445476	No	
row_164	SOX18	10574	-0.8196914792060852	0.20744544	No	
row_165	RASIP1	10716	-0.861950695514679	0.19866706	No	
row_166	SOX17	10726	-0.8672552108764648	0.19915347	No	
row_167	APOA1BP	10744	-0.8725994229316711	0.19908568	No	
row_168	ATP5B	10959	-0.9407681226730347	0.18528892	No	
row_169	HEY2	11113	-1.0024511814117432	0.17584997	No	
row_170	RSPO3	11178	-1.0299078226089478	0.1726885	No	
row_171	PIK3R3	11396	-1.118149757385254	0.15890995	No	
row_172	PRKX	11660	-1.2487940788269043	0.14207348	No	
row_173	FOLR1	11700	-1.265782356262207	0.14096938	No	
row_174	SEMA3E	11706	-1.2685508728027344	0.14225349	No	
row_175	AAMP	11722	-1.2798196077346802	0.14285076	No	
row_176	PDCL3	11933	-1.3710051774978638	0.129889	No	
row_177	HPGD	11993	-1.4016441106796265	0.12755726	No	
row_178	ADAM8	12174	-1.5030977725982666	0.116869815	No	
row_179	SAT1	12425	-1.658809781074524	0.10147351	No	
row_180	WT1	12541	-1.7442907094955444	0.09565573	No	
row_181	SYK	12583	-1.7713642120361328	0.09506291	No	
row_182	ATPIF1	12714	-1.867411732673645	0.088351764	No	
row_183	E2F7	12783	-1.9240953922271729	0.08606209	No	
row_184	FOXM1	12887	-2.0129430294036865	0.081432156	No	
row_185	ERAP1	13294	-2.5008485317230225	0.056179762	No	
row_186	XBP1	13645	-3.110616683959961	0.035640795	No	
row_187	RNF213	13693	-3.2324979305267334	0.036510125	No	
row_188	CEACAM1	13938	-3.9886157512664795	0.024537057	No	
row_189	E2F8	13941	-4.010010719299316	0.029564489	No	
row_190	HPSE	14073	-4.597389221191406	0.026301324	No	
