NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCL14	271	11.297701835632324	0.005028997	No	
row_1	DAPK1	534	7.063782215118408	0.0017204724	No	
row_2	VCAM1	721	5.461398124694824	3.174201E-4	No	
row_3	CCL21	887	4.565369606018066	-0.0015188686	No	
row_4	DAPK3	946	4.2870378494262695	0.003515064	No	
row_5	WNT5A	1047	3.8986196517944336	0.0047985003	No	
row_6	CCL18	1516	2.472688913345337	-0.022592677	No	
row_7	TRIM62	1846	1.9384353160858154	-0.041424625	No	
row_8	CCL22	1917	1.8376085758209229	-0.042413738	No	
row_9	MID1	2002	1.7381811141967773	-0.044589393	No	
row_10	NCAM1	2078	1.663645625114441	-0.046295434	No	
row_11	CAMK2G	2681	1.1214447021484375	-0.08588964	No	
row_12	CCL11	2697	1.11477792263031	-0.08457493	No	
row_13	RPL13A	3459	0.7002991437911987	-0.13614565	No	
row_14	TRIM8	3474	0.6932438611984253	-0.13565378	No	
row_15	ICAM1	3911	0.533552885055542	-0.16492002	No	
row_16	CAMK2D	4623	0.3369470238685608	-0.21377432	No	
row_17	GAPDH	5354	0.18217478692531586	-0.26428095	No	
row_18	CCL13	5407	0.17223481833934784	-0.26754147	No	
row_19	SIRPA	6164	0.049480460584163666	-0.32014164	No	
row_20	CCL19	6227	0.039364274591207504	-0.32438067	No	
row_21	IFNGR1	6789	-0.03011217527091503	-0.36342734	No	
row_22	SYNCRIP	6962	-0.05115779861807823	-0.3753101	No	
row_23	PDE12	7137	-0.07627299427986145	-0.3872791	No	
row_24	TRIM68	7332	-0.10445147007703781	-0.40058276	No	
row_25	CAMK2B	7473	-0.12382158637046814	-0.41008076	No	
row_26	JAK1	8070	-0.2236177921295166	-0.45115775	No	
row_27	MT2A	8594	-0.3144342601299286	-0.4869532	No	
row_28	IRF3	8652	-0.3266022205352783	-0.49023542	No	
row_29	EPRS	9027	-0.40014806389808655	-0.51546174	No	
row_30	CCL3L1	9270	-0.4573999047279358	-0.53136444	No	
row_31	CCL7	9742	-0.5772596597671509	-0.56297815	No	
row_32	CD44	9796	-0.5900131464004517	-0.5654238	No	
row_33	TLR4	10094	-0.6766113638877869	-0.58469665	No	
row_34	CCL2	10458	-0.7849248051643372	-0.6083414	No	
row_35	CCL3	10460	-0.7852380871772766	-0.6067484	No	
row_36	CD58	10936	-0.9328830242156982	-0.637888	No	
row_37	TRIM25	11298	-1.0766905546188354	-0.66077554	No	
row_38	SLC26A6	11334	-1.0888837575912476	-0.66090995	No	
row_39	CX3CL1	11583	-1.2099815607070923	-0.67563736	No	
row_40	PRKCD	11979	-1.3930020332336426	-0.7002255	No	
row_41	CD47	12168	-1.501860499382019	-0.7101519	No	
row_42	PML	12210	-1.5224456787109375	-0.7097866	No	
row_43	TRIM5	12306	-1.579660415649414	-0.7130648	No	
row_44	TRIM34	12597	-1.7812204360961914	-0.7295107	No	
row_45	IFNGR2	12811	-1.951886773109436	-0.7402272	No	
row_46	IRF6	12819	-1.9561265707015991	-0.7365733	No	
row_47	GBP3	12826	-1.9624744653701782	-0.7328362	No	
row_48	PTAFR	13002	-2.1338062286376953	-0.7405183	No	
row_49	CCL4L2	13011	-2.14742112159729	-0.736529	No	
row_50	HCK	13095	-2.2355093955993652	-0.7375819	No	
row_51	XCL1	13189	-2.354618549346924	-0.7390798	No	
row_52	HLA-G	13225	-2.3968968391418457	-0.7364446	No	
row_53	AIF1	13409	-2.681912899017334	-0.7435238	No	
row_54	TLR2	13682	-3.216707944869995	-0.7556753	Yes	
row_55	HLA-DQB1	13754	-3.3590784072875977	-0.75351256	Yes	
row_56	CCL20	13778	-3.4317166805267334	-0.74784964	Yes	
row_57	HLA-DQA1	13817	-3.5312001705169678	-0.74302185	Yes	
row_58	IRF2	13839	-3.619349479675293	-0.7368222	Yes	
row_59	IRF8	13854	-3.654893159866333	-0.7300593	Yes	
row_60	CCL25	13891	-3.8101484775543213	-0.7245014	Yes	
row_61	TRIM38	13892	-3.8114147186279297	-0.7164311	Yes	
row_62	FCGR1B	13906	-3.8700389862060547	-0.70914286	Yes	
row_63	FCGR1A	13952	-4.055443286895752	-0.70369303	Yes	
row_64	IRF5	14005	-4.233673095703125	-0.6983538	Yes	
row_65	TRIM26	14008	-4.2433342933654785	-0.6895083	Yes	
row_66	TRIM22	14009	-4.244407653808594	-0.6805212	Yes	
row_67	HLA-DQB2	14016	-4.28115177154541	-0.67187446	Yes	
row_68	CCL4	14041	-4.398862361907959	-0.66423345	Yes	
row_69	OAS3	14066	-4.564539909362793	-0.6562416	Yes	
row_70	SP100	14133	-4.9477763175964355	-0.6503663	Yes	
row_71	IRF4	14141	-5.016050815582275	-0.6402333	Yes	
row_72	OAS2	14159	-5.127659797668457	-0.63056105	Yes	
row_73	HLA-DQA2	14182	-5.330422401428223	-0.6208081	Yes	
row_74	GBP2	14185	-5.3517231941223145	-0.6096157	Yes	
row_75	CCL8	14189	-5.370816230773926	-0.5984526	Yes	
row_76	JAK2	14213	-5.556006908416748	-0.5882917	Yes	
row_77	OAS1	14227	-5.786743640899658	-0.57694507	Yes	
row_78	HLA-DRB5	14233	-5.8672990798950195	-0.5648702	Yes	
row_79	OASL	14264	-6.223641395568848	-0.5537836	Yes	
row_80	IRF7	14272	-6.276377201080322	-0.5409819	Yes	
row_81	STAT1	14316	-6.964089870452881	-0.5292338	Yes	
row_82	TRIM21	14345	-7.6103010177612305	-0.5150717	Yes	
row_83	XCL2	14351	-7.810678482055664	-0.49888182	Yes	
row_84	CASP1	14359	-8.044499397277832	-0.48233628	Yes	
row_85	GBP1	14364	-8.141721725463867	-0.46537575	Yes	
row_86	HLA-C	14388	-9.090926170349121	-0.44772997	Yes	
row_87	B2M	14392	-9.231995582580566	-0.42839116	Yes	
row_88	CIITA	14403	-9.913140296936035	-0.40809807	Yes	
row_89	CCL5	14406	-10.126477241516113	-0.38679555	Yes	
row_90	IRF9	14407	-10.284713745117188	-0.36501858	Yes	
row_91	HLA-DRB1	14409	-10.455623626708984	-0.3429494	Yes	
row_92	GBP5	14411	-10.530893325805664	-0.32072085	Yes	
row_93	HLA-DPB1	14413	-10.686492919921875	-0.29816282	Yes	
row_94	HLA-E	14416	-10.86180305480957	-0.27530333	Yes	
