NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EGR1	1069	3.8074090480804443	-0.05978932	No	
row_1	IFITM2	2439	1.3159608840942383	-0.14987032	No	
row_2	RNASEL	2513	1.2439026832580566	-0.15021858	No	
row_3	IP6K2	4126	0.46727505326271057	-0.26039714	No	
row_4	IFNAR1	6020	0.0710127204656601	-0.39159507	No	
row_5	TYK2	7340	-0.10564950853586197	-0.48279765	No	
row_6	JAK1	8070	-0.2236177921295166	-0.53257734	No	
row_7	IRF3	8652	-0.3266022205352783	-0.5716877	No	
row_8	STAT2	10940	-0.9333966374397278	-0.72697526	No	
row_9	IFITM3	11455	-1.143408179283142	-0.7583321	No	
row_10	MYD88	11610	-1.222675085067749	-0.7643863	No	
row_11	IFNAR2	12776	-1.9146240949630737	-0.8380273	No	
row_12	IRF6	12819	-1.9561265707015991	-0.8335192	No	
row_13	HLA-G	13225	-2.3968968391418457	-0.8525481	Yes	
row_14	BST2	13341	-2.571676731109619	-0.8507734	Yes	
row_15	IFITM1	13492	-2.820958375930786	-0.8504831	Yes	
row_16	ADAR	13563	-2.9360296726226807	-0.8442002	Yes	
row_17	IRAK1	13669	-3.172529935836792	-0.83945024	Yes	
row_18	IFI6	13756	-3.365722417831421	-0.83264744	Yes	
row_19	IRF2	13839	-3.619349479675293	-0.82460415	Yes	
row_20	IRF8	13854	-3.654893159866333	-0.81170344	Yes	
row_21	RSAD2	13897	-3.8301937580108643	-0.80008185	Yes	
row_22	MX2	13948	-4.04782772064209	-0.78818977	Yes	
row_23	IRF5	14005	-4.233673095703125	-0.776009	Yes	
row_24	OAS3	14066	-4.564539909362793	-0.76285017	Yes	
row_25	SP100	14133	-4.9477763175964355	-0.7486533	Yes	
row_26	IRF4	14141	-5.016050815582275	-0.7300998	Yes	
row_27	OAS2	14159	-5.127659797668457	-0.71181715	Yes	
row_28	GBP2	14185	-5.3517231941223145	-0.6932396	Yes	
row_29	XAF1	14198	-5.432901859283447	-0.6734511	Yes	
row_30	MX1	14210	-5.50767183303833	-0.65330935	Yes	
row_31	OAS1	14227	-5.786743640899658	-0.6324555	Yes	
row_32	SAMHD1	14230	-5.838582992553711	-0.6104327	Yes	
row_33	ISG15	14244	-5.981853008270264	-0.5886299	Yes	
row_34	IFIT1	14258	-6.113769054412842	-0.56632644	Yes	
row_35	OASL	14264	-6.223641395568848	-0.54305035	Yes	
row_36	IRF7	14272	-6.276377201080322	-0.519713	Yes	
row_37	IFIT2	14283	-6.543254375457764	-0.49557096	Yes	
row_38	STAT1	14316	-6.964089870452881	-0.47135943	Yes	
row_39	IFIT3	14333	-7.34147834777832	-0.44460425	Yes	
row_40	HLA-C	14388	-9.090926170349121	-0.41384768	Yes	
row_41	ISG20	14391	-9.17187786102295	-0.37917247	Yes	
row_42	IFI35	14394	-9.249558448791504	-0.34420243	Yes	
row_43	IRF9	14407	-10.284713745117188	-0.30599767	Yes	
row_44	HLA-E	14416	-10.86180305480957	-0.26532465	Yes	
row_45	HLA-A	14426	-11.94275951385498	-0.22061804	Yes	
row_46	HLA-B	14436	-13.214120864868164	-0.17108567	Yes	
row_47	IRF1	14443	-14.607537269592285	-0.1160559	Yes	
row_48	PSMB8	14444	-15.189004898071289	-0.058402322	Yes	
row_49	HLA-F	14445	-15.441123962402344	2.0822819E-4	Yes	
