NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COL16A1	3	28.875749588012695	0.06263223	Yes	
row_1	PCOLCE	11	25.173608779907227	0.1169299	Yes	
row_2	COL5A1	25	22.42133903503418	0.16482124	Yes	
row_3	COL6A2	30	21.51334571838379	0.21136166	Yes	
row_4	COL1A1	33	20.66266441345215	0.2561897	Yes	
row_5	COL1A2	37	20.572275161743164	0.30075157	Yes	
row_6	COL3A1	42	20.34913444519043	0.34475836	Yes	
row_7	COL6A3	43	20.324020385742188	0.38898835	Yes	
row_8	COL8A1	46	20.25307846069336	0.43292502	Yes	
row_9	COL5A2	62	18.91791534423828	0.47305316	Yes	
row_10	COL6A1	91	17.453189849853516	0.5090908	Yes	
row_11	P4HA3	144	15.259435653686523	0.5386874	Yes	
row_12	COL10A1	179	14.053779602050781	0.5669104	Yes	
row_13	ADAMTS2	184	13.876649856567383	0.5968315	Yes	
row_14	COL14A1	214	12.832466125488281	0.62274384	Yes	
row_15	COL11A1	263	11.540878295898438	0.6445258	Yes	
row_16	SERPINH1	293	10.92975902557373	0.66629744	Yes	
row_17	COL5A3	294	10.875879287719727	0.68996596	Yes	
row_18	COL9A3	313	10.296281814575195	0.711123	Yes	
row_19	COL4A2	330	9.8615083694458	0.73147273	Yes	
row_20	BMP1	338	9.721917152404785	0.7521438	Yes	
row_21	COL4A1	362	9.367005348205566	0.77093124	Yes	
row_22	COL4A6	368	9.177064895629883	0.7905555	Yes	
row_23	COL8A2	473	7.728960037231445	0.8001523	Yes	
row_24	COL12A1	569	6.809366226196289	0.808373	Yes	
row_25	ADAMTS14	571	6.797957420349121	0.8230975	Yes	
row_26	PLOD1	593	6.6123046875	0.836029	Yes	
row_27	P4HA1	606	6.497790336608887	0.84933627	Yes	
row_28	COL4A5	639	6.217471122741699	0.86064446	Yes	
row_29	COL15A1	663	5.973138332366943	0.872046	Yes	
row_30	COL7A1	740	5.3383402824401855	0.878385	Yes	
row_31	PCOLCE2	780	5.065311908721924	0.8866997	Yes	
row_32	P4HA2	830	4.826207160949707	0.8937994	Yes	
row_33	COL6A6	994	4.087071895599365	0.89137286	Yes	
row_34	COL27A1	1002	4.047438621520996	0.89969486	Yes	
row_35	COL18A1	1123	3.6138134002685547	0.8992249	No	
row_36	TLL1	2301	1.4484643936157227	0.82062966	No	
row_37	CRTAP	2414	1.3353071212768555	0.81575674	No	
row_38	COL13A1	2435	1.319346308708191	0.81723887	No	
row_39	COL9A2	3065	0.8837475776672363	0.7754755	No	
row_40	PLOD2	3066	0.8835539817810059	0.7773983	No	
row_41	PLOD3	3838	0.5585516691207886	0.72506475	No	
row_42	COL24A1	3969	0.5178328156471252	0.71716267	No	
row_43	ADAMTS3	4878	0.27819886803627014	0.65470374	No	
row_44	P4HB	5332	0.18540067970752716	0.62364453	No	
row_45	COL23A1	7052	-0.06437180191278458	0.50439304	No	
row_46	COL22A1	8192	-0.24674451351165771	0.42582178	No	
row_47	COL4A4	9957	-0.6347981691360474	0.30468625	No	
row_48	PPIB	10954	-0.9393207430839539	0.23755415	No	
row_49	COL11A2	11095	-0.9959226846694946	0.22999795	No	
row_50	COL9A1	11748	-1.292286992073059	0.18752621	No	
