NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COL16A1	3	28.875749588012695	0.082502395	Yes	
row_1	COL5A1	25	22.42133903503418	0.14526834	Yes	
row_2	COL6A2	30	21.51334571838379	0.2066128	Yes	
row_3	COL1A1	33	20.66266441345215	0.26565933	Yes	
row_4	COL1A2	37	20.572275161743164	0.3243776	Yes	
row_5	COL3A1	42	20.34913444519043	0.38238734	Yes	
row_6	COL6A3	43	20.324020385742188	0.44060263	Yes	
row_7	COL8A1	46	20.25307846069336	0.49847597	Yes	
row_8	COL5A2	62	18.91791534423828	0.5516231	Yes	
row_9	COL6A1	91	17.453189849853516	0.59967285	Yes	
row_10	COL10A1	179	14.053779602050781	0.63389254	Yes	
row_11	COL14A1	214	12.832466125488281	0.6682907	Yes	
row_12	COL11A1	263	11.540878295898438	0.6980181	Yes	
row_13	COL5A3	294	10.875879287719727	0.7270893	Yes	
row_14	COL9A3	313	10.296281814575195	0.7553328	Yes	
row_15	COL4A2	330	9.8615083694458	0.7824698	Yes	
row_16	COL4A1	362	9.367005348205566	0.8071497	Yes	
row_17	COL4A6	368	9.177064895629883	0.8330893	Yes	
row_18	COL8A2	473	7.728960037231445	0.8480131	Yes	
row_19	COL12A1	569	6.809366226196289	0.86092716	Yes	
row_20	COL4A5	639	6.217471122741699	0.8739496	Yes	
row_21	COL15A1	663	5.973138332366943	0.88946325	Yes	
row_22	COL7A1	740	5.3383402824401855	0.8994819	Yes	
row_23	COL6A6	994	4.087071895599365	0.89363754	Yes	
row_24	COL27A1	1002	4.047438621520996	0.9047453	Yes	
row_25	COL18A1	1123	3.6138134002685547	0.90677184	Yes	
row_26	COL13A1	2435	1.319346308708191	0.819604	No	
row_27	COL9A2	3065	0.8837475776672363	0.77850026	No	
row_28	COL24A1	3969	0.5178328156471252	0.71734047	No	
row_29	COL23A1	7052	-0.06437180191278458	0.5037198	No	
row_30	COL22A1	8192	-0.24674451351165771	0.42541164	No	
row_31	COL4A4	9957	-0.6347981691360474	0.3048574	No	
row_32	COL11A2	11095	-0.9959226846694946	0.2288339	No	
row_33	COL9A1	11748	-1.292286992073059	0.18730481	No	
