NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LOXL2	12	24.757633209228516	0.09027183	Yes	
row_1	COL5A1	25	22.42133903503418	0.17194648	Yes	
row_2	COL1A1	33	20.66266441345215	0.24749626	Yes	
row_3	COL1A2	37	20.572275161743164	0.32299083	Yes	
row_4	COL3A1	42	20.34913444519043	0.39759493	Yes	
row_5	COL5A2	62	18.91791534423828	0.46589208	Yes	
row_6	LOXL1	66	18.645662307739258	0.53429705	Yes	
row_7	LOX	160	14.456610679626465	0.5810452	Yes	
row_8	COL14A1	214	12.832466125488281	0.6245909	Yes	
row_9	COL11A1	263	11.540878295898438	0.6637305	Yes	
row_10	SERPINH1	293	10.92975902557373	0.701939	Yes	
row_11	COL5A3	294	10.875879287719727	0.74196047	Yes	
row_12	LUM	328	9.903671264648438	0.7761157	Yes	
row_13	DDR2	529	7.123289585113525	0.7884577	Yes	
row_14	PXDN	546	6.95456075668335	0.8129397	Yes	
row_15	CYP1B1	553	6.923994541168213	0.83800274	Yes	
row_16	DPT	559	6.870962142944336	0.86294	Yes	
row_17	GREM1	566	6.826627731323242	0.88764477	Yes	
row_18	COL12A1	569	6.809366226196289	0.9125634	Yes	
row_19	LOXL3	1409	2.732421398162842	0.86443114	No	
row_20	TGFBR1	1718	2.1343696117401123	0.8509246	No	
row_21	TGFB2	1741	2.09977650642395	0.85712564	No	
row_22	CRTAP	2414	1.3353071212768555	0.8154342	No	
row_23	COL13A1	2435	1.319346308708191	0.81890213	No	
row_24	NF1	3060	0.8844698071479797	0.7788806	No	
row_25	LOXL4	3647	0.6220961213111877	0.740529	No	
row_26	ADAMTS3	4878	0.27819886803627014	0.6562486	No	
row_27	SERPINF2	9198	-0.4374798834323883	0.35832313	No	
row_28	ATP7A	9576	-0.5370643734931946	0.33415338	No	
row_29	COL11A2	11095	-0.9959226846694946	0.23254046	No	
