NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SERINC5	761	5.1664862632751465	-0.03618041	No	
row_1	BNIP3L	953	4.248679161071777	-0.035626743	No	
row_2	IL6	1920	1.8352700471878052	-0.09696806	No	
row_3	ABCC9	1993	1.7465227842330933	-0.09628634	No	
row_4	BNIP3	2128	1.6085293292999268	-0.100376464	No	
row_5	FLNA	2139	1.5994136333465576	-0.09585341	No	
row_6	IFITM2	2439	1.3159608840942383	-0.112399064	No	
row_7	RNASEL	2513	1.2439026832580566	-0.11342747	No	
row_8	SERINC3	3632	0.626152515411377	-0.18930957	No	
row_9	ZMYND11	3750	0.5847370028495789	-0.19555616	No	
row_10	BCL2L1	4375	0.4007449448108673	-0.23774165	No	
row_11	DDIT4	4502	0.3680844306945801	-0.24532264	No	
row_12	LYST	4824	0.28943073749542236	-0.26675203	No	
row_13	FADD	5121	0.2254210114479065	-0.2866478	No	
row_14	SETD2	5185	0.21450790762901306	-0.29033887	No	
row_15	C17orf85	5269	0.19663867354393005	-0.29548228	No	
row_16	TLR9	5510	0.1532105952501297	-0.31171048	No	
row_17	SKP2	6297	0.03192334622144699	-0.36639127	No	
row_18	F2RL1	6506	0.007217153441160917	-0.3808655	No	
row_19	MAVS	6592	-0.004903932102024555	-0.3867741	No	
row_20	FCN3	7043	-0.06276561319828033	-0.4179347	No	
row_21	AGBL5	7083	-0.06916823983192444	-0.42042726	No	
row_22	PDE12	7137	-0.07627299427986145	-0.42387247	No	
row_23	CD207	8011	-0.21381571888923645	-0.4840236	No	
row_24	SLFN11	8421	-0.2830357551574707	-0.5116075	No	
row_25	IRF3	8652	-0.3266022205352783	-0.5265728	No	
row_26	CLPB	8721	-0.3402879536151886	-0.5302019	No	
row_27	G3BP1	9041	-0.40326330065727234	-0.55112034	No	
row_28	PHB2	9289	-0.4624382555484772	-0.56682724	No	
row_29	TLR8	9291	-0.46312215924263	-0.5653854	No	
