NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BGN	0	32.762489318847656	0.083526924	Yes	
row_1	GPC6	4	28.30610466003418	0.15548359	Yes	
row_2	VCAN	15	24.216426849365234	0.21652646	Yes	
row_3	OGN	54	19.464208602905273	0.26350453	Yes	
row_4	SDC2	72	18.519311904907227	0.3095355	Yes	
row_5	CHSY3	142	15.34761905670166	0.34386042	Yes	
row_6	ANGPT1	143	15.346112251281738	0.38298485	Yes	
row_7	DCN	151	14.871610641479492	0.42041224	Yes	
row_8	CHSY1	164	14.382537841796875	0.4562447	Yes	
row_9	GALNT5	177	14.062018394470215	0.49126	Yes	
row_10	OMD	227	12.549365043640137	0.51984316	Yes	
row_11	XYLT1	243	12.025613784790039	0.54945785	Yes	
row_12	CHPF	288	11.015556335449219	0.5744787	Yes	
row_13	GPC1	297	10.839183807373047	0.6015559	Yes	
row_14	CSPG4	312	10.333524703979492	0.6269263	Yes	
row_15	LUM	328	9.903671264648438	0.6511312	Yes	
row_16	SDC1	409	8.50437068939209	0.6672437	Yes	
row_17	CHST15	511	7.308202743530273	0.67884475	Yes	
row_18	HAS2	532	7.088629245758057	0.69552475	Yes	
row_19	HSPG2	563	6.854047775268555	0.7109105	Yes	
row_20	HS2ST1	809	4.907593250274658	0.7063669	Yes	
row_21	EXT1	818	4.877229690551758	0.7182444	Yes	
row_22	DSEL	848	4.736709117889404	0.72830164	Yes	
row_23	DSE	852	4.728773593902588	0.74014866	Yes	
row_24	CHST3	866	4.652622699737549	0.75110537	Yes	
row_25	FMOD	904	4.5138750076293945	0.76003766	Yes	
row_26	NDST1	955	4.246964931488037	0.76738447	Yes	
row_27	CHST14	1066	3.814939260482788	0.76945305	Yes	
row_28	ST3GAL1	1097	3.6889681816101074	0.7767696	Yes	
row_29	CHST7	1102	3.677440643310547	0.7858666	Yes	
row_30	GLCE	1225	3.2689368724823	0.78570783	Yes	
row_31	HYAL1	1318	2.991666793823242	0.7869305	Yes	
row_32	CHST11	1356	2.877636194229126	0.79169124	Yes	
row_33	GPC3	1459	2.6032233238220215	0.79122746	Yes	
row_34	UGDH	1502	2.4997453689575195	0.7946767	Yes	
row_35	B3GNT7	1597	2.343621253967285	0.79410803	No	
row_36	ST3GAL3	1709	2.1575112342834473	0.79188144	No	
row_37	GPC2	1806	2.0042967796325684	0.7903084	No	
row_38	CHPF2	2080	1.6616630554199219	0.77554023	No	
row_39	PRELP	2100	1.6393378973007202	0.778397	No	
row_40	CSGALNACT2	2165	1.5737240314483643	0.7779539	No	
row_41	HS3ST1	2208	1.5415151119232178	0.77896017	No	
row_42	ST3GAL2	2228	1.5230880975723267	0.7815206	No	
row_43	HS6ST2	2498	1.2563673257827759	0.7659976	No	
row_44	UST	2909	0.9734413027763367	0.7399378	No	
row_45	HAS3	2930	0.9605898857116699	0.74099445	No	
row_46	HS6ST1	2992	0.9275864958763123	0.7391129	No	
row_47	B4GALT5	3086	0.8743664622306824	0.734868	No	
row_48	CHST2	3136	0.8464690446853638	0.733615	No	
row_49	CSGALNACT1	3200	0.8168326616287231	0.7313118	No	
row_50	CHST9	3221	0.8070345520973206	0.73197705	No	
row_51	XYLT2	3386	0.7279783487319946	0.72241634	No	
row_52	B3GALT6	3701	0.6031481027603149	0.7020954	No	
row_53	B4GALT3	4048	0.48863863945007324	0.67925483	No	
row_54	ABCC5	4163	0.45592033863067627	0.67248124	No	
row_55	EXT2	4218	0.4377671778202057	0.6698382	No	
row_56	GPC4	4419	0.3896992802619934	0.656909	No	
row_57	B4GALT6	4600	0.3442370295524597	0.6452561	No	
row_58	CHST1	4698	0.31702956557273865	0.63931185	No	
row_59	AGRN	4876	0.27863284945487976	0.6277006	No	
row_60	SLC35D2	4889	0.2763189971446991	0.62756974	No	
row_61	ST3GAL4	5054	0.23670992255210876	0.61675656	No	
row_62	B4GALT2	5159	0.21912746131420135	0.6100754	No	
row_63	B4GALT7	5170	0.21777687966823578	0.6099345	No	
row_64	NDST2	5282	0.19478414952754974	0.602704	No	
row_65	B4GALT4	5818	0.10324637591838837	0.5657239	No	
row_66	HS3ST3A1	5975	0.07818952202796936	0.5550635	No	
row_67	B3GNT3	6542	-7.148807635530829E-4	0.515664	No	
row_68	SLC10A7	6585	-0.0036198808811604977	0.51274943	No	
row_69	CHST12	7243	-0.09004835039377213	0.46724287	No	
row_70	CHST6	8017	-0.21471083164215088	0.41397893	No	
row_71	B3GNT2	8572	-0.31053128838539124	0.37620467	No	
row_72	B4GALT1	9307	-0.4676205515861511	0.32630044	No	
row_73	B3GAT3	9452	-0.5015061497688293	0.31755465	No	
row_74	CHST13	9811	-0.5930456519126892	0.2941449	No	
row_75	B3GNT4	9816	-0.5941091179847717	0.29538113	No	
row_76	GCNT2	10786	-0.8861011862754822	0.23018458	No	
row_77	SDC3	10823	-0.8957290649414062	0.22996213	No	
row_78	ST3GAL6	11154	-1.0216001272201538	0.20959416	No	
row_79	CHST5	11600	-1.2201701402664185	0.18172687	No	
row_80	SDC4	11836	-1.3254238367080688	0.1687468	No	
row_81	IL1B	12100	-1.4587383270263672	0.15415742	No	
row_82	HEXA	12304	-1.5782053470611572	0.14404944	No	
row_83	CSPG5	12888	-2.013239622116089	0.10859737	No	
