NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	F2R	250	11.855290412902832	-6.2810123E-4	No	
row_1	INHBA	253	11.725181579589844	0.015939947	No	
row_2	BCAT1	365	9.279762268066406	0.021383835	No	
row_3	CCND2	611	6.444567680358887	0.013395963	No	
row_4	LIF	643	6.156896591186523	0.019996762	No	
row_5	IL11	692	5.746906280517578	0.024821851	No	
row_6	THY1	702	5.6613922119140625	0.032258477	No	
row_7	SOCS5	733	5.384634971618652	0.0378289	No	
row_8	ACVR2A	1016	3.997692346572876	0.023761049	No	
row_9	GALNT1	1141	3.5531721115112305	0.020133493	No	
row_10	APBB1	1619	2.2858376502990723	-0.010040673	No	
row_11	TGFB2	1741	2.09977650642395	-0.0155290365	No	
row_12	ETS1	1916	1.8380910158157349	-0.025104905	No	
row_13	CCL22	1917	1.8376085758209229	-0.022486337	No	
row_14	IL6	1920	1.8352700471878052	-0.020011276	No	
row_15	EIF4G3	2030	1.7101014852523804	-0.025213879	No	
row_16	FLNA	2139	1.5994136333465576	-0.03050412	No	
row_17	CD28	2415	1.3340281248092651	-0.047877047	No	
row_18	CCL11	2697	1.11477792263031	-0.06598292	No	
row_19	MAP3K7	2887	0.9853944182395935	-0.07782518	No	
row_20	TGFB1	2996	0.925176739692688	-0.084076196	No	
row_21	FAS	3016	0.9117244482040405	-0.08410866	No	
row_22	IL10	3077	0.8783454298973083	-0.08706224	No	
row_23	HIF1A	3220	0.8070778250694275	-0.095864505	No	
row_24	INHBB	3345	0.7447753548622131	-0.10349399	No	
row_25	CFP	3662	0.618029773235321	-0.12476077	No	
row_26	CRTAM	3843	0.555455207824707	-0.1365849	No	
row_27	ICAM1	3911	0.533552885055542	-0.14052041	No	
row_28	EIF3A	3981	0.5147535800933838	-0.14462289	No	
row_29	IL4R	4616	0.33909446001052856	-0.18857479	No	
row_30	RARS	4856	0.28360480070114136	-0.20492142	No	
row_31	IL2RA	4924	0.26874616742134094	-0.20923428	No	
row_32	GCNT1	5288	0.19336222112178802	-0.23440029	No	
row_33	CCL13	5407	0.17223481833934784	-0.24242511	No	
row_34	NPM1	5490	0.1577247679233551	-0.24794748	No	
row_35	IL18	5561	0.1421108841896057	-0.25265107	No	
row_36	IL16	5616	0.13382290303707123	-0.25624505	No	
row_37	RPL9	5709	0.12031522393226624	-0.2625216	No	
row_38	DEGS1	5877	0.09319400787353516	-0.27409333	No	
row_39	CCL19	6227	0.039364274591207504	-0.29849756	No	
row_40	EIF3J	6500	0.008189124055206776	-0.31754953	No	
row_41	ACHE	6635	-0.010739811696112156	-0.32692587	No	
row_42	EGFR	6655	-0.011910065077245235	-0.32824054	No	
row_43	IFNGR1	6789	-0.03011217527091503	-0.3375192	No	
row_44	RPS3A	6849	-0.035909250378608704	-0.34160316	No	
row_45	AKT1	7248	-0.09069635719060898	-0.3693685	No	
row_46	MRPL3	7327	-0.10296797752380371	-0.37468857	No	
row_47	DARS	7549	-0.13899485766887665	-0.3899797	No	
row_48	RPS9	7562	-0.14115916192531586	-0.39061958	No	
row_49	UBE2D1	8104	-0.2296467274427414	-0.42820936	No	
row_50	MMP9	8138	-0.2366834133863449	-0.43018496	No	
row_51	ST8SIA4	8598	-0.3151280879974365	-0.46190578	No	
row_52	ABI1	8660	-0.3293916881084442	-0.4657117	No	
row_53	GLMN	8783	-0.3518839180469513	-0.47376087	No	
row_54	NLRP3	9083	-0.4131438136100769	-0.49412814	No	
row_55	TIMP1	9210	-0.4421740770339966	-0.502329	No	
row_56	BCL3	9410	-0.4899882674217224	-0.5155781	No	
row_57	ABCE1	9610	-0.5448637008666992	-0.5287489	No	
row_58	STAB1	9641	-0.5536837577819824	-0.53006256	No	
row_59	CCL7	9742	-0.5772596597671509	-0.5362487	No	
row_60	MAP4K1	9925	-0.6252455115318298	-0.5481135	No	
row_61	PRKCB	10352	-0.7509402632713318	-0.5769005	No	
row_62	TRAF2	10360	-0.7548961639404297	-0.57631534	No	
row_63	CCL2	10458	-0.7849248051643372	-0.58199525	No	
row_64	RPL39	10534	-0.8056864142417908	-0.5861037	No	
row_65	UBE2N	10604	-0.8302862644195557	-0.58975655	No	
row_66	IL27RA	10635	-0.8378047943115234	-0.5906653	No	
row_67	EIF3D	10640	-0.8390021324157715	-0.58975005	No	
row_68	BCL10	10793	-0.8875018954277039	-0.5991386	No	
row_69	TPD52	10979	-0.9503381252288818	-0.61075044	No	
row_70	BRCA1	11004	-0.9578278064727783	-0.61106765	No	
row_71	TLR1	11182	-1.0315337181091309	-0.62200314	No	
row_72	TLR6	11203	-1.0400582551956177	-0.6219228	No	
row_73	DYRK3	11438	-1.1359308958053589	-0.63670444	No	
row_74	ELF4	11519	-1.1759045124053955	-0.6406357	No	
row_75	MTIF2	11579	-1.2077220678329468	-0.6430499	No	
row_76	ICOSLG	11639	-1.2346681356430054	-0.6454256	No	
row_77	ITGB2	11749	-1.2924377918243408	-0.6512234	No	
