NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BGN	0	32.762489318847656	0.021297624	Yes	
row_1	COL16A1	3	28.875749588012695	0.039928358	Yes	
row_2	TIMP3	9	25.97197914123535	0.056461055	Yes	
row_3	FBN1	10	25.526628494262695	0.073054925	Yes	
row_4	PCOLCE	11	25.173608779907227	0.08941931	Yes	
row_5	LOXL2	12	24.757633209228516	0.10551329	Yes	
row_6	VCAN	15	24.216426849365234	0.12111518	Yes	
row_7	FN1	17	23.975631713867188	0.13663067	Yes	
row_8	PDGFRB	21	22.995521545410156	0.15136875	Yes	
row_9	COL5A1	25	22.42133903503418	0.16573359	Yes	
row_10	SPARC	26	22.05744743347168	0.18007228	Yes	
row_11	COL6A2	30	21.51334571838379	0.19384687	Yes	
row_12	CDH11	32	21.106287002563477	0.2074971	Yes	
row_13	COL1A1	33	20.66266441345215	0.2209291	Yes	
row_14	FSTL1	34	20.621328353881836	0.23433423	Yes	
row_15	COL1A2	37	20.572275161743164	0.24756719	Yes	
row_16	COL3A1	42	20.34913444519043	0.26051483	Yes	
row_17	COL6A3	43	20.324020385742188	0.2737267	Yes	
row_18	IGFBP4	44	20.304241180419922	0.2869257	Yes	
row_19	CALD1	52	19.661117553710938	0.29921567	Yes	
row_20	PRRX1	53	19.4726505279541	0.3118741	Yes	
row_21	ECM2	55	19.46186637878418	0.32445535	Yes	
row_22	SPOCK1	57	19.375314712524414	0.33698037	Yes	
row_23	COL5A2	62	18.91791534423828	0.34899762	Yes	
row_24	ACTA2	65	18.800737380981445	0.36107898	Yes	
row_25	LOXL1	66	18.645662307739258	0.3731998	Yes	
row_26	MMP14	67	18.591590881347656	0.38528547	Yes	
row_27	PMEPA1	75	18.28122901916504	0.39667845	Yes	
row_28	PMP22	81	17.99956703186035	0.40802857	Yes	
row_29	MMP2	85	17.77901268005371	0.41937563	Yes	
row_30	THBS1	96	17.353012084960938	0.42995477	Yes	
