NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PROCR	1458	2.6036570072174072	-0.0967288	No	
row_1	FAM46A	2189	1.5533801317214966	-0.14469539	No	
row_2	IFITM2	2439	1.3159608840942383	-0.1595957	No	
row_3	C1S	3658	0.6187073588371277	-0.24329439	No	
row_4	ELF1	3730	0.5906006693840027	-0.24714284	No	
row_5	IL4R	4616	0.33909446001052856	-0.30816364	No	
row_6	TXNIP	6468	0.011530023068189621	-0.43708685	No	
row_7	CNP	6520	0.004939631093293428	-0.44063044	No	
row_8	LPAR6	9173	-0.4324168860912323	-0.62457085	No	
row_9	STAT2	10940	-0.9333966374397278	-0.74585956	No	
row_10	OGFR	11037	-0.9728826284408569	-0.7507391	No	
row_11	TRIM25	11298	-1.0766905546188354	-0.76685035	No	
row_12	IFITM3	11455	-1.143408179283142	-0.77559274	No	
row_13	LY6E	11985	-1.3978054523468018	-0.8098464	No	
row_14	LGALS3BP	11990	-1.4004002809524536	-0.80752254	No	
row_15	IL7	12064	-1.4394242763519287	-0.8099329	No	
row_16	TRAFD1	12068	-1.4428555965423584	-0.8074605	No	
row_17	CD47	12168	-1.501860499382019	-0.811566	No	
row_18	TRIM5	12306	-1.579660415649414	-0.8181741	No	
row_19	NCOA7	12374	-1.6234040260314941	-0.8198246	No	
row_20	RIPK2	12679	-1.8447362184524536	-0.83757365	No	
row_21	CCRL2	12839	-1.9725255966186523	-0.84498423	No	
row_22	TRIM14	12981	-2.106999635696411	-0.85089093	No	
row_23	PNPT1	13191	-2.355280637741089	-0.8610733	No	
row_24	BST2	13341	-2.571676731109619	-0.8666738	Yes	
row_25	EIF2AK2	13365	-2.601398468017578	-0.86344165	Yes	
row_26	SELL	13477	-2.802886962890625	-0.8659653	Yes	
row_27	IFITM1	13492	-2.820958375930786	-0.86169815	Yes	
row_28	PSMA3	13519	-2.8673086166381836	-0.8581808	Yes	
row_29	ADAR	13563	-2.9360296726226807	-0.85572004	Yes	
row_30	SLC25A28	13704	-3.246026039123535	-0.8594404	Yes	
row_31	GMPR	13735	-3.315995693206787	-0.85536784	Yes	
row_32	TDRD7	13745	-3.3423707485198975	-0.8497834	Yes	
row_33	SAMD9	13833	-3.599327802658081	-0.84915507	Yes	
row_34	HERC6	13837	-3.610764503479004	-0.8426539	Yes	
row_35	IRF2	13839	-3.619349479675293	-0.8359974	Yes	
row_36	RSAD2	13897	-3.8301937580108643	-0.83285016	Yes	
row_37	MOV10	13940	-4.006673336029053	-0.82833004	Yes	
row_38	CASP8	13953	-4.056668758392334	-0.82162714	Yes	
row_39	UBA7	13958	-4.063413143157959	-0.8143544	Yes	
row_40	IL15	13972	-4.113893032073975	-0.80761486	Yes	
row_41	TRIM26	14008	-4.2433342933654785	-0.8021673	Yes	
row_42	RNF31	14028	-4.353813171386719	-0.7953998	Yes	
row_43	NUB1	14029	-4.355574607849121	-0.7873055	Yes	
row_44	EPSTI1	14088	-4.692306995391846	-0.7826258	Yes	
row_45	TMEM140	14135	-4.964257717132568	-0.7766048	Yes	
row_46	WARS	14155	-5.104485988616943	-0.7684423	Yes	
row_47	GBP2	14185	-5.3517231941223145	-0.7605169	Yes	
row_48	DHX58	14200	-5.434586048126221	-0.7513926	Yes	
row_49	MX1	14210	-5.50767183303833	-0.7417842	Yes	
row_50	OAS1	14227	-5.786743640899658	-0.73214483	Yes	
row_51	IFI44	14241	-5.952764987945557	-0.7219879	Yes	
row_52	ISG15	14244	-5.981853008270264	-0.7110107	Yes	
row_53	IFI44L	14246	-6.013641357421875	-0.6999047	Yes	
row_54	IFI27	14251	-6.066737651824951	-0.688909	Yes	
row_55	DDX60	14261	-6.187060832977295	-0.67803806	Yes	
row_56	OASL	14264	-6.223641395568848	-0.66661143	Yes	
row_57	SAMD9L	14266	-6.227429389953613	-0.65510815	Yes	
row_58	IRF7	14272	-6.276377201080322	-0.64379257	Yes	
row_59	IFIT2	14283	-6.543254375457764	-0.63232934	Yes	
