NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LATS2	237	12.296792984008789	-0.003355315	No	
row_1	SELP	376	9.00220775604248	-0.0033209682	No	
row_2	ARID5B	642	6.157631874084473	-0.015266474	No	
row_3	VCAM1	721	5.461398124694824	-0.014844283	No	
row_4	CFH	1223	3.282208204269409	-0.04644991	No	
row_5	TNFAIP6	1228	3.265691041946411	-0.043205965	No	
row_6	PTGS2	1338	2.931452989578247	-0.047689103	No	
row_7	SSPN	1404	2.7437469959259033	-0.049287975	No	
row_8	CDKN1A	1510	2.489217758178711	-0.05396778	No	
row_9	IL6	1920	1.8352700471878052	-0.08068072	No	
row_10	ARL4A	2038	1.7018312215805054	-0.0870522	No	
row_11	PELI1	2315	1.42770516872406	-0.104874305	No	
row_12	IFITM2	2439	1.3159608840942383	-0.11208318	No	
row_13	C1R	2460	1.2943392992019653	-0.11208935	No	
row_14	SOCS3	2842	1.0128326416015625	-0.13772556	No	
row_15	FAS	3016	0.9117244482040405	-0.14887851	No	
row_16	HIF1A	3220	0.8070778250694275	-0.16224907	No	
row_17	AUTS2	3657	0.618980348110199	-0.19216892	No	
row_18	C1S	3658	0.6187073588371277	-0.19150117	No	
row_19	RAPGEF6	3777	0.5751121044158936	-0.19915885	No	
row_20	ICAM1	3911	0.533552885055542	-0.20791371	No	
row_21	PTPN1	4226	0.43542248010635376	-0.22947268	No	
row_22	PIM1	4244	0.4296228587627411	-0.23020165	No	
row_23	IL4R	4616	0.33909446001052856	-0.25586346	No	
row_24	ST3GAL5	5520	0.1501655876636505	-0.319052	No	
row_25	SERPING1	5909	0.08873077481985092	-0.34617668	No	
row_26	CASP4	6131	0.054446786642074585	-0.36162233	No	
row_27	ISOC1	6193	0.045059237629175186	-0.3658532	No	
row_28	PLA2G4A	6213	0.04262041300535202	-0.36714017	No	
row_29	NUP93	6284	0.0334487147629261	-0.37201497	No	
row_30	TXNIP	6468	0.011530023068189621	-0.38484102	No	
row_31	BPGM	6941	-0.04824477434158325	-0.41790247	No	
row_32	STAT3	7223	-0.08753954619169235	-0.43752176	No	
row_33	PNP	7867	-0.19033518433570862	-0.48242646	No	
row_34	NCOA3	7944	-0.2015201896429062	-0.4875408	No	
row_35	MT2A	8594	-0.3144342601299286	-0.53273255	No	
row_36	ST8SIA4	8598	-0.3151280879974365	-0.5326029	No	
row_37	BTG1	8674	-0.33164045214653015	-0.53750664	No	
row_38	TOR1B	8730	-0.34172940254211426	-0.5409964	No	
row_39	CSF2RB	9005	-0.39652928709983826	-0.5597911	No	
row_40	PFKP	9311	-0.46917250752449036	-0.5806822	No	
row_41	METTL7B	9320	-0.4711763262748718	-0.58073497	No	
row_42	NOD1	9660	-0.5581566691398621	-0.60391533	No	
row_43	FPR1	9726	-0.5730018615722656	-0.60785705	No	
row_44	CCL7	9742	-0.5772596597671509	-0.6082864	No	
row_45	CMKLR1	9854	-0.6033562421798706	-0.6154224	No	
row_46	CASP7	10039	-0.6621572971343994	-0.62761647	No	
row_47	NAMPT	10105	-0.6797536015510559	-0.63144296	No	
row_48	RIPK1	10125	-0.6843786239624023	-0.6320373	No	
row_49	CCL2	10458	-0.7849248051643372	-0.6544818	No	
row_50	SRI	10495	-0.7949865460395813	-0.65614945	No	
row_51	TNFAIP3	10496	-0.7957345247268677	-0.6552906	No	
row_52	UPP1	10651	-0.8438106775283813	-0.6651839	No	
row_53	CASP3	10862	-0.9110178351402283	-0.6789334	No	
row_54	STAT2	10940	-0.9333966374397278	-0.683328	No	
row_55	OGFR	11037	-0.9728826284408569	-0.68901294	No	
row_56	VAMP5	11212	-1.0463125705718994	-0.70009077	No	
row_57	TRIM25	11298	-1.0766905546188354	-0.704892	No	
row_58	BANK1	11417	-1.126900315284729	-0.7119541	No	
row_59	PDE4B	11442	-1.1370149850845337	-0.7124107	No	
row_60	IFITM3	11455	-1.143408179283142	-0.7120185	No	
row_61	MVP	11501	-1.1682263612747192	-0.7139147	No	
row_62	MYD88	11610	-1.222675085067749	-0.7201719	No	
row_63	RBCK1	11661	-1.2489285469055176	-0.72233176	No	
row_64	LY6E	11985	-1.3978054523468018	-0.7434834	No	
row_65	LGALS3BP	11990	-1.4004002809524536	-0.74225265	No	
row_66	TNFAIP2	12023	-1.4161524772644043	-0.7429692	No	
row_67	IL7	12064	-1.4394242763519287	-0.7442219	No	
row_68	TRAFD1	12068	-1.4428555965423584	-0.74287516	No	
row_69	PML	12210	-1.5224456787109375	-0.75112396	No	
row_70	PSMB2	12223	-1.5287299156188965	-0.7503159	No	
row_71	RIPK2	12679	-1.8447362184524536	-0.78024584	No	
row_72	PSMA2	12773	-1.9078078269958496	-0.78471124	No	
row_73	IFNAR2	12776	-1.9146240949630737	-0.7827852	No	
row_74	TRIM14	12981	-2.106999635696411	-0.79482293	No	
row_75	ZNFX1	13039	-2.178990602493286	-0.79647005	No	
row_76	XCL1	13189	-2.354618549346924	-0.80438197	No	
row_77	PNPT1	13191	-2.355280637741089	-0.80191016	No	
row_78	HLA-G	13225	-2.3968968391418457	-0.80163836	No	
row_79	BST2	13341	-2.571676731109619	-0.8069308	No	
row_80	EIF2AK2	13365	-2.601398468017578	-0.8057367	No	
row_81	NFKB1	13372	-2.6080853939056396	-0.8033428	No	
row_82	PTPN2	13452	-2.7555227279663086	-0.8059112	No	
row_83	PSMA3	13519	-2.8673086166381836	-0.80744684	No	
row_84	ADAR	13563	-2.9360296726226807	-0.8072948	No	
row_85	SPPL2A	13625	-3.053903102874756	-0.80827826	No	
row_86	MTHFD2	13685	-3.223263740539551	-0.8089387	Yes	
row_87	RNF213	13693	-3.2324979305267334	-0.805941	Yes	
row_88	EIF4E3	13696	-3.235461950302124	-0.80258936	Yes	
row_89	SOD2	13700	-3.240273952484131	-0.7993027	Yes	
row_90	SLC25A28	13704	-3.246026039123535	-0.79600984	Yes	
row_91	CD40	13707	-3.249821424484253	-0.7926427	Yes	
row_92	TDRD7	13745	-3.3423707485198975	-0.7916311	Yes	
row_93	MARCH1	13751	-3.3575632572174072	-0.78835815	Yes	
row_94	HLA-DQA1	13817	-3.5312001705169678	-0.78910714	Yes	
row_95	HERC6	13837	-3.610764503479004	-0.78654313	Yes	
row_96	IRF2	13839	-3.619349479675293	-0.78270704	Yes	
row_97	IRF8	13854	-3.654893159866333	-0.77974457	Yes	
row_98	SOCS1	13861	-3.672055244445801	-0.7762024	Yes	
row_99	RSAD2	13897	-3.8301937580108643	-0.774524	Yes	
row_100	IL10RA	13922	-3.944835662841797	-0.7719502	Yes	
row_101	MX2	13948	-4.04782772064209	-0.7693353	Yes	
row_102	FCGR1A	13952	-4.055443286895752	-0.7651689	Yes	
row_103	CASP8	13953	-4.056668758392334	-0.76079065	Yes	
row_104	IL15	13972	-4.113893032073975	-0.7576134	Yes	
row_105	VAMP8	13993	-4.197068214416504	-0.75448674	Yes	
row_106	IRF5	14005	-4.233673095703125	-0.7506892	Yes	
row_107	TRIM26	14008	-4.2433342933654785	-0.7462498	Yes	
row_108	RNF31	14028	-4.353813171386719	-0.7428838	Yes	
row_109	OAS3	14066	-4.564539909362793	-0.74055314	Yes	
row_110	EPSTI1	14088	-4.692306995391846	-0.73696214	Yes	
row_111	LYSMD2	14110	-4.8172760009765625	-0.73323625	Yes	
row_112	IL18BP	14118	-4.841080188751221	-0.7285025	Yes	
row_113	IRF4	14141	-5.016050815582275	-0.72463226	Yes	
row_114	APOL6	14144	-5.033400058746338	-0.71934015	Yes	
row_115	DDX58	14146	-5.0535993576049805	-0.7139561	Yes	
row_116	WARS	14155	-5.104485988616943	-0.7090082	Yes	
row_117	OAS2	14159	-5.127659797668457	-0.7036845	Yes	
row_118	ITGB7	14166	-5.255986213684082	-0.6984328	Yes	
row_119	FGL2	14167	-5.258614540100098	-0.6927573	Yes	
row_120	PTPN6	14178	-5.301661968231201	-0.6877369	Yes	
row_121	CD69	14183	-5.336119651794434	-0.6822584	Yes	
row_122	CFB	14184	-5.342255592346191	-0.6764927	Yes	
row_123	XAF1	14198	-5.432901859283447	-0.67154115	Yes	
row_124	DHX58	14200	-5.434586048126221	-0.6657459	Yes	
row_125	MX1	14210	-5.50767183303833	-0.660433	Yes	
row_126	JAK2	14213	-5.556006908416748	-0.6545769	Yes	
row_127	STAT4	14216	-5.597293853759766	-0.64867616	Yes	
row_128	NFKBIA	14223	-5.77390718460083	-0.6428655	Yes	
row_129	SAMHD1	14230	-5.838582992553711	-0.636985	Yes	
row_130	IFI44	14241	-5.952764987945557	-0.6312619	Yes	
row_131	ISG15	14244	-5.981853008270264	-0.6249462	Yes	
row_132	IFI44L	14246	-6.013641357421875	-0.618526	Yes	
row_133	IFI27	14251	-6.066737651824951	-0.6122589	Yes	
row_134	GCH1	14253	-6.086847305297852	-0.6057597	Yes	
row_135	IFIT1	14258	-6.113769054412842	-0.5994419	Yes	
row_136	DDX60	14261	-6.187060832977295	-0.5929047	Yes	
row_137	OASL	14264	-6.223641395568848	-0.58632797	Yes	
row_138	SAMD9L	14266	-6.227429389953613	-0.57967705	Yes	
row_139	IRF7	14272	-6.276377201080322	-0.57325387	Yes	
row_140	KLRK1	14276	-6.366532325744629	-0.5665931	Yes	
row_141	IFIT2	14283	-6.543254375457764	-0.55995214	Yes	
row_142	CMPK2	14286	-6.582918167114258	-0.55298764	Yes	
row_143	SECTM1	14288	-6.5984649658203125	-0.5459363	Yes	
row_144	GZMA	14300	-6.737358570098877	-0.5394365	Yes	
row_145	IL15RA	14306	-6.820010185241699	-0.53242666	Yes	
row_146	RTP4	14309	-6.884121417999268	-0.5251371	Yes	
row_147	CD86	14315	-6.961292266845703	-0.5179748	Yes	
row_148	STAT1	14316	-6.964089870452881	-0.51045865	Yes	
row_149	PLSCR1	14330	-7.261987686157227	-0.503533	Yes	
row_150	USP18	14332	-7.312063217163086	-0.49571142	Yes	
row_151	IFIT3	14333	-7.34147834777832	-0.48778796	Yes	
row_152	IL2RB	14340	-7.522202014923096	-0.48009038	Yes	
row_153	TRIM21	14345	-7.6103010177612305	-0.47215742	Yes	
row_154	SP110	14346	-7.6358723640441895	-0.4639162	Yes	
row_155	CXCL9	14350	-7.807791233062744	-0.45569995	Yes	
row_156	LAP3	14354	-7.885714054107666	-0.4473996	Yes	
row_157	CASP1	14359	-8.044499397277832	-0.43899798	Yes	
row_158	TAPBP	14360	-8.099675178527832	-0.43025625	Yes	
row_159	ZBP1	14361	-8.124526023864746	-0.42148766	Yes	
row_160	SLAMF7	14363	-8.134110450744629	-0.41277888	Yes	
row_161	NLRC5	14369	-8.286686897277832	-0.40418607	Yes	
row_162	CD274	14370	-8.314643859863281	-0.3952123	Yes	
row_163	LCP2	14379	-8.550251007080078	-0.38654548	Yes	
row_164	PARP12	14381	-8.736580848693848	-0.37718648	Yes	
row_165	PARP14	14387	-9.059661865234375	-0.36775944	Yes	
row_166	ISG20	14391	-9.17187786102295	-0.35807094	Yes	
row_167	B2M	14392	-9.231995582580566	-0.3481071	Yes	
row_168	NMI	14393	-9.246169090270996	-0.33812794	Yes	
row_169	IFI35	14394	-9.249558448791504	-0.32814515	Yes	
row_170	IFIH1	14395	-9.286872863769531	-0.3181221	Yes	
row_171	UBE2L6	14396	-9.532517433166504	-0.30783388	Yes	
row_172	IDO1	14397	-9.553178787231445	-0.2975234	Yes	
row_173	PSME1	14399	-9.607563972473145	-0.28722438	Yes	
row_174	CIITA	14403	-9.913140296936035	-0.27673587	Yes	
row_175	PSMB10	14405	-10.057558059692383	-0.26595116	Yes	
row_176	CCL5	14406	-10.126477241516113	-0.25502193	Yes	
row_177	IRF9	14407	-10.284713745117188	-0.24392192	Yes	
row_178	HLA-DRB1	14409	-10.455623626708984	-0.2327076	Yes	
row_179	BATF2	14410	-10.503145217895508	-0.22137184	Yes	
row_180	TNFSF10	14412	-10.538268089294434	-0.21006833	Yes	
row_181	CXCL11	14415	-10.760513305664062	-0.1985951	Yes	
row_182	CD74	14418	-11.080154418945312	-0.1867769	Yes	
row_183	HLA-A	14426	-11.94275951385498	-0.1743785	Yes	
row_184	IFI30	14428	-12.170169830322266	-0.16131373	Yes	
row_185	CXCL10	14432	-12.832104682922363	-0.14767484	Yes	
row_186	PSME2	14433	-12.886308670043945	-0.13376701	Yes	
row_187	HLA-DMA	14434	-12.909936904907227	-0.11983366	Yes	
row_188	HLA-B	14436	-13.214120864868164	-0.10564217	Yes	
row_189	CD38	14441	-14.145766258239746	-0.090655655	Yes	
row_190	IRF1	14443	-14.607537269592285	-0.07496029	Yes	
row_191	PSMB8	14444	-15.189004898071289	-0.058567207	Yes	
row_192	GBP4	14446	-15.610898971557617	-0.04178894	Yes	
row_193	TAP1	14447	-18.984647750854492	-0.021299325	Yes	
row_194	PSMB9	14448	-19.73480987548828	-7.780454E-8	Yes	
