NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PDGFRB	21	22.995521545410156	0.046904035	Yes	
row_1	COL1A1	33	20.66266441345215	0.08959971	Yes	
row_2	COL1A2	37	20.572275161743164	0.13266434	Yes	
row_3	COL3A1	42	20.34913444519043	0.17518969	Yes	
row_4	COL5A2	62	18.91791534423828	0.21365616	Yes	
row_5	SDC2	72	18.519311904907227	0.25198302	Yes	
row_6	PMP22	81	17.99956703186035	0.28928646	Yes	
row_7	SNAI2	99	17.285966873168945	0.32445985	Yes	
row_8	IGFBP5	162	14.448236465454102	0.35051912	Yes	
row_9	CYR61	169	14.157840728759766	0.37988117	Yes	
row_10	DLC1	212	12.915669441223145	0.4041144	Yes	
row_11	RGS4	261	11.548943519592285	0.42505336	Yes	
row_12	COL11A1	263	11.540878295898438	0.44925997	Yes	
row_13	SERPINE1	282	11.147075653076172	0.47145018	Yes	
row_14	RUNX1	381	8.921592712402344	0.48336813	Yes	
row_15	APBB2	405	8.598990440368652	0.49984893	Yes	
row_16	LPAR1	429	8.207433700561523	0.5155061	Yes	
row_17	F3	437	8.161330223083496	0.5321844	Yes	
row_18	EFEMP1	446	8.078080177307129	0.5486178	Yes	
row_19	TGFBR2	452	7.944069862365723	0.5649789	Yes	
row_20	FBLN5	486	7.565577030181885	0.57858706	Yes	
row_21	HAS2	532	7.088629245758057	0.5903533	Yes	
row_22	DAB2	582	6.669307708740234	0.60095793	Yes	
row_23	SYNE1	587	6.647378921508789	0.6146613	Yes	
row_24	FYN	588	6.646760940551758	0.6286429	Yes	
row_25	CAV1	649	6.100245475769043	0.6372818	Yes	
row_26	DUSP1	716	5.510607719421387	0.644261	Yes	
row_27	SCHIP1	771	5.087839603424072	0.65118957	Yes	
row_28	IRS1	775	5.079241752624512	0.6616642	Yes	
row_29	RND3	776	5.075563430786133	0.67234075	Yes	
row_30	FZD2	787	5.034122943878174	0.6822313	Yes	
row_31	KIT	835	4.811331748962402	0.6890674	Yes	
row_32	GJA1	972	4.178131580352783	0.6883517	Yes	
row_33	TFPI	1015	3.9991328716278076	0.69382876	Yes	
row_34	ACVR2A	1016	3.997692346572876	0.702238	Yes	
row_35	VAV2	1026	3.9652059078216553	0.7099499	Yes	
row_36	PDLIM5	1131	3.586196184158325	0.71022546	Yes	
row_37	MAP1B	1133	3.5828263759613037	0.71769214	Yes	
row_38	ANXA2	1195	3.365467071533203	0.7205084	Yes	
row_39	AKT3	1207	3.347606658935547	0.7267814	Yes	
row_40	GRK5	1248	3.1984620094299316	0.730714	Yes	
row_41	LAMC1	1254	3.1800551414489746	0.73705393	Yes	
row_42	PTPN21	1258	3.166656732559204	0.7435054	Yes	
row_43	SYNJ2	1268	3.1284050941467285	0.7494571	Yes	
row_44	NRP1	1315	3.007749319076538	0.7525692	Yes	
row_45	SMAD7	1426	2.689767599105835	0.7505397	Yes	
row_46	SMAD3	1439	2.656160593032837	0.7552884	Yes	
row_47	BMPR1A	1542	2.436174154281616	0.7532846	Yes	
row_48	ADORA2B	1624	2.271090507507324	0.7524011	Yes	
row_49	PLCB4	1751	2.0766279697418213	0.7479637	Yes	
row_50	CDON	1764	2.0548148155212402	0.75144744	Yes	
row_51	KALRN	1789	2.030144214630127	0.7540406	Yes	
row_52	ATXN1	1815	1.986816167831421	0.75647277	Yes	
row_53	VLDLR	1926	1.8296382427215576	0.752634	No	
row_54	ID1	1995	1.7446303367614746	0.7515516	No	
row_55	CITED2	2015	1.7270700931549072	0.7538567	No	
row_56	CELF2	2045	1.6987158060073853	0.7554033	No	
row_57	LTBP1	2114	1.6224801540374756	0.75406396	No	
row_58	RXRA	2131	1.6050643920898438	0.7563221	No	
row_59	PPAP2B	2332	1.413334608078003	0.7453179	No	
row_60	BDNF	2381	1.367530107498169	0.74483997	No	
row_61	PRKAR2B	2408	1.343372106552124	0.7458487	No	
row_62	ITGB3	2527	1.234256386756897	0.7401985	No	
row_63	PIAS3	2565	1.1997723579406738	0.74013644	No	
row_64	NEK7	2631	1.1607087850570679	0.73803544	No	
row_65	PRDM2	2657	1.142574429512024	0.7386917	No	
row_66	ABCC1	2745	1.0746538639068604	0.73487216	No	
row_67	RBPMS	2756	1.068453073501587	0.7364208	No	
row_68	DLG1	2806	1.0331777334213257	0.7351697	No	
row_69	PRKCA	2851	1.0067261457443237	0.7342124	No	
row_70	BHLHE40	2908	0.9736406207084656	0.7323469	No	
row_71	AMPH	2959	0.9442236423492432	0.7308388	No	
row_72	SCN8A	3055	0.8881300687789917	0.7260678	No	
row_73	ZMIZ1	3141	0.8418931365013123	0.72189844	No	
row_74	SLC7A1	3172	0.8247910737991333	0.7215368	No	
row_75	PTEN	3190	0.8199529647827148	0.72207355	No	
row_76	TJP1	3378	0.7315719723701477	0.7105437	No	
row_77	ATRN	3380	0.7312659025192261	0.71201205	No	
row_78	MET	3401	0.7212046980857849	0.7121314	No	
row_79	PPARG	3486	0.6900899410247803	0.7077126	No	
row_80	CAP2	3513	0.6758538484573364	0.70731723	No	
row_81	IGF1R	3614	0.6341347098350525	0.70166254	No	
row_82	MAGI2	3807	0.5655742883682251	0.6894341	No	
row_83	FHL2	3902	0.5363754630088806	0.6839931	No	
row_84	PTPRM	4157	0.45709913969039917	0.66720355	No	
row_85	MGLL	4239	0.4322228729724884	0.662452	No	
row_86	ATP2B1	4308	0.4151404798030853	0.658573	No	
row_87	ARHGEF9	4830	0.2882518172264099	0.6227687	No	
row_88	MTA1	4940	0.2633051872253418	0.61570495	No	
