NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HLX	624	6.339881896972656	-0.016048519	No	
row_1	GADD45B	986	4.106210708618164	-0.023445113	No	
row_2	FOS	1163	3.479102373123169	-0.020690382	No	
row_3	IL18R1	1216	3.3003103733062744	-0.010091436	No	
row_4	SPHK2	1840	1.9522815942764282	-0.044963725	No	
row_5	IL2RA	4924	0.26874616742134094	-0.25797808	No	
row_6	MAPK14	5320	0.1876758337020874	-0.28461003	No	
row_7	IL18	5561	0.1421108841896057	-0.30067053	No	
row_8	MAP2K6	6491	0.009253203868865967	-0.365167	No	
row_9	STAT3	7223	-0.08753954619169235	-0.41557157	No	
row_10	TYK2	7340	-0.10564950853586197	-0.42317498	No	
row_11	IL1R1	7361	-0.10835233330726624	-0.42409778	No	
row_12	MTOR	7982	-0.20811107754707336	-0.46627215	No	
row_13	ATF2	8092	-0.2268020361661911	-0.4728676	No	
row_14	NFKB2	8933	-0.38457217812538147	-0.5295652	No	
row_15	CCL3	10460	-0.7852380871772766	-0.63219297	No	
row_16	MAP2K3	11202	-1.040027379989624	-0.67919075	No	
row_17	RAB7A	11219	-1.050909161567688	-0.675777	No	
row_18	IL1B	12100	-1.4587383270263672	-0.73062795	No	
row_19	RIPK2	12679	-1.8447362184524536	-0.76283723	No	
row_20	STAT6	12693	-1.8535139560699463	-0.755759	No	
row_21	RELB	12882	-2.00689697265625	-0.76017725	No	
row_22	IL12RB2	13349	-2.580457925796509	-0.78143805	Yes	
row_23	NFKB1	13372	-2.6080853939056396	-0.7717358	Yes	
row_24	STAT5A	13461	-2.771395683288574	-0.7659153	Yes	
row_25	RELA	13553	-2.9202077388763428	-0.75966233	Yes	
row_26	GADD45G	13592	-2.984598159790039	-0.74945027	Yes	
row_27	IL12A	13638	-3.0925939083099365	-0.7392595	Yes	
row_28	EOMES	13758	-3.3685853481292725	-0.73302096	Yes	
row_29	SOCS1	13861	-3.672055244445801	-0.72429466	Yes	
row_30	GZMB	13981	-4.136630535125732	-0.7147489	Yes	
row_31	CCL4	14041	-4.398862361907959	-0.6999058	Yes	
row_32	LCK	14059	-4.528424263000488	-0.68158716	Yes	
row_33	CD4	14092	-4.7084245681762695	-0.6635354	Yes	
row_34	CD3G	14147	-5.054995536804199	-0.6455196	Yes	
row_35	CD3E	14156	-5.120388031005859	-0.6240267	Yes	
row_36	CD8B	14162	-5.16121768951416	-0.6021496	Yes	
row_37	CD3D	14203	-5.447396278381348	-0.58147156	Yes	
row_38	JAK2	14213	-5.556006908416748	-0.5581723	Yes	
row_39	STAT4	14216	-5.597293853759766	-0.534209	Yes	
row_40	CD8A	14255	-6.0973358154296875	-0.51059335	Yes	
row_41	GZMA	14300	-6.737358570098877	-0.48463857	Yes	
row_42	STAT1	14316	-6.964089870452881	-0.45569286	Yes	
row_43	IL2RB	14340	-7.522202014923096	-0.42489964	Yes	
row_44	TBX21	14349	-7.786045551300049	-0.39192826	Yes	
row_45	CD247	14353	-7.844257354736328	-0.35835886	Yes	
row_46	CCR5	14375	-8.421749114990234	-0.3235532	Yes	
row_47	IL2RG	14389	-9.103879928588867	-0.2852545	Yes	
row_48	B2M	14392	-9.231995582580566	-0.24564	Yes	
row_49	HLA-DRB1	14409	-10.455623626708984	-0.20172903	Yes	
row_50	HLA-DRA	14422	-11.386918067932129	-0.15352997	Yes	
row_51	IL12RB1	14424	-11.8718900680542	-0.10247846	Yes	
row_52	HLA-A	14426	-11.94275951385498	-0.05112178	Yes	
row_53	FASLG	14429	-12.210840225219727	0.0013198062	Yes	
