NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EGR1	1069	3.8074090480804443	-0.060036607	No	
row_1	IFITM2	2439	1.3159608840942383	-0.15021755	No	
row_2	RNASEL	2513	1.2439026832580566	-0.1506426	No	
row_3	SOCS3	2842	1.0128326416015625	-0.16964392	No	
row_4	PTPN11	3678	0.6106530427932739	-0.22536545	No	
row_5	IP6K2	4126	0.46727505326271057	-0.25467053	No	
row_6	PTPN1	4226	0.43542248010635376	-0.2599212	No	
row_7	IFNAR1	6020	0.0710127204656601	-0.38420448	No	
row_8	TYK2	7340	-0.10564950853586197	-0.47543254	No	
row_9	JAK1	8070	-0.2236177921295166	-0.5252364	No	
row_10	IRF3	8652	-0.3266022205352783	-0.56437504	No	
row_11	ABCE1	9610	-0.5448637008666992	-0.6288169	No	
row_12	STAT2	10940	-0.9333966374397278	-0.7176481	No	
row_13	IFITM3	11455	-1.143408179283142	-0.74908197	No	
row_14	IRF6	12819	-1.9561265707015991	-0.8364552	No	
row_15	HLA-G	13225	-2.3968968391418457	-0.85563594	Yes	
row_16	BST2	13341	-2.571676731109619	-0.85401946	Yes	
row_17	IFITM1	13492	-2.820958375930786	-0.8539031	Yes	
row_18	ADAR	13563	-2.9360296726226807	-0.8477999	Yes	
row_19	IFI6	13756	-3.365722417831421	-0.8485665	Yes	
row_20	IRF2	13839	-3.619349479675293	-0.84074473	Yes	
row_21	IFIT5	13842	-3.62695574760437	-0.8273375	Yes	
row_22	IRF8	13854	-3.654893159866333	-0.8144511	Yes	
row_23	SOCS1	13861	-3.672055244445801	-0.8011533	Yes	
row_24	RSAD2	13897	-3.8301937580108643	-0.7892793	Yes	
row_25	MX2	13948	-4.04782772064209	-0.7776344	Yes	
row_26	IRF5	14005	-4.233673095703125	-0.7657122	Yes	
row_27	OAS3	14066	-4.564539909362793	-0.7528321	Yes	
row_28	IRF4	14141	-5.016050815582275	-0.7392382	Yes	
row_29	OAS2	14159	-5.127659797668457	-0.721268	Yes	
row_30	PTPN6	14178	-5.301661968231201	-0.7027174	Yes	
row_31	GBP2	14185	-5.3517231941223145	-0.68314624	Yes	
row_32	XAF1	14198	-5.432901859283447	-0.6636887	Yes	
row_33	MX1	14210	-5.50767183303833	-0.64388245	Yes	
row_34	OAS1	14227	-5.786743640899658	-0.6233812	Yes	
row_35	SAMHD1	14230	-5.838582992553711	-0.60171384	Yes	
row_36	ISG15	14244	-5.981853008270264	-0.5802755	Yes	
row_37	IFIT1	14258	-6.113769054412842	-0.5583445	Yes	
row_38	OASL	14264	-6.223641395568848	-0.53544736	Yes	
row_39	IRF7	14272	-6.276377201080322	-0.51249224	Yes	
row_40	IFIT2	14283	-6.543254375457764	-0.48874876	Yes	
row_41	USP18	14332	-7.312063217163086	-0.4647735	Yes	
row_42	IFIT3	14333	-7.34147834777832	-0.43735412	Yes	
row_43	HLA-C	14388	-9.090926170349121	-0.40715185	Yes	
row_44	ISG20	14391	-9.17187786102295	-0.3730351	Yes	
row_45	IFI35	14394	-9.249558448791504	-0.33862823	Yes	
row_46	IRF9	14407	-10.284713745117188	-0.30104986	Yes	
row_47	HLA-E	14416	-10.86180305480957	-0.26103827	Yes	
row_48	HLA-A	14426	-11.94275951385498	-0.21705896	Yes	
row_49	HLA-B	14436	-13.214120864868164	-0.16833127	Yes	
row_50	IRF1	14443	-14.607537269592285	-0.114190966	Yes	
row_51	PSMB8	14444	-15.189004898071289	-0.057462186	Yes	
row_52	HLA-F	14445	-15.441123962402344	2.0821646E-4	Yes	
