NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	VCAM1	721	5.461398124694824	-0.03525818	No	
row_1	TRIM2	1711	2.1569080352783203	-0.098198146	No	
row_2	TRIM29	1723	2.1229076385498047	-0.09316308	No	
row_3	TRIM62	1846	1.9384353160858154	-0.09635758	No	
row_4	MID1	2002	1.7381811141967773	-0.10239601	No	
row_5	TRIM6	2066	1.680267572402954	-0.10218958	No	
row_6	NCAM1	2078	1.663645625114441	-0.09840941	No	
row_7	CAMK2G	2681	1.1214447021484375	-0.13724382	No	
row_8	SOCS3	2842	1.0128326416015625	-0.14561221	No	
row_9	TRIM46	3006	0.9184093475341797	-0.15444739	No	
row_10	TRIM35	3341	0.7464097142219543	-0.175654	No	
row_11	TRIM8	3474	0.6932438611984253	-0.18294685	No	
row_12	PTPN11	3678	0.6106530427932739	-0.19540691	No	
row_13	ICAM1	3911	0.533552885055542	-0.21009603	No	
row_14	PTPN1	4226	0.43542248010635376	-0.2307604	No	
row_15	CAMK2D	4623	0.3369470238685608	-0.25740096	No	
row_16	IFNGR1	6789	-0.03011217527091503	-0.40800077	No	
row_17	TRIM68	7332	-0.10445147007703781	-0.4454381	No	
row_18	CAMK2B	7473	-0.12382158637046814	-0.4548436	No	
row_19	JAK1	8070	-0.2236177921295166	-0.49571368	No	
row_20	PIAS1	8288	-0.2627982795238495	-0.51009864	No	
row_21	MT2A	8594	-0.3144342601299286	-0.53046715	No	
row_22	IRF3	8652	-0.3266022205352783	-0.5335419	No	
row_23	TRIM17	9164	-0.4299945831298828	-0.5679321	No	
row_24	SUMO1	9400	-0.48833179473876953	-0.58295363	No	
row_25	CD44	9796	-0.5900131464004517	-0.6088331	No	
row_26	TRIM3	10304	-0.7363511919975281	-0.64210784	No	
row_27	TRIM25	11298	-1.0766905546188354	-0.70827776	No	
row_28	PRKCD	11979	-1.3930020332336426	-0.7517989	No	
row_29	PML	12210	-1.5224456787109375	-0.7636468	No	
row_30	TRIM5	12306	-1.579660415649414	-0.7659424	No	
row_31	TRIM34	12597	-1.7812204360961914	-0.7812591	No	
row_32	IFNGR2	12811	-1.951886773109436	-0.7907504	No	
row_33	IRF6	12819	-1.9561265707015991	-0.78589267	No	
row_34	GBP3	12826	-1.9624744653701782	-0.780948	No	
row_35	TRIM14	12981	-2.106999635696411	-0.78590906	No	
row_36	PTAFR	13002	-2.1338062286376953	-0.7814706	No	
row_37	HLA-G	13225	-2.3968968391418457	-0.79037225	No	
row_38	TRIM45	13467	-2.790365219116211	-0.79952127	No	
row_39	HLA-DQB1	13754	-3.3590784072875977	-0.8102482	Yes	
row_40	HLA-DQA1	13817	-3.5312001705169678	-0.80491465	Yes	
row_41	IRF2	13839	-3.619349479675293	-0.7964867	Yes	
row_42	IRF8	13854	-3.654893159866333	-0.78747445	Yes	
row_43	SOCS1	13861	-3.672055244445801	-0.77785844	Yes	
row_44	TRIM38	13892	-3.8114147186279297	-0.7695321	Yes	
row_45	FCGR1B	13906	-3.8700389862060547	-0.75986236	Yes	
row_46	FCGR1A	13952	-4.055443286895752	-0.7519132	Yes	
row_47	IRF5	14005	-4.233673095703125	-0.7439642	Yes	
row_48	TRIM26	14008	-4.2433342933654785	-0.73250884	Yes	
row_49	TRIM22	14009	-4.244407653808594	-0.7209114	Yes	
row_50	HLA-DQB2	14016	-4.28115177154541	-0.70963115	Yes	
row_51	OAS3	14066	-4.564539909362793	-0.7005693	Yes	
row_52	SP100	14133	-4.9477763175964355	-0.6916435	Yes	
row_53	IRF4	14141	-5.016050815582275	-0.6784248	Yes	
row_54	OAS2	14159	-5.127659797668457	-0.6655971	Yes	
row_55	PTPN6	14178	-5.301661968231201	-0.65236354	Yes	
row_56	HLA-DQA2	14182	-5.330422401428223	-0.63800746	Yes	
row_57	GBP2	14185	-5.3517231941223145	-0.62352353	Yes	
row_58	JAK2	14213	-5.556006908416748	-0.61022145	Yes	
row_59	OAS1	14227	-5.786743640899658	-0.59531444	Yes	
row_60	HLA-DRB5	14233	-5.8672990798950195	-0.5796306	Yes	
row_61	OASL	14264	-6.223641395568848	-0.56471306	Yes	
row_62	IRF7	14272	-6.276377201080322	-0.5480506	Yes	
row_63	TRIM21	14345	-7.6103010177612305	-0.5322673	Yes	
row_64	GBP1	14364	-8.141721725463867	-0.5112735	Yes	
row_65	HLA-C	14388	-9.090926170349121	-0.48803416	Yes	
row_66	B2M	14392	-9.231995582580566	-0.46301737	Yes	
row_67	CIITA	14403	-9.913140296936035	-0.4366266	Yes	
row_68	IRF9	14407	-10.284713745117188	-0.40873334	Yes	
row_69	HLA-DRB1	14409	-10.455623626708984	-0.38023388	Yes	
row_70	GBP5	14411	-10.530893325805664	-0.35152876	Yes	
row_71	HLA-DPB1	14413	-10.686492919921875	-0.32239848	Yes	
row_72	HLA-E	14416	-10.86180305480957	-0.29285878	Yes	
row_73	HLA-DRA	14422	-11.386918067932129	-0.26209307	Yes	
row_74	HLA-A	14426	-11.94275951385498	-0.22966935	Yes	
row_75	IFI30	14428	-12.170169830322266	-0.19648504	Yes	
row_76	HLA-B	14436	-13.214120864868164	-0.16086584	Yes	
row_77	HLA-DPA1	14437	-13.417485237121582	-0.12420377	Yes	
row_78	IRF1	14443	-14.607537269592285	-0.084637985	Yes	
row_79	HLA-F	14445	-15.441123962402344	-0.04251611	Yes	
row_80	GBP4	14446	-15.610898971557617	1.3926747E-4	Yes	
