NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	VCAM1	721	5.461398124694824	-0.04106114	No	
row_1	PLCG1	823	4.848696708679199	-0.039762735	No	
row_2	NEDD4	969	4.1987504959106445	-0.04266769	No	
row_3	EGR1	1069	3.8074090480804443	-0.043027002	No	
row_4	KPNA3	1453	2.6208739280700684	-0.06532282	No	
row_5	TRIM2	1711	2.1569080352783203	-0.07959613	No	
row_6	TRIM29	1723	2.1229076385498047	-0.07670126	No	
row_7	TRIM62	1846	1.9384353160858154	-0.08189798	No	
row_8	MID1	2002	1.7381811141967773	-0.08975137	No	
row_9	EIF4G3	2030	1.7101014852523804	-0.08868965	No	
row_10	TRIM6	2066	1.680267572402954	-0.08823966	No	
row_11	NCAM1	2078	1.663645625114441	-0.086137705	No	
row_12	FLNA	2139	1.5994136333465576	-0.087578006	No	
row_13	IFITM2	2439	1.3159608840942383	-0.106244385	No	
row_14	RNASEL	2513	1.2439026832580566	-0.109208845	No	
row_15	CAMK2G	2681	1.1214447021484375	-0.11896736	No	
row_16	SOCS3	2842	1.0128326416015625	-0.1284232	No	
row_17	EIF4G2	3002	0.9221342206001282	-0.13796559	No	
row_18	TRIM46	3006	0.9184093475341797	-0.13659005	No	
row_19	POM121	3252	0.7925904989242554	-0.15237851	No	
row_20	TRIM35	3341	0.7464097142219543	-0.15725231	No	
row_21	TRIM8	3474	0.6932438611984253	-0.16529913	No	
row_22	EIF4A2	3552	0.6591086387634277	-0.16955334	No	
row_23	PTPN11	3678	0.6106530427932739	-0.17725255	No	
row_24	ICAM1	3911	0.533552885055542	-0.19257788	No	
row_25	KPNA5	3990	0.5119062662124634	-0.19715627	No	
row_26	IP6K2	4126	0.46727505326271057	-0.20580329	No	
row_27	RANBP2	4197	0.4426755905151367	-0.20994098	No	
row_28	PTPN1	4226	0.43542248010635376	-0.21115	No	
row_29	NUP188	4464	0.37766289710998535	-0.22709462	No	
row_30	NUP214	4582	0.3491975665092468	-0.234685	No	
row_31	CAMK2D	4623	0.3369470238685608	-0.2369044	No	
row_32	NUP133	5001	0.24867792427539825	-0.26287562	No	
row_33	RPS27A	5129	0.22374401986598969	-0.27138287	No	
row_34	ARIH1	5437	0.16712063550949097	-0.29259294	No	
row_35	EIF4E	5736	0.11488362401723862	-0.31326294	No	
row_36	IFNAR1	6020	0.0710127204656601	-0.33295828	No	
row_37	KPNA4	6044	0.06588950753211975	-0.33445516	No	
row_38	AAAS	6080	0.061572082340717316	-0.33679983	No	
row_39	NUP93	6284	0.0334487147629261	-0.35095778	No	
row_40	EIF4E2	6554	-0.001651949598453939	-0.36979246	No	
row_41	FLNB	6670	-0.014177088625729084	-0.3778212	No	
row_42	IFNGR1	6789	-0.03011217527091503	-0.38603252	No	
row_43	PPM1B	6851	-0.03603455424308777	-0.390242	No	
row_44	EIF4G1	6860	-0.036912158131599426	-0.39073852	No	
row_45	PDE12	7137	-0.07627299427986145	-0.40993455	No	
row_46	TRIM68	7332	-0.10445147007703781	-0.42333966	No	
row_47	TYK2	7340	-0.10564950853586197	-0.42364746	No	
row_48	CAMK2B	7473	-0.12382158637046814	-0.4326774	No	
row_49	NUP160	7553	-0.13977503776550293	-0.43796828	No	
row_50	JAK1	8070	-0.2236177921295166	-0.47371665	No	
row_51	PIAS1	8288	-0.2627982795238495	-0.48845902	No	
row_52	KPNB1	8442	-0.2862647473812103	-0.49867907	No	
row_53	RAE1	8459	-0.28938576579093933	-0.49929988	No	
row_54	MT2A	8594	-0.3144342601299286	-0.5081408	No	
row_55	IRF3	8652	-0.3266022205352783	-0.5115685	No	
row_56	NUP54	8676	-0.33211004734039307	-0.5126057	No	
row_57	NUP43	8862	-0.36997365951538086	-0.5249222	No	
row_58	UBC	8877	-0.3721621036529541	-0.52526003	No	
row_59	MAPK3	9117	-0.4203915596008301	-0.5412709	No	
row_60	TRIM17	9164	-0.4299945831298828	-0.5437498	No	
row_61	PIN1	9245	-0.4510543644428253	-0.5485733	No	
row_62	NUP155	9299	-0.46587619185447693	-0.5514805	No	
row_63	SUMO1	9400	-0.48833179473876953	-0.5576402	No	
row_64	ABCE1	9610	-0.5448637008666992	-0.5713353	No	
row_65	NUP205	9645	-0.554692268371582	-0.5727586	No	
row_66	CD44	9796	-0.5900131464004517	-0.58224416	No	
row_67	NUP153	10153	-0.6950076818466187	-0.6059742	No	
row_68	UBA52	10202	-0.7079170942306519	-0.60811335	No	
row_69	TRIM3	10304	-0.7363511919975281	-0.6139149	No	
row_70	TPR	10326	-0.742824137210846	-0.61410296	No	
row_71	EIF4A1	10548	-0.8108199834823608	-0.6281793	No	
row_72	UBE2N	10604	-0.8302862644195557	-0.63059735	No	
row_73	KPNA1	10625	-0.835017740726471	-0.6305563	No	
row_74	NUP62	10797	-0.8885762095451355	-0.64099693	No	
row_75	NUP107	10895	-0.9207952618598938	-0.64619994	No	
row_76	STAT2	10940	-0.9333966374397278	-0.6476697	No	
row_77	NUP50	11190	-1.0327128171920776	-0.66332364	No	
row_78	TRIM25	11298	-1.0766905546188354	-0.66895777	No	
row_79	NUP35	11428	-1.133196473121643	-0.6760349	No	
row_80	IFITM3	11455	-1.143408179283142	-0.67588156	No	
row_81	UBB	11493	-1.1637333631515503	-0.6764634	No	
row_82	EIF4A3	11645	-1.2396764755249023	-0.68489736	No	
row_83	SEC13	11879	-1.3454124927520752	-0.69889104	No	
row_84	PRKCD	11979	-1.3930020332336426	-0.7034188	No	
row_85	PML	12210	-1.5224456787109375	-0.7168968	No	
row_86	TRIM5	12306	-1.579660415649414	-0.72082216	No	
row_87	TRIM34	12597	-1.7812204360961914	-0.738055	No	
row_88	NUPL2	12623	-1.800740122795105	-0.7366968	No	
row_89	IFNGR2	12811	-1.951886773109436	-0.74642205	No	
row_90	IRF6	12819	-1.9561265707015991	-0.74353504	No	
row_91	GBP3	12826	-1.9624744653701782	-0.740567	No	
row_92	UBE2E1	12973	-2.098215103149414	-0.74716854	No	
row_93	TRIM14	12981	-2.106999635696411	-0.744021	No	
row_94	NUP210	12990	-2.1191084384918213	-0.74092263	No	
row_95	PTAFR	13002	-2.1338062286376953	-0.7380089	No	
row_96	NUP37	13212	-2.3830485343933105	-0.74853045	No	
row_97	HLA-G	13225	-2.3968968391418457	-0.7452326	No	
row_98	BST2	13341	-2.571676731109619	-0.7488458	Yes	
