NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	VCAM1	721	5.461398124694824	-0.03313971	No	
row_1	TRIM62	1846	1.9384353160858154	-0.10524919	No	
row_2	MID1	2002	1.7381811141967773	-0.110619515	No	
row_3	NCAM1	2078	1.663645625114441	-0.110660255	No	
row_4	CAMK2G	2681	1.1214447021484375	-0.14902233	No	
row_5	TRIM8	3474	0.6932438611984253	-0.20192407	No	
row_6	ICAM1	3911	0.533552885055542	-0.23057437	No	
row_7	CAMK2D	4623	0.3369470238685608	-0.27895314	No	
row_8	IFNGR1	6789	-0.03011217527091503	-0.4293635	No	
row_9	TRIM68	7332	-0.10445147007703781	-0.46671683	No	
row_10	CAMK2B	7473	-0.12382158637046814	-0.47606418	No	
row_11	JAK1	8070	-0.2236177921295166	-0.5168009	No	
row_12	MT2A	8594	-0.3144342601299286	-0.5521805	No	
row_13	IRF3	8652	-0.3266022205352783	-0.5551274	No	
row_14	CD44	9796	-0.5900131464004517	-0.6327506	No	
row_15	TRIM25	11298	-1.0766905546188354	-0.7337474	No	
row_16	PRKCD	11979	-1.3930020332336426	-0.77668744	No	
row_17	PML	12210	-1.5224456787109375	-0.78794235	No	
row_18	TRIM5	12306	-1.579660415649414	-0.7896346	No	
row_19	TRIM34	12597	-1.7812204360961914	-0.80425584	No	
row_20	IFNGR2	12811	-1.951886773109436	-0.81299365	No	
row_21	IRF6	12819	-1.9561265707015991	-0.8073978	No	
row_22	PTAFR	13002	-2.1338062286376953	-0.8134149	No	
row_23	HCK	13095	-2.2355093955993652	-0.81285924	No	
row_24	HLA-G	13225	-2.3968968391418457	-0.81437385	No	
row_25	HLA-DQB1	13754	-3.3590784072875977	-0.84063387	Yes	
row_26	HLA-DQA1	13817	-3.5312001705169678	-0.8339639	Yes	
row_27	IRF2	13839	-3.619349479675293	-0.8241695	Yes	
row_28	IRF8	13854	-3.654893159866333	-0.81377804	Yes	
row_29	TRIM38	13892	-3.8114147186279297	-0.80449873	Yes	
row_30	FCGR1B	13906	-3.8700389862060547	-0.79336876	Yes	
row_31	FCGR1A	13952	-4.055443286895752	-0.78388685	Yes	
row_32	IRF5	14005	-4.233673095703125	-0.77433735	Yes	
row_33	TRIM26	14008	-4.2433342933654785	-0.7612819	Yes	
row_34	TRIM22	14009	-4.244407653808594	-0.7480841	Yes	
row_35	HLA-DQB2	14016	-4.28115177154541	-0.7351892	Yes	
row_36	OAS3	14066	-4.564539909362793	-0.72440237	Yes	
row_37	SP100	14133	-4.9477763175964355	-0.7136056	Yes	
row_38	IRF4	14141	-5.016050815582275	-0.69849503	Yes	
row_39	OAS2	14159	-5.127659797668457	-0.6837326	Yes	
row_40	HLA-DQA2	14182	-5.330422401428223	-0.66868734	Yes	
row_41	GBP2	14185	-5.3517231941223145	-0.65218544	Yes	
row_42	JAK2	14213	-5.556006908416748	-0.6367863	Yes	
row_43	OAS1	14227	-5.786743640899658	-0.6196964	Yes	
row_44	HLA-DRB5	14233	-5.8672990798950195	-0.6017999	Yes	
row_45	OASL	14264	-6.223641395568848	-0.58453333	Yes	
row_46	IRF7	14272	-6.276377201080322	-0.56550384	Yes	
row_47	STAT1	14316	-6.964089870452881	-0.5468386	Yes	
row_48	TRIM21	14345	-7.6103010177612305	-0.5251212	Yes	
row_49	GBP1	14364	-8.141721725463867	-0.50105625	Yes	
row_50	HLA-C	14388	-9.090926170349121	-0.47438735	Yes	
row_51	B2M	14392	-9.231995582580566	-0.44588947	Yes	
row_52	CIITA	14403	-9.913140296936035	-0.41576022	Yes	
row_53	IRF9	14407	-10.284713745117188	-0.38398898	Yes	
row_54	HLA-DRB1	14409	-10.455623626708984	-0.35154724	Yes	
row_55	HLA-DPB1	14413	-10.686492919921875	-0.3185267	Yes	
row_56	HLA-E	14416	-10.86180305480957	-0.2848915	Yes	
row_57	HLA-DRA	14422	-11.386918067932129	-0.249832	Yes	
row_58	HLA-A	14426	-11.94275951385498	-0.21290515	Yes	
row_59	IFI30	14428	-12.170169830322266	-0.17513213	Yes	
row_60	HLA-B	14436	-13.214120864868164	-0.1345301	Yes	
row_61	HLA-DPA1	14437	-13.417485237121582	-0.092809096	Yes	
row_62	IRF1	14443	-14.607537269592285	-0.047735278	Yes	
row_63	HLA-F	14445	-15.441123962402344	2.0861135E-4	Yes	
