NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BGN	0	32.762489318847656	0.02184851	Yes	
row_1	COL16A1	3	28.875749588012695	0.040964723	Yes	
row_2	AEBP1	7	27.5238037109375	0.059109196	Yes	
row_3	FBN1	10	25.526628494262695	0.075991966	Yes	
row_4	PCOLCE	11	25.173608779907227	0.09277964	Yes	
row_5	LAMB1	13	24.623184204101562	0.10913008	Yes	
row_6	CILP2	14	24.407766342163086	0.12540703	Yes	
row_7	VCAN	15	24.216426849365234	0.14155637	Yes	
row_8	FN1	17	23.975631713867188	0.15747498	Yes	
row_9	EMILIN1	23	22.703514099121094	0.17226459	Yes	
row_10	COL5A1	25	22.42133903503418	0.18714668	Yes	
row_11	SPARC	26	22.05744743347168	0.20185626	Yes	
row_12	CRISPLD2	28	21.91574478149414	0.21640117	Yes	
row_13	COL6A2	30	21.51334571838379	0.23067774	Yes	
row_14	COL1A1	33	20.66266441345215	0.24431685	Yes	
row_15	COL1A2	37	20.572275161743164	0.25782552	Yes	
row_16	COL3A1	42	20.34913444519043	0.2711152	Yes	
row_17	COL6A3	43	20.324020385742188	0.2846688	Yes	
row_18	IGFBP4	44	20.304241180419922	0.29820922	Yes	
row_19	COL8A1	46	20.25307846069336	0.31164536	Yes	
row_20	OGN	54	19.464208602905273	0.32413444	Yes	
row_21	ECM2	55	19.46186637878418	0.33711308	Yes	
row_22	SPOCK1	57	19.375314712524414	0.34996384	Yes	
row_23	COL5A2	62	18.91791534423828	0.36229908	Yes	
row_24	NID1	74	18.328937530517578	0.37375045	Yes	
row_25	PODN	76	18.17214584350586	0.38579887	Yes	
row_26	COL6A1	91	17.453189849853516	0.3964557	Yes	
row_27	THBS1	96	17.353012084960938	0.4077474	Yes	
row_28	CTGF	97	17.307941436767578	0.41928962	Yes	
row_29	WISP2	101	17.074663162231445	0.43046582	Yes	
row_30	SRPX	109	16.414016723632812	0.4409208	Yes	
row_31	THBS2	114	16.17940902709961	0.4514298	Yes	
row_32	WISP1	132	15.70638370513916	0.4607113	Yes	
row_33	MATN3	139	15.506300926208496	0.4706311	Yes	
row_34	CILP	147	15.122784614562988	0.480225	Yes	
row_35	DCN	151	14.871610641479492	0.48993203	Yes	
row_36	PRG4	159	14.528521537780762	0.49912962	Yes	
row_37	IGFBP5	162	14.448236465454102	0.5086245	Yes	
row_38	SLIT2	165	14.370489120483398	0.5180675	Yes	
row_39	CYR61	169	14.157840728759766	0.5272985	Yes	
row_40	SRPX2	178	14.057943344116211	0.5361121	Yes	
row_41	COL10A1	179	14.053779602050781	0.54548424	Yes	
row_42	SNED1	187	13.827533721923828	0.55421436	Yes	
row_43	SMOC2	188	13.797897338867188	0.5634159	Yes	
row_44	NID2	199	13.429924011230469	0.57167035	Yes	
row_45	SLIT3	201	13.375941276550293	0.5805203	Yes	
row_46	COL14A1	214	12.832466125488281	0.58823603	Yes	
row_47	CTHRC1	222	12.700549125671387	0.5962146	Yes	
row_48	HMCN1	224	12.649351119995117	0.60458	Yes	
row_49	PODNL1	225	12.644210815429688	0.6130121	Yes	
row_50	OMD	227	12.549365043640137	0.6213108	Yes	
row_51	MFAP4	248	11.888707160949707	0.62783587	Yes	
row_52	ASPN	251	11.84500503540039	0.63559467	Yes	
row_53	EDIL3	252	11.802762031555176	0.64346564	Yes	
row_54	COL11A1	263	11.540878295898438	0.65046036	Yes	
row_55	SVEP1	265	11.53303050994873	0.65808135	Yes	
row_56	ECM1	284	11.13912296295166	0.66424686	Yes	
row_57	SPON2	285	11.115934371948242	0.67165977	Yes	
row_58	FNDC1	292	10.93168830871582	0.6785289	Yes	
row_59	COL5A3	294	10.875879287719727	0.6857116	Yes	
row_60	MGP	299	10.819174766540527	0.692646	Yes	
row_61	COMP	310	10.403553009033203	0.6988823	Yes	
row_62	COL9A3	313	10.296281814575195	0.7056083	Yes	
row_63	FBLN2	321	10.153251647949219	0.71188813	Yes	
row_64	MFAP5	325	10.009247779846191	0.71835256	Yes	
row_65	LUM	328	9.903671264648438	0.72481674	Yes	
row_66	COL4A2	330	9.8615083694458	0.731323	Yes	
row_67	SPARCL1	346	9.60045051574707	0.7366729	Yes	
row_68	COL4A1	362	9.367005348205566	0.7418671	Yes	
row_69	COL4A6	368	9.177064895629883	0.74763626	Yes	
row_70	FBLN1	416	8.379404067993164	0.74992675	Yes	
row_71	MMRN1	430	8.203608512878418	0.7544854	Yes	
row_72	EFEMP2	441	8.129379272460938	0.7592051	Yes	
row_73	EFEMP1	446	8.078080177307129	0.76431155	Yes	
row_74	SPOCK2	465	7.823519229888916	0.76826596	Yes	
row_75	COL8A2	473	7.728960037231445	0.77292913	Yes	
row_76	FBLN5	486	7.565577030181885	0.7771325	Yes	
row_77	POSTN	501	7.421000957489014	0.78109914	Yes	
row_78	ELN	506	7.347873210906982	0.7857186	Yes	
row_79	EPYC	512	7.306029319763184	0.79024	Yes	
row_80	IGFBP6	535	7.062963962554932	0.7934066	Yes	
row_81	PXDN	546	6.95456075668335	0.79734284	Yes	
row_82	DPT	559	6.870962142944336	0.80108297	Yes	
row_83	HSPG2	563	6.854047775268555	0.8054433	Yes	
row_84	COL12A1	569	6.809366226196289	0.8096335	Yes	
row_85	CRISPLD1	578	6.693455219268799	0.81353587	Yes	
row_86	MXRA5	585	6.655370235443115	0.8175532	Yes	
row_87	MFAP2	635	6.236980438232422	0.8182747	Yes	
row_88	COL4A5	639	6.217471122741699	0.82221043	Yes	
row_89	TGFBI	647	6.1078267097473145	0.8257925	Yes	
row_90	COL15A1	663	5.973138332366943	0.82872343	Yes	
row_91	LTBP2	691	5.750689506530762	0.8306641	Yes	
row_92	NPNT	711	5.592362880706787	0.83306044	Yes	
row_93	COL7A1	740	5.3383402824401855	0.83465594	Yes	
row_94	PCOLCE2	780	5.065311908721924	0.8352976	Yes	
row_95	LGI2	839	4.786462783813477	0.83442026	Yes	
row_96	NTNG1	867	4.647370338439941	0.8356252	Yes	
row_97	LGI4	869	4.642918586730957	0.83865124	Yes	
row_98	FMOD	904	4.5138750076293945	0.83927596	Yes	
row_99	ACAN	907	4.496897220611572	0.84213454	Yes	
row_100	LAMA4	936	4.362369060516357	0.84307915	Yes	
row_101	IGFBP7	941	4.323988914489746	0.8456821	Yes	
row_102	TNXB	957	4.24572229385376	0.84746104	Yes	
row_103	CRIM1	959	4.23845100402832	0.8502174	Yes	
row_104	COL6A6	994	4.087071895599365	0.8505575	Yes	
row_105	VWF	999	4.064070701599121	0.8529871	Yes	
row_106	COL27A1	1002	4.047438621520996	0.85554594	Yes	
row_107	LAMA2	1064	3.8180091381073	0.8538123	Yes	
row_108	LAMA1	1074	3.7882087230682373	0.8557071	Yes	
row_109	COL18A1	1123	3.6138134002685547	0.8547493	No	
row_110	LTBP4	1155	3.4895191192626953	0.85490143	No	
row_111	PXDNL	1180	3.4062256813049316	0.8554891	No	
row_112	TNFAIP6	1228	3.265691041946411	0.85436934	No	
row_113	LAMC1	1254	3.1800551414489746	0.85473603	No	
row_114	KCP	1304	3.0295019149780273	0.85331845	No	
row_115	THBS4	1365	2.8542728424072266	0.8510123	No	
row_116	MFGE8	1367	2.8476195335388184	0.85284114	No	
row_117	IGFBP3	1446	2.643799304962158	0.8491317	No	
row_118	FBN2	1492	2.525527000427246	0.84765863	No	
row_119	LAMA5	1506	2.490309000015259	0.8484073	No	
row_120	FRAS1	1522	2.4682183265686035	0.8490009	No	
row_121	LTBP3	1596	2.3450634479522705	0.845443	No	
row_122	TNC	1649	2.225175619125366	0.8432786	No	
row_123	FBLN7	1736	2.1024563312530518	0.8386468	No	
row_124	LAMB2	1739	2.1008808612823486	0.8399075	No	
row_125	LAMC2	1743	2.095118284225464	0.84109426	No	
row_126	FBN3	1903	1.8527501821517944	0.83117425	No	
row_127	EGFLAM	1912	1.8447757959365845	0.8318432	No	
row_128	NTNG2	2008	1.7341132164001465	0.82633436	No	
row_129	TINAGL1	2033	1.7041021585464478	0.82578695	No	
row_130	NOV	2050	1.6956250667572021	0.8257952	No	
row_131	PRELP	2100	1.6393378973007202	0.8234505	No	
row_132	LTBP1	2114	1.6224801540374756	0.82362044	No	
row_133	COL13A1	2435	1.319346308708191	0.80204886	No	
row_134	TSKU	2459	1.2954884767532349	0.8012991	No	
row_135	COLQ	2551	1.213668704032898	0.7957238	No	
row_136	MFAP3	2675	1.1259663105010986	0.78784496	No	
row_137	COL9A2	3065	0.8837475776672363	0.7611418	No	
row_138	IGFBP2	3161	0.8299456238746643	0.75503	No	
row_139	VWA1	3406	0.719331681728363	0.7383905	No	
row_140	PAPLN	3776	0.5757390260696411	0.71288514	No	
row_141	COL24A1	3969	0.5178328156471252	0.69975966	No	
row_142	NELL2	4022	0.49741899967193604	0.696443	No	
row_143	GAS6	4296	0.4175768494606018	0.6775676	No	
row_144	ESM1	4391	0.3970465362071991	0.6712373	No	
row_145	HAPLN1	4556	0.35484904050827026	0.6599676	No	
row_146	DDX26B	4641	0.3307645916938782	0.65429467	No	
row_147	MATN2	4797	0.2967529594898224	0.64361763	No	
row_148	ABI3BP	4870	0.27991411089897156	0.63875276	No	
row_149	POMZP3	4874	0.2791256904602051	0.63872844	No	
row_150	AGRN	4876	0.27863284945487976	0.6388441	No	
row_151	THBS3	4928	0.2674734592437744	0.6354442	No	
row_152	RSPO1	5037	0.2411312609910965	0.6280277	No	
row_153	IGFALS	5137	0.2232169657945633	0.62123066	No	
row_154	RSPO4	5139	0.2229078710079193	0.62130916	No	
row_155	THSD4	5424	0.17012739181518555	0.60149693	No	
row_156	LAMB3	5600	0.1360493153333664	0.5893096	No	
row_157	LAMC3	5995	0.07508744299411774	0.5617163	No	
row_158	RELN	6241	0.03791579231619835	0.54455227	No	
row_159	VWCE	6242	0.03790045529603958	0.54457754	No	
row_160	SPP1	6457	0.012563547119498253	0.52957153	No	
row_161	SSPO	6471	0.011384519748389721	0.52866703	No	
row_162	EMID1	6866	-0.03801625594496727	0.5010491	No	
row_163	BGLAP	6998	-0.05744849890470505	0.49189636	No	
row_164	COL23A1	7052	-0.06437180191278458	0.48822075	No	
row_165	MMRN2	7336	-0.10498864203691483	0.46843532	No	
row_166	IGSF10	7712	-0.1666320562362671	0.44223619	No	
row_167	CHADL	7803	-0.1807325780391693	0.43604225	No	
row_168	COL22A1	8192	-0.24674451351165771	0.40898445	No	
row_169	MFAP1	8241	-0.2553883492946625	0.40578705	No	
row_170	LAMA3	8245	-0.25574278831481934	0.40574712	No	
row_171	SPON1	8641	-0.3249360918998718	0.37825036	No	
row_172	NTN1	8944	-0.3860628604888916	0.35731927	No	
row_173	TECTA	8954	-0.38729575276374817	0.3569461	No	
row_174	VWA2	9348	-0.4760599434375763	0.32969046	No	
row_175	COL4A4	9957	-0.6347981691360474	0.2874561	No	
row_176	HAPLN3	10128	-0.6850274205207825	0.2759856	No	
row_177	CRELD1	10146	-0.6921370029449463	0.27525443	No	
row_178	VWA5A	10259	-0.7234484553337097	0.2678789	No	
row_179	IBSP	10787	-0.8865201473236084	0.23149543	No	
row_180	ZP3	10971	-0.9477558732032776	0.21928805	No	
row_181	COL11A2	11095	-0.9959226846694946	0.21132244	No	
row_182	RSPO3	11178	-1.0299078226089478	0.20625609	No	
row_183	WISP3	11361	-1.0999377965927124	0.19422038	No	
row_184	COL9A1	11748	-1.292286992073059	0.16800015	No	
row_185	IMPG2	11925	-1.3658709526062012	0.15656273	No	
row_186	DMBT1	12012	-1.4091863632202148	0.15146868	No	
row_187	CRELD2	12098	-1.45769202709198	0.14647712	No	
row_188	LRG1	12246	-1.5478334426879883	0.1371957	No	
row_189	VWDE	12361	-1.6137263774871826	0.13027355	No	
row_190	GLDN	13062	-2.2065722942352295	0.08263259	No	
row_191	NTN4	13217	-2.3879458904266357	0.07342031	No	
row_192	EMILIN2	13727	-3.2904396057128906	0.03990284	No	
row_193	SRGN	13796	-3.4795613288879395	0.03745235	No	
row_194	FGL2	14167	-5.258614540100098	0.014999745	No	
row_195	COCH	14317	-6.965632915496826	0.009191018	No	
