NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FBN1	10	25.526628494262695	0.056043833	Yes	
row_1	TGFB1I1	49	19.869041442871094	0.09756044	Yes	
row_2	PMEPA1	75	18.28122901916504	0.1364537	Yes	
row_3	CREB3L1	83	17.899812698364258	0.17575368	Yes	
row_4	NBL1	90	17.545291900634766	0.21433532	Yes	
row_5	THBS1	96	17.353012084960938	0.25255924	Yes	
row_6	SULF2	100	17.192136764526367	0.29056498	Yes	
row_7	SHISA2	131	15.74218463897705	0.32346594	Yes	
row_8	DCN	151	14.871610641479492	0.35519847	Yes	
row_9	SLIT2	165	14.370489120483398	0.38623524	Yes	
row_10	ADAMTS12	190	13.642065048217773	0.41488624	Yes	
row_11	ASPN	251	11.84500503540039	0.43703365	Yes	
row_12	BAMBI	255	11.692131996154785	0.4628139	Yes	
row_13	CHRD	268	11.3436279296875	0.48719227	Yes	
row_14	GPC1	297	10.839183807373047	0.5093342	Yes	
row_15	HTRA3	306	10.453468322753906	0.5320127	Yes	
row_16	SEMA6A	314	10.284576416015625	0.5543854	Yes	
row_17	SOSTDC1	324	10.074344635009766	0.57615155	Yes	
row_18	SPRY2	347	9.59453010559082	0.595945	Yes	
row_19	NOG	354	9.486289024353027	0.61661303	Yes	
row_20	FSTL3	393	8.807840347290039	0.6335427	Yes	
row_21	TGFBR2	452	7.944069862365723	0.6471585	Yes	
row_22	ADAMTSL2	541	6.993330478668213	0.6565701	Yes	
row_23	GREM1	566	6.826627731323242	0.6700716	Yes	
row_24	CAV1	649	6.100245475769043	0.6779162	Yes	
row_25	SPRED1	746	5.298579216003418	0.6830031	Yes	
row_26	AGT	779	5.065663814544678	0.6920328	Yes	
row_27	CASK	825	4.841864109039307	0.69965905	Yes	
row_28	SPRED2	879	4.607168197631836	0.706206	Yes	
row_29	SKI	888	4.5601959228515625	0.71578485	Yes	
row_30	IL17RD	893	4.536007881164551	0.72558874	Yes	
row_31	CRIM1	959	4.23845100402832	0.7304798	Yes	
row_32	SLC2A10	963	4.225758075714111	0.7396637	Yes	
row_33	NEDD4	969	4.1987504959106445	0.7486483	Yes	
row_34	SPRY1	982	4.116400718688965	0.7569619	Yes	
row_35	STRAP	1052	3.8721306324005127	0.7607599	Yes	
row_36	RBPMS2	1107	3.6604669094085693	0.7651328	Yes	
row_37	SPRY4	1170	3.450371503829956	0.76848114	Yes	
row_38	APLN	1177	3.416109800338745	0.77565634	Yes	
row_39	FGF2	1291	3.0695860385894775	0.7746038	Yes	
row_40	DAB2IP	1393	2.771925687789917	0.7737259	Yes	
row_41	SMAD7	1426	2.689767599105835	0.77747446	Yes	
row_42	SMAD3	1439	2.656160593032837	0.7825422	Yes	
row_43	FBN2	1492	2.525527000427246	0.78453183	Yes	
row_44	SPG20	1587	2.3624815940856934	0.78323174	Yes	
row_45	SMAD6	1638	2.2456305027008057	0.78473854	Yes	
row_46	TGFBR1	1718	2.1343696117401123	0.78397685	No	
row_47	VASN	1866	1.9031193256378174	0.7779618	No	
row_48	SKIL	1868	1.9008104801177979	0.7821172	No	
row_49	EID2	2036	1.7026729583740234	0.77426267	No	
row_50	LTBP1	2114	1.6224801540374756	0.77250254	No	
row_51	GATA3	2125	1.6107025146484375	0.77538586	No	
row_52	CADM4	2236	1.5107052326202393	0.7710773	No	
row_53	SULF1	2607	1.1742464303970337	0.74789983	No	
row_54	NOTCH1	2610	1.1731107234954834	0.75036806	No	
row_55	PDPK1	2619	1.1685923337936401	0.752408	No	
row_56	CD109	2840	1.0142512321472168	0.7393294	No	
row_57	LEMD3	2890	0.9838504791259766	0.7381012	No	
row_58	TGFB1	2996	0.925176739692688	0.7328396	No	
row_59	PPARG	3486	0.6900899410247803	0.7002921	No	
row_60	FAM129B	3497	0.6833466291427612	0.7011141	No	
row_61	VEPH1	3598	0.6411193013191223	0.6955696	No	
row_62	SIRT1	3778	0.5750670433044434	0.68437225	No	
row_63	PTPN1	4226	0.43542248010635376	0.6541859	No	
row_64	ZBTB7A	4466	0.3769185245037079	0.63836634	No	
row_65	WFIKKN1	4471	0.37556979060173035	0.6389224	No	
row_66	EPN2	4488	0.37289103865623474	0.6386361	No	
row_67	FAM89B	4496	0.3695070445537567	0.6389696	No	
row_68	PPM1A	5017	0.24493809044361115	0.6032721	No	
row_69	ZNF451	5028	0.2423425167798996	0.6031138	No	
row_70	RPS27A	5129	0.22374401986598969	0.59664154	No	
row_71	ADAM17	5193	0.21308660507202148	0.5927243	No	
row_72	SMAD2	5345	0.1839442253112793	0.58260906	No	
row_73	ATP2B4	5427	0.16930194199085236	0.57734	No	
row_74	SNX25	6466	0.011658716015517712	0.50502133	No	
row_75	SMURF1	6964	-0.051455363631248474	0.47049674	No	
row_76	PEG10	7157	-0.07858093082904816	0.45728976	No	
row_77	LRP2	7165	-0.08015483617782593	0.45698005	No	
row_78	BCL9L	7180	-0.08188655972480774	0.45618632	No	
row_79	STUB1	7261	-0.09243695437908173	0.45081612	No	
row_80	MMRN2	7336	-0.10498864203691483	0.44589198	No	
row_81	HIPK2	7707	-0.16565263271331787	0.42047262	No	
row_82	PBLD	7813	-0.1823376715183258	0.41355982	No	
row_83	SMURF2	8006	-0.2130291759967804	0.4006517	No	
row_84	SORL1	8409	-0.2810233235359192	0.3732585	No	
row_85	UBC	8877	-0.3721621036529541	0.34153768	No	
row_86	PIN1	9245	-0.4510543644428253	0.3169618	No	
row_87	FUZ	9331	-0.4731082022190094	0.31208926	No	
row_88	HGS	9805	-0.5926551222801208	0.28044036	No	
row_89	TRIM33	9931	-0.6267369389533997	0.27312145	No	
row_90	UBA52	10202	-0.7079170942306519	0.25587708	No	
row_91	LEMD2	10447	-0.7809457778930664	0.2406071	No	
row_92	HHEX	10799	-0.8886162042617798	0.218119	No	
row_93	SNX6	11011	-0.9630904197692871	0.20555387	No	
row_94	UBB	11493	-1.1637333631515503	0.1746168	No	
row_95	MTMR4	11716	-1.2769843339920044	0.16198274	No	
row_96	PDCD6	12063	-1.4392794370651245	0.14106713	No	
row_97	SPRY3	12115	-1.4655314683914185	0.14077023	No	
row_98	XDH	12528	-1.7292532920837402	0.11589922	No	
row_99	IL12A	13638	-3.0925939083099365	0.045480464	No	
row_100	CXCL13	14125	-4.905460357666016	0.022512043	No	
