NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HMGA2	750	5.2669501304626465	-0.014942434	No	
row_1	TRIM6	2066	1.680267572402954	-0.09442353	No	
row_2	IFITM2	2439	1.3159608840942383	-0.1109789	No	
row_3	RNASEL	2513	1.2439026832580566	-0.107275724	No	
row_4	ILF3	4120	0.4700891673564911	-0.21550342	No	
row_5	MPHOSPH8	4356	0.40399399399757385	-0.22897574	No	
row_6	SLPI	4964	0.25808414816856384	-0.2693141	No	
row_7	EIF2AK4	5308	0.18988962471485138	-0.29179755	No	
row_8	SRPK2	5537	0.14691410958766937	-0.30659688	No	
row_9	CCNK	6310	0.03051145188510418	-0.36000025	No	
row_10	PARK2	6384	0.021668393164873123	-0.36491758	No	
row_11	MAVS	6592	-0.004903932102024555	-0.37925997	No	
row_12	VAPA	7042	-0.06254300475120544	-0.41000375	No	
row_13	ZBED1	8218	-0.25140419602394104	-0.48983914	No	
row_14	INPP5K	8732	-0.3423878848552704	-0.5230542	No	
row_15	MORC2	8881	-0.3738960027694702	-0.5306963	No	
row_16	LTF	9790	-0.5894902944564819	-0.5896029	No	
row_17	ZC3H12A	10006	-0.6536521315574646	-0.5999253	No	
row_18	APOBEC3B	10224	-0.7153292298316956	-0.60995156	No	
row_19	SETDB1	10343	-0.7484768629074097	-0.6128681	No	
row_20	SRPK1	10642	-0.8403881192207336	-0.6276381	No	
row_21	APOBEC3C	10718	-0.862611711025238	-0.6267631	No	
row_22	ZC3HAV1	11099	-0.99720299243927	-0.64612234	No	
row_23	IFITM3	11455	-1.143408179283142	-0.662714	No	
row_24	TNIP1	11849	-1.332230806350708	-0.68061316	No	
row_25	BANF1	11910	-1.360959529876709	-0.67518145	No	
row_26	C19orf66	12123	-1.469565749168396	-0.67954075	No	
row_27	TNF	12535	-1.7361013889312744	-0.69584155	No	
row_28	APOBEC3A	12788	-1.9286316633224487	-0.69974124	No	
row_29	FAM111A	13337	-2.5654022693634033	-0.71970814	Yes	
row_30	BST2	13341	-2.571676731109619	-0.7017783	Yes	
row_31	EIF2AK2	13365	-2.601398468017578	-0.6850279	Yes	
row_32	IFITM1	13492	-2.820958375930786	-0.6738827	Yes	
row_33	PARP10	13699	-3.2377045154571533	-0.66535455	Yes	
row_34	IFIT5	13842	-3.62695574760437	-0.64963585	Yes	
row_35	RSAD2	13897	-3.8301937580108643	-0.6263718	Yes	
row_36	APOBEC3F	13943	-4.02140998840332	-0.60113394	Yes	
row_37	OAS3	14066	-4.564539909362793	-0.5774134	Yes	
row_38	OAS2	14159	-5.127659797668457	-0.5476374	Yes	
row_39	IFI16	14173	-5.2749738693237305	-0.5113356	Yes	
row_40	CCL8	14189	-5.370816230773926	-0.4744967	Yes	
row_41	MX1	14210	-5.50767183303833	-0.43703982	Yes	
row_42	OAS1	14227	-5.786743640899658	-0.3973368	Yes	
row_43	ISG15	14244	-5.981853008270264	-0.35625768	Yes	
row_44	APOBEC3D	14256	-6.107090950012207	-0.31394798	Yes	
row_45	IFIT1	14258	-6.113769054412842	-0.2708966	Yes	
row_46	OASL	14264	-6.223641395568848	-0.22734815	Yes	
row_47	PLSCR1	14330	-7.261987686157227	-0.18064341	Yes	
row_48	APOBEC3G	14336	-7.446138381958008	-0.12847258	Yes	
row_49	ISG20	14391	-9.17187786102295	-0.067533255	Yes	
row_50	CCL5	14406	-10.126477241516113	0.0029170814	Yes	
