NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FZD1	2	29.355392456054688	0.06346261	Yes	
row_1	VCAN	15	24.216426849365234	0.11509351	Yes	
row_2	CDH11	32	21.106287002563477	0.1597069	Yes	
row_3	COL1A1	33	20.66266441345215	0.20447513	Yes	
row_4	TGFB3	56	19.442676544189453	0.24506561	Yes	
row_5	BMP2	59	19.125080108642578	0.28636298	Yes	
row_6	LRRC17	61	18.974620819091797	0.3274041	Yes	
row_7	BMP4	77	18.167383193969727	0.36571974	Yes	
row_8	CREB3L1	83	17.899812698364258	0.40415317	Yes	
row_9	COL6A1	91	17.453189849853516	0.4414794	Yes	
row_10	SNAI2	99	17.285966873168945	0.47844335	Yes	
row_11	ITGA11	149	15.06338882446289	0.50766236	Yes	
row_12	MRC2	167	14.236103057861328	0.53732085	Yes	
row_13	RUNX2	170	14.139114379882812	0.56781554	Yes	
row_14	CLEC3B	181	13.99752426147461	0.5974454	Yes	
row_15	XYLT1	243	12.025613784790039	0.61924565	Yes	
row_16	ASPN	251	11.84500503540039	0.6444211	Yes	
row_17	SEMA7A	274	11.260709762573242	0.6672843	Yes	
row_18	NOG	354	9.486289024353027	0.68232733	Yes	
row_19	DLX5	363	9.358956336975098	0.7020467	Yes	
row_20	RUNX1	381	8.921592712402344	0.72019064	Yes	
row_21	TWIST1	555	6.910905361175537	0.7230973	Yes	
row_22	PTHLH	657	6.03717565536499	0.7291329	Yes	
row_23	IGF1	680	5.8700270652771	0.74031657	Yes	
row_24	FGFR3	684	5.827425956726074	0.7527332	Yes	
row_25	EPHA2	704	5.649386405944824	0.76364803	Yes	
row_26	SFRP1	797	4.962502956390381	0.7679829	Yes	
row_27	EXT1	818	4.877229690551758	0.77715504	Yes	
row_28	GLI2	885	4.5680251121521	0.78244877	Yes	
row_29	SNAI1	949	4.263159275054932	0.7872912	Yes	
row_30	TMEM119	1013	4.000667572021484	0.79156494	Yes	
row_31	CLEC11A	1175	3.4192543029785156	0.7877435	No	
row_32	TPM4	1295	3.0639138221740723	0.7860816	No	
row_33	LRP5	1427	2.685743808746338	0.7827634	No	
row_34	TNC	1649	2.225175619125366	0.7721699	No	
row_35	LEF1	1790	2.029865026473999	0.7668029	No	
row_36	RRBP1	2307	1.4424493312835693	0.7339373	No	
row_37	SLC24A3	2418	1.3314036130905151	0.7291495	No	
row_38	COL13A1	2435	1.319346308708191	0.73089206	No	
row_39	MSX2	2791	1.0398532152175903	0.7083839	No	
row_40	FOXC1	2960	0.9433993101119995	0.69871	No	
row_41	TGFB1	2996	0.925176739692688	0.6982733	No	
row_42	ZBTB40	3001	0.9223722219467163	0.6999927	No	
row_43	NF1	3060	0.8844698071479797	0.6978635	No	
row_44	RRAS2	3093	0.8687487244606018	0.6975138	No	
row_45	MESDC2	3187	0.820608913898468	0.69280505	No	
row_46	IARS	3244	0.7954909205436707	0.6906226	No	
row_47	FZD9	3476	0.6930525302886963	0.67601204	No	
row_48	TUFT1	3585	0.6470935940742493	0.6698811	No	
row_49	MEF2C	4140	0.46004146337509155	0.63223654	No	
row_50	EXT2	4218	0.4377671778202057	0.6278143	No	
row_51	FASN	4260	0.42525532841682434	0.62587595	No	
row_52	FBXL15	5107	0.22806373238563538	0.5673619	No	
row_53	CLTC	5513	0.15268883109092712	0.53944415	No	
row_54	SND1	5641	0.1296049803495407	0.53086674	No	
row_55	PLXNB1	5643	0.12943035364151	0.53107744	No	
row_56	INPPL1	5773	0.11023463308811188	0.52231854	No	
row_57	SBDS	5856	0.09664511680603027	0.5168085	No	
row_58	LIMD1	5870	0.09425963461399078	0.51610595	No	
row_59	SOX2	6000	0.07423245161771774	0.5072691	No	
row_60	MINPP1	6199	0.04445985332131386	0.493555	No	
row_61	RYR1	6277	0.03446501865983009	0.48825896	No	
row_62	FBL	6292	0.032584983855485916	0.48735306	No	
row_63	SPP1	6457	0.012563547119498253	0.47594136	No	
row_64	EIF2AK3	6529	0.0020977312233299017	0.47099367	No	
row_65	ALPL	6597	-0.005670148879289627	0.46633273	No	
row_66	ACHE	6635	-0.010739811696112156	0.46377528	No	
row_67	EGFR	6655	-0.011910065077245235	0.46247584	No	
row_68	RDH14	6734	-0.023120762780308723	0.45708546	No	
row_69	RSL1D1	6835	-0.03414241597056389	0.45018446	No	
row_70	SYNCRIP	6962	-0.05115779861807823	0.44150686	No	
row_71	BGLAP	6998	-0.05744849890470505	0.4391901	No	
row_72	RUNX3	7066	-0.06678137928247452	0.43466157	No	
row_73	RBMX	7185	-0.08276604861021042	0.42661044	No	
row_74	FGFR2	7410	-0.11447081714868546	0.41123453	No	
row_75	PTN	7484	-0.1253972351551056	0.4064145	No	
row_76	SNRNP200	7583	-0.14433898031711578	0.39989176	No	
row_77	DHX9	7602	-0.14782041311264038	0.39895654	No	
row_78	DHX36	7904	-0.19677327573299408	0.37838826	No	
row_79	HNRNPU	7989	-0.20955969393253326	0.37298334	No	
row_80	CLEC5A	8157	-0.23975791037082672	0.3618546	No	
row_81	DDX21	8294	-0.2640018165111542	0.35294065	No	
row_82	ATP6V1B1	8383	-0.27571529150009155	0.34740007	No	
row_83	GPLD1	8495	-0.2974657118320465	0.34030235	No	
row_84	RHOA	8968	-0.3888637125492096	0.30822307	No	
row_85	PHOSPHO1	9082	-0.4131101965904236	0.30123642	No	
row_86	GTPBP4	9087	-0.4145035445690155	0.30185547	No	
row_87	RPS15	9202	-0.43996208906173706	0.29485726	No	
row_88	HSD17B4	9230	-0.4477161169052124	0.29394406	No	
row_89	ATF4	9614	-0.5463912487030029	0.26841378	No	
row_90	CAT	9643	-0.5539032220840454	0.2676609	No	
