NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FBN1	10	25.526628494262695	0.05141514	Yes	
row_1	LAMB1	13	24.623184204101562	0.10154194	Yes	
row_2	FN1	17	23.975631713867188	0.15027732	Yes	
row_3	COL5A1	25	22.42133903503418	0.19556181	Yes	
row_4	COL6A2	30	21.51334571838379	0.23920119	Yes	
row_5	COL1A1	33	20.66266441345215	0.28124297	Yes	
row_6	COL1A2	37	20.572275161743164	0.32303074	Yes	
row_7	COL3A1	42	20.34913444519043	0.36429352	Yes	
row_8	COL6A3	43	20.324020385742188	0.40578297	Yes	
row_9	COL5A2	62	18.91791534423828	0.44315115	Yes	
row_10	NID1	74	18.328937530517578	0.4798034	Yes	
row_11	COL6A1	91	17.453189849853516	0.5143205	Yes	
row_12	THBS1	96	17.353012084960938	0.54946697	Yes	
row_13	THBS2	114	16.17940902709961	0.58131427	Yes	
row_14	ITGA11	149	15.06338882446289	0.6097019	Yes	
row_15	ITGA5	155	14.718770027160645	0.6394013	Yes	
row_16	TGM2	185	13.831790924072266	0.6656223	Yes	
row_17	F13A1	211	12.939319610595703	0.6902993	Yes	
row_18	COL11A1	263	11.540878295898438	0.7103147	Yes	
row_19	CSPG4	312	10.333524703979492	0.72807395	Yes	
row_20	COL4A1	362	9.367005348205566	0.74379057	Yes	
row_21	COL4A6	368	9.177064895629883	0.76217717	Yes	
row_22	PLAU	374	9.032462120056152	0.7802686	Yes	
row_23	ITGA10	517	7.262019634246826	0.78522533	Yes	
row_24	COL4A5	639	6.217471122741699	0.78950906	Yes	
row_25	TGFBI	647	6.1078267097473145	0.80149114	Yes	
row_26	ITGA2	655	6.043431282043457	0.81334174	Yes	
row_27	NPNT	711	5.592362880706787	0.8209359	Yes	
row_28	ITGA1	713	5.543734073638916	0.83218336	Yes	
row_29	VCAM1	721	5.461398124694824	0.84284586	Yes	
row_30	COL7A1	740	5.3383402824401855	0.85249263	Yes	
row_31	ITGB1	836	4.8023810386657715	0.8556944	Yes	
row_32	LAMA4	936	4.362369060516357	0.85772	Yes	
row_33	LAMA2	1064	3.8180091381073	0.8566885	Yes	
row_34	LAMA1	1074	3.7882087230682373	0.86379635	Yes	
row_35	COL18A1	1123	3.6138134002685547	0.8678379	Yes	
row_36	LAMC1	1254	3.1800551414489746	0.86529565	Yes	
row_37	JAM2	1283	3.0939042568206787	0.86966574	Yes	
row_38	LAMA5	1506	2.490309000015259	0.8593221	No	
row_39	TNC	1649	2.225175619125366	0.8539966	No	
row_40	LAMB2	1739	2.1008808612823486	0.8521005	No	
row_41	LAMC2	1743	2.095118284225464	0.856169	No	
row_42	ITGA7	1873	1.8903846740722656	0.85106343	No	
row_43	ITGA3	2762	1.0647343397140503	0.79152745	No	
row_44	PLAUR	3165	0.8284040093421936	0.7652825	No	
row_45	IGSF8	3359	0.7405883073806763	0.75338227	No	
row_46	CD81	4713	0.31440243124961853	0.66000044	No	
row_47	ITGA9	4954	0.2614859640598297	0.643856	No	
row_48	LAMB3	5600	0.1360493153333664	0.59931093	No	
row_49	SPP1	6457	0.012563547119498253	0.53985083	No	
row_50	VEGFA	7056	-0.06494145840406418	0.4984268	No	
row_51	LAMA3	8245	-0.25574278831481934	0.41639152	No	
row_52	ITGAV	8248	-0.25625768303871155	0.41677567	No	
row_53	COL4A4	9957	-0.6347981691360474	0.299378	No	
row_54	COL11A2	11095	-0.9959226846694946	0.2223979	No	
row_55	ITGA6	11191	-1.0327836275100708	0.2179044	No	
row_56	MDK	11654	-1.2453104257583618	0.18834096	No	
row_57	CD14	11887	-1.3515336513519287	0.17497768	No	
row_58	ITGA4	12054	-1.432275414466858	0.16636573	No	
