NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FBN1	10	25.526628494262695	0.03732342	Yes	
row_1	FSTL1	34	20.621328353881836	0.06642932	Yes	
row_2	TGFB1I1	49	19.869041442871094	0.0950451	Yes	
row_3	PMEPA1	75	18.28122901916504	0.12052513	Yes	
row_4	BMP4	77	18.167383193969727	0.14751685	Yes	
row_5	CREB3L1	83	17.899812698364258	0.17382978	Yes	
row_6	NBL1	90	17.545291900634766	0.19954456	Yes	
row_7	THBS1	96	17.353012084960938	0.225043	Yes	
row_8	SULF2	100	17.192136764526367	0.2504419	Yes	
row_9	SFRP4	113	16.21233558654785	0.27375084	Yes	
row_10	SHISA2	131	15.74218463897705	0.29600918	Yes	
row_11	DCN	151	14.871610641479492	0.3168306	Yes	
row_12	ITGA5	155	14.718770027160645	0.33854523	Yes	
row_13	SLIT2	165	14.370489120483398	0.35932076	Yes	
row_14	CYR61	169	14.157840728759766	0.38019982	Yes	
row_15	SMOC2	188	13.797897338867188	0.39949194	Yes	
row_16	ADAMTS12	190	13.642065048217773	0.41974282	Yes	
row_17	ASPN	251	11.84500503540039	0.43318376	Yes	
row_18	BAMBI	255	11.692131996154785	0.45038995	Yes	
row_19	CHRD	268	11.3436279296875	0.46644658	Yes	
row_20	GPC1	297	10.839183807373047	0.48063093	Yes	
row_21	HTRA3	306	10.453468322753906	0.49564177	Yes	
row_22	SEMA6A	314	10.284576416015625	0.5104711	Yes	
row_23	SOSTDC1	324	10.074344635009766	0.52484715	Yes	
row_24	FGF1	337	9.724777221679688	0.5384924	Yes	
row_25	SPRY2	347	9.59453010559082	0.5521537	Yes	
row_26	NOG	354	9.486289024353027	0.56586397	Yes	
row_27	FSTL3	393	8.807840347290039	0.57632196	Yes	
row_28	TGFBR2	452	7.944069862365723	0.58409226	Yes	
row_29	TMEM204	461	7.878195762634277	0.595267	Yes	
row_30	DKK3	531	7.108105182647705	0.60102147	Yes	
row_31	ADAMTSL2	541	6.993330478668213	0.61080813	Yes	
row_32	GREM1	566	6.826627731323242	0.61929566	Yes	
row_33	CDH5	575	6.760702610015869	0.6288059	Yes	
row_34	DAB2	582	6.669307708740234	0.63832	Yes	
row_35	CAV1	649	6.100245475769043	0.64278334	Yes	
row_36	ZNF423	686	5.810153484344482	0.6489161	Yes	
row_37	KIAA1462	695	5.739935874938965	0.6569058	Yes	
row_38	SPRED1	746	5.298579216003418	0.66129583	Yes	
row_39	AGT	779	5.065663814544678	0.66659987	Yes	
row_40	SOX11	794	4.974348068237305	0.6730288	Yes	
row_41	CASK	825	4.841864109039307	0.67813957	Yes	
row_42	SPRED2	879	4.607168197631836	0.68128955	Yes	
row_43	SKI	888	4.5601959228515625	0.6875219	Yes	
row_44	IL17RD	893	4.536007881164551	0.6939984	Yes	
row_45	CRB2	929	4.396743297576904	0.69809586	Yes	
row_46	CRIM1	959	4.23845100402832	0.70237786	Yes	
row_47	SLC2A10	963	4.225758075714111	0.7084623	Yes	
row_48	NEDD4	969	4.1987504959106445	0.71436644	Yes	
row_49	SPRY1	982	4.116400718688965	0.7196575	Yes	
row_50	FGF18	1051	3.8942928314208984	0.7206948	Yes	
row_51	STRAP	1052	3.8721306324005127	0.7264626	Yes	
row_52	DLL1	1076	3.7791783809661865	0.7304808	Yes	
row_53	RBPMS2	1107	3.6604669094085693	0.73383176	Yes	
row_54	LTBP4	1155	3.4895191192626953	0.7357372	Yes	
row_55	BMPR2	1168	3.463061809539795	0.7400551	Yes	
row_56	SPRY4	1170	3.450371503829956	0.74512464	Yes	
row_57	APLN	1177	3.416109800338745	0.74979293	Yes	
row_58	ENG	1181	3.400071620941162	0.75464743	Yes	
row_59	FGF2	1291	3.0695860385894775	0.7515841	Yes	
row_60	ACVRL1	1300	3.0399980545043945	0.755552	Yes	
row_61	RBPJ	1314	3.008754253387451	0.7591231	Yes	
row_62	DAB2IP	1393	2.771925687789917	0.757788	Yes	
row_63	SMAD7	1426	2.689767599105835	0.75955296	Yes	
row_64	SMAD3	1439	2.656160593032837	0.76266885	Yes	
row_65	FBN2	1492	2.525527000427246	0.7627881	Yes	
row_66	ROBO1	1518	2.4705255031585693	0.76471686	Yes	
row_67	SPG20	1587	2.3624815940856934	0.7634724	Yes	
row_68	ZNF703	1621	2.2823169231414795	0.76456034	Yes	
row_69	SMAD6	1638	2.2456305027008057	0.76678455	Yes	
row_70	TGFBR1	1718	2.1343696117401123	0.7644297	No	
row_71	VASN	1866	1.9031193256378174	0.7569668	No	
row_72	SKIL	1868	1.9008104801177979	0.7597282	No	
row_73	CREBBP	1883	1.8797540664672852	0.7615475	No	
row_74	ZDHHC17	1906	1.8492963314056396	0.762761	No	
row_75	CITED2	2015	1.7270700931549072	0.7577679	No	
row_76	EID2	2036	1.7026729583740234	0.75890315	No	
row_77	LTBP1	2114	1.6224801540374756	0.7559259	No	
row_78	GATA3	2125	1.6107025146484375	0.7576247	No	
row_79	CADM4	2236	1.5107052326202393	0.7521692	No	
row_80	TWSG1	2274	1.474288821220398	0.75177336	No	
row_81	KIAA1324L	2306	1.4436763525009155	0.7517522	No	
row_82	ITGB3	2527	1.234256386756897	0.73817915	No	
row_83	SULF1	2607	1.1742464303970337	0.73439413	No	
row_84	NOTCH1	2610	1.1731107234954834	0.73600143	No	
row_85	PDPK1	2619	1.1685923337936401	0.7371817	No	
row_86	NTF3	2641	1.154662847518921	0.73743063	No	
row_87	ITGA3	2762	1.0647343397140503	0.7306103	No	
row_88	CD109	2840	1.0142512321472168	0.72672707	No	
row_89	LEMD3	2890	0.9838504791259766	0.72476	No	
row_90	FST	2916	0.9680680632591248	0.7244507	No	
row_91	CNKSR3	2931	0.9604735374450684	0.72490066	No	
row_92	TGFB1	2996	0.925176739692688	0.72179544	No	
row_93	MYO1C	3113	0.8575268983840942	0.7149467	No	
row_94	RNF111	3149	0.8385712504386902	0.713744	No	
row_95	HIF1A	3220	0.8070778250694275	0.71004254	No	
row_96	FGFR1	3471	0.6948052644729614	0.69356436	No	
row_97	PPARG	3486	0.6900899410247803	0.69361156	No	
row_98	FAM129B	3497	0.6833466291427612	0.6939289	No	
row_99	VEPH1	3598	0.6411193013191223	0.68787867	No	
row_100	SIRT1	3778	0.5750670433044434	0.67619586	No	
row_101	GRB10	3834	0.5596345663070679	0.6731766	No	
row_102	BCL9	4034	0.49311625957489014	0.6599707	No	
row_103	PTPN1	4226	0.43542248010635376	0.64723927	No	
row_104	ZBTB7A	4466	0.3769185245037079	0.63105816	No	
row_105	WFIKKN1	4471	0.37556979060173035	0.63133734	No	
row_106	EPN2	4488	0.37289103865623474	0.630772	No	
row_107	FAM89B	4496	0.3695070445537567	0.630832	No	
