NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCL14	271	11.297701835632324	0.0031697743	No	
row_1	DAPK1	534	7.063782215118408	-0.0013075169	No	
row_2	VCAM1	721	5.461398124694824	-0.0036130783	No	
row_3	CCL21	887	4.565369606018066	-0.0062044533	No	
row_4	DAPK3	946	4.2870378494262695	-0.0018729706	No	
row_5	WNT5A	1047	3.8986196517944336	-0.0012315578	No	
row_6	CCL18	1516	2.472688913345337	-0.029057492	No	
row_7	TRIM62	1846	1.9384353160858154	-0.048227686	No	
row_8	CCL22	1917	1.8376085758209229	-0.04952097	No	
row_9	MID1	2002	1.7381811141967773	-0.051985554	No	
row_10	NCAM1	2078	1.663645625114441	-0.053967766	No	
row_11	SNCA	2431	1.3223565816879272	-0.0759471	No	
row_12	IFITM2	2439	1.3159608840942383	-0.073863566	No	
row_13	CAMK2G	2681	1.1214447021484375	-0.088489585	No	
row_14	CCL11	2697	1.11477792263031	-0.08735753	No	
row_15	RPL13A	3459	0.7002991437911987	-0.13909417	No	
row_16	TRIM8	3474	0.6932438611984253	-0.13871622	No	
row_17	ICAM1	3911	0.533552885055542	-0.16809908	No	
row_18	CAMK2D	4623	0.3369470238685608	-0.21705672	No	
row_19	GAPDH	5354	0.18217478692531586	-0.26764274	No	
row_20	CCL13	5407	0.17223481833934784	-0.27093485	No	
row_21	SIRPA	6164	0.049480460584163666	-0.3235946	No	
row_22	CCL19	6227	0.039364274591207504	-0.32784426	No	
row_23	IFNGR1	6789	-0.03011217527091503	-0.36693406	No	
row_24	SYNCRIP	6962	-0.05115779861807823	-0.37883684	No	
row_25	PDE12	7137	-0.07627299427986145	-0.39083013	No	
row_26	TRIM68	7332	-0.10445147007703781	-0.40416402	No	
row_27	CAMK2B	7473	-0.12382158637046814	-0.41369173	No	
row_28	JAK1	8070	-0.2236177921295166	-0.45484576	No	
row_29	MT2A	8594	-0.3144342601299286	-0.49072805	No	
row_30	IRF3	8652	-0.3266022205352783	-0.49406737	No	
row_31	EPRS	9027	-0.40014806389808655	-0.5193844	No	
row_32	CCL3L1	9270	-0.4573999047279358	-0.53537804	No	
row_33	CCL7	9742	-0.5772596597671509	-0.5671179	No	
row_34	CD44	9796	-0.5900131464004517	-0.5696633	No	
row_35	TLR4	10094	-0.6766113638877869	-0.5890666	No	
row_36	SLC11A1	10291	-0.7322718501091003	-0.601313	No	
row_37	CCL2	10458	-0.7849248051643372	-0.611363	No	
row_38	CCL3	10460	-0.7852380871772766	-0.60989803	No	
row_39	CD58	10936	-0.9328830242156982	-0.64122194	No	
row_40	TRIM25	11298	-1.0766905546188354	-0.6643095	No	
row_41	SLC26A6	11334	-1.0888837575912476	-0.66462374	No	
row_42	IFITM3	11455	-1.143408179283142	-0.670763	No	
row_43	CX3CL1	11583	-1.2099815607070923	-0.67726064	No	
row_44	PRKCD	11979	-1.3930020332336426	-0.7021026	No	
row_45	C19orf66	12123	-1.469565749168396	-0.70920944	No	
row_46	CYP27B1	12145	-1.4841539859771729	-0.7077741	No	
row_47	CD47	12168	-1.501860499382019	-0.706374	No	
row_48	PML	12210	-1.5224456787109375	-0.70625955	No	
row_49	TRIM5	12306	-1.579660415649414	-0.70980155	No	
row_50	CALCOCO2	12406	-1.6480430364608765	-0.7134891	No	
row_51	TRIM34	12597	-1.7812204360961914	-0.7232666	No	
row_52	IFNGR2	12811	-1.951886773109436	-0.73431563	No	
row_53	IRF6	12819	-1.9561265707015991	-0.7309809	No	
row_54	GBP3	12826	-1.9624744653701782	-0.727564	No	
row_55	PTAFR	13002	-2.1338062286376953	-0.73560566	No	
row_56	CCL4L2	13011	-2.14742112159729	-0.7319668	No	
row_57	HCK	13095	-2.2355093955993652	-0.7333896	No	
row_58	XCL1	13189	-2.354618549346924	-0.7352774	No	
row_59	HLA-G	13225	-2.3968968391418457	-0.73303515	No	
row_60	BST2	13341	-2.571676731109619	-0.736034	Yes	
row_61	AIF1	13409	-2.681912899017334	-0.73546773	Yes	
row_62	CXCL16	13415	-2.6913366317749023	-0.7305565	Yes	
row_63	IFITM1	13492	-2.820958375930786	-0.73034656	Yes	
row_64	KYNU	13494	-2.8224008083343506	-0.7249	Yes	
row_65	TLR2	13682	-3.216707944869995	-0.7316625	Yes	
row_66	CD40	13707	-3.249821424484253	-0.72698563	Yes	
row_67	HLA-DQB1	13754	-3.3590784072875977	-0.7236304	Yes	
row_68	CCL20	13778	-3.4317166805267334	-0.7185282	Yes	
row_69	HLA-DQA1	13817	-3.5312001705169678	-0.71427834	Yes	
row_70	IRF2	13839	-3.619349479675293	-0.70866984	Yes	
row_71	IRF8	13854	-3.654893159866333	-0.7025034	Yes	
row_72	CCL25	13891	-3.8101484775543213	-0.6975687	Yes	
row_73	TRIM38	13892	-3.8114147186279297	-0.6901194	Yes	
row_74	FCGR1B	13906	-3.8700389862060547	-0.6834627	Yes	
row_75	FCGR1A	13952	-4.055443286895752	-0.67867666	Yes	
row_76	IRF5	14005	-4.233673095703125	-0.6740308	Yes	
row_77	TRIM26	14008	-4.2433342933654785	-0.6658768	Yes	
row_78	TRIM22	14009	-4.244407653808594	-0.6575812	Yes	
row_79	HLA-DQB2	14016	-4.28115177154541	-0.64963245	Yes	
row_80	CCL4	14041	-4.398862361907959	-0.6427098	Yes	
row_81	OAS3	14066	-4.564539909362793	-0.6354633	Yes	
row_82	SP100	14133	-4.9477763175964355	-0.6303987	Yes	
row_83	IRF4	14141	-5.016050815582275	-0.6210834	Yes	
row_84	OAS2	14159	-5.127659797668457	-0.61224777	Yes	
row_85	HLA-DQA2	14182	-5.330422401428223	-0.6033648	Yes	
row_86	GBP2	14185	-5.3517231941223145	-0.5930445	Yes	
row_87	CCL8	14189	-5.370816230773926	-0.5827567	Yes	
row_88	JAK2	14213	-5.556006908416748	-0.57350266	Yes	
row_89	OAS1	14227	-5.786743640899658	-0.56309974	Yes	
row_90	HLA-DRB5	14233	-5.8672990798950195	-0.55198115	Yes	
row_91	GCH1	14253	-6.086847305297852	-0.5414104	Yes	
row_92	OASL	14264	-6.223641395568848	-0.52994424	Yes	
row_93	IRF7	14272	-6.276377201080322	-0.51816565	Yes	
row_94	STAT1	14316	-6.964089870452881	-0.5075552	Yes	
row_95	TRIM21	14345	-7.6103010177612305	-0.49463493	Yes	
row_96	XCL2	14351	-7.810678482055664	-0.479718	Yes	
row_97	CASP1	14359	-8.044499397277832	-0.46448368	Yes	
row_98	GBP1	14364	-8.141721725463867	-0.44884998	Yes	
row_99	HLA-C	14388	-9.090926170349121	-0.43268692	Yes	
row_100	B2M	14392	-9.231995582580566	-0.41485253	Yes	
row_101	CIITA	14403	-9.913140296936035	-0.39617532	Yes	
row_102	UBD	14404	-10.011726379394531	-0.37660757	Yes	
row_103	CCL5	14406	-10.126477241516113	-0.35688534	Yes	
row_104	IRF9	14407	-10.284713745117188	-0.33678406	Yes	
row_105	HLA-DRB1	14409	-10.455623626708984	-0.31641853	Yes	
row_106	GBP5	14411	-10.530893325805664	-0.2959059	Yes	
