NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EGR1	1069	3.8074090480804443	-0.05996083	No	
row_1	IFITM2	2439	1.3159608840942383	-0.15012039	No	
row_2	RNASEL	2513	1.2439026832580566	-0.15051936	No	
row_3	IP6K2	4126	0.46727505326271057	-0.26074755	No	
row_4	SETD2	5185	0.21450790762901306	-0.3334396	No	
row_5	SHMT2	5647	0.12856994569301605	-0.36498165	No	
row_6	IFNAR1	6020	0.0710127204656601	-0.39055723	No	
row_7	TYK2	7340	-0.10564950853586197	-0.48178944	No	
row_8	JAK1	8070	-0.2236177921295166	-0.5315921	No	
row_9	IRF3	8652	-0.3266022205352783	-0.5707266	No	
row_10	STAT2	10940	-0.9333966374397278	-0.72609526	No	
row_11	TRIM56	11022	-0.9669543504714966	-0.7280902	No	
row_12	IFITM3	11455	-1.143408179283142	-0.7538059	No	
row_13	MYD88	11610	-1.222675085067749	-0.7599115	No	
row_14	C19orf66	12123	-1.469565749168396	-0.78995955	No	
row_15	IFNAR2	12776	-1.9146240949630737	-0.8280615	No	
row_16	IRF6	12819	-1.9561265707015991	-0.82363176	No	
row_17	HLA-G	13225	-2.3968968391418457	-0.8427635	Yes	
row_18	BST2	13341	-2.571676731109619	-0.8410929	Yes	
row_19	IFITM1	13492	-2.820958375930786	-0.8409173	Yes	
row_20	ADAR	13563	-2.9360296726226807	-0.834752	Yes	
row_21	IRAK1	13669	-3.172529935836792	-0.83012986	Yes	
row_22	IFI6	13756	-3.365722417831421	-0.8234621	Yes	
row_23	IRF2	13839	-3.619349479675293	-0.81556386	Yes	
row_24	IRF8	13854	-3.654893159866333	-0.8028082	Yes	
row_25	RSAD2	13897	-3.8301937580108643	-0.7913392	Yes	
row_26	MX2	13948	-4.04782772064209	-0.77960855	Yes	
row_27	IRF5	14005	-4.233673095703125	-0.76759666	Yes	
row_28	OAS3	14066	-4.564539909362793	-0.75461984	Yes	
row_29	SP100	14133	-4.9477763175964355	-0.7406203	Yes	
row_30	IRF4	14141	-5.016050815582275	-0.7222658	Yes	
row_31	OAS2	14159	-5.127659797668457	-0.7041866	Yes	
row_32	GBP2	14185	-5.3517231941223145	-0.68582165	Yes	
row_33	XAF1	14198	-5.432901859283447	-0.6662487	Yes	
row_34	MX1	14210	-5.50767183303833	-0.6463254	Yes	
row_35	OAS1	14227	-5.786743640899658	-0.6257012	Yes	
row_36	SAMHD1	14230	-5.838582992553711	-0.6039098	Yes	
row_37	ISG15	14244	-5.981853008270264	-0.58234435	Yes	
row_38	IFIT1	14258	-6.113769054412842	-0.5602834	Yes	
row_39	OASL	14264	-6.223641395568848	-0.53725404	Yes	
row_40	IRF7	14272	-6.276377201080322	-0.5141655	Yes	
row_41	IFIT2	14283	-6.543254375457764	-0.49028298	Yes	
row_42	STAT1	14316	-6.964089870452881	-0.46634805	Yes	
row_43	IFIT3	14333	-7.34147834777832	-0.43988413	Yes	
row_44	HLA-C	14388	-9.090926170349121	-0.40948886	Yes	
row_45	ISG20	14391	-9.17187786102295	-0.37517717	Yes	
row_46	IFI35	14394	-9.249558448791504	-0.3405737	Yes	
row_47	IRF9	14407	-10.284713745117188	-0.30277675	Yes	
row_48	HLA-E	14416	-10.86180305480957	-0.26253432	Yes	
row_49	HLA-A	14426	-11.94275951385498	-0.21830118	Yes	
row_50	HLA-B	14436	-13.214120864868164	-0.16929263	Yes	
row_51	IRF1	14443	-14.607537269592285	-0.114841856	Yes	
row_52	PSMB8	14444	-15.189004898071289	-0.057790212	Yes	
row_53	HLA-F	14445	-15.441123962402344	2.0842324E-4	Yes	
