NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FBN1	10	25.526628494262695	0.031823914	Yes	
row_1	VCAN	15	24.216426849365234	0.06239933	Yes	
row_2	CDH11	32	21.106287002563477	0.08817001	Yes	
row_3	COL1A1	33	20.66266441345215	0.11449792	Yes	
row_4	COL1A2	37	20.572275161743164	0.1405002	Yes	
row_5	BMP2	59	19.125080108642578	0.16339569	Yes	
row_6	LRRC17	61	18.974620819091797	0.18750258	Yes	
row_7	MMP14	67	18.591590881347656	0.21084079	Yes	
row_8	FAM101A	68	18.570703506469727	0.23450318	Yes	
row_9	BMP4	77	18.167383193969727	0.25709042	Yes	
row_10	SULF2	100	17.192136764526367	0.27745283	Yes	
row_11	SFRP4	113	16.21233558654785	0.29726836	Yes	
row_12	FAM101B	129	15.790247917175293	0.31633562	Yes	
row_13	CYP26B1	134	15.675243377685547	0.33602804	Yes	
row_14	MATN3	139	15.506300926208496	0.35550523	Yes	
row_15	RUNX2	170	14.139114379882812	0.3714163	Yes	
row_16	COL10A1	179	14.053779602050781	0.38876206	Yes	
row_17	PDGFRA	180	14.019908905029297	0.40662593	Yes	
row_18	SH3PXD2B	208	13.044398307800293	0.42135262	Yes	
row_19	WNT2B	223	12.660521507263184	0.4365022	Yes	
row_20	XYLT1	243	12.025613784790039	0.450492	Yes	
row_21	NKX3-2	247	11.890244483947754	0.46543184	Yes	
row_22	CHRD	268	11.3436279296875	0.4784825	Yes	
row_23	MGP	299	10.819174766540527	0.4901634	Yes	
row_24	COMP	310	10.403553009033203	0.5027178	Yes	
row_25	BMP1	338	9.721917152404785	0.5132111	Yes	
row_26	NOG	354	9.486289024353027	0.524246	Yes	
row_27	DLX5	363	9.358956336975098	0.53560966	Yes	
row_28	RUNX1	381	8.921592712402344	0.5457847	Yes	
row_29	HOXA1	386	8.854625701904297	0.5567865	Yes	
row_30	TGFBR2	452	7.944069862365723	0.56234854	Yes	
row_31	ADAMTS4	458	7.89638090133667	0.57205915	Yes	
row_32	PAPSS2	551	6.930576324462891	0.5744356	Yes	
row_33	TWIST1	555	6.910905361175537	0.5830309	Yes	
row_34	IGF2	583	6.66793155670166	0.5896328	Yes	
row_35	PCSK5	589	6.6412529945373535	0.59774417	Yes	
row_36	GDF11	597	6.560219764709473	0.6056119	Yes	
row_37	FOXP1	653	6.062400817871094	0.60947794	Yes	
row_38	PTHLH	657	6.03717565536499	0.6169599	Yes	
row_39	IGF1	680	5.8700270652771	0.62289596	Yes	
row_40	FGFR3	684	5.827425956726074	0.6301107	Yes	
row_41	EVC	693	5.74570894241333	0.6368705	Yes	
row_42	SOX4	719	5.483222484588623	0.6421032	Yes	
row_43	HMGA2	750	5.2669501304626465	0.64670956	Yes	
row_44	PLS3	760	5.167093753814697	0.6526619	Yes	
row_45	SOX11	794	4.974348068237305	0.656685	Yes	
row_46	EXT1	818	4.877229690551758	0.6612859	Yes	
row_47	KIT	835	4.811331748962402	0.66629386	Yes	
row_48	GLI2	885	4.5680251121521	0.66867673	Yes	
row_49	SKI	888	4.5601959228515625	0.6743469	Yes	
row_50	AKAP13	917	4.449653148651123	0.6780522	Yes	
row_51	EXTL1	925	4.41474723815918	0.6831863	Yes	
row_52	BMP6	931	4.394927501678467	0.68843544	Yes	
row_53	ANXA6	932	4.393067836761475	0.69403297	Yes	
row_54	SLC2A10	963	4.225758075714111	0.6973127	Yes	
row_55	GJA1	972	4.178131580352783	0.7020751	Yes	
row_56	HOXA3	989	4.1054463386535645	0.7061837	Yes	
row_57	TMEM119	1013	4.000667572021484	0.7096677	Yes	
row_58	SUFU	1037	3.9367990493774414	0.7130703	Yes	
row_59	WNT5A	1047	3.8986196517944336	0.7174064	Yes	
row_60	MEGF8	1078	3.770214080810547	0.72010565	Yes	
row_61	MMP13	1100	3.6831037998199463	0.7233253	Yes	
row_62	WNT11	1147	3.5269100666046143	0.7245921	Yes	
row_63	BMPR2	1168	3.463061809539795	0.7276015	Yes	
row_64	ANXA2	1195	3.365467071533203	0.73006564	Yes	
row_65	CREB3L2	1217	3.287949562072754	0.7327818	Yes	
row_66	FGF2	1291	3.0695860385894775	0.7315717	Yes	
row_67	RAB23	1292	3.069324254989624	0.7354825	Yes	
row_68	HYAL1	1318	2.991666793823242	0.73754054	Yes	
