NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FYN	588	6.646760940551758	-0.026265116	No	
row_1	BCAR1	625	6.321765899658203	-0.014665343	No	
row_2	CD276	688	5.784204483032227	-0.0060836235	No	
row_3	THY1	702	5.6613922119140625	0.0056494707	No	
row_4	PLCG1	823	4.848696708679199	0.008087385	No	
row_5	PDE4D	976	4.153346061706543	0.00673544	No	
row_6	BTRC	1494	2.522737741470337	-0.023775004	No	
row_7	PIK3R1	2110	1.625884771347046	-0.06313936	No	
row_8	GATA3	2125	1.6107025146484375	-0.060521394	No	
row_9	WNK1	2186	1.5555334091186523	-0.061242506	No	
row_10	SPPL3	2300	1.4487138986587524	-0.065907404	No	
row_11	FBXW11	2321	1.4229439496994019	-0.064128175	No	
row_12	MALT1	2359	1.3917737007141113	-0.06360702	No	
row_13	CD28	2415	1.3340281248092651	-0.064473204	No	
row_14	TAB2	2596	1.1797446012496948	-0.07442272	No	
row_15	PDPK1	2619	1.1685923337936401	-0.07335127	No	
row_16	MAP3K7	2887	0.9853944182395935	-0.08981699	No	
row_17	CARD11	3056	0.8869811296463013	-0.099581316	No	
row_18	PAK2	3427	0.7095584273338318	-0.123863764	No	
row_19	RC3H2	4374	0.40089431405067444	-0.1891039	No	
row_20	RFTN1	4432	0.3870040774345398	-0.19222462	No	
row_21	RC3H1	4449	0.3802337646484375	-0.19249412	No	
row_22	TNFRSF21	5010	0.24630989134311676	-0.231094	No	
row_23	CHUK	5256	0.2010362148284912	-0.24777317	No	
row_24	ERMAP	5357	0.1810753494501114	-0.25435987	No	
row_25	PIK3R2	5438	0.16635648906230927	-0.25958124	No	
row_26	PSMC4	5964	0.07910054177045822	-0.29610762	No	
row_27	PAG1	6092	0.06044890731573105	-0.3048513	No	
row_28	PSMD1	6094	0.0602547861635685	-0.30478665	No	
row_29	SKP1	6219	0.04126337170600891	-0.3133634	No	
row_30	PSMD8	6346	0.02583731897175312	-0.32211444	No	
row_31	PSME3	6513	0.006371885072439909	-0.33370537	No	
row_32	KHDRBS1	6533	-1.0706199827836826E-4	-0.33503342	No	
row_33	PTPRJ	6616	-0.007670059334486723	-0.34074894	No	
row_34	TRAF6	6665	-0.013218794018030167	-0.34407514	No	
row_35	BTNL9	7192	-0.08406715095043182	-0.38066036	No	
row_36	TXK	7217	-0.08703672885894775	-0.38214386	No	
row_37	NFKBIZ	7264	-0.09314696490764618	-0.3851517	No	
row_38	PSMD5	7823	-0.1835024058818817	-0.42375204	No	
row_39	PRKD2	7945	-0.20159471035003662	-0.43176103	No	
row_40	PSME4	8630	-0.3218410015106201	-0.47886115	No	
row_41	EIF2B4	8777	-0.3508118987083435	-0.48828474	No	
row_42	EIF2B1	8779	-0.35128307342529297	-0.48757023	No	
row_43	PLCG2	9090	-0.4154873490333557	-0.50831467	No	
row_44	CUL1	9411	-0.4899892807006836	-0.5295919	No	
row_45	TEC	9706	-0.5682640075683594	-0.54887664	No	
row_46	PIK3CD	9872	-0.6093197464942932	-0.5590513	No	
row_47	PSMB7	9967	-0.6390256881713867	-0.56419593	No	
row_48	ZC3H12A	10006	-0.6536521315574646	-0.5653929	No	
row_49	PSMA1	10047	-0.6639228463172913	-0.5667068	No	
row_50	EIF2B5	10150	-0.6933090686798096	-0.57228947	No	
row_51	EIF2B2	10155	-0.6954219937324524	-0.57101625	No	
row_52	NFKBID	10237	-0.7189258337020874	-0.57507366	No	
row_53	PSMD6	10246	-0.7214846014976501	-0.5740218	No	
row_54	PIK3CA	10474	-0.789090096950531	-0.58812946	No	
row_55	PSMD2	10480	-0.7915628552436829	-0.58671147	No	
row_56	PSMB5	10530	-0.8052272796630859	-0.58833903	No	
row_57	PSMA7	10569	-0.8186973333358765	-0.5891675	No	
row_58	UBE2N	10604	-0.8302862644195557	-0.5896904	No	
row_59	BTN2A1	10618	-0.8329813480377197	-0.58873916	No	
row_60	BCL10	10793	-0.8875018954277039	-0.5989218	No	
row_61	PSMF1	10856	-0.9080609083175659	-0.60122854	No	
row_62	PSMD12	10962	-0.9431613683700562	-0.6064631	No	
row_63	PSMC5	11132	-1.0136111974716187	-0.61601454	No	
row_64	PSMD9	11267	-1.0673831701278687	-0.6229991	No	
row_65	PRAM1	11290	-1.07474946975708	-0.6221372	No	
row_66	PDE4B	11442	-1.1370149850845337	-0.63015467	No	
row_67	PSMD3	11565	-1.1999400854110718	-0.6360043	No	
row_68	ICOSLG	11639	-1.2346681356430054	-0.6383507	No	
row_69	PIK3CB	11656	-1.2473714351654053	-0.63668394	No	
row_70	PSMC1	11657	-1.247478723526001	-0.6338983	No	
row_71	RBCK1	11661	-1.2489285469055176	-0.63131917	No	
row_72	PSMD14	11709	-1.2717888355255127	-0.63176507	No	
row_73	PSMD13	12019	-1.4147871732711792	-0.6502082	No	
row_74	PSMC6	12058	-1.4359736442565918	-0.6496582	No	
row_75	PSMB2	12223	-1.5287299156188965	-0.6577099	No	
row_76	PSMB1	12242	-1.5452626943588257	-0.6555177	No	
row_77	PSMD7	12324	-1.5891876220703125	-0.65763175	No	
row_78	PSMB6	12334	-1.5948753356933594	-0.6546996	No	
row_79	DENND1B	12641	-1.8169004917144775	-0.67203504	No	
row_80	RIPK2	12679	-1.8447362184524536	-0.6705024	No	
row_81	CSK	12726	-1.8759281635284424	-0.6695294	No	
row_82	PSMA2	12773	-1.9078078269958496	-0.6684851	No	
row_83	PSMD10	12782	-1.923203945159912	-0.66474986	No	
row_84	PSMC3	12793	-1.9322112798690796	-0.6611343	No	
row_85	PSMA4	12844	-1.9759408235549927	-0.6602175	No	
row_86	PSMD11	12886	-2.0127248764038086	-0.6585894	No	
row_87	EIF2B3	12954	-2.0759756565093994	-0.65863776	No	
row_88	PSMB3	13289	-2.4874095916748047	-0.6764335	No	
row_89	NFKB1	13372	-2.6080853939056396	-0.6763423	No	
row_90	PSMC2	13486	-2.807462453842163	-0.6779731	Yes	
row_91	PSMA3	13519	-2.8673086166381836	-0.6738075	Yes	
row_92	INPP5D	13541	-2.903958559036255	-0.66879106	Yes	
row_93	RELA	13553	-2.9202077388763428	-0.6630392	Yes	
row_94	PSMB4	13646	-3.1124861240386963	-0.66252077	Yes	
row_95	SKAP1	13662	-3.145381212234497	-0.6565458	Yes	
row_96	IKBKG	13703	-3.244804859161377	-0.6520965	Yes	
row_97	IKBKB	13711	-3.260453462600708	-0.6453053	Yes	
row_98	PSMD4	13717	-3.2720346450805664	-0.63834834	Yes	
row_99	PAK1	13739	-3.3273279666900635	-0.63238657	Yes	
row_100	HLA-DQB1	13754	-3.3590784072875977	-0.62586445	Yes	
row_101	C1orf168	13798	-3.484680414199829	-0.6210893	Yes	
row_102	HLA-DQA1	13817	-3.5312001705169678	-0.6144625	Yes	
row_103	PTPRC	13916	-3.900644540786743	-0.61260355	Yes	
