NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_INTERFERON_ALPHA_RESPONSE%MSIGDB_C2%HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE%MSIGDB_C2%HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	94	-0.871453	-3.023205	0.0	0.0	0.0	1109	tags=74%, list=8%, signal=80%	
HALLMARK_INTERFERON_GAMMA_RESPONSE%MSIGDB_C2%HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE%MSIGDB_C2%HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	195	-0.81241745	-2.9183707	0.0	0.0	0.0	765	tags=56%, list=5%, signal=58%	
TYPE I INTERFERON SIGNALING PATHWAY%GOBP%GO:0060337	TYPE I INTERFERON SIGNALING PATHWAY%GOBP%GO:0060337	Details ...	50	-0.8616462	-2.8369467	0.0	0.0	0.0	1225	tags=74%, list=8%, signal=81%	
INTERFERON ALPHA BETA SIGNALING%REACTOME%R-HSA-909733.2	INTERFERON ALPHA BETA SIGNALING%REACTOME%R-HSA-909733.2	Details ...	53	-0.864588	-2.7755346	0.0	0.0	0.0	1225	tags=72%, list=8%, signal=78%	
RESPONSE TO INTERFERON-GAMMA%GOBP%GO:0034341	RESPONSE TO INTERFERON-GAMMA%GOBP%GO:0034341	Details ...	119	-0.74106026	-2.7715065	0.0	0.0	0.0	1109	tags=50%, list=8%, signal=53%	
ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE ANTIGEN%GOBP%GO:0048002	ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE ANTIGEN%GOBP%GO:0048002	Details ...	178	-0.6730162	-2.7466238	0.0	0.0	0.0	1677	tags=38%, list=12%, signal=43%	
INTERFERON SIGNALING%REACTOME%R-HSA-913531.2	INTERFERON SIGNALING%REACTOME%R-HSA-913531.2	Details ...	169	-0.7541074	-2.7205238	0.0	0.0	0.0	754	tags=39%, list=5%, signal=41%	
RESPONSE TO TYPE I INTERFERON%GOBP%GO:0034340	RESPONSE TO TYPE I INTERFERON%GOBP%GO:0034340	Details ...	54	-0.8517665	-2.7197464	0.0	0.0	0.0	1225	tags=69%, list=8%, signal=75%	
INTERFERON-GAMMA-MEDIATED SIGNALING PATHWAY%GOBP%GO:0060333	INTERFERON-GAMMA-MEDIATED SIGNALING PATHWAY%GOBP%GO:0060333	Details ...	64	-0.85107875	-2.7015724	0.0	0.0	0.0	696	tags=61%, list=5%, signal=64%	
ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS I, TAP-DEPENDENT%GOBP%GO:0002479	ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS I, TAP-DEPENDENT%GOBP%GO:0002479	Details ...	72	-0.7555878	-2.6734	0.0	0.0	0.0	1677	tags=50%, list=12%, signal=56%	
CELLULAR RESPONSE TO INTERFERON-GAMMA%GOBP%GO:0071346	CELLULAR RESPONSE TO INTERFERON-GAMMA%GOBP%GO:0071346	Details ...	105	-0.76248646	-2.6601565	0.0	0.0	0.0	768	tags=49%, list=5%, signal=51%	
DEFENSE RESPONSE TO VIRUS%GOBP%GO:0051607	DEFENSE RESPONSE TO VIRUS%GOBP%GO:0051607	Details ...	102	-0.75477105	-2.6494327	0.0	0.0	0.0	958	tags=45%, list=7%, signal=48%	
INTERFERON GAMMA SIGNALING%REACTOME%R-HSA-877300.2	INTERFERON GAMMA SIGNALING%REACTOME%R-HSA-877300.2	Details ...	81	-0.8194266	-2.638542	0.0	0.0	0.0	696	tags=52%, list=5%, signal=54%	
HALLMARK_ALLOGRAFT_REJECTION%MSIGDB_C2%HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION%MSIGDB_C2%HALLMARK_ALLOGRAFT_REJECTION	Details ...	181	-0.73118615	-2.622521	0.0	0.0	0.0	872	tags=47%, list=6%, signal=49%	
CELLULAR RESPONSE TO TYPE I INTERFERON%GOBP%GO:0071357	CELLULAR RESPONSE TO TYPE I INTERFERON%GOBP%GO:0071357	Details ...	50	-0.8616462	-2.5706725	0.0	0.0	0.0	1225	tags=74%, list=8%, signal=81%	
NEGATIVE REGULATION OF VIRAL GENOME REPLICATION%GOBP%GO:0045071	NEGATIVE REGULATION OF VIRAL GENOME REPLICATION%GOBP%GO:0045071	Details ...	51	-0.7378021	-2.557547	0.0	0.0	0.0	1113	tags=43%, list=8%, signal=47%	
ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PEPTIDE ANTIGEN%GOBP%GO:0002478	ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PEPTIDE ANTIGEN%GOBP%GO:0002478	Details ...	165	-0.6840736	-2.5362093	0.0	0.0	0.0	964	tags=32%, list=7%, signal=33%	
T CELL RECEPTOR SIGNALING PATHWAY%GOBP%GO:0050852	T CELL RECEPTOR SIGNALING PATHWAY%GOBP%GO:0050852	Details ...	145	-0.6842422	-2.532722	0.0	0.0	0.0	964	tags=38%, list=7%, signal=40%	
ANTIGEN RECEPTOR-MEDIATED SIGNALING PATHWAY%GOBP%GO:0050851	ANTIGEN RECEPTOR-MEDIATED SIGNALING PATHWAY%GOBP%GO:0050851	Details ...	166	-0.6905441	-2.5284488	0.0	0.0	0.0	988	tags=39%, list=7%, signal=42%	
IL12-MEDIATED SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%IL12-MEDIATED SIGNALING EVENTS	IL12-MEDIATED SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%IL12-MEDIATED SIGNALING EVENTS	Details ...	54	-0.7925496	-2.52711	0.0	0.0	0.0	1101	tags=59%, list=8%, signal=64%	
