NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION%MSIGDB_C2%HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION%MSIGDB_C2%HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	191	0.8724646	2.4762383	0.0	0.0	0.0	1074	tags=60%, list=7%, signal=64%	
NABA_CORE_MATRISOME%MSIGDB_C2%NABA_CORE_MATRISOME	NABA_CORE_MATRISOME%MSIGDB_C2%NABA_CORE_MATRISOME	Details ...	196	0.8557071	2.3761082	0.0	0.0	0.0	1074	tags=56%, list=7%, signal=59%	
COLLAGEN BIOSYNTHESIS AND MODIFYING ENZYMES%REACTOME DATABASE ID RELEASE 73%1650814	COLLAGEN BIOSYNTHESIS AND MODIFYING ENZYMES%REACTOME DATABASE ID RELEASE 73%1650814	Details ...	51	0.89969486	2.233425	0.0	0.0	0.0	1002	tags=69%, list=7%, signal=73%	
NABA_ECM_GLYCOPROTEINS%MSIGDB_C2%NABA_ECM_GLYCOPROTEINS	NABA_ECM_GLYCOPROTEINS%MSIGDB_C2%NABA_ECM_GLYCOPROTEINS	Details ...	139	0.82865775	2.213758	0.0	0.0	0.0	1522	tags=57%, list=11%, signal=63%	
ASSEMBLY OF COLLAGEN FIBRILS AND OTHER MULTIMERIC STRUCTURES%REACTOME%R-HSA-2022090.3	ASSEMBLY OF COLLAGEN FIBRILS AND OTHER MULTIMERIC STRUCTURES%REACTOME%R-HSA-2022090.3	Details ...	48	0.8595856	2.19213	0.0	0.0	0.0	1123	tags=63%, list=8%, signal=68%	
COLLAGEN FORMATION%REACTOME%R-HSA-1474290.2	COLLAGEN FORMATION%REACTOME%R-HSA-1474290.2	Details ...	69	0.86532414	2.1820304	0.0	0.0	0.0	1123	tags=61%, list=8%, signal=66%	
PID_INTEGRIN1_PATHWAY%MSIGDB_C2%PID_INTEGRIN1_PATHWAY	PID_INTEGRIN1_PATHWAY%MSIGDB_C2%PID_INTEGRIN1_PATHWAY	Details ...	59	0.86966574	2.1474414	0.0	0.0	0.0	1283	tags=64%, list=9%, signal=70%	
REGULATION OF CELLULAR RESPONSE TO GROWTH FACTOR STIMULUS%GOBP%GO:0090287	REGULATION OF CELLULAR RESPONSE TO GROWTH FACTOR STIMULUS%GOBP%GO:0090287	Details ...	174	0.76678455	2.147322	0.0	0.0	0.0	1638	tags=40%, list=11%, signal=45%	
HALLMARK_UV_RESPONSE_DN%MSIGDB_C2%HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN%MSIGDB_C2%HALLMARK_UV_RESPONSE_DN	Details ...	140	0.75647277	2.1400664	0.0	0.0	0.0	1815	tags=38%, list=13%, signal=43%	
BETA3 INTEGRIN CELL SURFACE INTERACTIONS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BETA3 INTEGRIN CELL SURFACE INTERACTIONS	BETA3 INTEGRIN CELL SURFACE INTERACTIONS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BETA3 INTEGRIN CELL SURFACE INTERACTIONS	Details ...	37	0.86805636	2.1398778	0.0	0.0	0.0	970	tags=54%, list=7%, signal=58%	
BLOOD VESSEL MORPHOGENESIS%GOBP%GO:0048514	BLOOD VESSEL MORPHOGENESIS%GOBP%GO:0048514	Details ...	191	0.7614036	2.1330125	0.0	0.0	0.0	2007	tags=54%, list=14%, signal=62%	
OSSIFICATION%GOBP%GO:0001503	OSSIFICATION%GOBP%GO:0001503	Details ...	112	0.79156494	2.1248078	0.0	0.0	0.0	1013	tags=28%, list=7%, signal=30%	
NEGATIVE REGULATION OF CELLULAR RESPONSE TO GROWTH FACTOR STIMULUS%GOBP%GO:0090288	NEGATIVE REGULATION OF CELLULAR RESPONSE TO GROWTH FACTOR STIMULUS%GOBP%GO:0090288	Details ...	101	0.78473854	2.120697	0.0	0.0	0.0	1638	tags=46%, list=11%, signal=51%	
AMINOGLYCAN BIOSYNTHETIC PROCESS%GOBP%GO:0006023	AMINOGLYCAN BIOSYNTHETIC PROCESS%GOBP%GO:0006023	Details ...	87	0.7943592	2.1204662	0.0	0.0	0.0	1502	tags=41%, list=10%, signal=46%	
COLLAGEN CHAIN TRIMERIZATION%REACTOME%R-HSA-8948216.2	COLLAGEN CHAIN TRIMERIZATION%REACTOME%R-HSA-8948216.2	Details ...	34	0.90677184	2.1191225	0.0	0.0	0.0	1123	tags=76%, list=8%, signal=83%	
SKELETAL SYSTEM DEVELOPMENT%GOBP%GO:0001501	SKELETAL SYSTEM DEVELOPMENT%GOBP%GO:0001501	Details ...	195	0.7605624	2.1108685	0.0	0.0	0.0	1497	tags=41%, list=10%, signal=45%	
BETA1 INTEGRIN CELL SURFACE INTERACTIONS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BETA1 INTEGRIN CELL SURFACE INTERACTIONS	BETA1 INTEGRIN CELL SURFACE INTERACTIONS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BETA1 INTEGRIN CELL SURFACE INTERACTIONS	Details ...	59	0.86966574	2.1036515	0.0	0.0	0.0	1283	tags=64%, list=9%, signal=70%	
GLYCOSAMINOGLYCAN BIOSYNTHETIC PROCESS%GOBP%GO:0006024	GLYCOSAMINOGLYCAN BIOSYNTHETIC PROCESS%GOBP%GO:0006024	Details ...	84	0.7946767	2.0891747	0.0	0.0	0.0	1502	tags=42%, list=10%, signal=46%	
COLLAGEN FIBRIL ORGANIZATION%GOBP%GO:0030199	COLLAGEN FIBRIL ORGANIZATION%GOBP%GO:0030199	Details ...	30	0.9125634	2.0871403	0.0	0.0	0.0	569	tags=63%, list=4%, signal=66%	
REGULATION OF TRANSMEMBRANE RECEPTOR PROTEIN SERINE/THREONINE KINASE SIGNALING PATHWAY%GOBP%GO:0090092	REGULATION OF TRANSMEMBRANE RECEPTOR PROTEIN SERINE/THREONINE KINASE SIGNALING PATHWAY%GOBP%GO:0090092	Details ...	152	0.75821006	2.0809863	0.0	0.0	0.0	1883	tags=43%, list=13%, signal=49%	
HEART MORPHOGENESIS%GOBP%GO:0003007	HEART MORPHOGENESIS%GOBP%GO:0003007		117	0.7525189	2.0653331	0.0	0.0	0.0	2148	tags=52%, list=15%, signal=61%	
NABA_ECM_REGULATORS%MSIGDB_C2%NABA_ECM_REGULATORS	NABA_ECM_REGULATORS%MSIGDB_C2%NABA_ECM_REGULATORS		142	0.76226884	2.0643811	0.0	0.0	0.0	1318	tags=37%, list=9%, signal=41%	
REGULATION OF CELLULAR RESPONSE TO TRANSFORMING GROWTH FACTOR BETA STIMULUS%GOBP%GO:1903844	REGULATION OF CELLULAR RESPONSE TO TRANSFORMING GROWTH FACTOR BETA STIMULUS%GOBP%GO:1903844		81	0.7630696	2.0630584	0.0	0.0	0.0	2114	tags=43%, list=15%, signal=50%	
NEGATIVE REGULATION OF TRANSMEMBRANE RECEPTOR PROTEIN SERINE/THREONINE KINASE SIGNALING PATHWAY%GOBP%GO:0090101	NEGATIVE REGULATION OF TRANSMEMBRANE RECEPTOR PROTEIN SERINE/THREONINE KINASE SIGNALING PATHWAY%GOBP%GO:0090101		76	0.79196864	2.0624852	0.0	0.0	0.0	1868	tags=47%, list=13%, signal=54%	
ANGIOGENESIS%GOBP%GO:0001525	ANGIOGENESIS%GOBP%GO:0001525		143	0.7595415	2.0581076	0.0	0.0	0.0	1810	tags=50%, list=13%, signal=57%	
MESENCHYME DEVELOPMENT%GOBP%GO:0060485	MESENCHYME DEVELOPMENT%GOBP%GO:0060485		126	0.75089216	2.057927	0.0	0.0	0.0	2061	tags=52%, list=14%, signal=60%	
NABA_COLLAGENS%MSIGDB_C2%NABA_COLLAGENS	NABA_COLLAGENS%MSIGDB_C2%NABA_COLLAGENS		34	0.90677166	2.0555956	0.0	0.0	0.0	1123	tags=76%, list=8%, signal=83%	
PID_INTEGRIN3_PATHWAY%MSIGDB_C2%PID_INTEGRIN3_PATHWAY	PID_INTEGRIN3_PATHWAY%MSIGDB_C2%PID_INTEGRIN3_PATHWAY		38	0.86517984	2.0533993	0.0	0.0	0.0	970	tags=53%, list=7%, signal=56%	
BONE DEVELOPMENT%GOBP%GO:0060348	BONE DEVELOPMENT%GOBP%GO:0060348		64	0.79490405	2.0490706	0.0	0.0	0.0	1485	tags=45%, list=10%, signal=50%	
GLYCOSAMINOGLYCAN METABOLIC PROCESS%GOBP%GO:0030203	GLYCOSAMINOGLYCAN METABOLIC PROCESS%GOBP%GO:0030203		108	0.7609397	2.0469327	0.0	0.0	0.0	1502	tags=37%, list=10%, signal=41%	
INTEGRIN SIGNALLING PATHWAY%PANTHER PATHWAY%P00034	INTEGRIN SIGNALLING PATHWAY%PANTHER PATHWAY%P00034		156	0.71719545	2.045938	0.0	0.0	0.0	1775	tags=37%, list=12%, signal=42%	
DEFECTIVE B4GALT7 CAUSES EDS, PROGEROID TYPE%REACTOME%R-HSA-3560783.1	DEFECTIVE B4GALT7 CAUSES EDS, PROGEROID TYPE%REACTOME%R-HSA-3560783.1		17	0.9025629	2.0406642	0.0	0.0	0.0	563	tags=53%, list=4%, signal=55%	
ALZHEIMER DISEASE-PRESENILIN PATHWAY%PANTHER PATHWAY%P00004	ALZHEIMER DISEASE-PRESENILIN PATHWAY%PANTHER PATHWAY%P00004		86	0.7754326	2.0402067	0.0	0.0	0.0	2182	tags=49%, list=15%, signal=57%	
PROTEOGLYCAN METABOLIC PROCESS%GOBP%GO:0006029	PROTEOGLYCAN METABOLIC PROCESS%GOBP%GO:0006029		59	0.8071292	2.0394914	0.0	0.0	0.0	1356	tags=47%, list=9%, signal=52%	
PID_SYNDECAN_1_PATHWAY%MSIGDB_C2%PID_SYNDECAN_1_PATHWAY	PID_SYNDECAN_1_PATHWAY%MSIGDB_C2%PID_SYNDECAN_1_PATHWAY		43	0.86253536	2.028745	0.0	0.0	0.0	825	tags=56%, list=6%, signal=59%	
CARDIAC CHAMBER MORPHOGENESIS%GOBP%GO:0003206	CARDIAC CHAMBER MORPHOGENESIS%GOBP%GO:0003206		58	0.79016566	2.0219524	0.0	0.0	0.0	2148	tags=60%, list=15%, signal=71%	
PID_AVB3_INTEGRIN_PATHWAY%MSIGDB_C2%PID_AVB3_INTEGRIN_PATHWAY	PID_AVB3_INTEGRIN_PATHWAY%MSIGDB_C2%PID_AVB3_INTEGRIN_PATHWAY		69	0.8267907	2.017285	0.0	0.0	0.0	805	tags=42%, list=6%, signal=44%	
AMINOGLYCAN METABOLIC PROCESS%GOBP%GO:0006022	AMINOGLYCAN METABOLIC PROCESS%GOBP%GO:0006022		117	0.7315513	2.0169365	0.0	0.0	0.0	1502	tags=35%, list=10%, signal=39%	
DISEASES OF GLYCOSYLATION%REACTOME DATABASE ID RELEASE 73%3781865	DISEASES OF GLYCOSYLATION%REACTOME DATABASE ID RELEASE 73%3781865		120	0.76957446	2.0144737	0.0	0.0	0.0	909	tags=29%, list=6%, signal=31%	
DEGRADATION OF THE EXTRACELLULAR MATRIX%REACTOME%R-HSA-1474228.4	DEGRADATION OF THE EXTRACELLULAR MATRIX%REACTOME%R-HSA-1474228.4		78	0.77160996	2.0132918	0.0	0.0	0.0	1256	tags=36%, list=9%, signal=39%	
CADHERIN SIGNALING PATHWAY%PANTHER PATHWAY%P00012	CADHERIN SIGNALING PATHWAY%PANTHER PATHWAY%P00012		107	0.7502067	2.01212	0.0	0.0	0.0	2160	tags=51%, list=15%, signal=60%	
ELASTIC FIBRE FORMATION%REACTOME%R-HSA-1566948.1	ELASTIC FIBRE FORMATION%REACTOME%R-HSA-1566948.1		38	0.8400662	2.0105684	0.0	0.0	0.0	836	tags=50%, list=6%, signal=53%	
SKELETAL SYSTEM MORPHOGENESIS%GOBP%GO:0048705	SKELETAL SYSTEM MORPHOGENESIS%GOBP%GO:0048705		71	0.7592077	2.0090187	0.0	0.0	0.0	1718	tags=45%, list=12%, signal=51%	
CARDIAC CHAMBER DEVELOPMENT%GOBP%GO:0003205	CARDIAC CHAMBER DEVELOPMENT%GOBP%GO:0003205		73	0.77829087	2.0074227	0.0	0.0	0.0	2148	tags=55%, list=15%, signal=64%	
MIRNA TARGETS IN ECM AND MEMBRANE RECEPTORS%WIKIPATHWAYS_20200810%WP2911%HOMO SAPIENS	MIRNA TARGETS IN ECM AND MEMBRANE RECEPTORS%WIKIPATHWAYS_20200810%WP2911%HOMO SAPIENS		22	0.9055174	2.004006	0.0	0.0	0.0	957	tags=82%, list=7%, signal=87%	
DISEASES ASSOCIATED WITH GLYCOSAMINOGLYCAN METABOLISM%REACTOME%R-HSA-3560782.2	DISEASES ASSOCIATED WITH GLYCOSAMINOGLYCAN METABOLISM%REACTOME%R-HSA-3560782.2		36	0.85362583	2.0020158	0.0	0.0	0.0	1066	tags=50%, list=7%, signal=54%	
REGULATION OF ADHERENS JUNCTION ORGANIZATION%GOBP%GO:1903391	REGULATION OF ADHERENS JUNCTION ORGANIZATION%GOBP%GO:1903391		55	0.7700709	1.9997054	0.0	0.0	0.0	1941	tags=53%, list=13%, signal=61%	
