NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
XENOBIOTIC METABOLIC PROCESS%GOBP%GO:0006805	XENOBIOTIC METABOLIC PROCESS%GOBP%GO:0006805	Details ...	73	-0.74786437	-2.24196	0.0	0.0	0.0	1585	tags=38%, list=10%, signal=43%	
CELLULAR RESPONSE TO XENOBIOTIC STIMULUS%GOBP%GO:0071466	CELLULAR RESPONSE TO XENOBIOTIC STIMULUS%GOBP%GO:0071466	Details ...	94	-0.7019244	-2.2116892	0.0	0.0	0.0	1585	tags=36%, list=10%, signal=40%	
BIOLOGICAL OXIDATIONS%REACTOME DATABASE ID RELEASE 81%211859	BIOLOGICAL OXIDATIONS%REACTOME DATABASE ID RELEASE 81%211859	Details ...	146	-0.6417468	-2.1191504	0.0	0.0	0.0	1788	tags=35%, list=11%, signal=39%	
PHASE I - FUNCTIONALIZATION OF COMPOUNDS%REACTOME%R-HSA-211945.8	PHASE I - FUNCTIONALIZATION OF COMPOUNDS%REACTOME%R-HSA-211945.8	Details ...	69	-0.674802	-2.0258088	0.0	0.0016861362	0.01	932	tags=30%, list=6%, signal=32%	
OXIDATIVE PHOSPHORYLATION%GOBP%GO:0006119	OXIDATIVE PHOSPHORYLATION%GOBP%GO:0006119	Details ...	97	-0.65086216	-2.0237665	0.0	0.001348909	0.01	4312	tags=68%, list=28%, signal=93%	
ATP SYNTHESIS COUPLED ELECTRON TRANSPORT%GOBP%GO:0042773	ATP SYNTHESIS COUPLED ELECTRON TRANSPORT%GOBP%GO:0042773	Details ...	75	-0.664608	-2.001515	0.0	0.0020289717	0.018	4312	tags=72%, list=28%, signal=99%	
AEROBIC ELECTRON TRANSPORT CHAIN%GOBP%GO:0019646	AEROBIC ELECTRON TRANSPORT CHAIN%GOBP%GO:0019646	Details ...	74	-0.653323	-1.9942815	0.0	0.002031288	0.021	4312	tags=72%, list=28%, signal=99%	
MITOCHONDRIAL ATP SYNTHESIS COUPLED ELECTRON TRANSPORT%GOBP%GO:0042775	MITOCHONDRIAL ATP SYNTHESIS COUPLED ELECTRON TRANSPORT%GOBP%GO:0042775	Details ...	75	-0.664608	-1.9852792	0.0	0.0028738682	0.033	4312	tags=72%, list=28%, signal=99%	
CELLULAR RESPIRATION%GOBP%GO:0045333	CELLULAR RESPIRATION%GOBP%GO:0045333	Details ...	139	-0.59531444	-1.9842476	0.0	0.0025545494	0.033	4312	tags=60%, list=28%, signal=82%	
AEROBIC RESPIRATION%GOBP%GO:0009060	AEROBIC RESPIRATION%GOBP%GO:0009060	Details ...	125	-0.60389525	-1.9737513	0.0	0.0027029358	0.039	4312	tags=59%, list=28%, signal=81%	
