NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION%MSIGDBHALLMARK%HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION%MSIGDBHALLMARK%HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	145	0.86693144	2.3640478	0.0	0.0	0.0	1074	tags=58%, list=7%, signal=62%	
EXTRACELLULAR MATRIX ORGANIZATION%GOBP%GO:0030198	EXTRACELLULAR MATRIX ORGANIZATION%GOBP%GO:0030198	Details ...	149	0.8395492	2.3178809	0.0	0.0	0.0	1123	tags=52%, list=8%, signal=56%	
EXTRACELLULAR STRUCTURE ORGANIZATION%GOBP%GO:0043062	EXTRACELLULAR STRUCTURE ORGANIZATION%GOBP%GO:0043062	Details ...	149	0.8395492	2.3067074	0.0	0.0	0.0	1123	tags=52%, list=8%, signal=56%	
EXTERNAL ENCAPSULATING STRUCTURE ORGANIZATION%GOBP%GO:0045229	EXTERNAL ENCAPSULATING STRUCTURE ORGANIZATION%GOBP%GO:0045229	Details ...	150	0.8385227	2.3052824	0.0	0.0	0.0	1123	tags=52%, list=8%, signal=56%	
COLLAGEN BIOSYNTHESIS AND MODIFYING ENZYMES%REACTOME%R-HSA-1650814.4	COLLAGEN BIOSYNTHESIS AND MODIFYING ENZYMES%REACTOME%R-HSA-1650814.4	Details ...	51	0.89969486	2.2284725	0.0	0.0	0.0	1002	tags=69%, list=7%, signal=73%	
COLLAGEN FORMATION%REACTOME DATABASE ID RELEASE 83%1474290	COLLAGEN FORMATION%REACTOME DATABASE ID RELEASE 83%1474290	Details ...	69	0.8653241	2.2125592	0.0	0.0	0.0	1123	tags=61%, list=8%, signal=66%	
BETA1 INTEGRIN CELL SURFACE INTERACTIONS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BETA1 INTEGRIN CELL SURFACE INTERACTIONS	BETA1 INTEGRIN CELL SURFACE INTERACTIONS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BETA1 INTEGRIN CELL SURFACE INTERACTIONS	Details ...	59	0.8696658	2.1929703	0.0	0.0	0.0	1283	tags=64%, list=9%, signal=70%	
BLOOD VESSEL MORPHOGENESIS%GOBP%GO:0048514	BLOOD VESSEL MORPHOGENESIS%GOBP%GO:0048514	Details ...	183	0.7615817	2.1392145	0.0	0.0	0.0	2007	tags=54%, list=14%, signal=62%	
REGULATION OF CELLULAR RESPONSE TO GROWTH FACTOR STIMULUS%GOBP%GO:0090287	REGULATION OF CELLULAR RESPONSE TO GROWTH FACTOR STIMULUS%GOBP%GO:0090287	Details ...	198	0.76152354	2.1240501	0.0	0.0	0.0	1638	tags=39%, list=11%, signal=43%	
HEART MORPHOGENESIS%GOBP%GO:0003007	HEART MORPHOGENESIS%GOBP%GO:0003007	Details ...	122	0.7766032	2.118933	0.0	0.0	0.0	2232	tags=54%, list=15%, signal=63%	
SKELETAL SYSTEM DEVELOPMENT%GOBP%GO:0001501	SKELETAL SYSTEM DEVELOPMENT%GOBP%GO:0001501	Details ...	194	0.7537602	2.1141365	0.0	0.0	0.0	1506	tags=40%, list=10%, signal=44%	
COLLAGEN CHAIN TRIMERIZATION%REACTOME DATABASE ID RELEASE 83%8948216	COLLAGEN CHAIN TRIMERIZATION%REACTOME DATABASE ID RELEASE 83%8948216	Details ...	34	0.906772	2.1103716	0.0	0.0	0.0	1123	tags=76%, list=8%, signal=83%	
REGULATION OF TRANSMEMBRANE RECEPTOR PROTEIN SERINE/THREONINE KINASE SIGNALING PATHWAY%GOBP%GO:0090092	REGULATION OF TRANSMEMBRANE RECEPTOR PROTEIN SERINE/THREONINE KINASE SIGNALING PATHWAY%GOBP%GO:0090092	Details ...	176	0.7541896	2.109875	0.0	0.0	0.0	1883	tags=41%, list=13%, signal=47%	
OSSIFICATION%GOBP%GO:0001503	OSSIFICATION%GOBP%GO:0001503	Details ...	109	0.78205925	2.1075056	0.0	0.0	0.0	1427	tags=32%, list=10%, signal=35%	
ASSEMBLY OF COLLAGEN FIBRILS AND OTHER MULTIMERIC STRUCTURES%REACTOME%R-HSA-2022090.3	ASSEMBLY OF COLLAGEN FIBRILS AND OTHER MULTIMERIC STRUCTURES%REACTOME%R-HSA-2022090.3	Details ...	48	0.8595856	2.0932517	0.0	0.0	0.0	1123	tags=63%, list=8%, signal=68%	
DISEASES OF GLYCOSYLATION%REACTOME DATABASE ID RELEASE 83%3781865	DISEASES OF GLYCOSYLATION%REACTOME DATABASE ID RELEASE 83%3781865	Details ...	122	0.7691813	2.0852718	0.0	0.0	0.0	1066	tags=31%, list=7%, signal=33%	
