"genesets_old.geneset.ID"	"genesets_old.geneset.NAMEonly"	"genesets_old.geneset.size"	"genesets_old.geneset.SOURCE"	"genesets_new.geneset.NAMEonly"	"genesets_new.geneset.size"	"genesets_new.geneset.SOURCE"
"1222387"	"TOLERANCE OF REACTIVE OXYGEN PRODUCED BY MACROPHAGES"	1	"REACTOME"	NA	0	NA
"1222538"	"TOLERANCE BY MTB TO NITRIC OXIDE PRODUCED BY MACROPHAGES"	1	"REACTOME"	NA	0	NA
"1222541"	"CELL REDOX HOMEOSTASIS"	1	"REACTOME DATABASE ID RELEASE 73"	NA	0	NA
"168270"	"FUSION AND UNCOATING OF THE INFLUENZA VIRION"	1	"REACTOME DATABASE ID RELEASE 73"	NA	0	NA
"168288"	"FUSION OF THE INFLUENZA VIRION TO THE HOST CELL ENDOSOME"	1	"REACTOME DATABASE ID RELEASE 73"	NA	0	NA
"168298"	"RELEASE"	1	"REACTOME"	NA	0	NA
"168302"	"BUDDING"	1	"REACTOME DATABASE ID RELEASE 73"	NA	0	NA
"168303"	"PACKAGING OF EIGHT RNA SEGMENTS"	1	"REACTOME DATABASE ID RELEASE 73"	NA	0	NA
"168305"	"INHIBITION OF INTERFERON SYNTHESIS"	1	"REACTOME"	NA	0	NA
"168336"	"UNCOATING OF THE INFLUENZA VIRION"	1	"REACTOME"	NA	0	NA
"168874"	"TRANSPORT OF HA TRIMER, NA TETRAMER AND M2 TETRAMER FROM THE ENDOPLASMIC RETICULUM TO THE GOLGI APPARATUS"	1	"REACTOME DATABASE ID RELEASE 73"	NA	0	NA
"168888"	"INHIBITION OF IFN-BETA"	1	"REACTOME"	NA	0	NA
"192869"	"CRNA SYNTHESIS"	1	"REACTOME DATABASE ID RELEASE 73"	NA	0	NA
"194840"	"RHO GTPASE CYCLE"	140	"REACTOME DATABASE ID RELEASE 73"	NA	0	NA
"3359458"	"DEFECTIVE LMBRD1 CAUSES METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA TYPE CBLF"	2	"REACTOME DATABASE ID RELEASE 73"	NA	0	NA
"68827"	"CDT1 ASSOCIATION WITH THE CDC6:ORC:ORIGIN COMPLEX"	60	"REACTOME DATABASE ID RELEASE 73"	NA	0	NA
"8853338"	"SIGNALING BY FGFR3 POINT MUTANTS IN CANCER"	18	"REACTOME DATABASE ID RELEASE 73"	NA	0	NA
"9637679"	"ESCAPE OF MTB FROM THE PHAGOCYTE"	1	"REACTOME DATABASE ID RELEASE 73"	NA	0	NA
"9637698"	"PHAGOCYTE CELL DEATH CAUSED BY CYTOSOLIC MTB"	1	"REACTOME DATABASE ID RELEASE 73"	NA	0	NA
"9639775"	"ANTIMICROBIAL ACTION AND ANTIMICROBIAL RESISTANCE IN MTB"	1	"REACTOME DATABASE ID RELEASE 73"	NA	0	NA
"9679509"	"VIRION ASSEMBLY AND RELEASE"	1	"REACTOME DATABASE ID RELEASE 73"	NA	0	NA
"9682708"	"TRANSCRIPTION OF SARS-COV-1 SGRNAS"	1	"REACTOME"	NA	0	NA
"9683439"	"ASSEMBLY OF THE SARS-COV-1 REPLICATION-TRANSCRIPTION COMPLEX (RTC)"	1	"REACTOME"	NA	0	NA
"9683612"	"MATURATION OF PROTEIN M"	1	"REACTOME DATABASE ID RELEASE 73"	NA	0	NA
"9684325"	"MATURATION OF REPLICASE PROTEINS"	1	"REACTOME"	NA	0	NA
"ARG-PRO-PWY"	"ARGININE DEGRADATION VI (ARGINASE 2 PATHWAY)"	7	"HUMANCYC"	NA	0	NA
"ARGASEDEG-PWY"	"ARGININE DEGRADATION I (ARGINASE PATHWAY)"	5	"HUMANCYC"	NA	0	NA
"ASPARAGINE-DEG1-PWY"	"ASPARAGINE DEGRADATION I"	3	"HUMANCYC"	NA	0	NA
"BIOCARTA_CHREBP2_PATHWAY"	"BIOCARTA_CHREBP2_PATHWAY"	43	"MSIGDB_C2"	NA	0	NA
"BIOCARTA_GLYCOLYSIS_PATHWAY"	"BIOCARTA_GLYCOLYSIS_PATHWAY"	11	"MSIGDB_C2"	NA	0	NA
"BIOCARTA_NEUROTRANSMITTERS_PATHWAY"	"BIOCARTA_NEUROTRANSMITTERS_PATHWAY"	7	"MSIGDB_C2"	NA	0	NA
"CITRULLINE-DEG-PWY"	"CITRULLINE DEGRADATION"	2	"HUMANCYC"	NA	0	NA
"COA-PWY"	"COENZYME A BIOSYNTHESIS"	4	"HUMANCYC"	NA	0	NA
"COLANSYN-PWY"	"COLANIC ACID BUILDING BLOCKS BIOSYNTHESIS"	14	"HUMANCYC"	NA	0	NA
"GLUCONEO-PWY"	"GLUCONEOGENESIS I"	23	"HUMANCYC"	NA	0	NA
"GLUCOSE1PMETAB-PWY"	"GLUCOSE AND GLUCOSE-1-PHOSPHATE DEGRADATION"	6	"HUMANCYC"	NA	0	NA
"GLUTDEG-PWY"	"GLUTAMATE DEGRADATION II"	4	"HUMANCYC"	NA	0	NA
"GLYCOLYSIS"	"GLYCOLYSIS I"	23	"HUMANCYC"	NA	0	NA
"GO:0000173"	"INACTIVATION OF MAPK ACTIVITY INVOLVED IN OSMOSENSORY SIGNALING PATHWAY"	2	"GOBP"	NA	0	NA
"GO:0000185"	"ACTIVATION OF MAPKKK ACTIVITY"	9	"GOBP"	NA	0	NA
"GO:0000186"	"ACTIVATION OF MAPKK ACTIVITY"	29	"GOBP"	NA	0	NA
"GO:0000187"	"ACTIVATION OF MAPK ACTIVITY"	125	"GOBP"	NA	0	NA
"GO:0000188"	"INACTIVATION OF MAPK ACTIVITY"	24	"GOBP"	NA	0	NA
"GO:0000256"	"ALLANTOIN CATABOLIC PROCESS"	1	"GOBP"	NA	0	NA
"GO:0000414"	"REGULATION OF HISTONE H3-K36 METHYLATION"	8	"GOBP"	NA	0	NA
"GO:0000415"	"NEGATIVE REGULATION OF HISTONE H3-K36 METHYLATION"	2	"GOBP"	NA	0	NA
"GO:0000416"	"POSITIVE REGULATION OF HISTONE H3-K36 METHYLATION"	5	"GOBP"	NA	0	NA
"GO:0000718"	"NUCLEOTIDE-EXCISION REPAIR, DNA DAMAGE REMOVAL"	2	"GOBP"	NA	0	NA
"GO:0000726"	"NON-RECOMBINATIONAL REPAIR"	80	"GOBP"	NA	0	NA
"GO:0000733"	"DNA STRAND RENATURATION"	3	"GOBP"	NA	0	NA
"GO:0000735"	"REMOVAL OF NONHOMOLOGOUS ENDS"	2	"GOBP"	NA	0	NA
"GO:0000737"	"DNA CATABOLIC PROCESS, ENDONUCLEOLYTIC"	24	"GOBP"	NA	0	NA
"GO:0000738"	"DNA CATABOLIC PROCESS, EXONUCLEOLYTIC"	9	"GOBP"	NA	0	NA
"GO:0000961"	"NEGATIVE REGULATION OF MITOCHONDRIAL RNA CATABOLIC PROCESS"	2	"GOBP"	NA	0	NA
"GO:0001171"	"REVERSE TRANSCRIPTION"	1	"GOBP"	NA	0	NA
"GO:0001207"	"HISTONE DISPLACEMENT"	2	"GOBP"	NA	0	NA
"GO:0001300"	"CHRONOLOGICAL CELL AGING"	2	"GOBP"	NA	0	NA
"GO:0001302"	"REPLICATIVE CELL AGING"	3	"GOBP"	NA	0	NA
"GO:0001306"	"AGE-DEPENDENT RESPONSE TO OXIDATIVE STRESS"	2	"GOBP"	NA	0	NA
"GO:0001315"	"AGE-DEPENDENT RESPONSE TO REACTIVE OXYGEN SPECIES"	2	"GOBP"	NA	0	NA
"GO:0001672"	"REGULATION OF CHROMATIN ASSEMBLY OR DISASSEMBLY"	10	"GOBP"	NA	0	NA
"GO:0001835"	"BLASTOCYST HATCHING"	2	"GOBP"	NA	0	NA
"GO:0001898"	"REGULATION OF CYTOLYSIS BY SYMBIONT OF HOST CELLS"	2	"GOBP"	NA	0	NA
"GO:0001899"	"NEGATIVE REGULATION OF CYTOLYSIS BY SYMBIONT OF HOST CELLS"	2	"GOBP"	NA	0	NA
"GO:0001907"	"KILLING BY SYMBIONT OF HOST CELLS"	2	"GOBP"	NA	0	NA
"GO:0002367"	"CYTOKINE PRODUCTION INVOLVED IN IMMUNE RESPONSE"	16	"GOBP"	NA	0	NA
"GO:0002368"	"B CELL CYTOKINE PRODUCTION"	2	"GOBP"	NA	0	NA
"GO:0002369"	"T CELL CYTOKINE PRODUCTION"	5	"GOBP"	NA	0	NA
"GO:0002371"	"DENDRITIC CELL CYTOKINE PRODUCTION"	3	"GOBP"	NA	0	NA
"GO:0002372"	"MYELOID DENDRITIC CELL CYTOKINE PRODUCTION"	2	"GOBP"	NA	0	NA
"GO:0002374"	"CYTOKINE SECRETION INVOLVED IN IMMUNE RESPONSE"	4	"GOBP"	NA	0	NA
"GO:0002378"	"IMMUNOGLOBULIN BIOSYNTHETIC PROCESS"	3	"GOBP"	NA	0	NA
"GO:0002386"	"IMMUNE RESPONSE IN MUCOSAL-ASSOCIATED LYMPHOID TISSUE"	4	"GOBP"	NA	0	NA
"GO:0002640"	"REGULATION OF IMMUNOGLOBULIN BIOSYNTHETIC PROCESS"	2	"GOBP"	NA	0	NA
"GO:0002642"	"POSITIVE REGULATION OF IMMUNOGLOBULIN BIOSYNTHETIC PROCESS"	2	"GOBP"	NA	0	NA
"GO:0003256"	"REGULATION OF TRANSCRIPTION FROM RNA POLYMERASE II PROMOTER INVOLVED IN MYOCARDIAL PRECURSOR CELL DIFFERENTIATION"	8	"GOBP"	NA	0	NA
"GO:0003257"	"POSITIVE REGULATION OF TRANSCRIPTION FROM RNA POLYMERASE II PROMOTER INVOLVED IN MYOCARDIAL PRECURSOR CELL DIFFERENTIATION"	5	"GOBP"	NA	0	NA
"GO:0003373"	"DYNAMIN FAMILY PROTEIN POLYMERIZATION INVOLVED IN MEMBRANE FISSION"	9	"GOBP"	NA	0	NA
"GO:0003374"	"DYNAMIN FAMILY PROTEIN POLYMERIZATION INVOLVED IN MITOCHONDRIAL FISSION"	9	"GOBP"	NA	0	NA
"GO:0005999"	"XYLULOSE BIOSYNTHETIC PROCESS"	3	"GOBP"	NA	0	NA
"GO:0006073"	"CELLULAR GLUCAN METABOLIC PROCESS"	30	"GOBP"	NA	0	NA
"GO:0006165"	"NUCLEOSIDE DIPHOSPHATE PHOSPHORYLATION"	45	"GOBP"	NA	0	NA
"GO:0006174"	"DADP PHOSPHORYLATION"	2	"GOBP"	NA	0	NA
"GO:0006186"	"DGDP PHOSPHORYLATION"	2	"GOBP"	NA	0	NA
"GO:0006198"	"CAMP CATABOLIC PROCESS"	2	"GOBP"	NA	0	NA
"GO:0006267"	"PRE-REPLICATIVE COMPLEX ASSEMBLY INVOLVED IN NUCLEAR CELL CYCLE DNA REPLICATION"	9	"GOBP"	NA	0	NA
"GO:0006274"	"DNA REPLICATION TERMINATION"	2	"GOBP"	NA	0	NA
"GO:0006286"	"BASE-EXCISION REPAIR, BASE-FREE SUGAR-PHOSPHATE REMOVAL"	3	"GOBP"	NA	0	NA
"GO:0006293"	"NUCLEOTIDE-EXCISION REPAIR, PREINCISION COMPLEX STABILIZATION"	22	"GOBP"	NA	0	NA
"GO:0006295"	"NUCLEOTIDE-EXCISION REPAIR, DNA INCISION, 3'-TO LESION"	22	"GOBP"	NA	0	NA
"GO:0006296"	"NUCLEOTIDE-EXCISION REPAIR, DNA INCISION, 5'-TO LESION"	38	"GOBP"	NA	0	NA
"GO:0006323"	"DNA PACKAGING"	176	"GOBP"	NA	0	NA
"GO:0006333"	"CHROMATIN ASSEMBLY OR DISASSEMBLY"	157	"GOBP"	NA	0	NA
"GO:0006336"	"DNA REPLICATION-INDEPENDENT NUCLEOSOME ASSEMBLY"	54	"GOBP"	NA	0	NA
"GO:0006342"	"CHROMATIN SILENCING"	92	"GOBP"	NA	0	NA
"GO:0006348"	"CHROMATIN SILENCING AT TELOMERE"	9	"GOBP"	NA	0	NA
"GO:0006464"	"CELLULAR PROTEIN MODIFICATION PROCESS"	2545	"GOBP"	NA	0	NA
"GO:0006471"	"PROTEIN ADP-RIBOSYLATION"	30	"GOBP"	NA	0	NA
"GO:0006732"	"COENZYME METABOLIC PROCESS"	285	"GOBP"	NA	0	NA
"GO:0006733"	"OXIDOREDUCTION COENZYME METABOLIC PROCESS"	120	"GOBP"	NA	0	NA
"GO:0006757"	"ATP GENERATION FROM ADP"	37	"GOBP"	NA	0	NA
"GO:0006798"	"POLYPHOSPHATE CATABOLIC PROCESS"	6	"GOBP"	NA	0	NA
"GO:0006875"	"CELLULAR METAL ION HOMEOSTASIS"	439	"GOBP"	NA	0	NA
"GO:0006876"	"CELLULAR CADMIUM ION HOMEOSTASIS"	3	"GOBP"	NA	0	NA
"GO:0006928"	"MOVEMENT OF CELL OR SUBCELLULAR COMPONENT"	1214	"GOBP"	NA	0	NA
"GO:0006948"	"INDUCTION BY VIRUS OF HOST CELL-CELL FUSION"	2	"GOBP"	NA	0	NA
"GO:0006975"	"DNA DAMAGE INDUCED PROTEIN PHOSPHORYLATION"	9	"GOBP"	NA	0	NA
"GO:0007045"	"CELL-SUBSTRATE ADHERENS JUNCTION ASSEMBLY"	22	"GOBP"	NA	0	NA
"GO:0007050"	"CELL CYCLE ARREST"	114	"GOBP"	NA	0	NA
"GO:0007135"	"MEIOSIS II"	11	"GOBP"	NA	0	NA
"GO:0007256"	"ACTIVATION OF JNKK ACTIVITY"	4	"GOBP"	NA	0	NA
"GO:0007257"	"ACTIVATION OF JUN KINASE ACTIVITY"	31	"GOBP"	NA	0	NA
"GO:0007468"	"REGULATION OF RHODOPSIN GENE EXPRESSION"	3	"GOBP"	NA	0	NA
"GO:0007569"	"CELL AGING"	47	"GOBP"	NA	0	NA
"GO:0007571"	"AGE-DEPENDENT GENERAL METABOLIC DECLINE"	2	"GOBP"	NA	0	NA
"GO:0007598"	"BLOOD COAGULATION, EXTRINSIC PATHWAY"	5	"GOBP"	NA	0	NA
"GO:0009108"	"COENZYME BIOSYNTHETIC PROCESS"	148	"GOBP"	NA	0	NA
