"genesets_old.geneset.ID"	"genesets_old.geneset.NAMEonly"	"genesets_old.geneset.size"	"genesets_old.geneset.SOURCE"	"genesets_new.geneset.NAMEonly"	"genesets_new.geneset.size"	"genesets_new.geneset.SOURCE"
"15369"	NA	0	NA	"C20 PROSTANOID BIOSYNTHESIS"	10	"HUMANCYC"
"1839120"	NA	0	NA	"SIGNALING BY FGFR1 AMPLIFICATION MUTANTS"	1	"REACTOME DATABASE ID RELEASE 83"
"201556"	NA	0	NA	"SIGNALING BY ALK"	26	"REACTOME DATABASE ID RELEASE 83"
"5620971"	NA	0	NA	"PYROPTOSIS"	28	"REACTOME DATABASE ID RELEASE 83"
"8963678"	NA	0	NA	"INTESTINAL LIPID ABSORPTION"	1	"REACTOME DATABASE ID RELEASE 83"
"8980692"	NA	0	NA	"RHOA GTPASE CYCLE"	150	"REACTOME DATABASE ID RELEASE 83"
"9006821"	NA	0	NA	"ALTERNATIVE LENGTHENING OF TELOMERES (ALT)"	3	"REACTOME"
"9012999"	NA	0	NA	"RHO GTPASE CYCLE"	450	"REACTOME"
"9013026"	NA	0	NA	"RHOB GTPASE CYCLE"	71	"REACTOME DATABASE ID RELEASE 83"
"9013106"	NA	0	NA	"RHOC GTPASE CYCLE"	75	"REACTOME DATABASE ID RELEASE 83"
"9013148"	NA	0	NA	"CDC42 GTPASE CYCLE"	156	"REACTOME"
"9013149"	NA	0	NA	"RAC1 GTPASE CYCLE"	185	"REACTOME DATABASE ID RELEASE 83"
"9013404"	NA	0	NA	"RAC2 GTPASE CYCLE"	89	"REACTOME DATABASE ID RELEASE 83"
"9013405"	NA	0	NA	"RHOD GTPASE CYCLE"	53	"REACTOME"
"9013406"	NA	0	NA	"RHOQ GTPASE CYCLE"	60	"REACTOME"
"9013407"	NA	0	NA	"RHOH GTPASE CYCLE"	38	"REACTOME"
"9013408"	NA	0	NA	"RHOG GTPASE CYCLE"	75	"REACTOME DATABASE ID RELEASE 83"
"9013409"	NA	0	NA	"RHOJ GTPASE CYCLE"	56	"REACTOME"
"9013418"	NA	0	NA	"RHOBTB2 GTPASE CYCLE"	24	"REACTOME"
"9013419"	NA	0	NA	"RHOT2 GTPASE CYCLE"	8	"REACTOME"
"9013420"	NA	0	NA	"RHOU GTPASE CYCLE"	40	"REACTOME"
"9013422"	NA	0	NA	"RHOBTB1 GTPASE CYCLE"	24	"REACTOME DATABASE ID RELEASE 83"
"9013423"	NA	0	NA	"RAC3 GTPASE CYCLE"	95	"REACTOME DATABASE ID RELEASE 83"
"9013424"	NA	0	NA	"RHOV GTPASE CYCLE"	38	"REACTOME"
"9013425"	NA	0	NA	"RHOT1 GTPASE CYCLE"	6	"REACTOME"
"9022534"	NA	0	NA	"LOSS OF MECP2 BINDING ABILITY TO 5HMC-DNA"	1	"REACTOME DATABASE ID RELEASE 83"
"9035034"	NA	0	NA	"RHOF GTPASE CYCLE"	43	"REACTOME DATABASE ID RELEASE 83"
"9605310"	NA	0	NA	"DEFECTIVE BASE EXCISION REPAIR ASSOCIATED WITH MUTYH"	1	"REACTOME"
"9608287"	NA	0	NA	"DEFECTIVE MUTYH SUBSTRATE BINDING"	1	"REACTOME DATABASE ID RELEASE 83"
"9608290"	NA	0	NA	"DEFECTIVE MUTYH SUBSTRATE PROCESSING"	1	"REACTOME"
"9634597"	NA	0	NA	"GPER1 SIGNALING"	44	"REACTOME"
"9634815"	NA	0	NA	"TRANSCRIPTIONAL REGULATION BY NPAS4"	34	"REACTOME DATABASE ID RELEASE 83"
"9657050"	NA	0	NA	"DEFECTIVE OGG1 LOCALIZATION"	1	"REACTOME"
"9659379"	NA	0	NA	"SENSORY PROCESSING OF SOUND"	73	"REACTOME"
"9662360"	NA	0	NA	"SENSORY PROCESSING OF SOUND BY INNER HAIR CELLS OF THE COCHLEA"	65	"REACTOME DATABASE ID RELEASE 83"
"9662361"	NA	0	NA	"SENSORY PROCESSING OF SOUND BY OUTER HAIR CELLS OF THE COCHLEA"	52	"REACTOME"
"9663199"	NA	0	NA	"DEFECTIVE DNA DOUBLE STRAND BREAK RESPONSE DUE TO BRCA1 LOSS OF FUNCTION"	3	"REACTOME DATABASE ID RELEASE 83"
"9667769"	NA	0	NA	"ACETYLCHOLINE INHIBITS CONTRACTION OF OUTER HAIR CELLS"	6	"REACTOME"
"9670613"	NA	0	NA	"DEFECTIVE INHIBITION OF DNA RECOMBINATION AT TELOMERE DUE TO DAXX MUTATIONS"	3	"REACTOME"
"9670615"	NA	0	NA	"DEFECTIVE INHIBITION OF DNA RECOMBINATION AT TELOMERE DUE TO ATRX MUTATIONS"	3	"REACTOME DATABASE ID RELEASE 83"
"9670621"	NA	0	NA	"DEFECTIVE INHIBITION OF DNA RECOMBINATION AT TELOMERE"	3	"REACTOME"
"9673013"	NA	0	NA	"DISEASES OF TELOMERE MAINTENANCE"	3	"REACTOME"
"9674555"	NA	0	NA	"SIGNALING BY CSF3 (G-CSF)"	30	"REACTOME DATABASE ID RELEASE 83"
"9675136"	NA	0	NA	"DISEASES OF DNA DOUBLE-STRAND BREAK REPAIR"	41	"REACTOME DATABASE ID RELEASE 83"
"9680350"	NA	0	NA	"SIGNALING BY CSF1 (M-CSF) IN MYELOID CELLS"	31	"REACTOME DATABASE ID RELEASE 83"
"9682385"	NA	0	NA	"FLT3 SIGNALING IN DISEASE"	28	"REACTOME"
"9686347"	NA	0	NA	"MICROBIAL MODULATION OF RIPK1-MEDIATED REGULATED NECROSIS"	5	"REACTOME"
"9690406"	NA	0	NA	"TRANSCRIPTIONAL REGULATION OF TESTIS DIFFERENTIATION"	12	"REACTOME DATABASE ID RELEASE 83"
"9692912"	NA	0	NA	"SARS-COV-1 TARGETS PDZ PROTEINS IN CELL-CELL JUNCTION"	2	"REACTOME DATABASE ID RELEASE 83"
"9692913"	NA	0	NA	"SARS-COV-1-MEDIATED EFFECTS ON PROGRAMMED CELL DEATH"	2	"REACTOME"
"9692914"	NA	0	NA	"SARS-COV-1-HOST INTERACTIONS"	96	"REACTOME"
"9692916"	NA	0	NA	"SARS-COV-1 ACTIVATES MODULATES INNATE IMMUNE RESPONSES"	42	"REACTOME DATABASE ID RELEASE 83"
"9693928"	NA	0	NA	"DEFECTIVE RIPK1-MEDIATED REGULATED NECROSIS"	8	"REACTOME DATABASE ID RELEASE 83"
"9694301"	NA	0	NA	"MATURATION OF REPLICASE PROTEINS"	2	"REACTOME DATABASE ID RELEASE 83"
"9694493"	NA	0	NA	"MATURATION OF PROTEIN E"	5	"REACTOME DATABASE ID RELEASE 83"
"9694516"	NA	0	NA	"SARS-COV-2 INFECTION"	293	"REACTOME DATABASE ID RELEASE 83"
"9694548"	NA	0	NA	"MATURATION OF SPIKE PROTEIN"	38	"REACTOME DATABASE ID RELEASE 83"
"9694614"	NA	0	NA	"ATTACHMENT AND ENTRY"	20	"REACTOME"
"9694631"	NA	0	NA	"MATURATION OF NUCLEOPROTEIN"	16	"REACTOME DATABASE ID RELEASE 83"
"9694635"	NA	0	NA	"TRANSLATION OF STRUCTURAL PROTEINS"	58	"REACTOME DATABASE ID RELEASE 83"
"9694676"	NA	0	NA	"TRANSLATION OF REPLICASE AND ASSEMBLY OF THE REPLICATION TRANSCRIPTION COMPLEX"	15	"REACTOME"
"9694682"	NA	0	NA	"SARS-COV-2 GENOME REPLICATION AND TRANSCRIPTION"	5	"REACTOME DATABASE ID RELEASE 83"
"9694686"	NA	0	NA	"REPLICATION OF THE SARS-COV-2 GENOME"	5	"REACTOME"
"9694719"	NA	0	NA	"MATURATION OF PROTEIN 3A"	10	"REACTOME DATABASE ID RELEASE 83"
"9696264"	NA	0	NA	"RND3 GTPASE CYCLE"	43	"REACTOME"
