Gene	BLCA Freq	BRCA Freq	GBM Freq	HNSC Freq	KIRC Freq	LAML Freq	LUAD Freq	LUSC Freq	OV Freq	UCEC Freq	Pancan12 Freq
TP53	0.5	0.33	0.28	0.70	0.02	0.08	0.52	0.79	0.95	0.28	0.42
PIK3CA	0.174	0.34	0.11	0.21	0.03	0.00	0.04	0.15	0.01	0.52	0.18
PTEN	0.031	0.04	0.31	0.01	0.04	0.00	0.02	0.08	0.01	0.64	0.10
APC	0.041	0.01	0.00	0.04	0.01	0.00	0.09	0.04	0.02	0.06	0.07
VHL	0	0.00	0.00	0.00	0.52	0.00	0.00	0.01	0.00	0.01	0.07
KRAS	0	0.01	0.01	0.00	0.00	0.04	0.26	0.01	0.01	0.20	0.07
MLL3	0.245	0.06	0.03	0.07	0.04	0.01	0.18	0.16	0.02	0.05	0.07
MLL2	0.255	0.02	0.02	0.18	0.03	0.01	0.09	0.20	0.01	0.08	0.06
ARID1A	0.276	0.02	0.01	0.03	0.03	0.01	0.06	0.06	0.01	0.30	0.05
PBRM1	0.061	0.00	0.01	0.02	0.33	0.00	0.02	0.04	0.00	0.03	0.05
NAV3	0.051	0.01	0.01	0.07	0.01	0.00	0.22	0.19	0.01	0.05	0.05
EGFR	0.01	0.01	0.27	0.05	0.02	0.01	0.11	0.03	0.02	0.01	0.05
NF1	0.071	0.03	0.11	0.03	0.02	0.01	0.12	0.10	0.04	0.04	0.04
PIK3R1	0.01	0.03	0.11	0.02	0.01	0.00	0.01	0.01	0.00	0.31	0.04
CDKN2A	0.041	0.00	0.01	0.21	0.01	0.00	0.07	0.15	0.00	0.00	0.04
GATA3	0.01	0.11	0.00	0.02	0.00	0.00	0.03	0.03	0.00	0.00	0.03
RB1	0.143	0.02	0.08	0.03	0.00	0.00	0.05	0.07	0.02	0.04	0.03
NOTCH1	0.051	0.00	0.00	0.19	0.01	0.01	0.03	0.08	0.01	0.02	0.03
FBXW7	0.092	0.01	0.00	0.05	0.00	0.00	0.01	0.05	0.01	0.12	0.03
CTNNB1	0.02	0.00	0.00	0.01	0.00	0.00	0.04	0.02	0.01	0.28	0.03
DNMT3A	0	0.01	0.00	0.02	0.01	0.26	0.04	0.04	0.01	0.01	0.03
MAP3K1	0.031	0.07	0.02	0.01	0.01	0.00	0.02	0.02	0.00	0.04	0.03
FLT3	0.02	0.00	0.02	0.01	0.01	0.27	0.04	0.04	0.01	0.01	0.03
MALAT1	0.153	0.01	0.00	0.06	0.02	0.00	0.10	0.06	0.01	0.00	0.03
TSHZ3	0.02	0.01	0.01	0.01	0.01	0.01	0.15	0.06	0.01	0.04	0.03
KEAP1	0.031	0.00	0.00	0.04	0.01	0.00	0.17	0.12	0.00	0.01	0.03
CDH1	0.051	0.07	0.00	0.01	0.01	0.00	0.01	0.02	0.00	0.03	0.03
ARHGAP35	0.051	0.01	0.01	0.04	0.01	0.01	0.04	0.06	0.02	0.10	0.03
CTCF	0.02	0.02	0.00	0.03	0.01	0.01	0.01	0.00	0.00	0.17	0.02
NFE2L2	0.092	0.00	0.00	0.05	0.01	0.00	0.02	0.15	0.00	0.05	0.02
SETBP1	0.02	0.00	0.01	0.03	0.01	0.01	0.13	0.05	0.00	0.02	0.02
BAP1	0.041	0.00	0.01	0.01	0.10	0.00	0.01	0.01	0.01	0.02	0.02
NPM1	0	0.00	0.00	0.00	0.00	0.27	0.01	0.00	0.00	0.00	0.02
