"name","Regulatory function","selected","shared name"
"RUNX1","Regulator","false","RUNX1"
"BCL2","Regulated","false","BCL2"
"ITGB2","Regulated","false","ITGB2"
"CD4","Regulated","false","CD4"
"ITGB1","Regulated","false","ITGB1"
"PIK3R1","Regulated","false","PIK3R1"
"GSN","Regulated","false","GSN"
"GZMB","Regulated","false","GZMB"
"TNFSF10","Regulated","false","TNFSF10"
"RGS1","Regulated","false","RGS1"
"TGFB2","Regulated","false","TGFB2"
"MAP2K2","Regulated","false","MAP2K2"
"XCL1","Regulated","false","XCL1"
"CD1D","Regulated","false","CD1D"
"FGR","Regulated","false","FGR"
"IL7R","Regulated","false","IL7R"
"CDKN1A","Regulated","false","CDKN1A"
"HLA-DPB1","Regulated","false","HLA-DPB1"
"CRTAM","Regulated","false","CRTAM"
"AKT1","Regulated","false","AKT1"
"MMP9","Regulated","false","MMP9"
"RUNX3","Regulated","false","RUNX3"
"SLC7A11","Regulated","false","SLC7A11"
"CCL18","Regulated","false","CCL18"
"CD2","Regulated","false","CD2"
"ALOX5AP","Regulated","false","ALOX5AP"
"CD86","Regulated","false","CD86"
"CLN3","Regulated","false","CLN3"
"IL2RG","Regulated","false","IL2RG"
"STK17B","Regulated","false","STK17B"
"IFNG","Regulated","false","IFNG"
"IL12B","Regulated","false","IL12B"
"IL21","Regulated","false","IL21"
"IL3","Regulated","false","IL3"
"MYH9","Regulated","false","MYH9"
"PIGT","Regulated","false","PIGT"
"DPEP2","Regulated","false","DPEP2"
"CLDN1","Regulated","false","CLDN1"
"FCER1G","Regulated","false","FCER1G"
"FOXP3","Regulated","false","FOXP3"
"HLA-C","Regulated","false","HLA-C"
"PXN","Regulated","false","PXN"
"S100A12","Regulated","false","S100A12"
"ERCC4","Regulated","false","ERCC4"
"SELPLG","Regulated","false","SELPLG"
"SPP1","Regulated","false","SPP1"
"TLR8","Regulated","false","TLR8"
"AKT3","Regulated","false","AKT3"
"BANK1","Regulated","false","BANK1"
"BMP4","Regulated","false","BMP4"
"GZMA","Regulated","false","GZMA"
"ITGB7","Regulated","false","ITGB7"
"LTBP1","Regulated","false","LTBP1"
"SOCS1","Regulated","false","SOCS1"
"ACIN1","Regulated","false","ACIN1"
"ECM2","Regulated","false","ECM2"
"IDI1","Regulated","false","IDI1"
"IL17F","Regulated","false","IL17F"
"KLF6","Regulated","false","KLF6"
"PDE4B","Regulated","false","PDE4B"
"STK38","Regulated","false","STK38"
"AQP9","Regulated","false","AQP9"
"CALR","Regulated","false","CALR"
"CCND3","Regulated","false","CCND3"
"CCR1","Regulated","false","CCR1"
"CREM","Regulated","false","CREM"
"EIF2AK2","Regulated","false","EIF2AK2"
"IGFBP7","Regulated","false","IGFBP7"
"IRF4","Regulated","false","IRF4"
"MDM2","Regulated","false","MDM2"
"PIGV","Regulated","false","PIGV"
"ZFP36L2","Regulated","false","ZFP36L2"
"AKAP2","Regulated","false","AKAP2"
"CPM","Regulated","false","CPM"
"FCGR2B","Regulated","false","FCGR2B"
"HLA-DRA","Regulated","false","HLA-DRA"
"ITM2A","Regulated","false","ITM2A"
"PTPN22","Regulated","false","PTPN22"
"RUNX2","Regulated","false","RUNX2"
"SERPING1","Regulated","false","SERPING1"
"SMAD3","Regulated","false","SMAD3"
"XCL2","Regulated","false","XCL2"
"BNIP3L","Regulated","false","BNIP3L"
"CASP8","Regulated","false","CASP8"
"CCR2","Regulated","false","CCR2"
"CXCR5","Regulated","false","CXCR5"
"DGKZ","Regulated","false","DGKZ"
"DIABLO","Regulated","false","DIABLO"
"HGF","Regulated","false","HGF"
"LSP1","Regulated","false","LSP1"
"MIR106A","Regulated","false","MIR106A"
"PIM1","Regulated","false","PIM1"
"SERPINE1","Regulated","false","SERPINE1"
"STK4","Regulated","false","STK4"
"ANGPTL4","Regulated","false","ANGPTL4"
"CCL17","Regulated","false","CCL17"
"CLDN10","Regulated","false","CLDN10"
"GPR65","Regulated","false","GPR65"
"IFITM3","Regulated","false","IFITM3"
"IQGAP2","Regulated","false","IQGAP2"
"KCNA3","Regulated","false","KCNA3"
"MIR17","Regulated","false","MIR17"
"PLAC8","Regulated","false","PLAC8"
"PLXNC1","Regulated","false","PLXNC1"
"PSMA1","Regulated","false","PSMA1"
"SPRY1","Regulated","false","SPRY1"
"AKAP3","Regulated","false","AKAP3"
"ANGPT1","Regulated","false","ANGPT1"
"ARF3","Regulated","false","ARF3"
"CLCF1","Regulated","false","CLCF1"
"ETF1","Regulated","false","ETF1"
"FYN","Regulated","false","FYN"
"GJA1","Regulated","false","GJA1"
"MAN1C1","Regulated","false","MAN1C1"
"NLK","Regulated","false","NLK"
"SLC25A4","Regulated","false","SLC25A4"
"SOCS3","Regulated","false","SOCS3"
"YES1","Regulated","false","YES1"
"ACVR1","Regulated","false","ACVR1"
"AEBP1","Regulated","false","AEBP1"
"ANGPT2","Regulated","false","ANGPT2"
"BTG1","Regulated","false","BTG1"
"CDC42BPA","Regulated","false","CDC42BPA"
"CFP","Regulated","false","CFP"
"CLDN14","Regulated","false","CLDN14"
"CTGF","Regulated","false","CTGF"
"CXCR3","Regulated","false","CXCR3"
"DOK2","Regulated","false","DOK2"
"ERG","Regulated","false","ERG"
"FASN","Regulated","false","FASN"
"KLRK1","Regulated","false","KLRK1"
"MAP4K5","Regulated","false","MAP4K5"
"MEF2C","Regulated","false","MEF2C"
"MMP14","Regulated","false","MMP14"
"NFIB","Regulated","false","NFIB"
"NFKBIA","Regulated","false","NFKBIA"
"PTK2","Regulated","false","PTK2"
"PTPN6","Regulated","false","PTPN6"
"SLA2","Regulated","false","SLA2"
"SLC16A3","Regulated","false","SLC16A3"
"SOX5","Regulated","false","SOX5"
"TJP1","Regulated","false","TJP1"
"TRAT1","Regulated","false","TRAT1"
"ZNF675","Regulated","false","ZNF675"
"AKR1B1","Regulated","false","AKR1B1"
"ARF6","Regulated","false","ARF6"
