Gene	Description	Ranks	Expressions
CAPN9	calpain 9 	14.14	3.5
BMP2	bone morphogenetic protein 2 	13.16	4.31
CREB3L1	cAMP responsive element binding protein 3-like 1 	12.95	4.76
VCAN	versican 	12.63	3.71
PDGFA	platelet-derived growth factor alpha polypeptide 	12.03	4.3
MMP15	matrix metallopeptidase 15 	11.96	4.09
POSTN	periostin, osteoblast specific factor 	11.43	5.78
COL4A2	collagen, type IV, alpha 2 	11.35	5.34
MMP2	matrix metallopeptidase 2 	11.1	4.95
PRKCA	protein kinase C, alpha 	10.73	4.37
TGFBR2	transforming growth factor beta receptor II 	10.63	6.17
PXN	paxillin 	10.44	4.72
TNS3	tensin 3 	10.31	5.46
PLOD3	procollagen-lysine, 2-oxoglutarate 5-dioxygenase 3 	10.3	5.21
FMOD	fibromodulin 	10.28	4.28
LOXL2	lysyl oxidase like 2 	10.14	3.7
PLAUR	plasminogen activator, urokinase receptor 	10.12	4.09
ICAM2	intercellular adhesion molecule 2 	10.11	4.14
SDC2	syndecan 2 	10.07	3.08
NID1	nidogen 1 	10.04	3.06
PXDN	peroxidasin 	10.01	3.16
COL5A2	collagen, type V, alpha 2 	10.01	4.44
LUM	lumican 	9.99	5.69
HSPG2	heparan sulfate proteoglycan 2 	9.82	6.43
CAPN6	calpain 6 	9.78	3.83
COL1A1	collagen, type I, alpha 1 	9.72	4.15
PECAM1	platelet/endothelial cell adhesion molecule 1 	9.7	4.05
COL1A2	collagen, type I, alpha 2 	9.69	6.13
FN1	fibronectin 1 	9.61	4.49
LTBP1	latent transforming growth factor beta binding protein 1 	9.49	5.18
COL4A6	collagen, type IV, alpha 6 	9.41	3.65
COL5A1	collagen, type V, alpha 1 	9.25	4.14
COL4A5	collagen, type IV, alpha 5 	9.24	5.12
A2M	alpha-2-macroglobulin 	9.22	6.76
APP	amyloid beta (A4) precursor protein 	9.16	6.54
DAG1	dystroglycan 1 	9.09	7.12
PLOD1	procollagen-lysine, 2-oxoglutarate 5-dioxygenase 1 	9.01	5.06
COL3A1	collagen, type III, alpha 1 	9	5.78
MET	MET proto-oncogene, receptor tyrosine kinase 	8.87	5.84
LAMA4	laminin subunit alpha 4 	8.8	2.94
COL6A1	collagen, type VI, alpha 1 	8.78	5.58
COL6A3	collagen, type VI, alpha 3 	8.66	5.39
MMP1	matrix metallopeptidase 1 	8.56	2.44
TIMP1	TIMP metallopeptidase inhibitor 1 	8.56	6.55
P3H4	prolyl 3-hydroxylase family member 4 (non-enzymatic) 	8.56	3.34
CD151	CD151 molecule (Raph blood group) 	8.45	6.18
SPARC	secreted protein, acidic, cysteine-rich (osteonectin) 	8.44	6.04
BMP4	bone morphogenetic protein 4 	8.4	4.3
MYH11	myosin, heavy chain 11, smooth muscle 	8.39	5.23
DPT	dermatopontin 	8.31	2.37
COL6A2	collagen, type VI, alpha 2 	8.28	4.45
ITGA6	integrin subunit alpha 6 	8.23	6.97
ASPN	asporin 	8.1	2.95
SRC	SRC proto-oncogene, non-receptor tyrosine kinase 	8.01	6.13
ITGB4	integrin subunit beta 4 	7.97	6.41
FBN2	fibrillin 2 	7.96	2.4
ITGAV	integrin subunit alpha V 	7.87	7.6
DCN	decorin 	7.79	4.33
COL4A1	collagen, type IV, alpha 1 	7.78	5.9
LAMC1	laminin subunit gamma 1 	7.67	4.87
COL15A1	collagen, type XV, alpha 1 	7.62	4.91
PTK2	protein tyrosine kinase 2 	7.61	6.51
LAMC2	laminin subunit gamma 2 	7.61	4.24
AGRN	agrin 	7.56	5.63
JAM3	junctional adhesion molecule 3 	7.51	4.8
VCAM1	vascular cell adhesion molecule 1 	7.48	3.47
FGFR4	fibroblast growth factor receptor 4 	7.46	2.98
IRS1	insulin receptor substrate 1 	7.4	4.5
MFAP4	microfibrillar associated protein 4 	7.4	3.56
ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif 5 	7.29	2.75
HTRA1	HtrA serine peptidase 1 	7.17	4.87
