Gene	Description	Ranks	Rank/Score
CREB3L1		12.95	12.95
VCAN		12.63	12.63
PLA2G10		12.15	12.15
PDGFA		12.03	12.03
MMP15		11.96	11.96
POSTN		11.43	11.43
COL4A2		11.35	11.35
MMP2		11.1	11.1
LOXL2		10.14	10.14
ICAM2		10.11	10.11
NID1		10.04	10.04
PXDN		10.01	10.01
COL5A2		10.01	10.01
LUM		9.99	9.99
HSPG2		9.82	9.82
COL1A1		9.72	9.72
COL1A2		9.69	9.69
FN1		9.61	9.61
ACSL3		9.57	9.57
COL4A6		9.41	9.41
COL5A1		9.25	9.25
COL4A5		9.24	9.24
A2M		9.22	9.22
APP		9.16	9.16
DAG1		9.09	9.09
COL3A1		9	9
LAMA4		8.8	8.8
COL6A1		8.78	8.78
COL6A3		8.66	8.66
MMP1		8.56	8.56
TIMP1		8.56	8.56
P3H4		8.56	8.56
SPARC		8.44	8.44
MYH11		8.39	8.39
DPT		8.31	8.31
COL6A2		8.28	8.28
ITGA6		8.23	8.23
ITGB4		7.97	7.97
FBN2		7.96	7.96
ITGAV		7.87	7.87
DCN		7.79	7.79
COL4A1		7.78	7.78
LAMC1		7.67	7.67
COL15A1		7.62	7.62
LAMC2		7.61	7.61
AGRN		7.56	7.56
JAM3		7.51	7.51
ABCG1		7.49	7.49
VCAM1		7.48	7.48
MFAP4		7.4	7.39
ADAMTS5		7.29	7.29
HTRA1		7.17	7.17
ECM2		7.09	7.09
FBN1		7.06	7.06
LAMA3		7.03	7.03
SERPINH1		7.01	7.01
TTR		6.94	6.94
APOE		6.88	6.88
LOXL1		6.81	6.81
CTSK		6.69	6.69
COL13A1		6.69	6.69
LAMB1		6.58	6.58
LAMB2		6.56	6.56
LAMB3		6.5	6.5
FLOT1		6.47	6.47
NDNF		6.29	6.29
NID2		6.27	6.27
APOC1		6.14	6.14
CTSL		6.1	6.1
HAPLN1		6.03	6.03
SCARB1		6.02	6.02
KDR		6	6
SLC39A8		5.98	5.98
ST7		5.86	5.86
AGT		5.84	5.84
RECK		5.8	5.8
ITGB1		5.79	5.79
NF1		5.75	5.75
MMP28		5.69	5.7
FBLN5		5.67	5.67
PRKACB		5.66	5.66
COL16A1		5.65	5.65
MMP7		5.61	5.61
COL9A2		5.53	5.53
LAMA2		5.48	5.48
ADAMTS1		5.47	5.47
LIPG		5.19	5.19
ADAM8		5.12	5.12
JAM2		5.11	5.11
TLL2		5.03	5.03
BSG		5.03	5.03
TGFBI		4.81	4.81
COL4A3		4.65	4.65
MMP19		4.62	4.62
GAS6		4.57	4.57
MFAP5		4.54	4.54
SOAT1		4.5	4.5
CD34		4.45	4.45
MADCAM1		4.41	4.41
LPCAT3		4.3	4.3
MMP3		4.22	4.22
CTSS		4.06	4.06
ITGA8		4.03	4.03
ITGA1		4.03	4.03
MMP11		3.91	3.91
ITGA7		3.87	3.87
TPSAB1		3.83	3.83
THBS1		3.77	3.77
COL2A1		3.72	3.72
LPL		3.7	3.7
GREM1		3.65	3.65
DDR2		3.64	3.64
BGN		3.54	3.54
COL9A3		3.36	3.36
ADAMTS2		3.34	3.34
CDH1		3.28	3.28
CYP1B1		3.25	3.25
DDR1		3.21	3.21
FGG		3.21	3.21
APOA1		3.19	3.19
PRSS1		3.15	3.15
HPN		3.15	3.15
COL18A1		3.02	3.02
QSOX1		2.94	2.94
PRKACA		2.92	2.92
APOB		2.79	2.79
CAPN2		2.78	2.78
MTTP		2.73	2.73
PLA2G7		2.72	2.72
FGF2		2.6	2.6
FGB		2.58	2.58
FGA		2.56	2.56
ADAMTSL3		2.52	2.52
ITGA5		2.51	2.51
P4HB		2.47	2.47
BMP1		2.44	2.44
MMP12		2.42	2.42
MMP10		2.25	2.25
LCAT		2.22	2.22
COMP		2.17	2.17
FLRT2		2.16	2.16
CTRB2		2.07	2.07
SPP1		1.92	1.92
COL14A1		1.82	1.82
HAS2		1.72	1.72
PLTP		1.65	1.65
SULF1		1.62	1.62
COL9A1		1.57	1.57
ELN		1.54	1.54
MPO		1.52	1.52
ICAM3		1.45	1.45
FURIN		1.41	1.41
ATP7A		1.34	1.34
KLKB1		1.34	1.34
ICAM1		1.31	1.31
ITGA10		1.3	1.3
ICAM4		1.19	1.19
APOC3		1.12	1.12
ADAMTS9		1.05	1.05
LTBP3		1.04	1.04
ICAM5		1	1
PLA2G2A		0.98	0.98
MMP13		0.92	0.92
MATN3		0.81	0.81
COLQ		0.7	0.7
AGTR1		0.69	0.69
MMP9		0.68	0.68
SOAT2		0.65	0.65
APOA4		0.65	0.65
CRTAP		0.48	0.48
ADAMTS3		0.42	0.42
COL17A1		0.35	0.35
SERPINE1		0.16	0.16
RAMP2		-0	-0
CMA1		-0.01	-0.01
ITGAX		-0.04	-0.04
ADAMTS12		-0.15	-0.15
ITGAM		-0.17	-0.17
LPA		-0.21	-0.21
F11R		-0.27	-0.27
TEX14		-0.38	-0.38
COL4A4		-0.5	-0.5
TLL1		-0.51	-0.51
MMP8		-0.52	-0.52
MMP27		-0.65	-0.65
ELANE		-0.7	-0.7
ADAM15		-0.71	-0.71
ITGA9		-0.72	-0.72
MMP26		-0.74	-0.74
