GO.ID	Description	p.Val	FDR	Phenotype	Genes
GLIOBLASTOMA SIGNALING PATHWAYS%WIKIPATHWAYS_20240510%WP2261%HOMO SAPIENS	Glioblastoma signaling pathways	2.2752796831618347e-19	2.2752796831618347e-19	+1	PTEN,EGFR,NF1,CDKN2A,RB1,MAP2K4,BRAF,ATM,CDKN1B,BRCA1,PDGFRA,EP300,FGFR2,CCND1,BRCA2,CDKN1A,CDKN2C
HEAD AND NECK SQUAMOUS CELL CARCINOMA%WIKIPATHWAYS_20240510%WP4674%HOMO SAPIENS	Head and neck squamous cell carcinoma	1.759062715095528e-18	1.759062715095528e-18	+1	PTEN,EGFR,CDKN2A,RB1,NOTCH1,CTNNB1,KEAP1,NFE2L2,STK11,AJUBA,FGFR2,CCND1,SMAD4,FGFR3,TGFBR2,CDKN1A
PATHWAYS AFFECTED IN ADENOID CYSTIC CARCINOMA%WIKIPATHWAYS_20240510%WP3651%HOMO SAPIENS	Pathways affected in adenoid cystic carcinoma	1.6398625895458e-14	1.6398625895458e-14	+1	PTEN,ARID1A,NOTCH1,FBXW7,CEBPA,ATM,ARID5B,BRCA1,CHEK2,SETD2,EP300,SMC1A,NCOR1
CELL CYCLE%WIKIPATHWAYS_20240510%WP179%HOMO SAPIENS	Cell cycle	5.030373578108154e-14	5.030373578108154e-14	+1	CDKN2A,RB1,ATM,CDKN1B,CHEK2,EP300,CCND1,SMAD4,CDKN1A,ATR,SMC1A,SMC3,SMAD2,RAD21,CDKN2C
REGULATION OF CELL CYCLE G1/S PHASE TRANSITION%GOBP%GO:1902806	regulation of cell cycle G1/S phase transition	1.65357488535612e-13	1.65357488535612e-13	+1	TP53,PTEN,APC,ARID1A,PBRM1,EGFR,CDKN2A,RB1,FBXW7,ATM,CDKN1B,CHEK2,CCND1,CDKN1A,TAF1,CDKN2C,EZH2
MESODERMAL COMMITMENT PATHWAY%WIKIPATHWAYS_20240510%WP2857%HOMO SAPIENS	Mesodermal commitment pathway	3.376485148201658e-11	3.376485148201658e-11	+1	GATA3,NFE2L2,TBX3,ARID5B,FOXA1,SETD2,CCND1,SMAD4,FOXA2,SOX17,PHF6,ACVR2A,SMAD2,AXIN2
REGULATION OF PROTEIN SERINE/THREONINE KINASE ACTIVITY%GOBP%GO:0071900	regulation of protein serine/threonine kinase activity	3.376485148201658e-11	3.376485148201658e-11	+1	PTEN,APC,EGFR,NF1,CDKN2A,RB1,FLT3,PIK3CG,CDKN1B,TLR4,LRRK2,CCND1,CDKN1A,CDK12,MAPK8IP1,CDKN2C,EZH2
P53 PATHWAY%PANTHER PATHWAY%P00059	p53 pathway	6.020344520699387e-11	6.020344520699387e-11	+1	TP53,PIK3CA,PTEN,CDKN2A,ATM,CHEK2,EP300,CDKN1A,ATR,SIN3A
REGULATION OF G1/S TRANSITION OF MITOTIC CELL CYCLE%GOBP%GO:2000045	regulation of G1/S transition of mitotic cell cycle	7.669875049666816e-11	7.669875049666816e-11	+1	TP53,PTEN,APC,ARID1A,PBRM1,EGFR,CDKN2A,RB1,ATM,CDKN1B,CHEK2,CCND1,CDKN1A,CDKN2C
BREAST CANCER PATHWAY%WIKIPATHWAYS_20240510%WP4262%HOMO SAPIENS	Breast cancer pathway	7.669875049666816e-11	7.669875049666816e-11	+1	PTEN,EGFR,RB1,NOTCH1,CTNNB1,BRAF,ATM,BRCA1,KIT,CCND1,BRCA2,CDKN1A,ATR,AXIN2
BIOCARTA_G1_PATHWAY%MSIGDB_C2%BIOCARTA_G1_PATHWAY	BIOCARTA_G1_PATHWAY	1.5169845707666422e-10	1.5169845707666422e-10	+1	CDKN2A,RB1,ATM,CDKN1B,CCND1,SMAD4,CDKN1A,ATR
REGULATION OF EPITHELIAL TO MESENCHYMAL TRANSITION%GOBP%GO:0010717	regulation of epithelial to mesenchymal transition	2.337089108676405e-10	2.337089108676405e-10	+1	PTEN,GATA3,NOTCH1,CTNNB1,EPHA3,FOXA1,SMAD4,FOXA2,TGFBR2,SMAD2,AXIN2,EZH2
