name	description	p-value	q-value	phenotype	genes
22Q11.2 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20220510%WP4657%HOMO SAPIENS	22q11.2 copy number variation syndrome	0.00714943940378177	0.00714943940378177	1	FGFR2,FOXA2,NCOR1,EGFR
A6B1 AND A6B4 INTEGRIN SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%A6B1 AND A6B4 INTEGRIN SIGNALING	a6b1 and a6b4 Integrin signaling	0.000225901709497887	0.000225901709497887	1	PIK3CA,CDH1,AKT1,EGFR,PIK3R1
ABERRANT REGULATION OF MITOTIC CELL CYCLE DUE TO RB1 DEFECTS%REACTOME%R-HSA-9687139.2	Aberrant regulation of mitotic cell cycle due to RB1 defects	0.000196833067165673	0.000196833067165673	1	RB1,CDKN1A,CDKN1B,CCND1
ABERRANT REGULATION OF MITOTIC G1 S TRANSITION IN CANCER DUE TO RB1 DEFECTS%REACTOME%R-HSA-9659787.1	Aberrant regulation of mitotic G1 S transition in cancer due to RB1 defects	1.7094408280306e-05	1.7094408280306e-05	1	RB1,CDKN1A,CDKN1B,CCND1
ACTIVATION OF ANTERIOR HOX GENES IN HINDBRAIN DEVELOPMENT DURING EARLY EMBRYOGENESIS%REACTOME%R-HSA-5617472.2	Activation of anterior HOX genes in hindbrain development during early embryogenesis	0.000215995934485331	0.000215995934485331	1	KDM6A,AJUBA,NCOR1,CTCF,EP300,EZH2
ACTIVATION OF HOX GENES DURING DIFFERENTIATION%REACTOME DATABASE ID RELEASE 83%5619507	Activation of HOX genes during differentiation	0.000215995934485331	0.000215995934485331	1	KDM6A,AJUBA,NCOR1,CTCF,EP300,EZH2
ACTIVATION OF INNATE IMMUNE RESPONSE%GOBP%GO:0002218	activation of innate immune response	0.0468623989813693	0.0468623989813693	1	TLR4,EP300,SIN3A
ACTIVATION OF PROTEIN KINASE ACTIVITY%GOBP%GO:0032147	activation of protein kinase activity	0.0124033660594839	0.0124033660594839	1	MTOR,STK11,TGFBR2
ACTIVIN RECEPTOR SIGNALING PATHWAY%GOBP%GO:0032924	activin receptor signaling pathway	5.70127964019417e-05	5.70127964019417e-05	1	ACVR2A,ACVR1B,SMAD2,SMAD4
ADIPOGENESIS%WIKIPATHWAYS_20220510%WP236%HOMO SAPIENS	Adipogenesis	0.000439291820933587	0.000439291820933587	1	GATA3,RB1,CDKN1A,CTNNB1,NCOR1,CEBPA
ALK1 SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ALK1 SIGNALING EVENTS	ALK1 signaling events	0.00182228286785626	0.00182228286785626	1	ACVR2A,TGFBR2,SMAD4
ALPHA6BETA4INTEGRIN%IOB%ALPHA6BETA4INTEGRIN	Alpha6Beta4Integrin	0.00129740840150029	0.00129740840150029	1	PIK3R1,EGFR,SMAD2,PTPN11,MTOR
ALPHA6BETA4INTEGRIN%NETPATH%ALPHA6BETA4INTEGRIN	Alpha6Beta4Integrin	0.00167173846986113	0.00167173846986113	1	PIK3R1,EGFR,SMAD2,PTPN11,MTOR
ALZHEIMER DISEASE-PRESENILIN PATHWAY%PANTHER PATHWAY%P00004	Alzheimer disease-presenilin pathway	0.000967299792237751	0.000967299792237751	1	ERBB4,CTNNB1,CDH1,NOTCH1
ALZHEIMER'S DISEASE AND MIRNA EFFECTS%WIKIPATHWAYS_20220510%WP2059%HOMO SAPIENS	Alzheimer's disease and miRNA effects	0.032590508744432	0.032590508744432	1	PIK3R1,CTNNB1,BRAF,AXIN2,NRAS,MTOR,KRAS
ALZHEIMER'S DISEASE%WIKIPATHWAYS_20220510%WP5124%HOMO SAPIENS	Alzheimer's disease	0.0316366018786653	0.0316366018786653	1	PIK3R1,CTNNB1,BRAF,AXIN2,NRAS,MTOR,KRAS
AMEBOIDAL-TYPE CELL MIGRATION%GOBP%GO:0001667	ameboidal-type cell migration	0.0119309422198188	0.0119309422198188	1	EGR3,ERBB4,SMAD4,AKT1,KIT,PIK3CA
AMP-ACTIVATED PROTEIN KINASE (AMPK) SIGNALING%WIKIPATHWAYS_20220510%WP1403%HOMO SAPIENS	AMP-activated protein kinase (AMPK) signaling	0.00560698147061253	0.00560698147061253	1	PIK3R1,STK11,MTOR,CDKN1A
ANATOMICAL STRUCTURE HOMEOSTASIS%GOBP%GO:0060249	anatomical structure homeostasis	0.0171894157460233	0.0171894157460233	1	NOTCH1,TLR4,SOX9
ANDROGEN RECEPTOR SIGNALING PATHWAY%WIKIPATHWAYS_20220510%WP138%HOMO SAPIENS	Androgen receptor signaling pathway	1.70806869250305e-10	1.70806869250305e-10	1	PIK3R1,CTNNB1,CCND1,EP300,NCOR1,SIN3A,RB1,BRCA1,SMAD4,PTEN,CDKN1A,EGFR
ANDROGENRECEPTOR%IOB%ANDROGENRECEPTOR	AndrogenReceptor	3.36793256487851e-10	3.36793256487851e-10	1	FOXA1,RB1,CCND1,EP300,PIK3R1,SMAD4,PTEN,BRCA1,SIN3A,CEBPA,EGFR,CTNNB1
ANGIOGENESIS%GOBP%GO:0001525	angiogenesis	0.00167173846986113	0.00167173846986113	1	CTNNB1,SOX17,FGFR2,EGR3,AKT1,TGFBR2,PDGFRA
ANGIOGENESIS%PANTHER PATHWAY%P00005	Angiogenesis	1.12160950403314e-07	1.12160950403314e-07	1	PIK3CA,NRAS,MAP3K1,APC,CTNNB1,AKT1,PDGFRA,MAP2K4,EPHA3,NOTCH1,PIK3R1,BRAF,PIK3CG
ANGIOPOIETIN RECEPTOR TIE2-MEDIATED SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ANGIOPOIETIN RECEPTOR TIE2-MEDIATED SIGNALING	Angiopoietin receptor Tie2-mediated signaling	0.00654821017844769	0.00654821017844769	1	PIK3CA,CDKN1A,AKT1,PTPN11,PIK3R1
