GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0051171	regulation of nitrogen compound metabolic process	1.2667134614255474e-31	1.2667134614255474e-31	+1	TP53,PTEN,APC,VHL,KRAS,ARID1A,PBRM1,EGFR,NF1,PIK3R1,CDKN2A,GATA3,RB1,NOTCH1,FBXW7,CTNNB1,DNMT3A,FLT3,TSHZ3,KEAP1,CDH1,CTCF,NFE2L2,SETBP1,BAP1,NPM1,RUNX1,TBX3,STK11,CEBPA,AKT1,BRAF,AR,AJUBA,TSHZ2,PIK3CG,SOX9,ATM,CDKN1B,WT1,HGF,KDM5C,PRX,ERBB4,MTOR,TLR4,ARID5B,TET2,ATRX,ELF3,BRCA1,LRRK2,POLQ,FOXA1,CHEK2,KIT,SETD2,EP300,FGFR2,CCND1,SMAD4,FOXA2,USP9X,BRCA2,NFE2L3,FGFR3,ASXL1,TGFBR2,SOX17,CDKN1A,SF3B1,TAF1,PPP2R1A,CBFB,ATR,SIN3A,VEZF1,EIF4A2,CDK12,PHF6,PTPN11,ACVR1B,MAPK8IP1,NSD1,TBL1XR1,EGR3,ACVR2A,MECOM,SMC3,NCOR1,RPL5,SMAD2,SPOP,AXIN2,RAD21,ERCC2,CDKN2C,EZH2,PCBP1
GO:0080090	regulation of primary metabolic process	6.2309286431592925e-31	6.2309286431592925e-31	+1	TP53,PTEN,APC,VHL,KRAS,ARID1A,PBRM1,EGFR,NF1,PIK3R1,CDKN2A,GATA3,RB1,NOTCH1,FBXW7,CTNNB1,DNMT3A,FLT3,TSHZ3,KEAP1,CDH1,CTCF,NFE2L2,SETBP1,BAP1,NPM1,RUNX1,TBX3,STK11,CEBPA,AKT1,BRAF,AR,AJUBA,TSHZ2,PIK3CG,SOX9,ATM,CDKN1B,WT1,HGF,KDM5C,PRX,ERBB4,MTOR,TLR4,ARID5B,TET2,ATRX,ELF3,BRCA1,LRRK2,POLQ,FOXA1,CHEK2,KIT,SETD2,EP300,FGFR2,CCND1,SMAD4,FOXA2,USP9X,BRCA2,NFE2L3,FGFR3,ASXL1,TGFBR2,SOX17,CDKN1A,SF3B1,TAF1,PPP2R1A,CBFB,ATR,SIN3A,VEZF1,EIF4A2,CDK12,PHF6,PTPN11,ACVR1B,MAPK8IP1,NSD1,TBL1XR1,EGR3,ACVR2A,MECOM,SMC3,NCOR1,RPL5,SMAD2,SPOP,AXIN2,RAD21,ERCC2,CDKN2C,EZH2,PCBP1
GO:0060255	regulation of macromolecule metabolic process	2.9452991934363835e-30	2.9452991934363835e-30	+1	TP53,PTEN,APC,VHL,KRAS,ARID1A,PBRM1,NAV3,EGFR,NF1,PIK3R1,CDKN2A,GATA3,RB1,NOTCH1,FBXW7,CTNNB1,DNMT3A,FLT3,TSHZ3,KEAP1,CDH1,CTCF,NFE2L2,SETBP1,BAP1,NPM1,RUNX1,TBX3,STK11,CEBPA,KDM6A,AKT1,BRAF,AR,AJUBA,TSHZ2,PIK3CG,SOX9,ATM,CDKN1B,WT1,HGF,KDM5C,PRX,ERBB4,MTOR,TLR4,ARID5B,TET2,ATRX,ELF3,BRCA1,LRRK2,POLQ,FOXA1,CHEK2,KIT,SETD2,EP300,FGFR2,CCND1,SMAD4,FOXA2,USP9X,BRCA2,NFE2L3,FGFR3,ASXL1,TGFBR2,SOX17,CDKN1A,SF3B1,TAF1,PPP2R1A,CBFB,ATR,SIN3A,VEZF1,EIF4A2,CDK12,PHF6,PTPN11,ACVR1B,MAPK8IP1,NSD1,TBL1XR1,EGR3,ACVR2A,MECOM,SMC3,NCOR1,RPL5,SMAD2,SPOP,AXIN2,RAD21,ERCC2,CDKN2C,EZH2,PCBP1
GO:0031323	regulation of cellular metabolic process	2.9452991934363835e-30	2.9452991934363835e-30	+1	TP53,PIK3CA,PTEN,APC,VHL,KRAS,ARID1A,PBRM1,NAV3,EGFR,NF1,PIK3R1,CDKN2A,GATA3,RB1,NOTCH1,FBXW7,CTNNB1,DNMT3A,FLT3,TSHZ3,KEAP1,CDH1,CTCF,NFE2L2,SETBP1,BAP1,NPM1,RUNX1,TBX3,STK11,CEBPA,KDM6A,AKT1,BRAF,AR,AJUBA,TSHZ2,PIK3CG,SOX9,ATM,CDKN1B,WT1,HGF,KDM5C,PRX,ERBB4,MTOR,TLR4,ARID5B,TET2,ATRX,ELF3,BRCA1,LRRK2,POLQ,FOXA1,CHEK2,KIT,SETD2,EP300,FGFR2,CCND1,SMAD4,FOXA2,USP9X,BRCA2,NFE2L3,FGFR3,ASXL1,TGFBR2,SOX17,CDKN1A,SF3B1,TAF1,PPP2R1A,CBFB,ATR,SIN3A,VEZF1,EIF4A2,CDK12,PHF6,PTPN11,ACVR1B,MAPK8IP1,NSD1,TBL1XR1,EGR3,ACVR2A,MECOM,SMC3,NCOR1,RPL5,SMAD2,AXIN2,RAD21,ERCC2,CDKN2C,EZH2,PCBP1
GO:0019222	regulation of metabolic process	3.6923671797286285e-28	3.6923671797286285e-28	+1	TP53,PIK3CA,PTEN,APC,VHL,KRAS,ARID1A,PBRM1,NAV3,EGFR,NF1,PIK3R1,CDKN2A,GATA3,RB1,NOTCH1,FBXW7,CTNNB1,DNMT3A,FLT3,TSHZ3,KEAP1,CDH1,CTCF,NFE2L2,SETBP1,BAP1,NPM1,RUNX1,TBX3,STK11,CEBPA,KDM6A,AKT1,BRAF,AR,AJUBA,TSHZ2,PIK3CG,SOX9,ATM,CDKN1B,WT1,HGF,KDM5C,PRX,ERBB4,MTOR,TLR4,ARID5B,TET2,ATRX,ELF3,BRCA1,LRRK2,POLQ,FOXA1,CHEK2,KIT,SETD2,EP300,FGFR2,CCND1,SMAD4,FOXA2,USP9X,BRCA2,NFE2L3,FGFR3,ASXL1,TGFBR2,SOX17,CDKN1A,SF3B1,TAF1,PPP2R1A,CBFB,ATR,SIN3A,VEZF1,EIF4A2,CDK12,PHF6,PTPN11,ACVR1B,MAPK8IP1,NSD1,TBL1XR1,EGR3,ACVR2A,MECOM,SMC3,NCOR1,RPL5,SMAD2,SPOP,AXIN2,RAD21,ERCC2,CDKN2C,EZH2,PCBP1
GO:0051173	positive regulation of nitrogen compound metabolic process	3.2749021091849606e-27	3.2749021091849606e-27	+1	TP53,PTEN,APC,VHL,KRAS,ARID1A,PBRM1,EGFR,PIK3R1,CDKN2A,GATA3,NOTCH1,FBXW7,CTNNB1,FLT3,KEAP1,CDH1,CTCF,NFE2L2,NPM1,RUNX1,TBX3,STK11,CEBPA,AKT1,BRAF,AR,PIK3CG,SOX9,ATM,CDKN1B,WT1,HGF,ERBB4,MTOR,TLR4,TET2,ATRX,ELF3,BRCA1,LRRK2,FOXA1,CHEK2,KIT,EP300,FGFR2,CCND1,SMAD4,FOXA2,USP9X,BRCA2,FGFR3,ASXL1,TGFBR2,SOX17,CDKN1A,SF3B1,TAF1,ATR,VEZF1,CDK12,PTPN11,NSD1,TBL1XR1,ACVR2A,MECOM,RPL5,SMAD2,AXIN2,ERCC2,EZH2,PCBP1
GO:0019219	regulation of nucleobase-containing compound metabolic process	1.1042422057016804e-25	1.1042422057016804e-25	+1	TP53,PTEN,VHL,ARID1A,PBRM1,EGFR,PIK3R1,CDKN2A,GATA3,RB1,NOTCH1,CTNNB1,DNMT3A,TSHZ3,KEAP1,CDH1,CTCF,NFE2L2,SETBP1,BAP1,NPM1,RUNX1,TBX3,CEBPA,AKT1,AR,AJUBA,TSHZ2,SOX9,ATM,CDKN1B,WT1,HGF,KDM5C,PRX,ERBB4,MTOR,TLR4,ARID5B,TET2,ATRX,ELF3,BRCA1,POLQ,FOXA1,CHEK2,KIT,SETD2,EP300,FGFR2,CCND1,SMAD4,FOXA2,USP9X,BRCA2,NFE2L3,ASXL1,SOX17,CDKN1A,SF3B1,TAF1,PPP2R1A,CBFB,ATR,SIN3A,VEZF1,CDK12,PHF6,ACVR1B,NSD1,TBL1XR1,EGR3,ACVR2A,MECOM,SMC3,NCOR1,SMAD2,AXIN2,RAD21,ERCC2,EZH2,PCBP1
GO:0010556	regulation of macromolecule biosynthetic process	1.777191496845136e-25	1.777191496845136e-25	+1	TP53,PTEN,VHL,KRAS,ARID1A,PBRM1,NAV3,EGFR,PIK3R1,CDKN2A,GATA3,RB1,NOTCH1,FBXW7,CTNNB1,DNMT3A,TSHZ3,KEAP1,CDH1,CTCF,NFE2L2,SETBP1,BAP1,NPM1,RUNX1,TBX3,CEBPA,KDM6A,AKT1,BRAF,AR,AJUBA,TSHZ2,PIK3CG,SOX9,ATM,CDKN1B,WT1,HGF,KDM5C,PRX,ERBB4,MTOR,TLR4,ARID5B,TET2,ATRX,ELF3,BRCA1,LRRK2,FOXA1,CHEK2,KIT,SETD2,EP300,FGFR2,CCND1,SMAD4,FOXA2,USP9X,BRCA2,NFE2L3,ASXL1,SOX17,CDKN1A,SF3B1,TAF1,PPP2R1A,CBFB,ATR,SIN3A,VEZF1,EIF4A2,CDK12,PHF6,PTPN11,ACVR1B,NSD1,TBL1XR1,EGR3,ACVR2A,MECOM,NCOR1,RPL5,SMAD2,AXIN2,RAD21,EZH2,PCBP1
GO:0031326	regulation of cellular biosynthetic process	9.398217533225495e-25	9.398217533225495e-25	+1	TP53,PTEN,VHL,KRAS,ARID1A,PBRM1,NAV3,EGFR,PIK3R1,CDKN2A,GATA3,RB1,NOTCH1,FBXW7,CTNNB1,DNMT3A,TSHZ3,KEAP1,CDH1,CTCF,NFE2L2,SETBP1,BAP1,NPM1,RUNX1,TBX3,CEBPA,KDM6A,AKT1,BRAF,AR,AJUBA,TSHZ2,PIK3CG,SOX9,ATM,CDKN1B,WT1,HGF,KDM5C,PRX,ERBB4,MTOR,TLR4,ARID5B,TET2,ATRX,ELF3,BRCA1,LRRK2,FOXA1,CHEK2,KIT,SETD2,EP300,FGFR2,CCND1,SMAD4,FOXA2,USP9X,BRCA2,NFE2L3,ASXL1,SOX17,CDKN1A,SF3B1,TAF1,PPP2R1A,CBFB,ATR,SIN3A,VEZF1,EIF4A2,CDK12,PHF6,PTPN11,ACVR1B,NSD1,TBL1XR1,EGR3,ACVR2A,MECOM,NCOR1,RPL5,SMAD2,AXIN2,RAD21,EZH2,PCBP1
GO:0010468	regulation of gene expression	1.0652323020493078e-24	1.0652323020493078e-24	+1	TP53,PTEN,VHL,KRAS,ARID1A,PBRM1,NAV3,EGFR,PIK3R1,CDKN2A,GATA3,RB1,NOTCH1,FBXW7,CTNNB1,DNMT3A,TSHZ3,KEAP1,CDH1,CTCF,NFE2L2,SETBP1,BAP1,NPM1,RUNX1,TBX3,CEBPA,KDM6A,AKT1,BRAF,AR,AJUBA,TSHZ2,PIK3CG,SOX9,ATM,CDKN1B,WT1,HGF,KDM5C,PRX,ERBB4,MTOR,TLR4,ARID5B,TET2,ATRX,ELF3,BRCA1,LRRK2,FOXA1,CHEK2,KIT,SETD2,EP300,FGFR2,CCND1,SMAD4,FOXA2,USP9X,BRCA2,NFE2L3,ASXL1,SOX17,SF3B1,TAF1,PPP2R1A,CBFB,SIN3A,VEZF1,EIF4A2,CDK12,PHF6,PTPN11,ACVR1B,NSD1,TBL1XR1,EGR3,ACVR2A,MECOM,NCOR1,RPL5,SMAD2,AXIN2,RAD21,EZH2,PCBP1
