NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_INTERFERON_ALPHA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	79	-0.8688852	-2.939196	0.0	0.0	0.0	1109	tags=76%, list=8%, signal=82%	
HALLMARK_INTERFERON_GAMMA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	162	-0.78963864	-2.8860564	0.0	0.0	0.0	765	tags=54%, list=5%, signal=56%	
INTERFERON SIGNALING%REACTOME DATABASE ID RELEASE 83%913531	INTERFERON SIGNALING%REACTOME DATABASE ID RELEASE 83%913531	Details ...	169	-0.7553936	-2.798302	0.0	0.0	0.0	754	tags=39%, list=5%, signal=41%	
INTERFERON GAMMA SIGNALING%REACTOME%R-HSA-877300.5	INTERFERON GAMMA SIGNALING%REACTOME%R-HSA-877300.5	Details ...	81	-0.81695014	-2.7419782	0.0	0.0	0.0	696	tags=52%, list=5%, signal=54%	
ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE ANTIGEN%GOBP%GO:0048002	ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE ANTIGEN%GOBP%GO:0048002	Details ...	53	-0.86213875	-2.683526	0.0	0.0	0.0	739	tags=55%, list=5%, signal=57%	
INTERFERON ALPHA BETA SIGNALING%REACTOME%R-HSA-909733.7	INTERFERON ALPHA BETA SIGNALING%REACTOME%R-HSA-909733.7	Details ...	57	-0.8680648	-2.6804078	0.0	0.0	0.0	958	tags=68%, list=7%, signal=73%	
HALLMARK_ALLOGRAFT_REJECTION%MSIGDBHALLMARK%HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION%MSIGDBHALLMARK%HALLMARK_ALLOGRAFT_REJECTION	Details ...	148	-0.74129856	-2.6719992	0.0	0.0	0.0	872	tags=51%, list=6%, signal=53%	
DEFENSE RESPONSE TO VIRUS%GOBP%GO:0051607	DEFENSE RESPONSE TO VIRUS%GOBP%GO:0051607	Details ...	152	-0.7341262	-2.6596959	0.0	0.0	0.0	1109	tags=41%, list=8%, signal=44%	
ANTIGEN PROCESSING AND PRESENTATION%GOBP%GO:0019882	ANTIGEN PROCESSING AND PRESENTATION%GOBP%GO:0019882	Details ...	71	-0.83207524	-2.65614	0.0	0.0	0.0	739	tags=45%, list=5%, signal=47%	
DEFENSE RESPONSE TO SYMBIONT%GOBP%GO:0140546	DEFENSE RESPONSE TO SYMBIONT%GOBP%GO:0140546	Details ...	152	-0.7341262	-2.6355863	0.0	0.0	0.0	1109	tags=41%, list=8%, signal=44%	
REGULATION OF LEUKOCYTE MEDIATED CYTOTOXICITY%GOBP%GO:0001910	REGULATION OF LEUKOCYTE MEDIATED CYTOTOXICITY%GOBP%GO:0001910	Details ...	51	-0.8352717	-2.5640607	0.0	0.0	0.0	1261	tags=57%, list=9%, signal=62%	
REGULATION OF ADAPTIVE IMMUNE RESPONSE%GOBP%GO:0002819	REGULATION OF ADAPTIVE IMMUNE RESPONSE%GOBP%GO:0002819	Details ...	122	-0.70537186	-2.5371096	0.0	0.0	0.0	1263	tags=41%, list=9%, signal=45%	
POSITIVE REGULATION OF ADAPTIVE IMMUNE RESPONSE%GOBP%GO:0002821	POSITIVE REGULATION OF ADAPTIVE IMMUNE RESPONSE%GOBP%GO:0002821	Details ...	73	-0.7595806	-2.527314	0.0	0.0	0.0	1261	tags=40%, list=9%, signal=43%	
TCR SIGNALING%REACTOME DATABASE ID RELEASE 83%202403	TCR SIGNALING%REACTOME DATABASE ID RELEASE 83%202403	Details ...	111	-0.71828246	-2.5196676	0.0	0.0	0.0	1771	tags=47%, list=12%, signal=53%	
REGULATION OF T CELL MEDIATED IMMUNITY%GOBP%GO:0002709	REGULATION OF T CELL MEDIATED IMMUNITY%GOBP%GO:0002709	Details ...	65	-0.7904646	-2.5158057	0.0	0.0	0.0	1263	tags=49%, list=9%, signal=54%	
ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS ANTIGEN%GOBP%GO:0019884	ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS ANTIGEN%GOBP%GO:0019884	Details ...	33	-0.89723706	-2.5046217	0.0	0.0	0.0	739	tags=67%, list=5%, signal=70%	
NEGATIVE REGULATION OF INNATE IMMUNE RESPONSE%GOBP%GO:0045824	NEGATIVE REGULATION OF INNATE IMMUNE RESPONSE%GOBP%GO:0045824	Details ...	65	-0.77288944	-2.4926102	0.0	0.0	0.0	1325	tags=46%, list=9%, signal=51%	
NEGATIVE REGULATION OF RESPONSE TO BIOTIC STIMULUS%GOBP%GO:0002832	NEGATIVE REGULATION OF RESPONSE TO BIOTIC STIMULUS%GOBP%GO:0002832	Details ...	93	-0.7266999	-2.4916325	0.0	0.0	0.0	1325	tags=38%, list=9%, signal=41%	
ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PEPTIDE ANTIGEN%GOBP%GO:0002478	ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PEPTIDE ANTIGEN%GOBP%GO:0002478	Details ...	31	-0.8988522	-2.4898884	0.0	0.0	0.0	739	tags=68%, list=5%, signal=71%	
REGULATION OF LYMPHOCYTE MEDIATED IMMUNITY%GOBP%GO:0002706	REGULATION OF LYMPHOCYTE MEDIATED IMMUNITY%GOBP%GO:0002706	Details ...	99	-0.7251161	-2.4895165	0.0	0.0	0.0	1263	tags=44%, list=9%, signal=48%	
POSITIVE REGULATION OF ADAPTIVE IMMUNE RESPONSE BASED ON SOMATIC RECOMBINATION OF IMMUNE RECEPTORS BUILT FROM IMMUNOGLOBULIN SUPERFAMILY DOMAINS%GOBP%GO:0002824	POSITIVE REGULATION OF ADAPTIVE IMMUNE RESPONSE BASED ON SOMATIC RECOMBINATION OF IMMUNE RECEPTORS BUILT FROM IMMUNOGLOBULIN SUPERFAMILY DOMAINS%GOBP%GO:0002824		66	-0.77406585	-2.4808142	0.0	0.0	0.0	1261	tags=41%, list=9%, signal=45%	
ADAPTIVE IMMUNE RESPONSE%GOBP%GO:0002250	ADAPTIVE IMMUNE RESPONSE%GOBP%GO:0002250		97	-0.72789884	-2.4789946	0.0	0.0	0.0	498	tags=37%, list=3%, signal=38%	
REGULATION OF LEUKOCYTE MEDIATED IMMUNITY%GOBP%GO:0002703	REGULATION OF LEUKOCYTE MEDIATED IMMUNITY%GOBP%GO:0002703		131	-0.6953638	-2.4757802	0.0	0.0	0.0	1263	tags=40%, list=9%, signal=43%	
DOWNSTREAM TCR SIGNALING%REACTOME DATABASE ID RELEASE 83%202424	DOWNSTREAM TCR SIGNALING%REACTOME DATABASE ID RELEASE 83%202424		91	-0.72117656	-2.4755821	0.0	0.0	0.0	1771	tags=44%, list=12%, signal=50%	
POSITIVE REGULATION OF LEUKOCYTE MEDIATED CYTOTOXICITY%GOBP%GO:0001912	POSITIVE REGULATION OF LEUKOCYTE MEDIATED CYTOTOXICITY%GOBP%GO:0001912		35	-0.86386067	-2.4722173	0.0	0.0	0.0	372	tags=49%, list=3%, signal=50%	
POSITIVE REGULATION OF CELL KILLING%GOBP%GO:0031343	POSITIVE REGULATION OF CELL KILLING%GOBP%GO:0031343		39	-0.85081613	-2.4682374	0.0	0.0	0.0	1261	tags=59%, list=9%, signal=64%	
ER-PHAGOSOME PATHWAY%REACTOME%R-HSA-1236974.4	ER-PHAGOSOME PATHWAY%REACTOME%R-HSA-1236974.4		85	-0.7245733	-2.4483304	0.0	0.0	0.0	1677	tags=39%, list=12%, signal=44%	
POSITIVE REGULATION OF IMMUNE EFFECTOR PROCESS%GOBP%GO:0002699	POSITIVE REGULATION OF IMMUNE EFFECTOR PROCESS%GOBP%GO:0002699		145	-0.66368717	-2.4402928	0.0	0.0	0.0	812	tags=30%, list=6%, signal=32%	
IL12-MEDIATED SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%IL12-MEDIATED SIGNALING EVENTS	IL12-MEDIATED SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%IL12-MEDIATED SIGNALING EVENTS		54	-0.7925496	-2.4395072	0.0	0.0	0.0	1101	tags=59%, list=8%, signal=64%	
POSITIVE REGULATION OF LEUKOCYTE MEDIATED IMMUNITY%GOBP%GO:0002705	POSITIVE REGULATION OF LEUKOCYTE MEDIATED IMMUNITY%GOBP%GO:0002705		76	-0.7421558	-2.436105	0.0	0.0	0.0	1261	tags=37%, list=9%, signal=40%	
REGULATION OF ADAPTIVE IMMUNE RESPONSE BASED ON SOMATIC RECOMBINATION OF IMMUNE RECEPTORS BUILT FROM IMMUNOGLOBULIN SUPERFAMILY DOMAINS%GOBP%GO:0002822	REGULATION OF ADAPTIVE IMMUNE RESPONSE BASED ON SOMATIC RECOMBINATION OF IMMUNE RECEPTORS BUILT FROM IMMUNOGLOBULIN SUPERFAMILY DOMAINS%GOBP%GO:0002822		109	-0.69833446	-2.432018	0.0	0.0	0.0	1263	tags=40%, list=9%, signal=44%	
COSTIMULATION BY THE CD28 FAMILY%REACTOME%R-HSA-388841.4	COSTIMULATION BY THE CD28 FAMILY%REACTOME%R-HSA-388841.4		61	-0.780563	-2.4294994	0.0	0.0	0.0	711	tags=43%, list=5%, signal=45%	
DNA REPLICATION%REACTOME DATABASE ID RELEASE 83%69306	DNA REPLICATION%REACTOME DATABASE ID RELEASE 83%69306		117	-0.6797863	-2.4285448	0.0	0.0	0.0	3207	tags=57%, list=22%, signal=73%	
ALLOGRAFT REJECTION%WIKIPATHWAYS_20220510%WP2328%HOMO SAPIENS	ALLOGRAFT REJECTION%WIKIPATHWAYS_20220510%WP2328%HOMO SAPIENS		57	-0.76597697	-2.426293	0.0	0.0	0.0	812	tags=53%, list=6%, signal=56%	
ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE OR POLYSACCHARIDE ANTIGEN VIA MHC CLASS II%GOBP%GO:0002504	ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE OR POLYSACCHARIDE ANTIGEN VIA MHC CLASS II%GOBP%GO:0002504		25	-0.9232553	-2.425651	0.0	0.0	0.0	696	tags=68%, list=5%, signal=71%	
ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE ANTIGEN VIA MHC CLASS II%GOBP%GO:0002495	ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE ANTIGEN VIA MHC CLASS II%GOBP%GO:0002495		24	-0.92336994	-2.4256055	0.0	0.0	0.0	696	tags=71%, list=5%, signal=74%	
POSITIVE REGULATION OF LYMPHOCYTE MEDIATED IMMUNITY%GOBP%GO:0002708	POSITIVE REGULATION OF LYMPHOCYTE MEDIATED IMMUNITY%GOBP%GO:0002708		64	-0.76471055	-2.4227805	0.0	0.0	0.0	1261	tags=39%, list=9%, signal=43%	
MODULATORS OF TCR SIGNALING AND T CELL ACTIVATION%WIKIPATHWAYS_20220510%WP5072%HOMO SAPIENS	MODULATORS OF TCR SIGNALING AND T CELL ACTIVATION%WIKIPATHWAYS_20220510%WP5072%HOMO SAPIENS		48	-0.80108523	-2.4162416	0.0	0.0	0.0	1078	tags=48%, list=7%, signal=52%	
SYNTHESIS OF DNA%REACTOME%R-HSA-69239.2	SYNTHESIS OF DNA%REACTOME%R-HSA-69239.2		111	-0.68590033	-2.4120657	0.0	0.0	0.0	3524	tags=63%, list=24%, signal=83%	
REGULATION OF CELL KILLING%GOBP%GO:0031341	REGULATION OF CELL KILLING%GOBP%GO:0031341		64	-0.7446852	-2.3966997	0.0	0.0	0.0	1261	tags=48%, list=9%, signal=53%	
ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS II%GOBP%GO:0019886	ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS II%GOBP%GO:0019886		24	-0.92336994	-2.3956044	0.0	0.0	0.0	696	tags=71%, list=5%, signal=74%	
REGULATION OF T CELL MEDIATED CYTOTOXICITY%GOBP%GO:0001914	REGULATION OF T CELL MEDIATED CYTOTOXICITY%GOBP%GO:0001914		30	-0.87093276	-2.3881993	0.0	0.0	0.0	1261	tags=70%, list=9%, signal=77%	
GENERATION OF SECOND MESSENGER MOLECULES%REACTOME DATABASE ID RELEASE 83%202433	GENERATION OF SECOND MESSENGER MOLECULES%REACTOME DATABASE ID RELEASE 83%202433		29	-0.8597377	-2.3762865	0.0	0.0	0.0	711	tags=76%, list=5%, signal=80%	
LYMPHOCYTE MEDIATED IMMUNITY%GOBP%GO:0002449	LYMPHOCYTE MEDIATED IMMUNITY%GOBP%GO:0002449		63	-0.7493098	-2.3686867	0.0	0.0	0.0	498	tags=38%, list=3%, signal=39%	
