GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0006091	generation of precursor metabolites and energy	2.471327484162789e-19	2.471327484162789e-19	+1	NCF2,ALDH2,CYBA,TKT,TALDO1,PGD,PRELID1,SCO2,MT-ND1,PGLS,CYBB,NCF1,MT-CO1,BID,SOD2,NDUFS7,COX6B1,NDUFA11,RHOA,COX8A,NDUFS6,NDUFB1,UQCRFS1,UQCRC1,COX4I1,COX5B,NDUFA13,BLOC1S1,OAS1,NDUFB11,MT-ND3,CYC1,NDUFB10,SDHB,COX17,OXA1L,IDH3G,COX5A,NDUFA2,UQCR10,NDUFB7,PGAM1,PARK7,UQCRQ,NDUFA3,NDUFS8
GO:0022900	electron transport chain	2.471327484162789e-19	2.471327484162789e-19	+1	NCF2,ALDH2,CYBA,SCO2,MT-ND1,CYBB,NCF1,MT-CO1,BID,SOD2,NDUFS7,COX6B1,COX8A,NDUFS6,NDUFB1,UQCRFS1,UQCRC1,COX4I1,COX5B,MT-ND3,CYC1,NDUFB10,SDHB,COX5A,NDUFA2,UQCR10,NDUFB7,PARK7,UQCRQ,NDUFA3,NDUFS8
GO:0045333	cellular respiration	3.2188926852463815e-19	3.2188926852463815e-19	+1	PRELID1,SCO2,MT-ND1,MT-CO1,BID,SOD2,NDUFS7,COX6B1,NDUFA11,RHOA,COX8A,NDUFS6,NDUFB1,UQCRFS1,UQCRC1,COX4I1,COX5B,NDUFA13,BLOC1S1,OAS1,NDUFB11,MT-ND3,CYC1,NDUFB10,SDHB,OXA1L,IDH3G,COX5A,NDUFA2,UQCR10,NDUFB7,PARK7,UQCRQ,NDUFA3,NDUFS8
GO:0006119	oxidative phosphorylation	1.6499867294527786e-18	1.6499867294527786e-18	+1	MT-ND1,MT-CO1,BID,NDUFS7,COX6B1,NDUFA11,RHOA,COX8A,NDUFS6,NDUFB1,UQCRFS1,UQCRC1,COX4I1,COX5B,NDUFA13,NDUFB11,MT-ND3,CYC1,NDUFB10,SDHB,COX5A,NDUFA2,UQCR10,NDUFB7,PARK7,UQCRQ,NDUFA3,NDUFS8
GO:0022904	respiratory electron transport chain	1.853041806545984e-18	1.853041806545984e-18	+1	SCO2,MT-ND1,MT-CO1,BID,SOD2,NDUFS7,COX6B1,COX8A,NDUFS6,NDUFB1,UQCRFS1,UQCRC1,COX4I1,COX5B,MT-ND3,CYC1,NDUFB10,SDHB,COX5A,NDUFA2,UQCR10,NDUFB7,PARK7,UQCRQ,NDUFA3,NDUFS8
GO:0042773	ATP synthesis coupled electron transport	2.045936807125266e-18	2.045936807125266e-18	+1	MT-ND1,MT-CO1,BID,NDUFS7,COX6B1,COX8A,NDUFS6,NDUFB1,UQCRFS1,UQCRC1,COX4I1,COX5B,MT-ND3,CYC1,NDUFB10,SDHB,COX5A,NDUFA2,UQCR10,NDUFB7,PARK7,UQCRQ,NDUFA3,NDUFS8
GO:0042775	mitochondrial ATP synthesis coupled electron transport	2.045936807125266e-18	2.045936807125266e-18	+1	MT-ND1,MT-CO1,BID,NDUFS7,COX6B1,COX8A,NDUFS6,NDUFB1,UQCRFS1,UQCRC1,COX4I1,COX5B,MT-ND3,CYC1,NDUFB10,SDHB,COX5A,NDUFA2,UQCR10,NDUFB7,PARK7,UQCRQ,NDUFA3,NDUFS8
GO:0009060	aerobic respiration	2.045936807125266e-18	2.045936807125266e-18	+1	MT-ND1,MT-CO1,BID,NDUFS7,COX6B1,NDUFA11,RHOA,COX8A,NDUFS6,NDUFB1,UQCRFS1,UQCRC1,COX4I1,COX5B,NDUFA13,BLOC1S1,NDUFB11,MT-ND3,CYC1,NDUFB10,SDHB,OXA1L,IDH3G,COX5A,NDUFA2,UQCR10,NDUFB7,PARK7,UQCRQ,NDUFA3,NDUFS8
GO:0019646	aerobic electron transport chain	4.5106912825709176e-18	4.5106912825709176e-18	+1	MT-ND1,MT-CO1,NDUFS7,COX6B1,COX8A,NDUFS6,NDUFB1,UQCRFS1,UQCRC1,COX4I1,COX5B,MT-ND3,CYC1,NDUFB10,SDHB,COX5A,NDUFA2,UQCR10,NDUFB7,PARK7,UQCRQ,NDUFA3,NDUFS8
GO:0006954	inflammatory response	2.1363138554822503e-16	2.1363138554822503e-16	+1	S100A9,S100A8,LGALS2,CD14,TYROBP,LYZ,AIF1,LGALS1,GPX1,GRN,GSTP1,CD68,SERPINA1,CYBA,FPR1,PYCARD,RAC1,S100A12,BST1,NEAT1,LILRA5,IL8,LY86,CEBPB,KLF4,HLA-DRB1,FGR,CCL3,IL1B,HCK,SLC11A1,TIMP1,NFKBIA,TMSB4X,IFNGR2,C5AR1,CYBB,LGALS9,NCF1,VAMP8,ZFP36,GPX4,THEMIS2,NINJ1,ZYX,ITGB2,CASP1,TNFRSF1B,PLSCR1,CASP4,PRDX5,HMGB2,IFI35,TGFB1,PARK7
