GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0034109	homotypic cell-cell adhesion	1.834168662428844e-15	1.834168662428844e-15	+1	GP1BA,ITGB3,MYL9,TUBB1,ALOX12,CD9,DMTN,ILK,FERMT3,CCL5,ACTB,MYL12A,TLN1,ACTG1,FLNA,CD99,PLEK,GNAS,HSPB1
GO:0030168	platelet activation	1.834168662428844e-15	1.834168662428844e-15	+1	GP9,TREML1,PF4,GP1BA,ITGB3,MYL9,TUBB1,ALOX12,CD9,DMTN,ILK,FERMT3,P2RX1,ACTB,MYL12A,TLN1,ACTG1,FLNA,PLEK,GNAS,HSPB1
GO:0070527	platelet aggregation	2.58017631268421e-15	2.58017631268421e-15	+1	GP1BA,ITGB3,MYL9,TUBB1,ALOX12,CD9,DMTN,ILK,FERMT3,ACTB,MYL12A,TLN1,ACTG1,FLNA,PLEK,GNAS,HSPB1
GO:0007596	blood coagulation	4.0766377181062517e-13	4.0766377181062517e-13	+1	GP9,TREML1,PF4,GP1BA,ITGB3,MYL9,F13A1,TUBB1,ALOX12,C6ORF25,CD9,DMTN,ILK,FERMT3,P2RX1,ACTB,MYL12A,TLN1,ACTG1,FLNA,PLEK,GNAS,HSPB1
GO:0007599	hemostasis	4.11888697576423e-13	4.11888697576423e-13	+1	GP9,TREML1,PF4,GP1BA,ITGB3,MYL9,F13A1,TUBB1,ALOX12,C6ORF25,CD9,DMTN,ILK,FERMT3,P2RX1,ACTB,MYL12A,TLN1,ACTG1,FLNA,PLEK,GNAS,HSPB1
GO:0042060	wound healing	4.11888697576423e-13	4.11888697576423e-13	+1	GP9,TREML1,PF4,GP1BA,ITGB3,MYL9,F13A1,TUBB1,ALOX12,C6ORF25,CD9,DMTN,TPM1,ILK,FERMT3,P2RX1,GPX1,CHMP6,CD151,ACTB,TIMP1,MYL12A,TGFB1,TLN1,ACTG1,FLNA,ITGB1,PLEK,GNAS,HSPB1
GO:0050817	coagulation	4.11888697576423e-13	4.11888697576423e-13	+1	GP9,TREML1,PF4,GP1BA,ITGB3,MYL9,F13A1,TUBB1,ALOX12,C6ORF25,CD9,DMTN,ILK,FERMT3,P2RX1,ACTB,MYL12A,TLN1,ACTG1,FLNA,PLEK,GNAS,HSPB1
GO:0050878	regulation of body fluid levels	4.216098816434705e-10	4.216098816434705e-10	+1	GP9,TREML1,PF4,GP1BA,ITGB3,MYL9,F13A1,TUBB1,ALOX12,C6ORF25,CD9,DMTN,ILK,FERMT3,P2RX1,ACTB,MYL12A,TLN1,USF2,ACTG1,FLNA,PLEK,GNAS,HSPB1
GO:0007015	actin filament organization	1.1585984388814404e-7	1.1585984388814404e-7	+1	ARHGAP6,ESAM,CTTN,GAS2L1,DMTN,TPM1,TPM4,PDLIM1,ACTN1,GSN,ARPC1B,ARPC5,TMSB4X,WDR1,MTPN,ACTG1,DBNL,FLNA,ARF1,PLEK,BRK1,TPM3,DIAPH1
GO:1902903	regulation of supramolecular fiber organization	1.689622867633167e-7	1.689622867633167e-7	+1	CLU,ARHGAP6,ESAM,CTTN,SNCA,DMTN,TPM1,GSN,GPX1,ARPC1B,ARPC5,TMSB4X,WDR1,APP,MTPN,ACTG1,DBNL,FLNA,ARF1,PLEK,BRK1
